SA2_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
801011001,41,41,42,2167,2289,2500,1049,1195,1372,400,430,530,2644,2903,3533,0.7,0.8,0.8,2284,2414,3161,2.6,2.7,2.8
801011002,29,30,30,1984,1733,1517,834,839,1009,375,360,430,1758,1920,2034,1,1.1,1.1,1429,1587,1776,1.9,1.9,1.9
801011003,26,27,29,2167,1950,1733,805,817,1027,430,380,430,2512,2456,2693,0.9,1,0.9,2081,1924,2266,2.4,2.3,2.3
801011004,32,34,35,1850,1798,1755,705,747,948,320,300,380,1612,1848,2218,0.8,0.8,0.8,1340,1486,1818,2.5,2.5,2.5
801011005,39,42,42,2000,2000,2167,981,1042,1288,380,390,440,2229,2532,3054,0.8,0.7,0.7,1764,1954,2269,2.3,2.3,2.3
801011006,31,33,36,2167,2058,2000,979,1047,1176,410,400,465,2223,2483,2766,0.8,0.8,0.8,2079,2252,2503,2.9,3,2.9
801011007,35,37,37,2129,2000,2000,907,969,1149,381,391,466,2230,2339,2729,0.8,0.8,0.8,2005,2059,2428,2.8,2.7,2.7
801011008,35,37,39,1900,1950,1950,769,830,1023,360,355,415,1943,2134,2453,0.8,0.8,0.8,1642,1745,2082,2.7,2.6,2.5
801011009,38,38,37,1950,2058,2167,895,1010,1173,400,401,481,2287,2517,2997,0.8,0.8,0.8,2145,2271,2728,2.9,2.8,2.9
801011010,37,40,41,2000,2167,2167,907,1035,1164,370,400,450,2408,2503,2872,0.8,0.8,0.8,2222,2266,2618,2.9,2.8,2.9
801011011,35,37,38,2000,2000,2167,892,946,1143,402,420,460,2297,2300,2816,0.8,0.8,0.8,2004,2027,2447,2.7,2.8,2.7
801011012,19,48,30,0,0,0,0,40625,3250,0,63,0,0,7000,7000,0,0.7,0.8,0,7000,7000,0,3,4
801011013,40,41,42,2029,2100,2000,958,1024,1169,330,320,375,2371,2503,2826,0.7,0.8,0.7,1842,2028,2251,2.4,2.5,2.5
801011014,36,37,38,1950,1950,2000,777,843,1053,348,310,400,1843,2080,2614,0.8,0.8,0.8,1604,1737,2248,2.6,2.6,2.6
801011015,36,38,36,1907,1799,1950,806,844,1041,345,330,396,1811,1943,2441,0.8,0.8,0.8,1423,1427,1983,2.3,2.2,2.4
801011016,37,38,39,1950,2000,2167,806,849,1050,400,430,460,2189,2345,2695,0.8,0.8,0.8,1956,2077,2336,2.8,2.8,2.7
801011017,36,36,38,1955,2000,2000,855,903,1089,365,376,400,1980,2172,2495,0.8,0.8,0.8,1728,1859,2125,2.6,2.7,2.6
801011018,0,27,28,0,3000,2000,0,780,1190,0,375,548,0,2299,2753,0,1.2,0.9,0,2437,2492,0,3.6,2.6
801011019,31,32,34,2167,2000,2000,935,1043,1172,400,395,464,2064,2249,2625,0.8,0.8,0.8,1885,2063,2344,2.7,2.7,2.7
801011020,36,36,37,1950,2000,2000,785,890,1078,360,350,400,1914,2239,2530,0.8,0.8,0.8,1526,1717,1947,2.4,2.4,2.3
801011021,38,41,43,2150,2075,2167,834,921,1160,400,386,438,2319,2562,3051,0.8,0.7,0.7,2116,2247,2687,2.9,2.8,2.7
801011022,37,39,38,2000,2000,2100,898,935,1118,360,350,400,2191,2304,2767,0.8,0.8,0.8,1878,1952,2326,2.7,2.6,2.7
801011023,39,39,40,2000,1950,2000,702,789,932,380,370,438,1680,2018,2308,0.8,0.8,0.8,1324,1514,1773,2.3,2.3,2.3
801011024,35,34,35,1950,1950,1950,778,824,1041,315,330,390,1853,2044,2425,0.8,0.8,0.8,1507,1632,2025,2.4,2.5,2.6
801011025,36,37,38,2000,1985,2120,846,904,1125,250,355,375,2103,2190,2747,0.8,0.8,0.8,1830,1981,2358,2.8,2.7,2.7
801011026,40,43,41,2383,2200,2500,1014,1172,1332,445,423,490,2716,3074,3730,0.8,0.7,0.8,2468,2699,3349,2.9,2.9,2.9
801011111,53,53,19,1500,0,0,350,1874,900,300,384,375,1149,3250,4750,0.8,0.6,0.9,1750,3749,4750,2.7,2,4.3
801011142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011143,35,50,30,7500,0,2191,666,762,1236,300,150,515,2250,3249,2727,0.9,1.1,0.8,1750,2250,2629,3,2.7,2.9
801011144,0,0,37,0,0,0,0,0,1325,0,0,150,0,0,4499,0,0,1,0,0,3750,0,0,3.7
801031031,30,33,34,0,0,0,724,1024,725,351,0,110,1349,4750,2250,0.6,1,1,1349,4750,1187,2,4,2
801031032,34,28,36,2000,3467,2600,833,1125,900,180,231,340,2750,3499,3749,0.9,1.2,1,2583,3750,3749,3.4,4.3,4
801031113,48,51,47,1400,1517,1546,584,599,746,145,200,263,1312,1571,1640,0.9,0.9,0.9,711,812,1003,1.6,1.6,1.8
801031114,32,33,39,0,0,1300,1284,1136,1215,318,395,420,2125,2250,2625,0.7,0.8,0.8,2071,2025,2218,2.3,2.3,2.3
801031115,42,46,27,4333,2167,3033,726,1019,1161,250,400,365,1673,3166,3187,0.8,0.9,1,1553,2625,3156,2.4,2.7,3
801041034,32,34,35,2167,2167,2158,1078,1090,1207,410,430,460,2459,2661,3089,0.8,0.8,0.8,2314,2456,2769,3.1,3.1,2.9
801041035,28,30,30,2342,2200,2167,1127,1092,1183,495,430,520,2236,2394,2848,0.8,0.9,0.9,2110,2326,2811,2.8,3.3,3.4
801041036,28,30,32,2500,2201,2167,1100,1197,1349,485,421,502,2275,2462,2967,0.8,0.8,0.9,2169,2302,2680,2.7,2.8,2.9
801041037,28,31,34,2600,2500,2400,1182,1242,1395,307,380,460,2312,2745,3235,0.8,0.9,0.9,2113,2486,2811,2.4,2.8,2.8
