SA2_CODE_2021,Age_55_C21_M,Age_55_C21_F,Age_55_C21_P,Age_56_C11_M,Age_56_C11_F,Age_56_C11_P,Age_56_C16_M,Age_56_C16_F,Age_56_C16_P,Age_56_C21_M,Age_56_C21_F,Age_56_C21_P,Age_57_C11_M,Age_57_C11_F,Age_57_C11_P,Age_57_C16_M,Age_57_C16_F,Age_57_C16_P,Age_57_C21_M,Age_57_C21_F,Age_57_C21_P,Age_58_C11_M,Age_58_C11_F,Age_58_C11_P,Age_58_C16_M,Age_58_C16_F,Age_58_C16_P,Age_58_C21_M,Age_58_C21_F,Age_58_C21_P,Age_59_C11_M,Age_59_C11_F,Age_59_C11_P,Age_59_C16_M,Age_59_C16_F,Age_59_C16_P,Age_59_C21_M,Age_59_C21_F,Age_59_C21_P,Age_55_59_C11_M,Age_55_59_C11_F,Age_55_59_C11_P,Age_55_59_C16_M,Age_55_59_C16_F,Age_55_59_C16_P,Age_55_59_C21_M,Age_55_59_C21_F,Age_55_59_C21_P,Age_60_C11_M,Age_60_C11_F,Age_60_C11_P,Age_60_C16_M,Age_60_C16_F,Age_60_C16_P,Age_60_C21_M,Age_60_C21_F,Age_60_C21_P,Age_61_C11_M,Age_61_C11_F,Age_61_C11_P,Age_61_C16_M,Age_61_C16_F,Age_61_C16_P,Age_61_C21_M,Age_61_C21_F,Age_61_C21_P,Age_62_C11_M,Age_62_C11_F,Age_62_C11_P,Age_62_C16_M,Age_62_C16_F,Age_62_C16_P,Age_62_C21_M,Age_62_C21_F,Age_62_C21_P,Age_63_C11_M,Age_63_C11_F,Age_63_C11_P,Age_63_C16_M,Age_63_C16_F,Age_63_C16_P,Age_63_C21_M,Age_63_C21_F,Age_63_C21_P,Age_64_C11_M,Age_64_C11_F,Age_64_C11_P,Age_64_C16_M,Age_64_C16_F,Age_64_C16_P,Age_64_C21_M,Age_64_C21_F,Age_64_C21_P,Age_60_64_C11_M,Age_60_64_C11_F,Age_60_64_C11_P,Age_60_64_C16_M,Age_60_64_C16_F,Age_60_64_C16_P,Age_60_64_C21_M,Age_60_64_C21_F,Age_60_64_C21_P,Age_65_C11_M,Age_65_C11_F,Age_65_C11_P,Age_65_C16_M,Age_65_C16_F,Age_65_C16_P,Age_65_C21_M,Age_65_C21_F,Age_65_C21_P,Age_66_C11_M,Age_66_C11_F,Age_66_C11_P,Age_66_C16_M,Age_66_C16_F,Age_66_C16_P,Age_66_C21_M,Age_66_C21_F,Age_66_C21_P,Age_67_C11_M,Age_67_C11_F,Age_67_C11_P,Age_67_C16_M,Age_67_C16_F,Age_67_C16_P,Age_67_C21_M,Age_67_C21_F,Age_67_C21_P,Age_68_C11_M,Age_68_C11_F,Age_68_C11_P,Age_68_C16_M,Age_68_C16_F,Age_68_C16_P,Age_68_C21_M,Age_68_C21_F,Age_68_C21_P,Age_69_C11_M,Age_69_C11_F,Age_69_C11_P,Age_69_C16_M,Age_69_C16_F,Age_69_C16_P,Age_69_C21_M,Age_69_C21_F,Age_69_C21_P,Age_65_69_C11_M,Age_65_69_C11_F,Age_65_69_C11_P,Age_65_69_C16_M,Age_65_69_C16_F,Age_65_69_C16_P,Age_65_69_C21_M,Age_65_69_C21_F,Age_65_69_C21_P,Age_70_C11_M,Age_70_C11_F,Age_70_C11_P,Age_70_C16_M,Age_70_C16_F,Age_70_C16_P,Age_70_C21_M,Age_70_C21_F,Age_70_C21_P,Age_71_C11_M,Age_71_C11_F,Age_71_C11_P,Age_71_C16_M,Age_71_C16_F,Age_71_C16_P,Age_71_C21_M,Age_71_C21_F,Age_71_C21_P,Age_72_C11_M,Age_72_C11_F,Age_72_C11_P,Age_72_C16_M,Age_72_C16_F,Age_72_C16_P,Age_72_C21_M,Age_72_C21_F,Age_72_C21_P,Age_73_C11_M,Age_73_C11_F,Age_73_C11_P,Age_73_C16_M,Age_73_C16_F,Age_73_C16_P,Age_73_C21_M,Age_73_C21_F,Age_73_C21_P,Age_74_C11_M,Age_74_C11_F,Age_74_C11_P,Age_74_C16_M,Age_74_C16_F,Age_74_C16_P,Age_74_C21_M,Age_74_C21_F
801011001,14,18,35,11,10,25,21,17,39,24,12,37,16,16,34,10,18,25,16,23,39,14,13,29,17,23,35,12,16,27,7,12,16,6,22,32,15,14,21,67,70,136,78,89,172,76,87,167,15,12,28,16,15,32,12,17,34,14,20,35,17,14,25,24,18,43,17,15,30,10,18,25,15,19,31,10,14,23,6,14,22,17,15,38,13,29,37,4,6,11,14,12,27,67,80,152,54,62,114,85,91,174,10,25,35,18,13,28,10,11,22,13,11,23,9,15,26,12,9,20,15,24,39,22,14,27,9,19,27,16,14,31,9,16,17,8,20,27,12,9,25,9,25,34,6,8,18,63,88,153,64,76,139,45,68,114,8,10,17,15,17,30,13,10,21,18,11,22,7,14,21,5,13,26,10,11,25,14,18,30,16,12,29,10,9,19,13,12,31,5,11,15,15,7,25,10,8,23,10,22
801011002,24,20,48,12,22,36,19,14,32,24,15,43,13,3,21,22,19,35,23,26,50,17,20,37,13,20,33,20,14,32,14,8,25,20,25,48,22,27,49,71,63,134,92,87,187,114,114,223,8,18,29,18,23,35,25,19,46,9,9,19,14,16,28,20,5,29,10,5,16,12,12,22,19,20,42,11,16,28,19,34,51,9,19,30,13,15,26,11,11,16,19,22,41,51,71,119,73,87,161,97,91,184,8,11,17,11,14,26,19,23,40,7,14,17,15,6,24,14,22,35,11,15,26,13,14,25,16,15,26,7,8,17,11,19,32,17,26,40,9,12,19,14,17,24,13,15,27,45,57,104,62,74,134,63,101,166,12,8,17,10,12,24,8,17,26,10,11,19,14,14,27,17,20,31,13,11,21,11,22,30,13,15,28,11,0,13,9,13,24,11,22,33,4,13,20,11,14,25,19,16
801011003,9,22,30,30,25,52,22,24,49,24,34,64,27,13,42,25,26,58,20,30,45,14,20,42,24,29,58,32,22,55,21,24,48,22,20,40,17,26,44,125,113,235,131,138,267,106,124,236,19,24,46,29,16,50,24,28,58,15,16,32,23,23,46,12,21,39,22,22,37,27,15,45,22,26,49,14,18,37,14,26,44,31,32,61,20,16,39,27,18,42,16,23,38,94,94,188,121,105,227,107,136,243,16,16,30,23,16,34,26,26,49,17,17,29,16,15,31,23,28,50,14,15,28,13,25,37,19,20,37,13,10,22,20,21,39,11,21,34,8,7,14,13,24,38,20,28,48,62,62,122,84,97,182,99,118,218,13,7,17,10,16,28,36,23,55,15,14,26,14,21,38,18,22,34,10,11,20,15,16,34,20,23,49,6,16,20,8,11,23,15,18,35,11,7,12,8,3,16,26,24
801011004,12,17,30,17,17,38,9,24,42,15,17,27,21,10,27,8,20,31,11,15,23,22,20,36,10,14,25,15,9,25,11,21,31,17,22,41,16,11,25,83,93,176,58,101,163,61,72,139,14,15,28,14,24,33,14,26,35,10,15,27,13,17,34,12,22,31,18,15,39,18,10,25,10,16,25,6,13,21,19,16,33,10,17,28,17,13,35,12,13,29,13,22,38,70,77,152,69,78,151,58,98,158,23,10,27,6,8,22,11,24,36,11,20,28,13,16,27,9,17,26,8,13,18,15,17,31,7,5,15,6,6,20,5,16,26,16,7,24,3,4,11,13,17,31,13,18,31,53,52,109,58,72,127,65,71,132,10,6,19,18,6,26,9,17,25,6,9,9,5,12,21,11,14,26,6,3,16,8,8,20,12,12,24,5,7,11,5,7,20,10,10,22,5,11,10,8,9,12,11,10
801011005,20,21,42,11,18,25,26,25,54,12,13,31,10,19,33,11,14,30,6,26,30,25,16,40,18,8,31,22,16,36,15,21,39,20,15,36,13,23,39,70,101,172,90,86,178,79,97,175,3,21,23,14,19,32,14,14,28,17,18,33,11,14,23,14,20,37,11,16,26,6,15,27,9,18,32,15,14,31,11,18,27,16,13,26,22,22,46,8,19,33,14,23,35,73,85,160,58,93,142,75,86,156,19,30,43,13,16,30,9,22,38,18,23,40,16,16,27,11,20,28,5,16,25,9,16,27,3,17,20,14,7,20,21,14,35,13,14,29,12,8,17,24,22,39,11,19,26,66,83,150,77,90,157,50,94,142,19,12,32,11,28,36,9,17,27,18,8,29,10,18,30,10,19,28,5,14,27,11,15,25,6,13,24,15,10,24,14,8,18,18,15,34,17,13,31,8,9,19,23,18
801011006,48,57,96,26,27,55,36,32,62,50,55,102,24,26,52,27,46,77,35,38,74,27,43,70,31,33,66,45,42,77,32,22,52,41,45,84,37,28,65,130,150,284,165,180,348,204,211,418,19,28,51,21,22,46,41,29,71,23,28,50,23,26,48,38,31,67,24,17,44,20,30,59,22,50,67,15,27,44,21,38,55,32,32,64,36,23,62,21,30,56,33,36,67,118,130,248,116,147,262,159,178,339,7,12,18,20,28,49,23,20,42,11,18,31,20,21,38,18,17,36,10,16,32,18,13,34,24,38,63,11,12,23,18,30,45,22,29,48,7,5,15,28,24,56,23,26,43,54,61,114,104,119,221,100,133,235,10,12,19,14,17,24,20,21,39,13,12,25,11,11,29,13,25,36,10,9,21,6,14,26,26,16,38,11,11,19,15,18,32,16,25,37,11,11,21,11,7,18,22,25
801011007,23,25,50,32,30,60,41,27,66,33,29,60,25,41,69,24,37,64,32,33,63,34,42,79,37,45,80,31,29,60,41,41,81,42,37,84,38,28,69,168,184,357,162,189,347,156,149,307,53,49,97,37,34,69,22,37,59,39,55,90,23,26,51,32,27,58,43,28,79,24,29,55,27,28,55,36,37,76,35,47,76,24,41,63,27,34,59,38,30,70,25,34,60,200,200,392,159,163,319,129,162,291,26,22,53,34,43,81,42,30,69,16,16,35,28,44,72,28,21,48,19,9,29,39,28,74,21,23,46,15,15,28,41,33,71,26,36,65,16,12,31,30,30,57,30,30,59,91,84,176,168,184,356,142,141,285,11,14,23,26,19,49,28,37,62,12,6,24,8,20,32,23,37,63,14,12,19,18,16,34,35,24,57,8,11,13,17,8,22,21,27,52,5,9,17,16,11,28,27,25
801011008,30,32,66,27,42,72,36,48,82,26,36,61,25,39,67,38,45,82,26,43,71,40,34,73,31,39,71,28,28,58,30,36,67,29,38,68,23,31,60,161,183,344,178,205,385,143,172,309,32,32,65,29,23,54,37,36,70,24,28,53,35,37,72,33,39,72,27,34,60,18,44,64,43,44,82,18,19,33,31,31,67,21,40,62,28,29,52,28,33,57,34,35,67,125,144,269,150,169,320,174,189,358,30,11,44,36,32,65,24,21,48,16,26,40,15,34,47,22,41,64,14,18,32,21,29,49,19,38,60,12,16,28,17,20,40,36,28,63,11,16,30,21,24,49,28,31,61,89,84,172,112,141,252,140,155,293,14,10,23,19,15,34,34,23,59,9,10,24,11,26,35,11,29,37,15,12,20,15,17,31,23,29,49,4,13,20,12,9,23,14,20,31,11,11,23,12,13,27,17,27
801011009,29,19,49,26,28,51,23,16,41,18,18,33,24,32,57,13,20,35,11,22,35,20,21,45,24,21,51,19,13,34,23,36,57,16,33,49,19,24,43,108,139,249,99,107,204,96,99,193,25,22,49,14,17,33,21,21,43,23,15,39,20,22,43,18,21,45,29,38,68,19,22,48,14,18,35,22,40,58,11,19,27,28,19,46,35,31,62,13,20,37,28,26,52,135,136,272,82,105,186,109,107,214,35,17,51,18,15,34,10,11,28,24,25,46,18,14,39,16,21,36,20,10,30,30,35,60,15,19,35,25,25,43,14,30,42,16,17,31,15,14,29,20,19,46,16,20,38,111,84,198,107,113,224,76,84,163,4,9,19,23,23,47,24,22,41,18,3,19,18,20,41,22,12,35,11,4,21,8,7,22,22,19,40,3,6,13,14,14,34,14,27,42,8,9,19,9,11,23,14,18
801011010,19,16,35,14,24,41,18,10,27,15,8,25,12,22,37,16,17,31,11,15,26,24,17,40,10,6,21,9,6,19,12,27,36,10,14,26,11,13,22,83,108,193,64,63,124,65,61,132,20,32,53,11,17,31,12,16,22,25,14,36,12,18,33,14,9,23,18,16,34,14,25,44,10,14,23,12,18,31,24,16,35,14,4,17,19,14,35,9,19,31,13,12,22,97,97,187,70,96,168,55,59,115,15,9,24,17,20,38,14,8,24,12,3,15,28,14,33,18,21,36,16,6,18,12,10,26,13,22,32,3,7,9,12,13,23,21,17,40,12,10,24,20,15,37,8,19,29,57,36,90,94,72,164,69,84,153,6,11,15,9,10,19,19,21,38,5,0,6,13,5,15,24,13,37,3,7,8,10,5,16,18,7,22,7,5,11,4,5,9,12,9,26,3,6,3,16,10,22,15,9
