SA2_CODE_2021,Age_74_C21_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_70_74_C16_M,Age_70_74_C16_F,Age_70_74_C16_P,Age_70_74_C21_M,Age_70_74_C21_F,Age_70_74_C21_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_75_C16_M,Age_75_C16_F,Age_75_C16_P,Age_75_C21_M,Age_75_C21_F,Age_75_C21_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_76_C16_M,Age_76_C16_F,Age_76_C16_P,Age_76_C21_M,Age_76_C21_F,Age_76_C21_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_77_C16_M,Age_77_C16_F,Age_77_C16_P,Age_77_C21_M,Age_77_C21_F,Age_77_C21_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_78_C16_M,Age_78_C16_F,Age_78_C16_P,Age_78_C21_M,Age_78_C21_F,Age_78_C21_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_79_C16_M,Age_79_C16_F,Age_79_C16_P,Age_79_C21_M,Age_79_C21_F,Age_79_C21_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_75_79_C16_M,Age_75_79_C16_F,Age_75_79_C16_P,Age_75_79_C21_M,Age_75_79_C21_F,Age_75_79_C21_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_80_84_C16_M,Age_80_84_C16_F,Age_80_84_C16_P,Age_80_84_C21_M,Age_80_84_C21_F,Age_80_84_C21_P,Age_85over_C11_M,Age_85over_C11_F,Age_85over_C11_P,Age_85over_C16_M,Age_85over_C16_F,Age_85over_C16_P,Age_85over_C21_M,Age_85over_C21_F,Age_85over_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
801011001,34,64,52,114,61,72,132,55,72,127,13,7,23,11,5,20,8,17,23,10,5,21,10,11,19,10,6,20,4,10,15,7,10,16,12,15,33,7,4,13,11,6,15,9,16,23,6,0,13,11,14,19,7,9,16,44,34,78,44,43,85,48,62,117,30,41,72,25,27,54,38,43,84,24,48,70,18,28,45,28,36,62,1202,1279,2479,1171,1227,2397,1270,1335,2605
801011002,34,45,48,93,55,76,131,73,87,162,7,8,19,10,12,23,10,16,27,11,13,19,3,11,12,19,12,26,9,7,21,14,13,26,15,27,42,3,7,13,9,7,13,12,16,29,10,12,25,9,18,24,16,20,36,41,56,92,38,65,98,66,90,161,36,53,84,42,61,102,41,74,112,37,65,104,49,93,147,65,119,184,2275,2165,4436,3326,3328,6651,4202,4296,8502
801011003,46,44,52,100,62,71,135,105,110,221,9,6,16,13,9,23,9,19,30,0,5,8,18,15,30,13,26,35,11,13,23,14,10,26,17,21,35,9,11,16,9,18,21,12,20,32,5,6,13,3,12,13,9,9,20,34,38,76,54,63,114,60,91,151,30,50,82,31,36,64,54,57,113,41,73,111,51,84,132,53,83,137,3165,3225,6390,3497,3502,6996,3600,3914,7520
801011004,19,35,35,71,46,47,92,48,64,107,4,11,13,5,7,13,18,10,27,0,6,3,7,4,12,0,8,12,5,4,14,5,4,12,9,7,12,5,4,5,7,10,12,7,8,12,4,0,5,3,8,6,3,3,6,16,22,42,27,40,64,30,33,72,13,13,24,18,20,39,17,25,46,9,17,21,5,18,24,13,19,30,1488,1584,3066,1465,1509,2979,1499,1552,3055
801011005,45,70,65,131,52,82,132,66,91,153,9,8,15,13,8,26,12,23,33,13,9,20,14,9,22,16,17,37,3,15,17,8,13,25,10,15,25,16,9,25,13,12,21,12,0,12,11,12,22,11,15,29,11,11,22,45,53,105,51,60,114,53,73,124,24,21,50,41,40,79,52,49,100,10,27,42,23,30,45,29,40,73,1404,1504,2901,1347,1460,2804,1391,1570,2965
801011006,48,51,52,111,60,67,127,97,107,203,3,6,12,11,12,22,10,6,17,5,4,15,7,12,25,7,17,22,5,4,11,4,8,17,9,15,26,4,5,6,10,3,9,7,11,23,9,4,10,9,9,21,8,8,17,29,30,55,41,49,89,51,57,107,14,20,38,20,35,50,32,40,69,0,14,15,11,20,36,22,16,40,3506,3601,7108,3534,3663,7199,3633,3632,7265
801011007,54,49,52,99,81,77,157,140,152,290,5,8,9,12,7,22,23,19,45,9,4,10,9,4,14,6,14,22,3,12,14,8,7,13,14,10,21,3,9,12,7,9,12,13,9,14,6,6,15,7,7,17,12,11,21,27,34,60,41,34,78,61,63,118,14,30,50,18,27,41,35,34,67,10,23,28,9,31,39,17,31,49,2693,2722,5417,2672,2653,5329,2863,2667,5531
801011008,48,44,60,106,77,81,150,95,125,217,10,12,23,15,7,17,16,11,29,5,14,17,12,12,23,12,19,34,14,5,20,12,8,23,22,16,34,10,7,21,7,17,19,17,11,27,3,7,14,0,11,11,14,12,25,38,52,88,45,46,92,73,76,149,25,33,61,33,40,68,42,37,86,17,32,50,21,33,53,27,42,69,2483,2561,5039,2333,2432,4769,2316,2464,4781
801011009,32,46,40,90,77,84,159,88,107,196,9,7,12,10,6,14,18,16,39,8,3,11,13,6,20,12,13,22,8,3,13,12,7,21,7,7,16,7,11,15,5,5,10,12,11,24,0,0,0,8,3,12,9,15,20,28,23,58,45,32,79,57,61,118,7,13,23,18,21,40,32,23,54,11,14,22,10,15,26,15,15,30,1788,1763,3554,1692,1664,3355,1849,1821,3671
801011010,26,23,23,43,42,32,79,86,63,148,5,3,10,8,7,17,11,5,21,3,0,8,3,3,7,11,7,14,0,0,0,3,5,8,3,4,7,0,4,5,4,0,9,0,6,11,5,0,7,0,4,8,13,7,15,18,9,27,21,28,43,34,33,73,6,11,16,20,10,22,17,15,31,3,5,11,4,13,14,13,5,16,1076,1044,2124,1005,1026,2027,1101,1035,2126
