SA2_CODE_2021,C11_15_19_Married_M,C11_15_19_Married_F,C11_15_19_Married_P,C11_15_19_Sep_M,C11_15_19_Sep_F,C11_15_19_Sep_P,C11_15_19_Div_M,C11_15_19_Div_F,C11_15_19_Div_P,C11_15_19_Wid_M,C11_15_19_Wid_F,C11_15_19_Wid_P,C11_15_19_Nvr_marrd_M,C11_15_19_Nvr_marrd_F,C11_15_19_Nvr_marrd_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Married_M,C11_20_24_Married_F,C11_20_24_Married_P,C11_20_24_Sep_M,C11_20_24_Sep_F,C11_20_24_Sep_P,C11_20_24_Div_M,C11_20_24_Div_F,C11_20_24_Div_P,C11_20_24_Wid_M,C11_20_24_Wid_F,C11_20_24_Wid_P,C11_20_24_Nvr_marrd_M,C11_20_24_Nvr_marrd_F,C11_20_24_Nvr_marrd_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Married_M,C11_25_29_Married_F,C11_25_29_Married_P,C11_25_29_Sep_M,C11_25_29_Sep_F,C11_25_29_Sep_P,C11_25_29_Div_M,C11_25_29_Div_F,C11_25_29_Div_P,C11_25_29_Wid_M,C11_25_29_Wid_F,C11_25_29_Wid_P,C11_25_29_Nvr_marrd_M,C11_25_29_Nvr_marrd_F,C11_25_29_Nvr_marrd_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Married_M,C11_30_34_Married_F,C11_30_34_Married_P,C11_30_34_Sep_M,C11_30_34_Sep_F,C11_30_34_Sep_P,C11_30_34_Div_M,C11_30_34_Div_F,C11_30_34_Div_P,C11_30_34_Wid_M,C11_30_34_Wid_F,C11_30_34_Wid_P,C11_30_34_Nvr_marrd_M,C11_30_34_Nvr_marrd_F,C11_30_34_Nvr_marrd_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Married_M,C11_35_39_Married_F,C11_35_39_Married_P,C11_35_39_Sep_M,C11_35_39_Sep_F,C11_35_39_Sep_P,C11_35_39_Div_M,C11_35_39_Div_F,C11_35_39_Div_P,C11_35_39_Wid_M,C11_35_39_Wid_F,C11_35_39_Wid_P,C11_35_39_Nvr_marrd_M,C11_35_39_Nvr_marrd_F,C11_35_39_Nvr_marrd_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Married_M,C11_40_44_Married_F,C11_40_44_Married_P,C11_40_44_Sep_M,C11_40_44_Sep_F,C11_40_44_Sep_P,C11_40_44_Div_M,C11_40_44_Div_F,C11_40_44_Div_P,C11_40_44_Wid_M,C11_40_44_Wid_F,C11_40_44_Wid_P,C11_40_44_Nvr_marrd_M,C11_40_44_Nvr_marrd_F,C11_40_44_Nvr_marrd_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Married_M,C11_45_49_Married_F,C11_45_49_Married_P,C11_45_49_Sep_M,C11_45_49_Sep_F,C11_45_49_Sep_P,C11_45_49_Div_M,C11_45_49_Div_F,C11_45_49_Div_P,C11_45_49_Wid_M,C11_45_49_Wid_F,C11_45_49_Wid_P,C11_45_49_Nvr_marrd_M,C11_45_49_Nvr_marrd_F,C11_45_49_Nvr_marrd_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Married_M,C11_50_54_Married_F,C11_50_54_Married_P,C11_50_54_Sep_M,C11_50_54_Sep_F,C11_50_54_Sep_P,C11_50_54_Div_M,C11_50_54_Div_F,C11_50_54_Div_P,C11_50_54_Wid_M,C11_50_54_Wid_F,C11_50_54_Wid_P,C11_50_54_Nvr_marrd_M,C11_50_54_Nvr_marrd_F,C11_50_54_Nvr_marrd_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Married_M,C11_55_59_Married_F,C11_55_59_Married_P,C11_55_59_Sep_M,C11_55_59_Sep_F,C11_55_59_Sep_P,C11_55_59_Div_M,C11_55_59_Div_F,C11_55_59_Div_P,C11_55_59_Wid_M,C11_55_59_Wid_F,C11_55_59_Wid_P,C11_55_59_Nvr_marrd_M,C11_55_59_Nvr_marrd_F,C11_55_59_Nvr_marrd_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Married_M,C11_60_64_Married_F,C11_60_64_Married_P,C11_60_64_Sep_M,C11_60_64_Sep_F,C11_60_64_Sep_P,C11_60_64_Div_M,C11_60_64_Div_F,C11_60_64_Div_P,C11_60_64_Wid_M,C11_60_64_Wid_F,C11_60_64_Wid_P,C11_60_64_Nvr_marrd_M,C11_60_64_Nvr_marrd_F,C11_60_64_Nvr_marrd_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Married_M,C11_65_69_Married_F,C11_65_69_Married_P,C11_65_69_Sep_M,C11_65_69_Sep_F,C11_65_69_Sep_P,C11_65_69_Div_M,C11_65_69_Div_F,C11_65_69_Div_P,C11_65_69_Wid_M,C11_65_69_Wid_F,C11_65_69_Wid_P,C11_65_69_Nvr_marrd_M,C11_65_69_Nvr_marrd_F,C11_65_69_Nvr_marrd_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Married_M,C11_70_74_Married_F
801011001,0,0,0,0,0,0,0,0,0,0,0,0,102,68,171,102,68,171,0,0,4,0,0,0,0,0,0,0,0,0,64,88,152,70,89,154,15,12,27,0,0,0,0,0,0,0,0,0,64,43,106,76,57,136,20,45,64,0,3,3,0,0,0,0,0,0,28,24,49,47,67,117,49,51,93,0,4,4,0,5,8,0,0,0,25,25,55,79,79,160,46,62,102,0,3,3,0,3,6,0,0,0,22,19,42,75,81,154,60,55,119,3,3,6,5,14,14,0,4,3,15,14,30,86,86,179,66,65,131,3,4,11,3,19,22,0,5,4,10,18,29,81,111,193,48,46,94,6,0,4,5,10,13,0,0,0,9,11,19,67,70,136,46,50,101,0,0,0,14,14,21,0,5,5,10,15,24,67,80,152,51,49,101,0,0,0,11,19,27,5,6,12,0,5,10,63,88,153,42,29
801011002,0,0,0,0,0,0,0,0,0,0,0,0,112,136,244,114,137,253,19,38,54,0,0,0,0,0,0,0,0,0,357,355,709,374,396,766,99,141,242,0,10,10,0,0,3,0,0,0,331,261,592,433,412,844,152,128,278,8,3,12,6,11,10,0,0,0,169,129,295,336,262,599,77,62,139,3,5,9,5,12,18,0,0,0,74,67,142,164,136,301,37,24,64,7,11,13,15,15,36,0,0,3,66,34,103,131,93,223,39,25,72,10,3,12,27,16,44,0,0,0,41,34,72,120,80,203,32,16,50,5,4,9,22,23,43,0,0,0,18,23,46,81,68,145,24,16,37,3,4,9,21,20,39,0,12,10,22,16,36,71,63,134,29,36,61,6,3,4,8,25,33,0,0,4,7,7,16,51,71,119,30,30,62,0,3,0,5,9,12,0,11,11,8,8,14,45,57,104,20,20
801011003,0,0,6,0,0,0,0,0,0,0,0,0,316,338,655,313,339,659,19,30,48,0,3,6,0,0,0,0,3,3,792,840,1631,810,873,1681,86,131,221,5,3,13,0,5,6,0,0,0,405,341,752,499,488,983,135,124,257,3,3,7,8,5,15,0,0,0,133,107,239,282,240,517,115,98,214,6,0,7,5,8,14,0,0,4,43,53,98,169,168,333,75,78,155,9,3,11,3,7,14,0,0,0,35,17,57,121,109,233,82,80,162,0,0,3,7,17,26,0,0,0,17,17,39,110,121,232,83,91,177,0,5,5,6,20,27,0,4,3,12,10,28,110,132,244,103,82,191,3,5,8,12,14,20,0,4,4,4,11,19,125,113,235,71,71,143,0,3,4,11,10,26,0,0,4,8,5,17,94,94,188,48,43,91,4,0,6,3,7,12,3,3,9,3,8,12,62,62,122,37,41
801011004,0,0,0,0,0,0,0,0,0,0,0,0,116,86,194,116,86,194,6,11,22,0,0,0,0,0,0,0,0,0,100,82,188,108,98,210,40,44,89,4,6,6,0,0,8,0,0,4,82,74,155,132,128,260,68,77,141,4,8,10,5,12,14,0,0,0,66,65,135,137,160,297,69,77,140,3,3,9,4,15,16,0,0,0,53,53,106,124,151,276,52,41,101,4,10,10,7,23,30,0,0,3,41,26,71,119,97,217,32,39,74,3,9,13,8,30,40,0,0,3,16,16,35,69,94,164,45,41,91,4,9,11,6,30,41,0,3,4,13,20,32,69,105,177,49,52,100,9,7,10,19,20,35,4,7,12,12,3,16,83,93,176,48,41,90,5,5,8,9,22,38,4,7,9,7,0,4,70,77,152,31,14,47,8,3,12,12,11,22,3,14,17,0,3,6,53,52,109,17,15
801011005,0,0,0,0,0,0,0,0,0,0,0,0,68,63,128,68,63,128,5,8,13,0,0,0,0,0,0,0,0,0,94,80,171,97,86,183,19,23,42,0,0,0,0,0,3,0,0,0,73,64,136,93,90,183,48,53,101,3,3,8,0,6,7,0,0,0,52,62,114,102,125,230,62,75,142,3,4,8,10,10,16,0,0,0,42,44,90,118,134,254,66,58,128,3,5,9,10,7,12,0,4,4,46,41,90,120,118,243,39,51,93,3,5,7,15,17,26,0,0,0,21,16,40,81,89,174,49,46,97,4,10,15,12,19,34,0,0,4,32,22,56,100,95,198,40,52,93,3,0,5,18,31,46,0,0,0,7,11,24,70,101,172,50,34,86,0,4,10,11,24,35,0,5,7,9,12,22,73,85,160,46,49,98,3,4,7,14,12,26,6,7,11,3,3,10,66,83,150,41,36
801011006,0,4,4,0,0,0,0,0,0,0,0,0,254,225,480,254,224,481,10,24,32,0,0,0,0,0,0,0,0,0,181,184,363,193,210,403,105,166,277,3,4,5,3,3,8,0,0,0,172,152,323,291,325,615,227,272,499,11,12,25,7,14,16,0,0,0,87,93,182,329,388,719,243,254,500,9,22,35,26,34,63,3,0,5,65,60,124,346,381,726,220,209,431,12,19,34,26,38,62,0,0,0,43,42,81,303,305,609,174,157,326,6,5,9,27,39,57,3,4,6,26,26,51,229,228,455,142,113,257,9,5,13,18,49,68,3,10,12,13,18,28,182,193,373,102,81,186,12,9,12,18,41,56,0,11,8,3,9,11,130,150,284,90,82,166,9,0,9,20,25,43,0,17,20,3,5,10,118,130,248,46,38,76,0,5,3,6,8,14,0,14,14,0,0,0,54,61,114,46,33
801011007,0,0,0,0,0,0,0,0,0,0,0,0,187,174,363,187,174,363,8,13,21,0,0,0,0,0,0,0,0,0,160,167,327,164,184,350,47,76,121,4,4,5,0,0,6,0,0,0,146,117,270,197,200,402,103,104,209,6,8,11,0,8,5,0,0,0,91,77,173,201,199,404,135,147,285,6,13,15,19,19,37,0,0,0,61,49,112,221,232,456,140,147,286,10,3,16,18,24,38,0,0,0,53,40,94,217,212,438,122,114,230,4,12,14,27,32,56,0,3,4,31,19,48,183,176,353,127,136,263,3,12,16,14,29,44,0,0,0,21,26,42,165,204,369,128,124,245,11,6,17,13,38,56,0,8,10,15,11,25,168,184,357,154,132,289,3,5,5,27,29,55,3,19,18,11,15,18,200,200,392,67,57,128,0,0,5,13,12,19,8,9,16,0,3,3,91,84,176,43,29
801011008,0,0,0,0,0,0,0,0,0,0,0,0,231,175,403,231,178,408,13,19,25,0,0,0,0,0,0,0,0,0,214,175,392,225,195,421,43,67,114,4,4,8,0,0,0,0,0,0,130,127,257,177,196,377,96,103,196,9,4,11,3,6,9,0,0,0,74,65,139,176,174,353,98,117,219,5,7,10,17,17,33,0,0,3,53,37,87,169,180,351,95,91,186,7,9,13,11,32,42,0,0,5,32,50,76,141,178,325,116,139,259,7,10,17,18,36,54,0,0,0,25,33,54,174,212,388,134,118,257,6,8,12,23,49,70,0,13,13,29,21,51,202,211,414,114,128,234,7,6,9,17,28,50,0,9,7,17,17,39,161,183,344,103,88,186,3,3,10,15,30,45,4,10,15,6,6,15,125,144,269,70,49,115,4,0,3,9,23,30,8,13,16,0,3,3,89,84,172,38,29
801011009,0,5,5,0,0,0,0,0,0,0,0,0,134,103,237,134,110,245,8,6,13,0,0,0,0,0,0,0,0,0,110,96,210,116,104,222,23,31,57,0,0,4,0,7,10,0,0,0,66,74,141,91,111,204,53,68,118,3,0,11,4,7,9,0,0,0,54,48,98,111,118,236,91,101,184,5,7,10,3,14,18,0,0,0,40,23,60,140,143,281,77,91,163,3,9,12,21,14,39,0,0,0,27,18,44,129,126,264,87,80,164,0,4,4,10,20,27,0,0,0,20,18,32,120,115,233,98,105,206,0,3,3,10,17,25,0,3,6,15,11,23,119,146,267,84,108,193,0,4,8,14,19,35,0,8,9,6,3,8,108,139,249,104,103,208,3,0,6,15,22,40,7,5,15,6,3,10,135,136,272,86,68,153,3,0,6,13,9,21,8,11,18,3,3,3,111,84,198,38,29
801011010,0,0,0,0,0,0,0,0,0,0,0,0,74,74,141,74,74,141,3,0,5,0,0,0,0,0,0,0,0,0,86,66,147,92,64,156,14,25,35,0,0,0,0,0,0,0,0,0,47,33,75,55,57,109,38,43,85,0,5,6,0,0,0,0,0,0,33,27,58,71,78,151,57,60,112,0,4,4,3,5,6,0,0,0,9,10,26,68,77,145,54,48,97,4,4,3,4,9,16,0,3,3,17,10,26,80,69,143,43,48,90,0,0,3,9,7,14,0,0,0,11,4,16,65,65,129,45,55,101,5,4,8,11,7,18,0,0,0,7,7,10,68,69,137,72,74,143,3,6,11,5,22,23,0,7,8,8,8,11,83,108,193,71,72,146,3,3,0,18,13,28,0,5,3,7,0,7,97,97,187,37,26,67,3,0,7,6,7,13,4,3,3,0,0,4,57,36,90,26,18
