SA2_CODE_2021,C11_70_74_Married_P,C11_70_74_Sep_M,C11_70_74_Sep_F,C11_70_74_Sep_P,C11_70_74_Div_M,C11_70_74_Div_F,C11_70_74_Div_P,C11_70_74_Wid_M,C11_70_74_Wid_F,C11_70_74_Wid_P,C11_70_74_Nvr_marrd_M,C11_70_74_Nvr_marrd_F,C11_70_74_Nvr_marrd_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Married_M,C11_75_79_Married_F,C11_75_79_Married_P,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Sep_P,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Div_P,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Wid_P,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_Nvr_marrd_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Married_P,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Sep_P,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Div_P,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Wid_P,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_Nvr_marrd_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Married_M,C11_85_over_Married_F,C11_85_over_Married_P,C11_85_over_Seprtd_M,C11_85_over_Seprtd_F,C11_85_over_Seprtd_P,C11_85_over_Divorce_M,C11_85_over_Divorce_F,C11_85_over_Divorce_P,C11_85_over_Wid_M,C11_85_over_Wid_F,C11_85_over_Wid_P,C11_85_over_Nvr_mard_M,C11_85_over_Nvr_mard_F,C11_85_over_Nvr_mard_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Married_M,C11_Tot_Married_F,C11_Tot_Married_P,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Sep_P,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Div_P,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_Wid_P,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_nver_marrie_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Married_P,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Sep_P,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Div_P,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Wid_P,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_Nvr_marrd_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Married_P,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Sep_P,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Div_P,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Wid_P,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_Nvr_marrd_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Married_P,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Sep_P,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Div_P,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Wid_P,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_Nvr_marrd_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Married_P,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Sep_P,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Div_P,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Wid_P,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_Nvr_marrd_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Married_P,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Sep_P,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Div_P,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Wid_P,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_Nvr_marrd_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Married_P,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Sep_P,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Div_P,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Wid_P,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_Nvr_marrd_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Married_P,C16_45_49_Sep_M
801011001,70,0,0,0,9,9,17,8,8,20,0,0,5,64,52,114,32,23,55,0,0,0,3,4,4,0,11,14,0,0,0,44,34,78,26,19,40,0,0,0,3,0,3,4,23,27,0,0,0,30,41,72,18,14,34,0,0,0,0,0,4,4,32,33,0,0,0,24,48,70,518,518,1037,19,30,41,58,90,148,32,91,121,356,330,682,975,1057,2033,0,0,0,0,0,0,0,0,0,0,0,0,71,69,146,71,69,146,3,5,3,0,0,0,0,0,0,0,0,0,80,53,141,87,59,148,9,13,26,0,0,5,0,0,0,0,0,0,50,35,83,57,50,109,28,33,54,0,4,3,0,0,3,0,0,0,20,13,37,51,55,100,51,65,116,0,3,0,0,0,3,0,0,0,13,14,27,67,86,153,46,57,107,0,4,3,0,3,5,0,0,0,25,23,47,79,92,168,57,62,121,4
801011002,44,8,0,4,6,5,16,3,16,19,4,4,6,45,48,93,28,24,48,0,0,0,3,4,10,7,27,33,0,0,0,41,56,92,21,27,50,0,0,0,3,4,5,8,19,29,4,7,3,36,53,84,23,15,33,0,0,0,0,0,0,16,50,67,0,0,0,37,65,104,636,602,1244,47,38,85,121,152,273,37,143,183,1227,1065,2289,2071,2005,4074,3,0,3,0,0,0,0,0,0,0,0,0,110,134,244,116,139,248,18,25,49,0,4,4,0,0,0,0,0,0,577,643,1220,595,679,1273,124,195,314,0,8,5,0,8,11,0,0,0,478,435,910,600,642,1238,236,242,483,5,5,15,4,14,25,0,7,7,273,195,465,518,466,987,182,112,296,13,17,24,18,17,35,0,0,0,138,103,236,344,249,592,77,57,128,14,7,22,8,27,31,0,0,0,75,53,127,169,145,313,46,25,69,15
801011003,79,0,0,0,6,0,6,0,7,14,0,5,5,44,52,100,31,22,53,0,0,0,5,0,5,0,18,17,0,0,5,34,38,76,19,28,47,0,0,0,3,4,0,4,21,25,0,5,4,30,50,82,24,43,68,0,0,0,0,3,3,13,25,33,6,0,4,41,73,111,926,965,1895,32,41,68,71,97,172,30,84,110,1787,1770,3555,2841,2953,5793,0,0,0,0,0,0,0,0,0,0,0,0,246,268,514,248,269,516,10,23,33,3,3,4,0,0,0,0,0,0,779,807,1583,795,832,1625,95,151,245,0,5,11,5,0,9,0,0,0,462,384,848,569,539,1108,181,181,355,4,7,15,15,13,19,0,0,0,177,152,328,373,354,726,156,135,288,8,0,14,9,9,17,0,0,0,89,65,150,256,214,473,119,95,212,6,6,10,13,9,25,0,3,3,43,40,81,180,154,329,54,71,127,3
801011004,35,3,0,3,6,10,13,4,8,12,0,0,3,35,35,71,14,9,20,0,5,5,4,3,6,0,9,8,0,0,0,16,22,42,7,3,11,0,0,0,0,5,5,0,5,7,0,0,0,13,13,24,3,4,8,0,0,0,0,3,3,0,13,12,0,0,0,9,17,21,477,487,969,48,53,104,84,180,264,25,67,97,512,439,950,1154,1225,2379,0,0,0,0,0,0,0,0,0,0,0,0,88,85,169,86,85,172,9,13,17,0,0,0,0,0,0,0,0,0,101,76,182,107,89,198,19,38,60,0,4,5,0,4,4,0,0,0,103,68,171,130,109,242,61,76,134,0,6,13,3,7,14,0,0,0,57,47,110,126,142,271,71,70,146,10,4,11,3,7,17,0,0,0,41,50,94,131,133,265,53,49,110,0,3,6,6,19,26,0,0,0,36,32,68,94,111,210,50,28,76,3
801011005,84,0,0,6,6,5,16,13,12,26,0,3,5,70,65,131,33,27,54,4,0,4,10,12,17,3,16,17,4,0,4,45,53,105,25,5,26,0,0,0,0,7,7,3,13,13,0,0,0,24,21,50,6,6,18,0,0,0,0,0,0,3,19,20,3,0,3,10,27,42,536,537,1072,32,46,74,98,156,259,29,85,116,449,433,882,1148,1252,2401,0,0,0,0,0,0,0,0,0,0,0,0,70,53,123,72,55,125,0,4,5,0,0,0,0,0,0,0,0,0,75,56,131,74,63,135,12,15,25,0,0,0,0,0,0,0,0,0,57,65,121,65,83,147,24,54,76,0,0,3,3,4,5,0,0,0,36,47,83,67,102,168,67,63,130,0,3,3,5,8,10,0,0,0,33,45,75,105,113,218,68,59,133,8,3,14,9,14,26,0,0,0,33,31,64,117,116,232,55,49,109,5
801011006,82,0,0,0,3,0,4,4,9,17,0,4,4,51,52,111,20,14,30,0,0,0,0,0,5,7,15,23,0,0,0,29,30,55,10,4,17,0,7,7,0,0,0,3,8,14,0,0,0,14,20,38,0,0,0,0,0,0,0,0,0,6,12,12,0,0,0,0,14,15,1436,1452,2885,61,87,148,158,251,408,22,111,130,849,817,1658,2522,2711,5232,0,0,0,0,0,0,0,0,0,0,0,0,260,220,482,260,224,481,9,22,30,0,0,0,0,0,0,0,0,0,199,177,385,205,206,413,59,92,157,3,0,6,0,3,9,0,0,0,136,117,256,202,221,425,158,204,356,0,8,10,4,11,9,0,3,3,95,105,202,259,320,578,235,250,487,8,11,17,6,19,24,0,3,5,58,67,127,311,347,656,225,223,450,4,16,15,12,47,54,6,3,3,63,57,126,308,348,658,196,185,380,6
801011007,74,0,0,4,5,5,11,0,9,9,0,0,0,49,52,99,17,15,37,0,0,0,3,0,5,4,18,21,0,4,8,27,34,60,10,5,21,0,0,0,3,3,3,4,18,25,0,0,0,14,30,50,3,0,4,0,0,0,0,4,4,0,18,21,0,0,0,10,23,28,1113,1111,2221,50,63,115,139,203,344,17,112,129,778,697,1475,2099,2186,4285,0,0,0,0,0,0,0,0,0,0,0,0,169,161,335,169,165,338,8,3,17,0,0,0,0,0,0,0,0,0,163,168,329,173,178,346,22,46,71,0,0,0,0,0,0,0,0,0,130,102,223,157,151,301,97,115,211,3,3,8,0,4,4,0,0,0,86,71,150,184,199,384,123,133,255,8,0,4,7,8,14,0,0,0,75,55,128,205,198,409,133,152,288,7,9,15,18,15,39,0,0,0,44,59,103,207,236,439,122,107,233,7
801011008,72,0,0,0,5,15,14,0,13,18,0,0,3,44,60,106,32,22,55,0,0,0,0,3,9,4,24,31,5,0,5,38,52,88,19,12,39,0,0,0,0,0,0,3,18,20,4,0,4,25,33,61,13,3,21,0,0,0,0,3,3,5,25,24,0,0,0,17,32,50,993,990,1977,50,53,99,119,245,366,25,123,149,814,702,1525,2000,2110,4112,0,0,0,0,0,0,0,0,0,0,0,0,154,143,295,154,143,299,0,11,9,0,0,3,0,0,0,0,0,0,217,141,359,221,152,376,43,54,104,0,4,4,0,0,0,0,0,0,119,96,218,166,162,331,79,90,170,3,3,4,4,5,12,0,0,0,76,66,143,161,169,335,102,111,216,4,7,13,14,13,27,0,0,0,39,44,81,166,172,341,84,108,198,3,13,17,6,16,28,0,0,0,36,25,63,138,169,303,98,85,186,8
801011009,67,0,0,6,4,0,9,4,9,11,0,3,3,46,40,90,29,12,42,0,0,0,0,3,4,0,10,10,0,0,0,28,23,58,6,7,12,0,0,0,0,0,0,0,3,3,5,0,5,7,13,23,9,0,9,0,0,0,0,0,0,4,14,21,0,0,0,11,14,22,790,806,1595,22,40,63,94,128,221,22,69,90,485,402,885,1414,1441,2857,0,0,0,0,0,0,0,0,0,0,0,0,109,100,214,109,100,214,6,0,5,0,0,0,0,0,0,0,0,0,88,81,174,95,83,177,23,29,52,0,3,5,0,0,0,0,0,0,69,61,134,93,92,186,61,68,129,3,8,10,0,3,7,0,0,0,39,40,76,108,115,219,66,78,148,4,0,10,9,3,7,0,5,5,55,37,97,136,128,257,86,83,171,8,9,15,6,13,16,0,0,0,26,23,49,129,128,253,67,77,145,5
801011010,40,0,0,0,0,6,3,0,0,0,0,0,0,23,23,43,16,5,19,0,0,0,4,0,4,3,3,4,0,0,0,18,9,27,5,3,7,0,0,0,0,0,4,0,3,3,0,0,0,6,11,16,4,0,4,0,0,0,0,0,0,0,5,6,0,0,0,3,5,11,470,475,947,19,26,40,58,72,131,11,28,35,296,238,529,849,834,1690,0,0,0,0,0,0,0,0,0,0,0,0,65,62,129,65,62,129,0,3,3,0,0,0,0,0,0,0,0,0,37,52,93,37,57,96,6,13,25,0,0,5,0,0,3,0,0,0,44,32,73,54,46,103,22,40,64,0,0,0,0,3,4,0,0,0,18,14,35,43,56,102,53,46,103,0,8,8,0,3,9,0,0,0,16,10,35,80,70,147,50,58,110,4,0,4,0,10,10,0,0,0,16,13,28,70,77,150,49,44,95,4
