SA2_CODE_2021,C16_45_49_Sep_F,C16_45_49_Sep_P,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Div_P,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Wid_P,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_Nvr_marrd_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Married_P,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Sep_P,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Div_P,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Wid_P,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_Nvr_marrd_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Married_P,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Sep_P,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Div_P,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Wid_P,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_Nvr_marrd_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Married_P,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Sep_P,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Div_P,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Wid_P,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_Nvr_marrd_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Married_P,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Sep_P,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Div_P,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Wid_P,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_Nvr_marrd_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Married_P,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Sep_P,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Div_P,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Wid_P,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_Nvr_marrd_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Married_P,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Sep_P,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Div_P,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Wid_P,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_Nvr_marrd_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Married_P,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Sep_P,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Div_P,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Wid_P,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_Nvr_marrd_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Married_M,C16_85_over_Married_F,C16_85_over_Married_P,C16_85_over_Seprtd_M,C16_85_over_Seprtd_F,C16_85_over_Seprtd_P,C16_85_over_Divorce_M,C16_85_over_Divorce_F,C16_85_over_Divorce_P,C16_85_over_Wid_M,C16_85_over_Wid_F,C16_85_over_Wid_P,C16_85_over_Nvr_mard_M,C16_85_over_Nvr_mard_F,C16_85_over_Nvr_mard_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Married_M,C16_Tot_Married_F,C16_Tot_Married_P,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Sep_P,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Div_P,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_Wid_P,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_nver_marrie_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Married_M,C21_15_19_Married_F,C21_15_19_Married_P,C21_15_19_Sep_M,C21_15_19_Sep_F,C21_15_19_Sep_P,C21_15_19_Div_M,C21_15_19_Div_F,C21_15_19_Div_P,C21_15_19_Wid_M,C21_15_19_Wid_F,C21_15_19_Wid_P,C21_15_19_Nvr_marrd_M,C21_15_19_Nvr_marrd_F,C21_15_19_Nvr_marrd_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Married_M,C21_20_24_Married_F,C21_20_24_Married_P,C21_20_24_Sep_M,C21_20_24_Sep_F,C21_20_24_Sep_P
801011001,5,7,5,7,8,0,0,0,17,9,32,85,88,175,59,56,118,3,4,6,8,13,29,0,0,0,14,16,36,86,94,182,61,53,117,0,6,9,5,11,16,0,4,3,6,14,21,78,89,172,43,42,87,0,0,3,5,10,12,5,3,8,4,6,11,54,62,114,47,54,105,0,0,0,9,10,15,0,9,7,9,5,11,64,76,139,52,45,94,0,4,4,7,10,16,5,10,17,0,4,0,61,72,132,33,19,48,0,0,0,8,6,15,4,11,18,0,0,0,44,43,85,22,17,38,0,0,0,0,3,3,3,7,10,5,0,5,25,27,54,9,3,13,0,0,0,0,0,0,4,14,20,0,0,0,18,28,45,521,528,1050,16,24,40,52,89,140,25,60,86,314,279,594,927,979,1905,0,0,0,0,0,0,0,0,0,0,0,0,63,82,142,63,82,142,0,0,0,0,0,0
801011002,9,27,17,23,43,0,0,0,57,56,112,138,120,254,40,33,72,10,13,23,41,23,62,0,0,0,31,29,56,128,92,217,39,27,72,0,3,5,25,28,53,0,8,5,31,21,53,92,87,187,28,21,52,4,4,4,14,28,45,0,21,21,23,20,41,73,87,161,30,37,67,6,5,7,18,23,39,0,8,9,4,3,10,62,74,134,36,42,76,0,0,3,3,10,19,3,13,19,6,3,9,55,76,131,24,26,53,3,4,6,0,11,10,8,21,28,9,4,7,38,65,98,29,24,50,0,0,0,0,6,12,8,28,37,0,0,0,42,61,102,29,21,50,0,0,0,0,4,3,19,67,81,9,4,8,49,93,147,949,888,1832,63,78,146,157,235,388,32,168,203,1817,1702,3517,3021,3071,6091,0,0,0,0,0,0,0,0,0,0,0,0,114,116,229,114,116,229,35,80,110,0,10,5
801011003,4,11,13,15,27,0,3,3,33,19,56,114,105,219,68,67,139,0,9,10,16,23,40,5,3,4,15,18,38,106,123,228,94,92,183,8,0,15,14,19,37,0,5,5,15,13,30,131,138,267,95,87,177,0,0,0,12,8,21,6,8,10,11,3,11,121,105,227,62,67,127,0,3,3,10,17,31,6,7,12,10,8,19,84,97,182,51,44,97,0,0,0,4,0,6,0,14,17,0,8,14,62,71,135,39,35,72,0,0,0,7,0,8,4,23,27,0,9,9,54,63,114,26,16,38,0,0,0,0,0,0,3,18,22,0,5,8,31,36,64,32,10,42,0,0,0,0,8,7,14,54,67,5,13,19,51,84,132,1081,1066,2141,42,50,90,109,133,242,37,132,166,1897,1813,3708,3166,3182,6349,0,0,0,0,0,0,0,0,0,0,0,0,243,321,563,243,321,565,11,32,43,0,0,0
801011004,0,7,3,27,29,3,4,5,36,18,54,91,83,180,29,33,66,5,7,12,15,24,37,5,5,8,17,15,31,67,84,148,33,43,77,4,10,10,13,35,48,0,5,8,10,18,22,58,101,163,45,40,84,8,4,12,19,15,36,0,15,15,4,8,6,69,78,151,33,32,64,3,4,9,8,22,32,0,12,8,10,3,11,58,72,127,22,17,41,3,0,3,9,16,24,10,13,19,0,4,7,46,47,92,16,12,30,0,0,0,0,5,8,0,15,17,0,0,0,27,40,64,14,5,20,0,0,0,3,8,9,5,7,10,0,0,0,18,20,39,8,0,6,0,0,0,0,0,0,0,13,14,0,0,3,5,18,24,465,466,932,41,45,89,95,179,277,20,83,104,510,429,940,1130,1210,2340,0,0,0,0,0,0,0,0,0,0,0,0,94,78,171,92,78,170,3,7,10,0,0,0
801011005,3,8,12,17,22,0,6,6,45,37,78,111,109,222,40,53,89,0,0,0,23,27,46,0,0,0,19,25,41,86,98,184,47,45,94,0,4,4,17,18,38,0,4,4,20,20,41,90,86,178,34,46,80,0,3,4,10,25,36,0,5,5,3,10,17,58,93,142,44,34,79,0,0,0,18,28,44,3,14,12,8,12,21,77,90,157,43,42,86,4,7,4,4,11,19,5,12,16,0,6,7,52,82,132,37,36,73,0,0,4,9,3,16,7,15,26,0,5,3,51,60,114,27,15,47,0,0,0,4,3,10,6,16,22,0,0,0,41,40,79,14,7,18,0,0,0,0,9,9,8,12,19,0,0,0,23,30,45,526,524,1049,18,29,49,108,166,275,29,77,107,408,407,819,1084,1212,2297,0,0,0,0,0,0,0,0,0,0,0,0,61,78,135,61,78,135,0,0,0,0,0,0
801011006,13,25,25,42,63,4,4,8,44,41,83,277,290,563,150,138,291,13,8,20,19,54,74,0,5,7,23,23,44,209,226,437,123,99,221,10,4,13,28,39,68,0,15,17,9,19,29,165,180,348,90,81,175,4,6,9,11,32,41,5,19,19,3,7,13,116,147,262,85,76,157,0,3,6,8,23,35,0,17,18,3,5,3,104,119,221,52,40,83,3,0,0,9,8,18,0,21,22,0,5,3,60,67,127,37,30,71,0,0,0,3,0,9,0,13,14,0,0,0,41,49,89,18,14,28,0,0,0,0,0,3,4,17,23,0,0,0,20,35,50,13,4,10,0,0,0,0,0,0,0,14,20,0,0,0,11,20,36,1449,1454,2902,60,80,138,130,280,407,25,133,155,902,848,1751,2559,2790,5357,0,0,0,0,0,0,0,0,0,0,0,0,302,240,540,302,240,540,6,9,11,0,0,0
801011007,14,19,20,23,38,0,0,0,39,29,68,191,173,361,102,97,204,9,6,13,25,31,51,4,3,7,27,17,47,164,158,324,121,136,250,3,9,7,17,34,51,5,0,5,15,22,32,162,189,347,118,114,231,5,7,16,15,18,35,0,10,10,14,9,24,159,163,319,134,120,254,0,0,4,24,32,57,3,24,28,4,9,12,168,184,356,65,48,113,3,3,9,7,11,17,7,10,19,0,3,3,81,77,157,35,22,57,0,0,0,5,3,8,0,10,9,0,0,0,41,34,78,12,6,19,0,0,0,0,0,0,4,18,19,0,0,0,18,27,41,10,3,13,0,0,0,0,0,0,0,30,30,0,0,0,9,31,39,1111,1109,2221,45,53,103,132,184,320,27,104,130,769,706,1469,2084,2160,4243,0,0,0,0,0,0,0,0,0,0,0,0,174,161,336,174,161,336,5,0,5,0,0,0
801011008,5,9,12,27,43,0,0,0,33,39,74,148,156,304,110,114,220,5,5,13,14,24,37,4,4,8,18,32,55,146,181,321,112,110,228,4,4,16,27,45,76,0,15,15,29,26,53,178,205,385,109,117,223,3,9,11,15,27,44,0,7,9,14,18,31,150,169,320,89,73,165,6,11,9,11,32,39,5,18,21,8,6,12,112,141,252,53,40,100,5,0,4,9,23,27,10,14,19,0,6,5,77,81,150,32,23,54,3,0,3,4,12,17,4,15,20,0,0,0,45,46,92,20,14,36,0,0,0,0,0,0,3,22,30,0,0,0,33,40,68,16,3,21,0,0,0,0,0,0,4,26,28,0,0,4,21,33,53,960,960,1925,47,65,107,117,232,349,34,120,156,741,637,1378,1904,2014,3921,0,0,0,0,0,0,0,0,0,0,0,0,110,121,233,110,121,233,4,14,14,0,0,0
801011009,4,12,13,18,30,0,0,0,24,23,44,109,121,232,71,67,139,4,10,11,7,18,25,3,0,7,17,10,29,103,103,203,74,70,143,0,3,9,10,15,27,5,9,13,9,10,18,99,107,204,61,74,138,0,0,7,8,13,29,7,6,9,3,0,5,82,105,186,91,82,178,8,3,10,3,15,23,4,6,13,5,3,6,107,113,224,63,50,112,5,0,4,9,6,17,3,15,20,0,3,7,77,84,159,37,13,50,0,0,3,4,7,11,6,10,12,0,0,0,45,32,79,18,10,22,0,0,4,0,4,5,0,5,11,0,0,0,18,21,40,7,0,7,0,0,0,4,0,5,0,14,10,0,0,0,10,15,26,726,716,1436,34,49,78,76,116,191,21,75,95,453,397,850,1308,1344,2656,0,0,0,0,0,0,0,0,0,0,0,0,115,114,230,115,114,230,0,8,7,0,0,0
801011010,6,9,6,5,16,0,5,5,12,8,20,75,73,144,50,46,95,0,0,0,4,11,15,0,0,0,13,4,20,67,63,133,43,44,88,0,4,5,4,9,14,4,0,7,7,5,9,64,63,124,59,61,123,5,5,7,5,16,14,4,8,12,9,3,11,70,96,168,64,52,114,0,3,4,18,8,24,4,15,17,3,0,3,94,72,164,35,21,53,3,0,0,5,4,11,4,4,5,0,3,3,42,32,79,16,23,34,0,0,0,0,5,3,0,0,0,0,0,0,21,28,43,11,3,21,0,0,0,0,0,4,0,0,3,0,0,0,20,10,22,0,0,4,0,0,0,3,0,3,0,10,8,0,0,0,4,13,14,465,460,925,12,30,46,53,76,131,16,38,56,241,218,459,789,826,1611,0,0,0,0,0,0,0,0,0,0,0,0,74,61,133,74,61,133,0,5,5,0,0,0
