SA2_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
801011001,13,8,10,19,0,3,3,48,62,117,31,18,50,0,0,0,3,3,11,8,19,20,0,4,4,38,43,84,23,13,35,0,0,0,0,0,0,6,15,25,4,0,4,28,36,62,571,579,1148,11,23,38,50,91,141,20,65,88,349,329,679,1003,1090,2095
801011002,27,5,31,37,6,5,14,66,90,161,26,26,50,0,5,5,0,11,14,10,31,41,3,0,6,41,74,112,39,22,60,0,0,0,0,9,15,21,79,100,0,5,7,65,119,184,1281,1278,2561,69,94,166,223,275,500,40,186,227,2226,2084,4312,3844,3923,7764
801011003,9,9,27,30,4,7,6,60,91,151,38,22,59,0,0,0,3,5,10,13,31,38,0,7,11,54,57,113,34,19,50,0,0,0,0,0,3,19,57,71,3,8,7,53,83,137,1185,1170,2363,50,68,119,137,212,348,43,157,198,1777,1936,3714,3192,3541,6732
801011004,13,5,14,22,0,3,4,30,33,72,10,12,19,5,0,5,3,4,4,0,9,12,0,0,0,17,25,46,5,4,13,0,0,0,0,3,4,7,11,11,0,0,0,13,19,30,488,472,962,38,54,91,102,164,270,16,72,95,513,480,989,1158,1251,2407
801011005,20,5,15,17,0,9,6,53,73,124,35,23,58,0,0,0,7,4,11,3,17,27,0,4,7,52,49,100,17,10,28,0,0,0,6,12,13,7,17,28,5,0,5,29,40,73,526,529,1055,30,30,61,95,167,262,26,87,115,453,507,968,1128,1321,2450
801011006,11,7,19,27,0,5,3,51,57,107,25,14,39,0,0,0,4,0,5,4,17,20,0,4,4,32,40,69,9,8,10,0,0,0,5,3,9,9,9,20,0,0,0,22,16,40,1448,1465,2914,64,78,141,171,300,472,38,121,158,1015,867,1877,2730,2829,5560
801011007,10,10,10,21,0,3,3,61,63,118,24,20,43,0,0,0,5,0,7,4,14,18,0,0,3,35,34,67,10,8,22,0,0,0,0,0,0,3,21,24,0,0,6,17,31,49,1105,1108,2212,48,64,110,154,197,348,30,93,126,896,710,1605,2232,2166,4394
801011008,25,12,19,29,0,3,6,73,76,149,34,20,46,0,0,0,3,6,8,8,19,22,5,0,0,42,37,86,21,9,29,0,0,0,0,4,6,5,22,30,0,0,0,27,42,69,979,964,1945,41,65,109,134,236,372,34,121,156,729,648,1376,1919,2038,3960
801011009,12,6,19,23,4,5,10,57,61,118,24,4,26,4,0,4,0,7,8,3,17,21,0,0,0,32,23,54,9,0,7,0,0,0,3,0,3,3,10,17,0,0,0,15,15,30,771,744,1523,25,41,70,93,134,228,30,80,110,544,422,971,1465,1434,2900
801011010,10,0,9,7,0,3,4,34,33,73,15,10,27,0,0,0,0,3,6,0,4,4,0,0,0,17,15,31,6,3,11,0,0,0,0,0,0,3,5,9,0,0,0,13,5,16,456,458,908,25,33,56,68,69,134,17,31,45,321,230,555,878,825,1707
