SA2_CODE_2021,C16_AP_45_49_NCB_2,C16_AP_45_49_NCB_3,C16_AP_45_49_NCB_4,C16_AP_45_49_NCB_5,C16_AP_45_49_NCB_6mor,C16_AP_45_49_NCB_NS,C16_AP_45_49_Tot,C16_AP_50_54_NCB_0,C16_AP_50_54_NCB_1,C16_AP_50_54_NCB_2,C16_AP_50_54_NCB_3,C16_AP_50_54_NCB_4,C16_AP_50_54_NCB_5,C16_AP_50_54_NCB_6mor,C16_AP_50_54_NCB_NS,C16_AP_50_54_Tot,C16_AP_55_59_NCB_0,C16_AP_55_59_NCB_1,C16_AP_55_59_NCB_2,C16_AP_55_59_NCB_3,C16_AP_55_59_NCB_4,C16_AP_55_59_NCB_5,C16_AP_55_59_NCB_6mor,C16_AP_55_59_NCB_NS,C16_AP_55_59_Tot,C16_AP_60_64_NCB_0,C16_AP_60_64_NCB_1,C16_AP_60_64_NCB_2,C16_AP_60_64_NCB_3,C16_AP_60_64_NCB_4,C16_AP_60_64_NCB_5,C16_AP_60_64_NCB_6mor,C16_AP_60_64_NCB_NS,C16_AP_60_64_Tot,C16_AP_65_69_NCB_0,C16_AP_65_69_NCB_1,C16_AP_65_69_NCB_2,C16_AP_65_69_NCB_3,C16_AP_65_69_NCB_4,C16_AP_65_69_NCB_5,C16_AP_65_69_NCB_6mor,C16_AP_65_69_NCB_NS,C16_AP_65_69_Tot,C16_AP_70_74_NCB_0,C16_AP_70_74_NCB_1,C16_AP_70_74_NCB_2,C16_AP_70_74_NCB_3,C16_AP_70_74_NCB_4,C16_AP_70_74_NCB_5,C16_AP_70_74_NCB_6mor,C16_AP_70_74_NCB_NS,C16_AP_70_74_Tot,C16_AP_75_79_NCB_0,C16_AP_75_79_NCB_1,C16_AP_75_79_NCB_2,C16_AP_75_79_NCB_3,C16_AP_75_79_NCB_4,C16_AP_75_79_NCB_5,C16_AP_75_79_NCB_6mor,C16_AP_75_79_NCB_NS,C16_AP_75_79_Tot,C16_AP_80_84_NCB_0,C16_AP_80_84_NCB_1,C16_AP_80_84_NCB_2,C16_AP_80_84_NCB_3,C16_AP_80_84_NCB_4,C16_AP_80_84_NCB_5,C16_AP_80_84_NCB_6mor,C16_AP_80_84_NCB_NS,C16_AP_80_84_Tot,C16_AP_85over_N_c_b_0,C16_AP_85over_N_c_b_1,C16_AP_85over_N_c_b_2,C16_AP_85over_N_c_b_3,C16_AP_85over_N_c_b_4,C16_AP_85over_N_c_b_5,C16_AP_85over_N_c_b_6mor,C16_AP_85over_N_c_b_NS,C16_AP_85over_Tot,C16_AP_Tot_NCB_0,C16_AP_Tot_NCB_1,C16_AP_Tot_NCB_2,C16_AP_Tot_NCB_3,C16_AP_Tot_NCB_4,C16_AP_Tot_NCB_5,C16_AP_Tot_N_c_b_6mor,C16_AP_Tot_NCB_NS,C16_AP_Tot_Tot,C21_AP_15_19_NCB_0,C21_AP_15_19_NCB_1,C21_AP_15_19_NCB_2,C21_AP_15_19_NCB_3,C21_AP_15_19_NCB_4,C21_AP_15_19_NCB_5,C21_AP_15_19_NCB_6mor,C21_AP_15_19_NCB_NS,C21_AP_15_19_Tot,C21_AP_20_24_NCB_0,C21_AP_20_24_NCB_1,C21_AP_20_24_NCB_2,C21_AP_20_24_NCB_3,C21_AP_20_24_NCB_4,C21_AP_20_24_NCB_5,C21_AP_20_24_NCB_6mor,C21_AP_20_24_NCB_NS,C21_AP_20_24_Tot,C21_AP_25_29_NCB_0,C21_AP_25_29_NCB_1,C21_AP_25_29_NCB_2,C21_AP_25_29_NCB_3,C21_AP_25_29_NCB_4,C21_AP_25_29_NCB_5,C21_AP_25_29_NCB_6mor,C21_AP_25_29_NCB_NS,C21_AP_25_29_Tot,C21_AP_30_34_NCB_0,C21_AP_30_34_NCB_1,C21_AP_30_34_NCB_2,C21_AP_30_34_NCB_3,C21_AP_30_34_NCB_4,C21_AP_30_34_NCB_5,C21_AP_30_34_NCB_6mor,C21_AP_30_34_NCB_NS,C21_AP_30_34_Tot,C21_AP_35_39_NCB_0,C21_AP_35_39_NCB_1,C21_AP_35_39_NCB_2,C21_AP_35_39_NCB_3,C21_AP_35_39_NCB_4,C21_AP_35_39_NCB_5,C21_AP_35_39_NCB_6mor,C21_AP_35_39_NCB_NS,C21_AP_35_39_Tot,C21_AP_40_44_NCB_0,C21_AP_40_44_NCB_1,C21_AP_40_44_NCB_2,C21_AP_40_44_NCB_3,C21_AP_40_44_NCB_4,C21_AP_40_44_NCB_5,C21_AP_40_44_NCB_6mor,C21_AP_40_44_NCB_NS,C21_AP_40_44_Tot,C21_AP_45_49_NCB_0,C21_AP_45_49_NCB_1,C21_AP_45_49_NCB_2,C21_AP_45_49_NCB_3,C21_AP_45_49_NCB_4,C21_AP_45_49_NCB_5,C21_AP_45_49_NCB_6mor,C21_AP_45_49_NCB_NS,C21_AP_45_49_Tot,C21_AP_50_54_NCB_0,C21_AP_50_54_NCB_1,C21_AP_50_54_NCB_2,C21_AP_50_54_NCB_3,C21_AP_50_54_NCB_4,C21_AP_50_54_NCB_5,C21_AP_50_54_NCB_6mor,C21_AP_50_54_NCB_NS,C21_AP_50_54_Tot,C21_AP_55_59_NCB_0,C21_AP_55_59_NCB_1,C21_AP_55_59_NCB_2,C21_AP_55_59_NCB_3,C21_AP_55_59_NCB_4,C21_AP_55_59_NCB_5,C21_AP_55_59_NCB_6mor,C21_AP_55_59_NCB_NS,C21_AP_55_59_Tot,C21_AP_60_64_NCB_0,C21_AP_60_64_NCB_1,C21_AP_60_64_NCB_2,C21_AP_60_64_NCB_3,C21_AP_60_64_NCB_4,C21_AP_60_64_NCB_5,C21_AP_60_64_NCB_6mor,C21_AP_60_64_NCB_NS,C21_AP_60_64_Tot,C21_AP_65_69_NCB_0,C21_AP_65_69_NCB_1,C21_AP_65_69_NCB_2,C21_AP_65_69_NCB_3,C21_AP_65_69_NCB_4,C21_AP_65_69_NCB_5,C21_AP_65_69_NCB_6mor,C21_AP_65_69_NCB_NS,C21_AP_65_69_Tot,C21_AP_70_74_NCB_0,C21_AP_70_74_NCB_1,C21_AP_70_74_NCB_2,C21_AP_70_74_NCB_3,C21_AP_70_74_NCB_4,C21_AP_70_74_NCB_5,C21_AP_70_74_NCB_6mor,C21_AP_70_74_NCB_NS,C21_AP_70_74_Tot,C21_AP_75_79_NCB_0,C21_AP_75_79_NCB_1,C21_AP_75_79_NCB_2,C21_AP_75_79_NCB_3
801011001,40,18,3,0,0,3,88,16,8,34,22,4,0,0,3,94,16,17,35,13,3,0,0,0,89,5,9,25,15,0,0,0,3,62,4,7,35,14,7,0,0,6,76,8,6,31,16,9,0,0,0,72,0,4,14,14,12,0,0,3,43,3,4,6,13,3,3,0,0,27,0,0,11,0,4,0,7,0,28,281,113,321,152,50,11,4,41,979,74,0,0,0,0,0,0,3,82,69,0,0,0,0,0,0,4,70,48,3,0,0,0,0,0,0,63,30,14,9,3,0,0,0,0,63,15,21,35,11,0,0,0,5,89,10,17,47,18,0,0,4,4,104,14,13,40,17,3,0,0,0,88,12,7,39,19,4,0,0,3,85,14,16,36,19,0,0,0,0,87,14,16,35,18,0,0,0,3,91,4,10,30,18,0,0,0,4,68,7,10,29,13,9,0,0,5,72,10,7,28,18
801011002,23,7,3,0,0,11,120,28,24,23,7,7,0,0,6,92,22,17,24,12,7,0,0,7,87,17,5,28,19,8,0,0,12,87,9,8,19,21,11,0,0,4,74,7,4,25,19,5,3,0,12,76,4,10,3,23,8,4,0,3,65,6,6,25,9,7,0,0,10,61,7,12,33,15,12,3,5,12,93,1829,367,314,157,73,22,16,300,3071,104,0,0,0,0,0,0,8,116,647,8,3,0,0,0,0,47,709,825,67,15,0,0,0,0,65,967,430,108,45,5,7,0,0,47,629,183,86,46,9,7,0,0,15,344,99,39,41,11,0,0,0,11,208,60,27,37,21,0,3,0,8,147,40,31,22,16,5,0,0,12,125,31,28,29,6,7,3,3,3,114,22,15,24,5,4,0,0,6,91,21,14,35,19,8,0,0,3,101,6,10,26,25,8,0,0,9,87,8,5,36,23
801011003,35,13,0,0,0,8,105,24,26,50,14,3,0,0,11,123,30,24,44,24,10,4,3,5,138,16,13,46,19,3,0,0,3,105,11,21,27,20,10,0,0,11,97,12,9,21,20,0,0,0,4,71,7,0,15,20,6,4,0,6,63,6,6,9,10,0,3,0,9,36,8,0,10,4,9,5,6,48,84,1904,303,400,198,44,15,9,309,3182,299,0,0,0,0,0,0,22,321,711,4,0,0,0,0,0,52,768,473,25,4,4,0,3,0,24,534,277,83,26,0,6,0,0,22,415,136,59,63,18,7,0,0,6,282,67,39,65,23,7,0,0,8,206,47,33,62,17,3,0,0,8,164,35,22,44,16,0,0,3,0,125,26,22,47,19,8,0,0,5,124,26,23,40,21,8,0,0,11,136,12,18,53,26,9,0,0,3,118,12,22,44,21,12,0,0,7,110,21,7,30,23
801011004,26,15,7,0,0,8,83,15,6,31,15,5,0,0,6,84,11,8,38,21,13,8,0,7,101,4,16,21,19,0,10,0,8,78,4,9,27,14,4,5,0,3,72,5,10,15,14,6,0,0,6,47,0,4,7,13,5,0,0,7,40,0,0,5,6,0,0,0,0,20,0,3,6,7,0,0,0,0,18,363,156,319,169,74,29,17,84,1210,72,0,0,0,0,0,0,4,78,70,3,0,0,0,0,0,0,81,62,22,16,3,0,0,0,7,108,42,30,35,10,0,0,0,10,136,44,28,39,18,9,0,5,7,149,30,13,50,13,8,4,0,0,119,21,19,43,20,5,0,6,8,122,17,9,25,18,10,0,4,0,75,11,6,25,11,7,3,0,5,72,12,10,42,25,10,6,3,0,98,7,13,21,17,3,5,0,3,71,5,8,26,15,10,6,0,0,64,3,0,6,13
801011005,39,13,8,0,0,5,109,29,13,36,19,0,0,3,3,98,27,15,27,11,0,0,0,7,86,20,10,28,17,5,4,0,5,93,17,13,30,19,4,0,0,4,90,10,4,36,14,3,6,4,8,82,10,4,16,12,10,4,0,5,60,0,4,12,12,7,0,0,3,40,0,0,11,7,8,5,0,0,30,441,159,327,149,51,25,9,56,1212,70,0,0,0,0,0,0,8,78,53,0,0,0,0,0,0,6,56,87,3,0,0,0,0,0,0,95,65,26,20,4,0,0,0,9,122,34,37,36,12,0,0,0,4,120,25,20,41,13,6,0,0,3,114,27,18,50,18,5,3,0,5,115,35,15,40,11,0,0,0,3,105,23,19,29,16,3,5,4,0,97,26,14,22,10,8,0,0,3,86,25,9,25,19,9,0,0,6,94,16,14,30,15,7,0,0,4,91,6,4,29,19
801011006,101,55,26,3,8,8,290,34,34,82,48,12,7,5,9,226,31,12,57,50,17,0,4,5,180,11,18,53,40,12,5,4,4,147,5,15,46,29,18,3,3,4,119,3,4,19,21,11,4,0,3,67,3,5,18,5,9,3,3,5,49,0,0,12,3,7,3,3,0,35,0,0,5,0,10,0,0,0,20,843,360,790,416,176,50,33,127,2790,224,0,0,0,0,0,0,20,240,159,8,3,0,0,0,0,12,181,119,33,27,12,0,0,0,10,185,79,60,74,20,8,0,0,8,251,52,61,124,51,22,0,3,5,326,42,43,136,61,14,5,0,4,309,45,38,133,62,34,9,6,13,338,48,32,96,44,23,5,5,6,257,30,27,79,53,13,5,0,3,211,31,11,53,60,12,3,0,8,178,9,14,54,35,8,4,3,5,133,8,14,34,32,12,0,5,0,107,3,3,20,12
801011007,79,25,0,4,3,16,173,23,19,65,30,10,0,4,10,158,19,17,69,31,22,8,3,22,189,20,9,64,39,11,4,3,7,163,13,24,65,52,19,9,4,16,184,4,3,29,14,10,6,0,7,77,4,4,4,10,5,4,0,0,34,0,0,3,9,3,3,0,3,27,0,5,0,8,5,3,5,3,31,637,241,602,320,108,44,26,179,2160,147,0,0,0,0,0,0,12,161,127,4,0,0,0,0,0,8,138,125,28,20,7,0,0,0,4,180,87,32,45,15,0,3,0,6,183,44,34,80,34,10,0,0,6,208,31,31,75,33,7,5,3,8,191,30,27,96,38,9,0,3,0,201,21,23,79,28,3,4,3,4,170,15,17,53,38,11,0,0,5,149,19,20,63,27,18,5,0,6,162,18,15,59,32,11,3,4,0,141,10,21,46,49,15,4,3,0,152,7,3,26,15
801011008,61,27,9,4,0,10,156,28,28,70,36,11,0,0,5,181,25,22,84,43,19,6,0,9,205,17,29,56,41,19,0,0,6,169,14,18,52,28,7,6,0,9,141,7,9,31,15,10,4,0,8,81,0,4,18,7,6,0,0,0,46,0,6,6,8,5,6,0,0,40,0,0,4,10,3,3,3,4,33,613,263,560,294,103,32,25,114,2014,112,0,0,0,0,0,0,9,121,135,3,0,0,0,0,0,8,143,131,18,12,0,0,0,0,8,167,71,44,34,10,3,0,0,8,169,49,29,66,24,3,0,0,7,178,30,35,59,30,9,4,0,3,171,20,19,62,29,3,6,6,6,143,16,19,54,29,11,0,0,4,145,20,33,60,40,11,0,0,4,172,18,26,73,43,18,5,3,7,189,18,23,50,40,14,0,4,4,155,10,14,50,25,17,8,5,8,125,6,6,25,19
801011009,46,16,15,0,0,9,121,10,7,36,32,7,0,0,4,103,13,3,46,24,8,6,4,3,107,10,12,52,23,3,0,0,3,105,8,8,47,33,8,0,6,3,113,12,10,34,19,7,0,0,5,84,4,3,15,9,4,4,0,4,32,0,0,6,3,8,0,0,3,21,4,3,0,0,3,0,3,0,15,356,146,435,209,87,27,13,65,1344,105,0,0,0,0,0,0,5,114,95,8,0,0,0,0,0,3,103,59,10,11,7,3,0,0,4,88,46,25,34,10,0,0,0,7,120,21,25,60,28,0,4,0,4,136,14,12,52,24,11,4,3,7,125,11,19,48,28,3,4,0,3,125,7,21,55,19,16,0,0,6,112,14,8,37,27,10,5,0,0,99,8,4,49,24,5,5,3,4,107,8,7,40,22,3,0,0,3,84,7,10,43,32,16,0,0,0,107,11,4,25,12
801011010,30,15,3,0,0,4,73,9,3,26,11,6,0,0,6,63,5,6,21,19,0,0,0,3,63,12,6,28,28,12,0,0,10,96,7,6,30,18,7,0,0,6,72,0,4,9,12,0,0,0,0,32,4,0,9,7,3,0,0,4,28,0,4,0,3,0,0,0,0,10,0,0,3,4,0,0,0,0,13,214,78,256,163,48,9,5,53,826,60,0,0,0,0,0,0,0,61,44,4,0,0,0,0,0,3,51,31,6,8,0,0,0,0,6,46,15,0,16,7,0,0,0,0,45,15,12,32,13,0,0,3,3,74,12,8,35,17,3,0,0,0,80,10,12,30,13,5,3,3,0,84,15,4,28,13,3,0,0,0,61,4,7,27,9,9,5,0,0,61,6,6,19,13,7,4,0,5,59,12,5,29,26,8,0,0,0,84,3,0,27,17,7,0,0,0,63,0,0,10,14
