SA2_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
801011001,4,0,0,0,62,0,0,8,14,3,0,0,4,43,3,3,9,13,0,0,0,3,36,330,133,348,185,32,7,10,45,1090
801011002,10,5,0,0,90,3,11,14,28,15,8,0,6,74,10,8,42,22,11,3,5,9,119,2485,467,422,185,81,29,14,239,3923
801011003,3,6,0,0,91,13,8,14,17,8,0,0,0,57,4,4,19,24,13,3,7,6,83,2162,349,518,234,72,12,15,173,3541
801011004,9,0,0,0,33,0,5,3,5,3,0,0,0,25,0,0,5,10,3,0,0,0,19,399,167,336,166,76,26,21,58,1251
801011005,5,0,4,0,73,7,3,9,17,8,0,0,3,49,4,3,8,15,9,3,3,0,40,503,192,343,157,47,13,11,48,1321
801011006,12,0,0,5,57,5,0,11,3,4,3,4,3,40,0,0,0,0,9,0,5,0,16,843,355,856,434,170,39,30,97,2829
801011007,11,4,0,0,63,5,0,7,9,11,4,0,5,34,0,0,8,12,6,4,0,0,31,675,253,649,336,112,37,19,77,2166
801011008,10,4,3,0,76,0,5,10,11,3,3,0,0,37,3,4,4,12,11,5,0,0,42,638,283,565,314,117,30,19,76,2038
801011009,6,0,0,3,61,0,4,5,7,0,3,0,0,23,0,5,4,4,3,5,0,0,15,412,151,449,246,84,27,7,51,1434
801011010,0,0,0,3,33,5,0,6,3,0,0,0,0,15,0,0,3,3,0,0,0,0,5,232,78,268,158,46,12,8,25,825
801011011,3,4,0,7,39,0,7,11,3,3,0,0,0,25,0,3,5,0,3,0,0,0,14,398,172,427,199,65,16,14,51,1350
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,13,0,4,5,93,0,3,15,20,6,3,6,0,49,0,0,9,12,4,0,4,0,29,387,161,386,200,66,14,10,60,1279
801011014,9,11,6,0,85,0,3,10,17,5,3,3,0,37,0,0,4,10,0,7,6,0,27,427,167,365,206,76,30,19,40,1339
801011015,15,10,5,4,113,5,5,21,15,9,5,0,6,61,3,9,17,22,11,5,6,0,80,837,352,590,317,116,45,27,101,2387
801011016,18,4,0,0,123,4,11,27,33,13,7,0,0,95,4,8,20,17,12,5,5,6,76,875,389,930,517,160,62,30,131,3088
801011017,10,0,0,6,65,0,0,6,7,6,3,0,0,29,0,6,3,3,3,0,0,0,19,453,206,467,223,78,31,13,73,1551
801011018,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,147,151,38,12,0,0,107,1177
801011019,6,5,0,4,77,0,0,8,4,9,0,3,0,33,0,0,6,3,4,0,5,0,16,878,388,823,365,133,40,37,85,2755
801011020,12,5,3,5,73,3,5,15,11,4,5,7,0,40,0,0,11,9,0,4,5,0,28,502,167,315,135,74,17,19,72,1311
801011021,0,0,0,0,39,3,0,3,11,6,0,3,0,28,0,0,10,4,0,0,0,0,17,341,131,372,195,60,18,11,43,1174
801011022,3,3,6,3,67,3,4,22,11,4,0,5,0,43,0,0,5,4,5,3,0,0,16,381,161,404,228,73,28,11,51,1338
801011023,3,4,3,4,93,9,7,27,25,7,3,7,19,98,8,11,36,22,27,11,4,43,160,450,164,335,179,74,25,25,128,1386
801011024,3,0,0,4,45,0,0,9,7,0,0,0,0,28,0,0,4,7,3,0,0,0,16,424,188,313,148,56,17,17,70,1232
801011025,16,0,0,0,38,0,4,6,9,4,0,5,0,28,0,0,10,5,0,0,0,0,16,319,113,302,188,71,19,14,47,1070
801011026,6,3,0,5,64,0,0,18,17,6,0,0,0,44,4,3,3,10,9,6,3,0,41,333,120,351,202,73,17,5,37,1145
801011111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,6
801011142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,50,60,28,7,0,0,11,290
801011144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,10
801031031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,19,22
801031032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11
801031113,0,0,0,9,18,0,0,0,3,0,0,0,3,12,0,0,0,3,0,0,0,0,8,86,46,70,45,16,4,0,104,378
801031114,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23,5,6,4,5,0,0,8,52
801031115,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,34,16,12,11,9,0,0,19,102
801041034,7,0,3,0,53,3,4,5,9,0,3,0,0,32,0,0,7,0,0,0,0,0,18,772,343,761,305,113,23,25,87,2422
801041035,6,4,0,0,44,0,0,9,4,0,0,0,0,8,0,0,0,0,0,0,0,0,5,832,408,753,341,121,20,26,127,2635
801041036,6,0,0,0,15,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,9,847,441,731,271,61,16,11,80,2463
801041037,3,4,0,0,53,0,0,17,12,3,0,0,6,39,0,0,4,10,8,0,0,0,27,643,319,585,184,53,11,3,63,1862
801041038,0,0,0,0,22,0,0,4,0,0,0,0,0,10,0,0,0,0,6,0,0,0,4,497,256,571,214,50,10,4,67,1669
801041039,4,0,0,0,20,0,0,3,0,0,3,0,3,11,0,0,0,0,0,4,0,0,5,1362,457,675,228,59,22,6,158,2964
801041040,6,0,3,5,44,0,0,9,11,5,0,5,4,34,0,0,3,6,4,0,0,0,19,1726,554,694,303,95,23,16,175,3589
801041043,0,0,0,0,8,0,0,0,6,0,0,0,0,5,0,0,0,0,3,0,0,0,3,26,6,34,35,18,5,3,7,129
801041044,3,0,0,0,24,0,3,4,6,3,0,0,0,19,0,0,3,0,0,0,3,0,6,1321,491,776,306,85,18,16,128,3140
801041045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
801041046,17,7,7,14,142,4,9,24,27,11,0,5,9,91,0,3,7,11,9,4,3,6,45,1486,650,1218,585,202,61,38,187,4437
801041047,6,0,0,3,104,7,9,24,14,9,5,0,0,59,0,4,12,6,5,0,8,0,35,807,300,952,472,133,20,25,71,2788
801041048,7,0,0,6,62,4,4,3,14,0,3,4,0,32,6,4,6,9,4,0,5,0,33,752,346,612,317,98,33,19,86,2273
801041116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,47,69,36,4,0,3,14,272
801041119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
801041120,0,0,0,0,9,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,580,368,547,193,57,14,8,90,1853
801041121,3,3,0,0,7,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,254,171,225,72,28,14,0,41,809
801041122,3,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,258,165,252,89,25,7,5,34,834
801051049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256,5,3,6,0,0,0,302,1566
801051050,13,4,0,3,100,5,6,21,20,7,9,3,9,86,15,16,36,34,22,13,12,9,154,908,297,629,303,110,36,21,103,2415
801051051,0,0,0,0,36,4,4,12,8,3,0,0,0,33,10,4,6,7,7,0,3,0,29,2216,231,247,89,36,3,5,190,3027
801051053,0,0,0,0,20,3,3,4,0,0,0,0,0,15,0,0,0,5,0,0,0,4,8,1672,139,155,60,19,4,0,295,2343
801051054,3,0,0,0,16,0,0,3,3,5,0,0,0,23,5,0,8,7,5,4,0,0,22,872,156,225,96,31,9,3,88,1484
801051055,4,3,0,0,56,3,9,11,24,5,0,0,0,52,4,4,13,10,7,0,3,0,46,761,275,417,193,68,12,13,104,1843
801051056,3,3,0,5,51,4,4,14,19,4,9,0,3,54,4,0,7,17,8,5,3,4,51,496,159,401,173,48,14,10,60,1352
801051057,13,3,0,9,89,5,8,17,16,0,5,3,18,83,5,7,28,34,15,10,4,40,140,1338,296,504,229,73,23,18,186,2666
801051058,8,0,0,4,68,3,0,11,10,5,0,5,3,40,7,4,12,16,12,4,5,5,52,1171,290,606,262,87,16,15,105,2561
801051060,5,3,0,0,47,4,3,10,9,7,3,0,0,31,0,6,0,8,3,3,3,3,25,1455,184,274,120,26,18,3,101,2176
801051061,6,4,0,8,66,0,7,22,8,13,0,0,5,63,0,4,9,6,6,4,0,4,37,1217,413,715,265,70,17,12,133,2839
801051123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051124,3,0,0,0,62,7,6,5,18,11,0,0,11,65,4,6,17,12,17,4,3,9,78,897,234,429,224,74,19,11,87,1967
801051125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,32,40,13,0,0,0,95,573
801051126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051127,3,0,0,0,37,3,0,4,6,4,0,0,0,10,5,0,3,8,0,0,0,0,14,318,78,134,64,20,4,3,47,666
801051128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061062,3,6,0,4,85,8,3,18,22,11,0,0,0,66,12,3,25,25,16,4,3,0,88,438,165,410,220,75,21,5,71,1415
801061063,3,0,3,0,54,0,0,11,5,0,6,0,4,25,3,0,7,4,8,0,0,5,23,333,100,226,105,35,8,6,38,856
801061064,9,3,0,0,82,5,9,20,13,7,5,0,4,63,14,7,36,24,16,9,7,3,113,1067,271,520,277,87,23,16,110,2370
801061066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061067,3,3,0,21,108,3,6,25,16,11,3,3,15,85,3,8,25,23,18,11,9,66,160,942,391,713,323,113,46,31,239,2790
801061068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
801061069,3,0,0,0,36,0,0,11,18,0,0,0,4,37,7,7,16,32,16,4,5,0,92,379,139,407,225,67,17,11,54,1295
801061070,9,0,0,6,83,4,3,11,15,12,3,0,9,53,3,5,22,9,6,3,3,0,55,401,153,429,230,84,18,13,63,1386
801061129,3,0,0,7,23,0,0,0,0,0,0,0,3,12,0,0,0,5,3,0,0,0,6,485,83,148,60,24,4,0,113,918
801061130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,3,0,0,0,3,16
801061131,6,0,0,9,83,0,6,12,14,3,0,0,0,35,4,4,7,16,3,0,0,3,30,1744,351,468,189,57,10,8,305,3124
801071071,7,3,0,0,36,0,3,0,5,3,4,0,5,24,0,0,7,0,4,0,4,3,17,642,255,606,302,100,30,26,64,2029
801071072,15,0,0,0,67,0,3,9,5,9,3,5,0,32,0,0,8,0,8,3,8,0,27,511,217,477,244,115,23,7,56,1658
801071073,4,7,5,5,52,0,5,16,14,9,6,0,11,60,4,4,9,11,4,3,11,8,66,709,275,722,390,112,53,25,100,2375
801071074,6,6,0,4,51,0,3,5,4,10,3,0,0,29,0,3,3,5,4,0,3,0,20,560,294,611,356,147,29,30,79,2102
801071075,8,0,0,0,47,0,4,8,8,10,4,7,0,40,0,0,5,10,4,0,3,3,26,626,240,651,312,117,35,24,71,2079
801071076,0,5,0,0,34,0,0,7,9,3,0,0,3,24,0,0,5,5,4,0,4,0,14,299,132,435,214,65,18,9,26,1206
801071077,0,0,0,0,19,5,0,0,3,0,0,0,0,14,0,3,5,4,0,0,0,0,18,304,126,339,169,73,14,21,40,1089
801071078,13,3,0,5,106,3,3,26,28,17,3,0,12,90,0,6,24,13,7,5,6,16,82,982,425,1035,523,200,41,19,137,3359
801071079,3,0,0,3,46,3,0,10,8,4,0,0,6,23,0,0,5,4,0,0,3,5,18,355,166,407,236,65,16,20,44,1300
801071080,11,0,3,14,92,5,3,20,17,12,3,0,7,59,0,4,16,17,9,3,4,10,61,798,270,416,202,84,24,12,102,1903
801071081,17,0,0,5,73,0,4,14,11,6,6,6,0,48,0,4,8,11,15,3,7,8,54,483,221,548,267,132,27,24,76,1777
801071082,29,12,12,9,294,19,11,49,40,25,6,4,12,162,8,11,17,13,13,8,12,13,98,1859,754,1964,1018,391,108,82,287,6465
801071083,3,0,0,0,10,0,0,0,4,0,0,0,0,5,0,0,0,3,0,0,4,0,3,143,61,203,106,26,6,4,12,560
801071084,23,3,3,17,136,5,8,32,39,18,9,6,10,126,6,13,50,46,33,10,9,28,198,597,300,774,466,174,47,30,111,2502
801071085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801071086,0,0,0,0,11,5,0,4,0,0,0,0,0,11,0,0,5,0,0,0,0,0,9,172,80,215,109,55,14,7,33,676
801071087,3,0,0,0,29,0,0,11,3,3,0,0,0,14,0,3,7,3,0,0,0,0,15,327,157,350,209,72,27,7,55,1209
801071088,3,0,0,0,16,0,0,3,6,5,0,0,0,21,0,0,4,4,0,0,0,0,15,499,201,448,238,87,23,20,48,1560
801071089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,23
801071090,15,3,0,11,119,7,10,16,14,7,4,6,0,57,3,3,12,16,11,0,5,0,51,907,408,910,564,190,54,38,132,3191
801071132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
801081091,8,0,0,8,99,4,8,16,13,11,4,0,8,49,0,8,9,6,3,0,4,0,32,315,136,404,232,77,10,9,50,1231
801081092,3,0,0,0,60,6,3,14,9,3,0,3,3,36,0,3,8,8,0,5,0,4,30,448,144,443,205,67,15,14,52,1392
801081093,16,0,0,3,78,4,6,20,15,12,4,0,0,66,10,4,14,10,4,7,0,3,48,365,164,413,195,73,20,13,64,1313
801081094,9,0,6,4,65,3,0,10,14,5,0,4,0,37,4,4,6,6,7,3,0,0,33,388,154,349,186,52,14,12,58,1205
801081095,16,0,7,0,78,4,0,13,10,4,0,9,0,36,0,3,8,11,6,9,4,3,43,414,172,416,202,77,27,23,68,1402
801081096,7,3,0,3,66,0,5,15,14,4,0,8,0,50,8,7,22,22,7,8,3,6,87,250,109,314,168,71,23,19,37,981
801081097,9,0,3,3,60,0,3,10,15,3,0,4,4,39,0,3,4,7,9,4,0,6,28,333,159,314,175,54,12,11,56,1117
801081098,9,6,4,12,126,10,8,19,20,7,5,4,9,79,6,10,21,18,11,7,0,22,97,511,225,502,243,81,25,18,102,1692
801081133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801091099,8,0,0,5,57,3,0,12,10,7,3,0,3,36,0,0,6,7,0,3,8,3,34,450,163,282,129,45,13,12,58,1154
801091100,8,3,4,6,104,9,7,41,37,14,4,0,5,121,9,16,35,30,24,4,6,0,123,749,257,767,351,104,25,18,76,2341
801091101,11,0,0,0,110,5,13,28,29,17,4,0,7,112,10,3,35,16,13,4,5,18,108,430,192,507,270,102,30,12,81,1624
801091102,11,0,0,12,93,6,3,24,18,10,6,3,9,73,13,5,18,18,15,3,7,7,87,423,174,522,223,92,14,19,93,1570
801091103,12,6,0,4,62,0,3,21,24,3,8,0,5,63,10,12,30,34,16,10,5,13,141,445,183,377,220,79,26,12,64,1404
801091104,5,6,0,0,93,0,0,11,9,4,0,0,3,44,0,0,13,6,11,0,3,0,35,298,129,363,160,65,17,5,28,1062
801091105,5,4,0,7,77,3,9,23,24,7,0,5,0,70,5,7,15,8,7,4,7,3,54,508,217,347,153,58,21,10,63,1382
801091106,8,0,0,3,89,0,3,11,11,11,3,3,0,48,4,3,4,11,10,0,3,4,38,517,195,399,210,70,19,15,58,1478
801091107,0,6,0,0,27,0,0,6,4,4,5,0,0,17,0,0,3,0,0,0,0,0,8,110,39,129,65,31,15,4,14,405
801091108,12,6,0,0,83,0,3,11,9,4,6,0,5,37,7,3,6,9,3,9,0,4,42,354,131,326,184,61,30,12,54,1139
801091109,5,0,0,4,44,0,0,6,6,0,0,6,0,23,0,3,3,8,9,0,0,0,25,1436,346,325,128,33,17,3,116,2405
801091110,3,4,0,4,52,0,0,10,10,12,3,0,0,28,3,0,5,8,4,0,4,0,23,273,111,290,154,61,13,3,43,955
801101134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
801101135,3,0,0,0,13,0,0,0,4,0,0,0,0,9,0,0,0,5,0,0,0,0,5,793,315,477,144,38,13,8,88,1887
