SA2_CODE_2021,Afghanistan_C11_M,Afghanistan_C11_F,Afghanistan_C11_P,Afghanistan_C16_M,Afghanistan_C16_F,Afghanistan_C16_P,Afghanistan_C21_M,Afghanistan_C21_F,Afghanistan_C21_P,Aust_C11_M,Aust_C11_F,Aust_C11_P,Aust_C16_M,Aust_C16_F,Aust_C16_P,Aust_C21_M,Aust_C21_F,Aust_C21_P,Bangladesh_C11_M,Bangladesh_C11_F,Bangladesh_C11_P,Bangladesh_C16_M,Bangladesh_C16_F,Bangladesh_C16_P,Bangladesh_C21_M,Bangladesh_C21_F,Bangladesh_C21_P,Canada_C11_M,Canada_C11_F,Canada_C11_P,Canada_C16_M,Canada_C16_F,Canada_C16_P,Canada_C21_M,Canada_C21_F,Canada_C21_P,China_C11_M,China_C11_F,China_C11_P,China_C16_M,China_C16_F,China_C16_P,China_C21_M,China_C21_F,China_C21_P,Croatia_C11_M,Croatia_C11_F,Croatia_C11_P,Croatia_C16_M,Croatia_C16_F,Croatia_C16_P,Croatia_C21_M,Croatia_C21_F,Croatia_C21_P,Egypt_C11_M,Egypt_C11_F,Egypt_C11_P,Egypt_C16_M,Egypt_C16_F,Egypt_C16_P,Egypt_C21_M,Egypt_C21_F,Egypt_C21_P,Fiji_C11_M,Fiji_C11_F,Fiji_C11_P,Fiji_C16_M,Fiji_C16_F,Fiji_C16_P,Fiji_C21_M,Fiji_C21_F,Fiji_C21_P,Germany_C11_M,Germany_C11_F,Germany_C11_P,Germany_C16_M,Germany_C16_F,Germany_C16_P,Germany_C21_M,Germany_C21_F,Germany_C21_P,Greece_C11_M,Greece_C11_F,Greece_C11_P,Greece_C16_M,Greece_C16_F,Greece_C16_P,Greece_C21_M,Greece_C21_F,Greece_C21_P,Hong_Kong_C11_M,Hong_Kong_C11_F,Hong_Kong_C11_P,Hong_Kong_C16_M,Hong_Kong_C16_F,Hong_Kong_C16_P,Hong_Kong_C21_M,Hong_Kong_C21_F,Hong_Kong_C21_P,India_C11_M,India_C11_F,India_C11_P,India_C16_M,India_C16_F,India_C16_P,India_C21_M,India_C21_F,India_C21_P,Indonesia_C11_M,Indonesia_C11_F,Indonesia_C11_P,Indonesia_C16_M,Indonesia_C16_F,Indonesia_C16_P,Indonesia_C21_M,Indonesia_C21_F,Indonesia_C21_P,Iran_C11_Cens_M,Iran_C11_Cens_F,Iran_C11_Cens_P,Iran_C16_Cens_M,Iran_C16_Cens_F,Iran_C16_Cens_P,Iran_C21_Cens_M,Iran_C21_Cens_F,Iran_C21_Cens_P,Iraq_C11_M,Iraq_C11_F,Iraq_C11_P,Iraq_C16_M,Iraq_C16_F,Iraq_C16_P,Iraq_C21_M,Iraq_C21_F,Iraq_C21_P,Ireland_C11_M,Ireland_C11_F,Ireland_C11_P,Ireland_C16_M,Ireland_C16_F,Ireland_C16_P,Ireland_C21_M,Ireland_C21_F,Ireland_C21_P,Italy_C11_M,Italy_C11_F,Italy_C11_P,Italy_C16_M,Italy_C16_F,Italy_C16_P,Italy_C21_M,Italy_C21_F,Italy_C21_P,Japan_C11_M,Japan_C11_F,Japan_C11_P,Japan_C16_M,Japan_C16_F,Japan_C16_P,Japan_C21_M,Japan_C21_F,Japan_C21_P,Korea_C11_M,Korea_C11_F,Korea_C11_P,Korea_C16_M,Korea_C16_F,Korea_C16_P,Korea_C21_M,Korea_C21_F,Korea_C21_P,Lebanon_C11_M,Lebanon_C11_F,Lebanon_C11_P,Lebanon_C16_M,Lebanon_C16_F,Lebanon_C16_P,Lebanon_C21_M,Lebanon_C21_F,Lebanon_C21_P,Malaysia_C11_M,Malaysia_C11_F,Malaysia_C11_P,Malaysia_C16_M,Malaysia_C16_F,Malaysia_C16_P,Malaysia_C21_M,Malaysia_C21_F,Malaysia_C21_P,Nepal_C11_M,Nepal_C11_F,Nepal_C11_P,Nepal_C16_M,Nepal_C16_F,Nepal_C16_P,Nepal_C21_M,Nepal_C21_F,Nepal_C21_P,Netherlands_C11_M,Netherlands_C11_F
801011001,0,0,0,0,0,0,0,0,0,852,883,1736,858,878,1742,917,938,1854,0,0,4,0,0,0,0,3,3,6,7,11,5,8,9,6,4,10,14,23,35,42,48,92,35,41,81,3,5,8,5,5,3,0,0,7,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,11,6,20,8,9,17,3,7,16,0,0,0,0,0,4,0,3,4,4,9,13,4,7,13,3,8,6,13,16,32,10,10,15,22,19,38,3,4,4,3,3,8,0,6,7,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,6,6,9,3,5,11,0,3,6,11,11,21,6,7,13,5,11,11,3,3,7,5,0,4,7,8,8,5,7,3,4,7,10,6,3,11,0,0,0,0,0,0,0,0,0,4,4,9,3,11,15,3,3,10,0,0,0,0,0,0,12,11,18,10,5
801011002,0,3,3,6,0,10,11,7,18,1163,1112,2275,1552,1465,3018,1950,1890,3843,16,15,26,31,20,46,34,29,63,3,5,5,4,9,20,11,10,19,145,131,276,386,468,857,419,525,946,5,0,0,3,3,5,5,6,14,0,0,0,3,4,6,10,5,14,5,4,14,5,11,14,6,12,18,11,15,24,10,25,31,11,21,29,0,0,0,0,4,7,0,7,6,16,15,35,37,21,57,33,34,61,92,81,169,225,183,404,279,245,525,14,19,34,45,35,82,25,32,59,15,19,26,21,34,50,46,40,91,6,4,4,9,0,12,3,8,11,6,3,4,6,12,18,5,5,13,10,4,11,6,13,22,11,17,27,0,9,13,3,23,27,8,20,24,17,31,48,50,59,108,77,71,145,3,0,0,0,0,4,0,3,4,17,20,37,39,28,69,41,37,78,3,9,10,9,17,26,258,227,482,8,5
801011003,0,3,6,3,0,6,10,0,11,1689,1739,3426,1910,1869,3784,2101,2262,4367,4,7,14,9,14,27,31,15,41,14,9,26,13,15,32,12,10,25,236,256,491,416,420,836,213,254,470,12,14,26,0,6,13,3,3,11,0,0,0,3,6,3,3,4,7,5,8,19,6,12,16,8,11,15,16,16,30,10,9,19,14,17,33,4,0,4,3,0,5,5,0,9,34,49,88,35,27,63,24,38,57,112,62,175,125,110,238,185,177,365,15,14,29,15,28,42,14,25,43,15,14,31,26,13,42,16,16,33,0,0,4,4,3,5,0,3,8,6,4,12,7,4,14,10,7,15,19,11,29,14,7,22,17,11,32,3,6,7,4,11,13,11,9,17,44,46,92,56,43,105,22,33,59,0,0,0,0,0,8,3,7,10,32,32,64,22,35,55,35,42,79,0,0,0,12,3,13,144,118,263,3,3
801011004,4,3,3,7,0,5,8,0,14,1106,1169,2274,1121,1091,2212,1129,1140,2272,0,0,0,3,6,7,4,0,8,0,9,8,0,7,7,0,6,3,3,11,11,0,8,15,11,7,21,7,12,15,3,0,9,0,3,9,0,0,0,0,0,7,0,9,4,4,5,11,5,3,3,3,0,3,3,14,15,5,8,12,5,5,16,5,0,8,3,5,7,3,0,5,8,4,11,3,7,6,0,3,4,8,7,15,10,10,15,30,20,55,0,0,0,3,5,15,0,7,8,0,0,0,0,0,0,4,0,4,3,0,5,5,0,4,4,0,0,4,0,6,3,0,8,3,3,6,5,13,14,7,9,18,3,6,9,3,7,4,4,0,6,0,0,0,4,0,7,0,4,3,0,5,3,6,3,6,0,4,6,0,0,0,6,8,13,4,3,8,4,0,4,0,0,0,0,0,0,3,5,6,9,5
801011005,0,0,0,0,0,0,3,0,3,975,1064,2038,943,1033,1979,1015,1139,2147,0,3,4,0,0,0,0,3,0,0,3,5,3,11,13,3,5,16,32,37,71,21,41,65,15,23,41,4,3,11,0,3,7,0,3,5,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,16,14,31,13,14,24,19,14,28,7,5,15,5,8,14,6,10,12,3,3,10,6,3,9,9,7,12,16,14,34,13,14,30,21,20,43,7,10,16,15,9,22,9,12,18,0,4,7,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,3,4,0,6,6,6,9,21,6,7,16,9,9,12,0,8,12,4,9,11,0,13,17,0,9,5,4,4,5,0,10,11,0,0,0,0,0,0,0,0,0,12,8,19,6,10,23,7,11,14,0,0,0,0,0,0,0,3,5,0,12
801011006,12,19,33,29,28,51,19,18,39,2733,2759,5492,2741,2729,5472,2842,2702,5550,3,9,11,6,7,14,0,5,5,3,10,15,10,8,12,3,6,15,20,42,65,22,48,72,19,39,60,13,7,21,6,15,21,6,14,18,0,0,0,0,3,7,8,0,8,8,10,18,15,20,37,18,19,28,20,20,34,15,16,32,15,16,35,9,3,11,7,4,8,4,0,7,3,7,14,7,9,18,6,12,16,37,45,85,68,63,136,82,77,160,8,12,18,10,7,18,4,14,17,9,3,8,0,0,0,4,8,11,7,6,18,8,3,12,13,10,21,4,0,7,0,0,5,4,6,5,11,6,13,14,6,19,7,7,17,4,3,3,6,3,3,0,4,6,4,0,10,7,6,13,0,3,7,8,5,14,9,9,12,7,8,18,10,16,27,12,20,29,8,21,25,6,0,3,0,3,3,9,13,18,10,8
801011007,0,0,0,0,0,0,0,0,0,2086,2142,4231,2005,1970,3970,2245,2057,4307,6,5,14,9,5,8,5,6,9,8,3,14,7,0,10,7,0,9,33,37,74,27,38,66,34,39,76,15,19,33,14,17,30,10,10,19,0,0,4,0,0,0,0,0,0,11,5,15,5,0,5,3,6,3,17,18,32,15,19,36,17,17,37,13,11,27,14,16,27,8,10,21,3,5,12,5,9,14,10,11,19,28,22,47,32,24,57,50,35,84,5,0,5,5,0,6,10,9,20,0,0,0,3,0,3,9,4,9,0,0,0,0,0,0,0,6,6,0,3,5,0,0,4,3,0,8,21,10,32,21,16,30,20,15,32,0,3,8,0,8,12,0,10,14,12,7,17,5,7,11,6,15,22,3,6,9,6,0,5,0,3,3,14,9,28,19,8,28,20,11,32,0,0,0,3,4,7,11,4,22,7,4
801011008,8,11,17,9,5,14,6,4,15,1702,1681,3380,1561,1555,3115,1536,1594,3131,13,10,22,8,9,15,6,3,12,3,7,11,3,3,11,9,8,7,56,70,129,74,80,155,53,61,121,20,14,44,15,14,26,16,15,36,0,4,5,0,3,3,5,0,6,12,14,27,9,9,16,5,8,14,6,10,14,9,9,20,3,15,21,4,0,13,3,4,11,0,4,6,16,16,30,13,21,35,14,17,26,56,45,101,56,51,108,84,69,156,7,3,13,3,10,15,8,14,16,5,6,6,0,4,5,4,3,8,0,0,3,0,3,4,6,3,12,7,6,14,10,6,16,6,7,8,19,23,39,19,25,44,23,23,44,6,9,15,0,10,10,0,9,9,3,8,9,8,13,18,4,8,12,3,3,6,4,0,7,3,0,6,16,24,38,15,17,26,11,23,35,0,0,0,9,12,19,37,30,62,4,10
801011009,4,5,4,0,0,0,0,0,0,1332,1339,2671,1348,1309,2656,1435,1416,2850,0,3,6,6,3,4,0,0,4,0,5,9,0,0,4,4,7,13,13,16,25,11,16,28,16,14,28,8,7,16,4,7,10,3,7,12,0,0,3,3,0,4,0,0,0,6,5,15,3,9,11,5,3,7,10,12,26,9,15,27,11,13,18,7,3,14,4,3,8,4,8,12,9,6,9,0,5,7,3,4,6,4,4,8,10,10,13,35,17,53,5,3,3,0,4,5,5,4,6,0,0,0,7,0,7,4,0,8,0,0,0,5,0,8,5,0,4,6,4,11,7,4,8,6,8,13,19,13,30,12,7,18,8,9,19,0,3,3,0,3,3,0,6,6,0,3,3,0,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,8,5,5,5,14,11,6,17,0,0,0,0,0,0,4,5,7,7,3
801011010,0,0,0,0,0,0,7,4,6,892,873,1762,788,827,1620,883,850,1728,0,0,0,0,0,0,0,0,0,0,3,6,0,4,4,0,0,0,3,6,12,7,4,11,3,10,15,0,4,4,0,4,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,23,5,7,16,7,6,17,3,0,3,0,0,0,0,0,0,0,0,0,0,5,5,0,7,5,5,0,9,5,3,9,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,4,4,4,9,5,4,9,8,4,11,9,9,14,4,0,4,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,5,11,3,3,6,6,3,9,0,0,0,0,0,0,5,0,4,0,5
