SA2_CODE_2021,Netherlands_C11_P,Netherlands_C16_M,Netherlands_C16_F,Netherlands_C16_P,Netherlands_C21_M,Netherlands_C21_F,Netherlands_C21_P,New_Zealand_C11_M,New_Zealand_C11_F,New_Zealand_C11_P,New_Zealand_C16_M,New_Zealand_C16_F,New_Zealand_C16_P,New_Zealand_C21_M,New_Zealand_C21_F,New_Zealand_C21_P,Pakistan_C11_M,Pakistan_C11_F,Pakistan_C11_P,Pakistan_C16_M,Pakistan_C16_F,Pakistan_C16_P,Pakistan_C21_M,Pakistan_C21_F,Pakistan_C21_P,Philippines_C11_M,Philippines_C11_F,Philippines_C11_P,Philippines_C16_M,Philippines_C16_F,Philippines_C16_P,Philippines_C21_M,Philippines_C21_F,Philippines_C21_P,Poland_C11_M,Poland_C11_F,Poland_C11_P,Poland_C16_M,Poland_C16_F,Poland_C16_P,Poland_C21_M,Poland_C21_F,Poland_C21_P,Singapore_C11_M,Singapore_C11_F,Singapore_C11_P,Singapore_C16_M,Singapore_C16_F,Singapore_C16_P,Singapore_C21_M,Singapore_C21_F,Singapore_C21_P,South_Africa_C11_M,South_Africa_C11_F,South_Africa_C11_P,South_Africa_C16_M,South_Africa_C16_F,South_Africa_C16_P,South_Africa_C21_M,South_Africa_C21_F,South_Africa_C21_P,Sri_Lanka_C11_M,Sri_Lanka_C11_F,Sri_Lanka_C11_P,Sri_Lanka_C16_M,Sri_Lanka_C16_F,Sri_Lanka_C16_P,Sri_Lanka_C21_M,Sri_Lanka_C21_F,Sri_Lanka_C21_P,Taiwan_C11_M,Taiwan_C11_F,Taiwan_C11_P,Taiwan_C16_M,Taiwan_C16_F,Taiwan_C16_P,Taiwan_C21_M,Taiwan_C21_F,Taiwan_C21_P,Thailand_C11_M,Thailand_C11_F,Thailand_C11_P,Thailand_C16_M,Thailand_C16_F,Thailand_C16_P,Thailand_C21_M,Thailand_C21_F,Thailand_C21_P,Unitd_Kingdom_C11_M,Unitd_Kingdom_C11_F,Unitd_Kingdom_C11_P,Unitd_Kingdom_C16_M,Unitd_Kingdom_C16_F,Unitd_Kingdom_C16_P,Unitd_Kingdom_C21_M,Unitd_Kingdom_C21_F,Unitd_Kingdom_C21_P,Unit_Sts_Amer_C11_M,Unit_Sts_Amer_C11_F,Unit_Sts_Amer_C11_P,Unit_Sts_Amer_C16_M,Unit_Sts_Amer_C16_F,Unit_Sts_Amer_C16_P,Unit_Sts_Amer_C21_M,Unit_Sts_Amer_C21_F,Unit_Sts_Amer_C21_P,Vietnam_C11_M,Vietnam_C11_F,Vietnam_C11_P,Vietnam_C16_M,Vietnam_C16_F,Vietnam_C16_P,Vietnam_C21_M,Vietnam_C21_F,Vietnam_C21_P,Born_elsewhere_C11_M,Born_elsewhere_C11_F,Born_elsewhere_C11_P,Born_elsewhere_C16_M,Born_elsewhere_C16_F,Born_elsewhere_C16_P,Born_elsewhere_C21_M,Born_elsewhere_C21_F,Born_elsewhere_C21_P,Country_birt_ns_C11_M,Country_birt_ns_C11_F,Country_birt_ns_C11_P,Country_birt_ns_C16_M,Country_birt_ns_C16_F,Country_birt_ns_C16_P,Country_birt_ns_C21_M,Country_birt_ns_C21_F,Country_birt_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
801011001,10,4,0,7,0,4,7,15,15,32,16,11,27,22,21,37,0,0,6,0,0,0,5,0,3,4,0,7,0,3,0,0,6,6,3,7,11,4,0,8,8,0,11,0,3,3,0,3,6,4,5,4,3,5,3,0,7,6,4,9,11,0,6,8,3,10,17,5,5,10,0,0,0,6,0,5,5,3,3,3,0,4,6,4,8,7,0,8,80,74,155,61,58,125,63,80,139,20,20,43,10,16,24,19,19,42,5,5,6,9,6,12,4,6,8,41,55,100,49,63,108,71,66,130,76,95,167,41,38,80,39,45,84,1202,1279,2479,1171,1227,2397,1270,1335,2605
801011002,10,4,7,11,6,11,15,25,19,40,35,46,73,40,43,83,17,14,32,37,24,61,51,37,87,21,36,56,47,75,125,81,128,208,5,6,13,13,14,31,10,16,29,13,9,19,17,20,36,17,9,28,8,13,15,11,11,24,17,18,35,17,16,33,21,29,46,38,28,65,6,11,12,14,17,29,16,19,32,3,5,8,14,30,47,14,34,47,60,75,135,84,86,168,109,99,205,22,19,40,22,34,55,23,37,65,34,35,71,35,68,103,47,79,121,173,150,321,215,188,395,288,306,591,328,269,589,291,270,552,194,180,378,2275,2165,4436,3326,3328,6651,4202,4296,8502
801011003,9,8,10,18,5,15,16,45,20,68,29,40,72,34,42,80,21,6,24,31,5,38,35,29,67,19,18,33,48,67,116,26,61,85,4,8,6,8,9,20,4,11,14,10,8,17,12,11,19,15,12,30,14,19,35,11,23,30,19,24,43,33,31,66,38,37,72,41,48,87,4,7,12,4,7,15,9,10,21,14,18,31,13,29,34,15,27,41,61,75,132,81,84,174,92,90,185,13,20,41,30,28,57,33,40,74,39,48,85,34,50,85,46,71,117,179,160,337,193,182,374,224,246,466,448,482,934,247,271,515,118,122,238,3165,3225,6390,3497,3502,6996,3600,3914,7520
801011004,18,8,4,12,8,4,11,13,18,30,14,26,39,18,16,30,0,0,0,0,5,8,8,9,18,24,34,55,18,36,53,19,43,66,0,7,5,0,0,0,0,0,0,3,0,3,0,4,3,0,3,4,12,7,15,3,4,10,10,8,14,8,4,14,0,0,4,0,0,3,0,0,0,0,0,0,0,4,4,4,11,15,0,8,12,0,12,15,58,48,106,53,47,92,45,36,82,3,10,10,8,5,14,8,6,10,11,9,23,8,23,33,11,15,27,68,82,151,74,82,158,81,111,192,87,96,191,86,98,180,61,59,117,1488,1584,3066,1465,1509,2979,1499,1552,3055
801011005,11,3,6,5,4,5,10,20,17,36,13,13,26,14,18,32,5,0,3,8,8,17,0,0,0,6,7,9,3,9,13,10,12,19,3,6,10,5,6,5,5,0,3,0,0,3,0,6,0,6,3,4,5,4,4,4,0,5,10,3,13,9,11,19,11,5,24,4,0,12,0,0,4,0,0,0,0,0,0,5,6,8,7,7,12,7,12,16,109,74,183,96,72,165,81,72,153,9,25,33,15,19,34,11,31,44,0,6,7,0,4,6,3,6,13,72,73,147,64,61,124,70,72,142,50,52,109,61,61,121,47,52,99,1404,1504,2901,1347,1460,2804,1391,1570,2965
801011006,16,8,7,12,3,0,6,37,30,72,34,35,69,24,33,57,17,26,39,23,20,40,20,22,44,28,32,61,29,44,74,32,47,86,12,5,18,12,6,16,15,3,17,10,11,16,5,14,20,6,8,13,10,15,29,10,15,23,11,18,30,13,11,19,9,12,20,16,17,30,0,4,7,3,10,11,3,9,11,7,13,21,13,21,31,20,30,47,112,140,249,87,111,204,89,114,202,18,12,32,15,9,27,8,13,24,33,45,83,31,37,64,28,37,60,168,170,332,143,171,312,165,186,356,104,93,198,131,139,274,98,94,192,3506,3601,7108,3534,3663,7199,3633,3632,7265
801011007,8,4,11,8,3,8,11,34,17,54,25,17,44,30,20,55,9,4,13,6,8,15,13,0,17,11,10,21,8,11,17,10,18,30,0,0,5,4,7,8,0,4,4,0,10,10,4,3,9,4,9,12,5,7,12,7,12,17,9,12,22,3,10,14,6,9,13,6,12,19,0,0,0,3,4,7,0,0,0,0,0,0,3,5,11,0,13,13,104,98,197,91,91,180,81,74,152,16,17,34,20,12,29,20,15,36,29,23,52,22,27,48,20,34,50,120,126,251,108,124,226,112,126,238,69,61,134,173,175,354,61,52,116,2693,2722,5417,2672,2653,5329,2863,2667,5531
801011008,12,4,8,8,0,3,5,20,30,48,27,30,60,33,36,62,14,11,26,31,20,53,27,19,44,36,41,80,22,45,68,31,51,83,11,14,28,11,17,24,13,15,21,3,4,10,3,3,10,0,5,6,8,11,18,8,5,14,12,12,25,22,19,44,28,25,48,17,20,32,0,0,0,0,0,0,0,0,3,5,7,10,4,13,15,9,8,16,86,87,170,78,71,151,78,63,143,12,13,25,11,8,22,12,5,15,66,88,158,63,86,149,62,90,156,122,145,275,120,136,250,130,148,274,114,92,211,106,113,215,67,66,137,2483,2561,5039,2333,2432,4769,2316,2464,4781
801011009,17,11,7,11,3,0,6,22,7,32,20,17,38,22,32,49,0,0,0,0,0,0,18,6,23,7,7,19,3,4,10,8,15,20,7,5,7,0,9,6,0,0,10,10,0,11,13,3,7,5,4,12,7,7,14,11,3,15,8,8,13,4,4,7,4,0,0,3,5,8,0,0,0,0,0,0,0,5,3,0,12,9,0,4,4,4,6,8,76,60,136,67,56,121,56,67,124,3,6,13,3,15,20,6,15,29,9,6,12,4,9,15,9,12,19,73,68,133,69,57,127,86,78,163,145,128,276,61,64,129,51,41,92,1788,1763,3554,1692,1664,3355,1849,1821,3671
801011010,5,0,0,4,4,0,0,14,9,21,13,13,23,15,7,20,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,4,4,0,0,0,0,0,5,0,0,6,0,3,3,0,0,0,0,3,3,3,4,8,11,8,15,3,5,8,0,0,0,4,0,4,3,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,65,59,124,65,63,125,62,48,113,6,3,7,9,7,9,6,3,13,0,0,0,0,0,0,0,3,3,32,26,58,29,18,41,42,30,66,25,9,34,45,47,91,20,20,42,1076,1044,2124,1005,1026,2027,1101,1035,2126
