SA2_CODE_2021,C21_Aus_Bplace_NS,C21_Aus_Tot_resp,C21_Aus_Ab_BP_B_OS,C21_Aus_Ab_Fa_O_B_OS,C21_Aus_Ab_Mo_O_B_OS,C21_Aus_Ab_BP_B_Aus,C21_Aus_Abor_Bplace_NS,C21_Aus_Abor_Tot_respons,C21_Chi_BP_B_OS,C21_Chi_Fa_O_B_OS,C21_Chi_Mo_O_B_OS,C21_Chi_BP_B_Aus,C21_Chi_Bplace_NS,C21_Chi_Tot_resp,C21_Cro_BP_B_OS,C21_Cro_Fa_O_B_OS,C21_Cro_Mo_O_B_OS,C21_Cro_BP_B_Aus,C21_Cro_Bplace_NS,C21_Cro_Tot_resp,C21_Dut_BP_B_OS,C21_Dut_Fa_O_B_OS,C21_Dut_Mo_O_B_OS,C21_Dut_BP_B_Aus,C21_Dut_Bplace_NS,C21_Dut_Tot_resp,C21_Eng_BP_B_OS,C21_Eng_Fa_O_B_OS,C21_Eng_Mo_O_B_OS,C21_Eng_BP_B_Aus,C21_Eng_Bplace_NS,C21_Eng_Tot_resp,C21_Fil_BP_B_OS,C21_Fil_Fa_O_B_OS,C21_Fil_Mo_O_B_OS,C21_Fil_BP_B_Aus,C21_Fil_Bplace_NS,C21_Fil_Tot_resp,C21_Fre_BP_B_OS,C21_Fre_Fa_O_B_OS,C21_Fre_Mo_O_B_OS,C21_Fre_BP_B_Aus,C21_Fre_Bplace_NS,C21_Fre_Tot_resp,C21_Ger_BP_B_OS,C21_Ger_Fa_O_B_OS,C21_Ger_Mo_O_B_OS,C21_Ger_BP_B_Aus,C21_Ger_Bplace_NS,C21_Ger_Tot_resp,C21_Gre_BP_B_OS,C21_Gre_Fa_O_B_OS,C21_Gre_Mo_O_B_OS,C21_Gre_BP_B_Aus,C21_Gre_Bplace_NS,C21_Gre_Tot_resp,C21_Hun_BP_B_OS,C21_Hun_Fa_O_B_OS,C21_Hun_Mo_O_B_OS,C21_Hun_BP_B_Aus,C21_Hun_Bplace_NS,C21_Hun_Tot_resp,C21_Ind_BP_B_OS,C21_Ind_Fa_O_B_OS,C21_Ind_Mo_O_B_OS,C21_Ind_BP_B_Aus,C21_Ind_Bplace_NS,C21_Ind_Tot_resp,C21_Iri_BP_B_OS,C21_Iri_Fa_O_B_OS,C21_Iri_Mo_O_B_OS,C21_Iri_BP_B_Aus,C21_Iri_Bplace_NS,C21_Iri_Tot_resp,C21_Ita_BP_B_OS,C21_Ita_Fa_O_B_OS,C21_Ita_Mo_O_B_OS,C21_Ita_BP_B_Aus,C21_Ita_Bplace_NS,C21_Ita_Tot_resp,C21_Kor_BP_B_OS,C21_Kor_Fa_O_B_OS,C21_Kor_Mo_O_B_OS,C21_Kor_BP_B_Aus,C21_Kor_Bplace_NS,C21_Kor_Tot_resp,C21_Leb_BP_B_OS,C21_Leb_Fa_O_B_OS,C21_Leb_Mo_O_B_OS,C21_Leb_BP_B_Aus,C21_Leb_Bplace_NS,C21_Leb_Tot_resp,C21_Mac_BP_B_OS,C21_Mac_Fa_O_B_OS,C21_Mac_Mo_O_B_OS,C21_Mac_BP_B_Aus,C21_Mac_Bplace_NS,C21_Mac_Tot_resp,C21_Mal_BP_B_OS,C21_Mal_Fa_O_B_OS,C21_Mal_Mo_O_B_OS,C21_Mal_BP_B_Aus,C21_Mal_Bplace_NS,C21_Mal_Tot_resp,C21_Mao_BP_B_OS,C21_Mao_Fa_O_B_OS,C21_Mao_Mo_O_B_OS,C21_Mao_BP_B_Aus,C21_Mao_Bplace_NS,C21_Mao_Tot_resp,C21_NZ_BP_B_OS,C21_NZ_Fa_O_B_OS,C21_NZ_Mo_O_B_OS,C21_NZ_BP_B_Aus,C21_NZ_Bplace_NS,C21_NZ_Tot_resp,C21_Pol_BP_B_OS,C21_Pol_Fa_O_B_OS,C21_Pol_Mo_O_B_OS,C21_Pol_BP_B_Aus,C21_Pol_Bplace_NS,C21_Pol_Tot_resp,C21_Rus_BP_B_OS,C21_Rus_Fa_O_B_OS,C21_Rus_Mo_O_B_OS,C21_Rus_BP_B_Aus,C21_Rus_Birthplac_ns,C21_Rus_Tot_resp,C21_Sam_BP_B_OS,C21_Sam_Fa_O_B_OS,C21_Sam_Mo_O_B_OS,C21_Sam_BP_B_Aus,C21_Sam_Birthplac_ns,C21_Sam_Tot_resp,C21_Sco_BP_B_OS,C21_Sco_Fa_O_B_OS,C21_Sco_Mo_O_B_OS,C21_Sco_BP_B_Aus,C21_Sco_Birthplac_ns,C21_Sco_Tot_resp,C21_Ser_BP_B_OS,C21_Ser_Fa_O_B_OS,C21_Ser_Mo_O_B_OS,C21_Ser_BP_B_Aus,C21_Ser_Bplace_NS,C21_Ser_Tot_resp,C21_SAf_BP_B_OS,C21_SAf_Fa_O_B_OS,C21_SAf_Mo_O_B_OS,C21_SAf_BP_B_Aus,C21_SAf_Bplace_NS,C21_SAf_Tot_resp,C21_Span_BP_B_OS,C21_Span_Fa_O_B_OS,C21_Span_Mo_O_B_OS,C21_Span_BP_B_Aus,C21_Span_Bplace_NS,C21_Span_Tot_resp,C21_SriL_BP_B_OS,C21_SriL_Fa_O_B_OS,C21_SriL_Mo_O_B_OS,C21_SriL_BP_B_Aus,C21_SriL_Bplace_NS,C21_SriL_Tot_resp,C21_Viet_BP_B_OS,C21_Viet_Fa_O_B_OS,C21_Viet_Mo_O_B_OS,C21_Viet_BP_B_Aus,C21_Viet_Bplace_NS,C21_Viet_Tot_resp,C21_Wel_BP_B_OS,C21_Wel_Fa_O_B_OS,C21_Wel_Mo_O_B_OS,C21_Wel_BP_B_Aus,C21_Wel_Bplace_NS,C21_Wel_Tot_resp,C21_Oth_BP_B_OS,C21_Oth_Fa_O_B_OS,C21_Oth_Mo_O_B_OS,C21_Oth_BP_B_Aus,C21_Oth_Bplace_NS,C21_Oth_Tot_resp,C21_Anc_ns_BP_B_OS,C21_Anc_ns_Fa_O_B_OS,C21_Anc_ns_Mo_O_B_OS,C21_Anc_ns_BP_B_Aus,C21_Anc_ns_Bplace_NS,C21_Anc_NS_Tot_resp,C21_Tot_P_BP_B_OS,C21_Tot_P_Fa_O_B_OS,C21_Tot_P_Mo_O_B_OS,C21_Tot_P_BP_B_Aus,C21_Tot_P_Bplace_NS,C21_Tot_P_Tot_resp
801011001,5,936,0,0,0,30,0,32,157,0,8,7,0,172,17,3,0,3,0,23,9,8,5,20,0,49,191,107,99,594,3,988,4,0,0,0,0,12,8,0,0,10,0,19,35,11,7,63,0,124,9,5,3,0,0,16,9,0,0,8,0,16,54,10,5,0,0,63,45,37,19,273,0,375,35,15,3,29,0,81,11,0,4,0,0,20,3,3,0,0,0,9,0,0,0,0,0,4,3,0,4,0,0,5,0,0,0,3,0,8,10,5,3,0,0,17,20,3,9,8,0,42,3,0,0,0,0,11,5,0,0,0,0,4,55,23,24,240,0,334,7,0,0,0,0,3,0,0,0,0,0,10,7,3,0,0,0,9,5,0,0,0,0,5,13,0,0,3,0,16,3,11,4,14,0,29,199,31,25,65,5,319,10,0,0,6,73,86,783,230,192,1310,92,2605
801011002,4,1690,6,3,3,117,0,127,1268,12,14,16,4,1309,13,6,3,9,0,32,39,10,8,29,0,90,388,203,192,1106,7,1886,230,5,16,0,0,257,11,0,0,12,0,28,65,24,27,157,0,265,14,11,0,27,0,52,15,3,6,3,0,19,535,4,9,3,0,550,99,46,37,483,0,663,61,18,19,71,0,172,154,0,0,0,0,165,10,0,0,9,0,20,12,3,0,0,0,11,4,8,5,21,0,39,10,3,4,0,0,20,15,4,12,4,0,34,34,8,11,23,0,75,13,4,8,6,0,32,16,0,0,0,0,16,95,60,51,434,4,642,23,0,0,6,0,37,25,0,4,0,0,28,63,3,3,3,0,76,42,0,3,3,0,49,144,0,9,0,5,156,15,0,3,20,0,41,1862,63,83,100,8,2110,68,3,0,12,391,474,4838,394,403,2443,423,8502
801011003,24,2031,3,4,8,81,0,95,772,9,23,20,0,829,24,0,0,13,0,43,35,24,19,49,0,123,381,238,197,1324,18,2148,97,0,14,0,0,116,25,6,7,17,0,50,68,31,18,176,0,292,25,10,5,36,0,81,8,12,5,11,0,27,418,10,0,3,0,428,96,40,43,552,0,732,71,29,13,100,0,217,61,0,0,0,0,66,13,0,0,5,0,24,11,0,0,4,0,13,5,4,0,15,0,28,7,4,3,0,0,12,20,11,3,4,0,39,40,6,6,19,0,71,26,0,0,7,0,37,12,4,5,0,3,17,94,56,71,476,0,694,15,0,0,8,0,23,29,0,8,0,0,40,38,3,6,9,0,45,51,0,0,0,0,56,139,0,12,3,0,153,13,5,0,21,0,39,1276,85,83,108,4,1559,50,0,0,21,242,316,3418,473,418,2920,289,7520
801011004,4,1078,0,8,5,109,8,126,56,3,0,8,3,73,9,0,0,4,0,17,23,12,11,15,0,61,139,138,91,737,15,1123,68,0,15,5,0,89,6,5,0,6,0,18,37,12,10,83,0,147,15,5,0,8,0,22,3,6,0,0,0,8,54,0,0,0,0,51,26,24,28,281,0,356,42,6,11,34,0,92,3,0,0,6,0,11,11,0,0,0,0,6,0,0,0,0,0,4,0,0,0,3,0,11,11,0,3,0,0,22,11,5,0,4,0,24,9,3,4,8,0,20,10,4,0,3,0,16,7,0,0,0,0,3,35,37,18,210,0,299,7,0,0,0,0,10,8,3,0,0,0,8,21,0,0,3,0,25,0,0,0,0,0,0,32,0,0,0,0,32,7,0,0,17,0,22,364,32,38,60,8,496,21,0,0,26,113,161,868,235,188,1621,141,3055
801011005,0,1017,0,0,0,26,0,26,77,5,7,18,0,104,16,0,3,5,0,27,23,12,5,13,0,58,247,155,116,663,4,1181,20,0,9,0,0,26,17,7,3,14,0,41,47,19,19,75,0,155,28,7,4,14,0,55,12,4,0,7,0,20,45,0,0,3,0,47,56,49,25,327,0,455,33,16,3,32,0,88,12,0,0,0,0,10,3,0,0,3,0,12,3,0,0,0,0,3,0,0,0,8,0,11,9,5,0,0,0,17,8,6,4,0,0,14,21,0,4,17,0,44,17,3,4,3,0,31,0,0,0,0,0,0,60,33,44,265,0,402,7,0,0,0,0,13,9,6,0,0,0,13,14,0,0,0,0,14,14,0,0,0,0,18,6,0,11,3,0,15,12,3,6,19,0,39,247,42,51,54,4,392,7,4,0,9,96,113,845,293,235,1480,104,2965
801011006,6,2835,5,14,9,187,0,210,144,3,25,15,0,190,43,9,9,23,0,93,45,12,12,56,0,123,361,239,209,1691,8,2503,103,0,18,14,0,128,17,0,0,17,0,40,67,35,27,185,0,311,25,15,3,33,0,75,17,0,6,13,0,36,233,10,5,0,0,253,70,54,39,571,0,731,73,24,19,97,0,215,5,0,6,0,0,18,22,11,0,4,0,34,17,3,0,0,0,16,8,4,4,22,0,34,0,0,0,0,0,8,11,14,16,15,0,55,47,9,3,26,0,91,10,7,7,10,0,34,16,0,0,0,0,21,84,60,51,479,0,683,17,4,0,0,0,27,8,0,5,0,0,13,28,3,5,6,0,36,28,0,0,0,0,34,93,0,0,0,0,94,19,4,3,12,0,42,891,72,91,123,0,1174,27,0,3,33,175,247,2197,515,473,3888,195,7265
801011007,12,2151,0,3,5,94,0,108,158,14,19,22,0,215,67,9,4,40,0,119,41,18,10,23,0,94,277,212,163,1315,6,1978,45,0,3,0,0,54,11,3,3,15,0,26,75,26,28,162,0,293,37,4,6,26,0,69,16,7,0,7,0,28,99,10,0,7,0,120,73,51,30,591,0,745,96,25,17,85,0,216,24,0,0,0,0,24,3,0,0,5,0,11,5,0,4,3,0,14,6,3,0,3,0,15,9,0,8,5,0,22,13,8,0,4,0,21,34,7,5,19,0,66,15,0,0,8,0,24,9,5,0,4,0,21,76,60,44,453,3,633,15,5,0,0,0,13,16,4,0,0,0,15,24,0,0,13,0,30,12,0,0,0,0,18,51,3,10,0,0,65,16,9,8,26,0,58,434,68,66,87,0,665,25,0,0,31,107,161,1482,435,344,3138,125,5531
801011008,0,1446,4,4,0,78,0,91,264,0,8,10,0,293,55,15,0,19,0,90,32,14,9,29,0,86,281,142,105,927,6,1457,87,0,9,0,0,102,18,5,6,12,0,34,50,19,14,103,0,182,24,0,7,19,0,49,12,3,0,12,0,28,168,3,3,0,0,177,59,54,32,404,0,540,97,13,15,67,0,193,9,0,0,0,0,9,14,0,0,7,0,20,13,0,0,0,0,16,3,4,0,4,0,12,9,0,0,0,0,9,10,4,4,7,0,24,26,4,8,7,0,47,19,0,0,4,0,22,0,0,0,0,0,4,66,55,22,289,0,435,15,0,0,4,0,22,11,0,0,0,0,14,20,5,0,0,0,26,14,0,0,0,0,16,207,7,11,0,3,224,9,8,4,15,0,33,624,55,40,79,11,807,47,0,5,7,123,186,1997,327,260,2060,147,4781
801011009,4,1379,0,9,0,78,0,81,72,3,3,6,0,89,22,4,0,10,0,43,25,15,13,29,0,86,196,155,116,987,0,1458,28,0,6,0,0,34,15,0,0,3,0,16,38,23,10,97,0,170,19,3,0,19,0,43,9,3,0,4,0,18,61,0,0,8,0,66,74,30,28,402,0,537,45,12,14,65,4,139,4,0,4,0,0,6,0,0,3,0,0,9,9,0,0,0,0,9,5,3,0,11,0,19,7,0,0,0,0,10,19,5,11,10,0,40,19,9,3,12,0,47,11,0,0,0,0,12,10,0,0,0,0,10,47,36,25,300,0,400,12,0,0,0,0,14,9,0,0,0,0,17,15,3,7,5,0,32,0,0,0,0,0,0,27,0,3,0,0,31,13,11,5,28,0,53,318,55,33,68,0,478,4,3,0,11,94,114,927,304,223,2110,104,3671
801011010,0,891,0,3,0,35,0,41,27,0,0,4,0,34,3,0,0,10,0,17,15,11,4,19,0,42,159,90,89,594,5,935,7,0,3,5,0,16,0,4,0,0,0,5,46,14,8,65,0,128,12,9,0,8,0,27,0,0,0,0,0,3,14,0,0,0,0,23,39,28,14,223,0,298,7,12,0,12,0,40,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,8,7,3,0,3,0,11,15,5,0,5,0,21,5,0,0,0,0,3,0,0,0,0,0,9,51,18,15,197,0,285,8,0,0,0,0,8,4,0,0,0,0,4,5,0,0,0,0,3,4,0,0,0,0,8,5,0,0,3,0,14,4,4,0,14,0,26,134,32,22,40,5,236,0,0,0,13,41,53,460,192,151,1277,49,2126
