SA2_CODE_2021,Uses_Engl_only_C11_M,Uses_Engl_only_C11_F,Uses_Engl_only_C11_P,Uses_Engl_only_C16_M,Uses_Engl_only_C16_F,Uses_Engl_only_C16_P,Uses_Engl_only_C21_M,Uses_Engl_only_C21_F,Uses_Engl_only_C21_P,UOL_Arabic_C11_M,UOL_Arabic_C11_F,UOL_Arabic_C11_P,UOL_Arabic_C16_M,UOL_Arabic_C16_F,UOL_Arabic_C16_P,UOL_Arabic_C21_M,UOL_Arabic_C21_F,UOL_Arabic_C21_P,UOL_Aus_In_La_C11_M,UOL_Aus_In_La_C11_F,UOL_Aus_In_La_C11_P,UOL_Aus_In_La_C16_M,UOL_Aus_In_La_C16_F,UOL_Aus_In_La_C16_P,UOL_Aus_In_La_C21_M,UOL_Aus_In_La_C21_F,UOL_Aus_In_La_C21_P,UOL_Bengali_C11_M,UOL_Bengali_C11_F,UOL_Bengali_C11_P,UOL_Bengali_C16_M,UOL_Bengali_C16_F,UOL_Bengali_C16_P,UOL_Bengali_C21_M,UOL_Bengali_C21_F,UOL_Bengali_C21_P,UOL_Canton_C11_M,UOL_Canton_C11_F,UOL_Canton_C11_P,UOL_Canton_C16_M,UOL_Canton_C16_F,UOL_Canton_C16_P,UOL_Canton_C21_M,UOL_Canton_C21_F,UOL_Canton_C21_P,UOL_Mandar_C11_M,UOL_Mandar_C11_F,UOL_Mandar_C11_P,UOL_Mandar_C16_M,UOL_Mandar_C16_F,UOL_Mandar_C16_P,UOL_Mandar_C21_M,UOL_Mandar_C21_F,UOL_Mandar_C21_P,UOL_CL_Oth_C11_M,UOL_CL_Oth_C11_F,UOL_CL_Oth_C11_P,UOL_CL_Oth_C16_M,UOL_CL_Oth_C16_F,UOL_CL_Oth_C16_P,UOL_CL_Oth_C21_M,UOL_CL_Oth_C21_F,UOL_CL_Oth_C21_P,UOL_CL_Tot_C11_M,UOL_CL_Tot_C11_F,UOL_CL_Tot_C11_P,UOL_CL_Tot_C16_M,UOL_CL_Tot_C16_F,UOL_CL_Tot_C16_P,UOL_CL_Tot_C21_M,UOL_CL_Tot_C21_F,UOL_CL_Tot_C21_P,UOL_Croatian_C11_M,UOL_Croatian_C11_F,UOL_Croatian_C11_P,UOL_Croatian_C16_M,UOL_Croatian_C16_F,UOL_Croatian_C16_P,UOL_Croatian_C21_M,UOL_Croatian_C21_F,UOL_Croatian_C21_P,UOL_Filipino_C11_M,UOL_Filipino_C11_F,UOL_Filipino_C11_P,UOL_Filipino_C16_M,UOL_Filipino_C16_F,UOL_Filipino_C16_P,UOL_Filipino_C21_M,UOL_Filipino_C21_F,UOL_Filipino_C21_P,UOL_French_C11_M,UOL_French_C11_F,UOL_French_C11_P,UOL_French_C16_M,UOL_French_C16_F,UOL_French_C16_P,UOL_French_C21_M,UOL_French_C21_F,UOL_French_C21_P,UOL_German_C11_M,UOL_German_C11_F,UOL_German_C11_P,UOL_German_C16_M,UOL_German_C16_F,UOL_German_C16_P,UOL_German_C21_M,UOL_German_C21_F,UOL_German_C21_P,UOL_Gre_C11_M,UOL_Gre_C11_F,UOL_Gre_C11_P,UOL_Gre_C16_M,UOL_Gre_C16_F,UOL_Gre_C16_P,UOL_Gre_C21_M,UOL_Gre_C21_F,UOL_Gre_C21_P,UOL_Gujarati_C11_M,UOL_Gujarati_C11_F,UOL_Gujarati_C11_P,UOL_Gujarati_C16_M,UOL_Gujarati_C16_F,UOL_Gujarati_C16_P,UOL_Gujarati_C21_M,UOL_Gujarati_C21_F,UOL_Gujarati_C21_P,UOL_Hindi_C11_M,UOL_Hindi_C11_F,UOL_Hindi_C11_P,UOL_Hindi_C16_M,UOL_Hindi_C16_F,UOL_Hindi_C16_P,UOL_Hindi_C21_M,UOL_Hindi_C21_F,UOL_Hindi_C21_P,UOL_Indon_C11_M,UOL_Indon_C11_F,UOL_Indon_C11_P,UOL_Indon_C16_M,UOL_Indon_C16_F,UOL_Indon_C16_P,UOL_Indon_C21_M,UOL_Indon_C21_F,UOL_Indon_C21_P,UOL_Italian_C11_M,UOL_Italian_C11_F,UOL_Italian_C11_P,UOL_Italian_C16_M,UOL_Italian_C16_F,UOL_Italian_C16_P,UOL_Italian_C21_M,UOL_Italian_C21_F,UOL_Italian_C21_P,UOL_Japanes_C11_M,UOL_Japanes_C11_F,UOL_Japanes_C11_P,UOL_Japanes_C16_M,UOL_Japanes_C16_F,UOL_Japanes_C16_P,UOL_Japanes_C21_M,UOL_Japanes_C21_F,UOL_Japanes_C21_P,UOL_Korean_C11_M,UOL_Korean_C11_F,UOL_Korean_C11_P,UOL_Korean_C16_M,UOL_Korean_C16_F,UOL_Korean_C16_P,UOL_Korean_C21_M,UOL_Korean_C21_F,UOL_Korean_C21_P,UOL_Mac_C11_M,UOL_Mac_C11_F,UOL_Mac_C11_P,UOL_Mac_C16_M,UOL_Mac_C16_F,UOL_Mac_C16_P,UOL_Mac_C21_M,UOL_Mac_C21_F,UOL_Mac_C21_P,UOL_Malayalam_C11_M,UOL_Malayalam_C11_F,UOL_Malayalam_C11_P,UOL_Malayalam_C16_M,UOL_Malayalam_C16_F,UOL_Malayalam_C16_P,UOL_Malayalam_C21_M,UOL_Malayalam_C21_F,UOL_Malayalam_C21_P,UOL_Nepali_C11_M,UOL_Nepali_C11_F,UOL_Nepali_C11_P,UOL_Nepali_C16_M,UOL_Nepali_C16_F,UOL_Nepali_C16_P,UOL_Nepali_C21_M,UOL_Nepali_C21_F,UOL_Nepali_C21_P,UOL_Pe_ex_Da_C11_M,UOL_Pe_ex_Da_C11_F
801011001,992,1048,2040,954,985,1941,1034,1087,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,3,6,10,16,12,14,25,7,11,17,21,26,46,53,54,108,46,57,100,0,0,0,0,0,0,0,0,0,31,35,63,68,67,131,57,70,119,8,7,10,3,3,10,5,4,10,0,0,0,0,0,0,0,0,0,9,11,16,4,10,13,9,4,11,6,4,11,12,15,27,4,11,20,0,0,0,4,0,0,3,3,6,0,0,0,0,0,0,0,5,5,3,8,13,4,3,4,4,6,16,5,0,3,3,6,11,0,0,0,10,14,24,6,10,21,5,9,13,7,3,10,3,5,10,0,3,8,5,0,6,8,8,17,8,8,15,0,0,0,0,0,0,0,0,0,0,5,4,6,3,4,0,3,3,0,0,0,0,0,0,8,11,17,0,0
801011002,1263,1261,2528,1702,1614,3315,2096,2032,4126,38,30,72,48,43,93,55,54,110,0,0,0,0,0,0,0,0,0,19,14,29,33,23,51,34,33,65,42,43,84,68,67,129,73,92,164,134,110,246,387,468,851,446,540,985,18,21,39,36,39,81,11,8,23,197,170,367,486,571,1057,531,643,1175,0,5,4,0,3,3,4,9,8,9,11,14,29,35,55,32,37,70,5,7,16,12,9,17,6,10,20,3,13,14,10,14,23,4,15,23,8,8,14,5,10,12,5,9,16,3,5,11,10,5,21,26,22,49,34,38,70,72,69,141,77,63,140,20,14,35,37,38,73,24,29,44,9,9,19,16,14,30,14,19,33,7,9,15,15,21,34,15,17,34,23,22,42,57,53,106,75,74,143,0,4,10,4,3,4,4,3,10,7,3,14,11,12,24,17,24,41,0,4,11,14,13,30,256,214,470,18,18
801011003,1804,1852,3656,2049,2025,4076,2243,2475,4718,82,45,131,44,36,82,41,28,61,0,0,0,0,0,0,0,0,5,12,9,18,11,18,30,36,17,56,88,107,198,86,82,169,72,80,152,192,221,420,373,406,773,238,259,501,41,36,73,53,39,96,11,10,20,321,369,692,511,526,1042,321,355,676,21,20,41,11,11,20,7,9,18,7,0,10,18,25,47,14,13,25,4,7,13,11,12,28,18,20,43,12,5,17,3,9,11,12,10,22,12,16,30,10,3,17,14,7,24,3,3,8,4,5,8,13,14,26,40,28,74,47,48,97,51,47,99,9,16,24,18,30,46,17,20,35,37,27,63,20,19,32,15,16,34,5,6,16,7,9,16,11,11,22,49,46,90,57,43,103,25,35,61,0,9,10,8,3,7,4,6,12,0,4,11,5,11,18,23,27,50,0,0,0,12,8,20,146,115,262,15,11
801011004,1181,1253,2439,1161,1159,2320,1173,1204,2374,17,12,26,15,8,21,21,20,40,0,0,0,0,8,11,0,0,0,0,0,0,3,3,6,3,5,8,13,12,22,4,8,10,4,7,11,6,11,18,7,7,19,16,11,28,0,0,0,0,0,0,0,0,0,19,26,39,7,14,25,15,22,37,10,13,15,9,7,14,3,4,8,13,13,23,4,9,13,11,10,16,0,5,9,3,8,12,0,6,10,3,3,4,10,7,16,4,4,12,0,3,7,8,3,10,3,5,9,0,0,0,4,0,3,7,5,17,7,7,18,0,4,6,9,3,13,0,0,5,4,11,14,3,3,4,14,12,29,16,17,31,9,14,18,4,0,8,0,0,0,0,0,0,4,0,5,0,4,4,0,0,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,5,9,0,0
801011005,1142,1214,2357,1073,1161,2235,1126,1277,2406,6,5,10,0,3,3,8,6,12,0,0,0,0,4,4,0,0,0,0,9,11,4,0,4,5,4,10,0,3,10,6,6,10,3,4,9,28,36,66,29,37,72,17,21,35,8,0,6,3,6,11,0,0,0,35,44,78,37,47,91,26,20,48,5,0,3,0,9,8,0,7,7,0,0,0,0,3,0,0,4,3,10,15,23,12,16,26,19,16,28,16,12,32,12,11,24,12,9,23,10,12,21,10,11,21,7,6,15,0,6,6,0,0,0,0,0,0,4,0,8,3,4,8,9,4,14,13,10,22,22,12,27,5,15,20,12,16,25,7,10,18,13,8,22,8,15,19,3,9,10,4,15,15,0,6,4,8,5,8,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,14,16,0,0,0,0,0,0,0,0,0,4,3,6,0,0
801011006,2862,2904,5770,2808,2806,5620,2859,2754,5610,29,19,47,22,25,48,55,52,100,6,4,10,4,3,7,0,0,3,11,9,19,7,11,16,0,0,5,13,23,37,14,21,32,13,17,31,30,38,65,44,66,108,43,54,92,3,7,11,0,4,3,0,3,3,46,69,118,61,91,152,56,74,134,17,10,26,19,15,34,12,12,29,13,10,27,14,11,22,9,19,30,0,9,15,4,4,7,0,0,8,20,15,35,9,11,21,11,15,21,20,18,39,23,15,45,23,21,45,13,17,25,20,26,49,22,36,56,17,26,39,25,25,48,27,25,57,11,19,22,4,12,20,7,14,16,16,17,30,20,14,34,24,20,35,3,0,6,8,6,8,7,8,14,4,0,5,5,3,7,0,5,5,8,6,11,9,5,9,5,3,11,4,3,6,14,9,29,25,24,47,3,0,4,0,3,3,11,7,19,11,10
801011007,2226,2249,4471,2110,2066,4174,2343,2155,4501,9,13,17,8,5,17,15,17,32,0,0,0,0,0,3,4,7,9,8,4,18,4,10,19,3,10,13,9,13,26,8,16,30,14,13,31,39,39,76,35,46,80,46,52,104,10,6,16,0,0,0,0,0,4,57,58,116,43,65,106,59,75,131,20,27,49,25,24,50,22,19,39,0,6,5,5,0,12,3,3,4,9,3,16,3,7,10,4,13,15,13,11,26,20,17,29,18,16,34,27,32,58,23,30,51,19,15,37,0,0,4,0,3,3,4,3,10,18,18,33,9,7,17,10,11,17,5,0,5,6,3,3,9,9,10,30,32,62,31,27,64,30,23,49,6,7,7,3,11,17,5,9,19,16,6,22,13,6,17,8,16,16,3,3,6,6,4,10,5,4,4,0,0,0,0,0,0,3,8,12,0,0,0,9,4,14,14,8,25,0,0
801011008,1730,1766,3495,1569,1601,3171,1592,1649,3237,19,12,36,21,23,49,28,18,50,0,0,0,0,0,0,0,4,4,16,15,30,14,15,32,6,3,12,50,62,115,44,57,106,32,30,68,60,61,127,69,66,136,57,66,124,10,12,16,3,0,11,9,3,7,119,135,256,122,128,249,97,102,201,27,25,51,25,23,40,17,20,41,4,15,17,6,14,18,7,13,21,8,3,14,6,3,9,4,0,9,9,6,18,11,11,23,10,11,25,16,9,23,16,7,20,11,13,22,4,8,14,11,12,27,9,9,16,25,26,49,26,22,43,35,30,60,7,3,10,3,14,14,4,9,14,24,36,62,28,38,61,19,41,52,7,10,14,4,12,13,6,8,17,4,4,9,3,8,15,3,3,10,4,8,15,9,8,16,4,5,11,0,0,4,8,12,21,8,5,16,0,0,0,11,11,20,34,31,67,10,9
801011009,1460,1433,2898,1442,1416,2858,1542,1527,3065,3,4,4,5,0,7,5,0,6,0,0,0,0,0,0,0,0,0,3,3,13,7,11,16,3,4,6,9,3,10,7,9,14,8,3,13,12,14,27,13,18,37,26,21,49,4,0,4,0,0,0,0,0,0,20,17,40,19,25,46,34,31,61,8,15,18,6,5,15,10,4,13,3,0,4,0,0,0,0,5,6,0,3,3,4,0,6,3,7,7,10,4,14,10,7,19,7,11,19,19,23,42,9,12,21,6,11,25,0,0,0,0,0,0,0,0,0,12,13,20,7,11,11,8,10,19,0,0,0,0,0,0,0,0,0,18,17,43,16,16,32,9,16,22,0,3,9,3,0,5,0,3,7,0,0,0,6,0,3,0,0,0,3,7,14,8,3,8,4,7,9,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,6,5,10,0,0
801011010,979,959,1935,894,924,1821,979,923,1906,9,4,12,4,0,4,5,5,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,3,4,0,3,3,7,4,10,4,3,11,4,10,14,0,0,5,0,0,3,0,0,0,9,7,19,4,13,14,4,17,21,0,7,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,7,4,10,3,0,3,10,12,18,5,6,13,9,6,14,0,5,7,5,9,9,3,7,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,3,6,10,3,3,9,3,5,11,0,0,0,0,0,3,0,0,0,0,5,5,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0
