SA2_CODE_2021,UOL_Pe_ex_Da_C11_P,UOL_Pe_ex_Da_C16_M,UOL_Pe_ex_Da_C16_F,UOL_Pe_ex_Da_C16_P,UOL_Pe_ex_Da_C21_M,UOL_Pe_ex_Da_C21_F,UOL_Pe_ex_Da_C21_P,UOL_Portuguese_C11_M,UOL_Portuguese_C11_F,UOL_Portuguese_C11_P,UOL_Portuguese_C16_M,UOL_Portuguese_C16_F,UOL_Portuguese_C16_P,UOL_Portuguese_C21_M,UOL_Portuguese_C21_F,UOL_Portuguese_C21_P,UOL_Punjabi_C11_M,UOL_Punjabi_C11_F,UOL_Punjabi_C11_P,UOL_Punjabi_C16_M,UOL_Punjabi_C16_F,UOL_Punjabi_C16_P,UOL_Punjabi_C21_M,UOL_Punjabi_C21_F,UOL_Punjabi_C21_P,UOL_Russian_C11_M,UOL_Russian_C11_F,UOL_Russian_C11_P,UOL_Russian_C16_M,UOL_Russian_C16_F,UOL_Russian_C16_P,UOL_Russian_C21_M,UOL_Russian_C21_F,UOL_Russian_C21_P,UOL_Serbian_C11_M,UOL_Serbian_C11_F,UOL_Serbian_C11_P,UOL_Serbian_C16_M,UOL_Serbian_C16_F,UOL_Serbian_C16_P,UOL_Serbian_C21_M,UOL_Serbian_C21_F,UOL_Serbian_C21_P,UOL_Sinhalese_C11_M,UOL_Sinhalese_C11_F,UOL_Sinhalese_C11_P,UOL_Sinhalese_C16_M,UOL_Sinhalese_C16_F,UOL_Sinhalese_C16_P,UOL_Sinhalese_C21_M,UOL_Sinhalese_C21_F,UOL_Sinhalese_C21_P,UOL_Spanish_C11_M,UOL_Spanish_C11_F,UOL_Spanish_C11_P,UOL_Spanish_C16_M,UOL_Spanish_C16_F,UOL_Spanish_C16_P,UOL_Spanish_C21_M,UOL_Spanish_C21_F,UOL_Spanish_C21_P,UOL_Tagalog_C11_M,UOL_Tagalog_C11_F,UOL_Tagalog_C11_P,UOL_Tagalog_C16_M,UOL_Tagalog_C16_F,UOL_Tagalog_C16_P,UOL_Tagalog_C21_M,UOL_Tagalog_C21_F,UOL_Tagalog_C21_P,UOL_Tamil_C11_M,UOL_Tamil_C11_F,UOL_Tamil_C11_P,UOL_Tamil_C16_M,UOL_Tamil_C16_F,UOL_Tamil_C16_P,UOL_Tamil_C21_M,UOL_Tamil_C21_F,UOL_Tamil_C21_P,UOL_Thai_C11_M,UOL_Thai_C11_F,UOL_Thai_C11_P,UOL_Thai_C16_M,UOL_Thai_C16_F,UOL_Thai_C16_P,UOL_Thai_C21_M,UOL_Thai_C21_F,UOL_Thai_C21_P,UOL_Turkish_C11_M,UOL_Turkish_C11_F,UOL_Turkish_C11_P,UOL_Turkish_C16_M,UOL_Turkish_C16_F,UOL_Turkish_C16_P,UOL_Turkish_C21_M,UOL_Turkish_C21_F,UOL_Turkish_C21_P,UOL_Urdu_C11_M,UOL_Urdu_C11_F,UOL_Urdu_C11_P,UOL_Urdu_C16_M,UOL_Urdu_C16_F,UOL_Urdu_C16_P,UOL_Urdu_C21_M,UOL_Urdu_C21_F,UOL_Urdu_C21_P,UOL_Viet_C11_M,UOL_Viet_C11_F,UOL_Viet_C11_P,UOL_Viet_C16_M,UOL_Viet_C16_F,UOL_Viet_C16_P,UOL_Viet_C21_M,UOL_Viet_C21_F,UOL_Viet_C21_P,UOL_Other_C11_M,UOL_Other_C11_F,UOL_Other_C11_P,UOL_Other_C16_M,UOL_Other_C16_F,UOL_Other_C16_P,UOL_Other_C21_M,UOL_Other_C21_F,UOL_Other_C21_P,Lang_used_home_NS_C11_M,Lang_used_home_NS_C11_F,Lang_used_home_NS_C11_P,Lang_used_home_NS_C16_M,Lang_used_home_NS_C16_F,Lang_used_home_NS_C16_P,Lang_used_home_NS_C21_M,Lang_used_home_NS_C21_F,Lang_used_home_NS_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
801011001,0,0,5,4,0,0,7,0,0,0,0,3,5,0,0,0,0,0,5,6,0,4,0,0,0,4,0,3,6,6,3,0,0,0,4,0,4,0,0,0,0,0,3,8,0,9,7,8,17,0,5,6,6,6,6,0,0,6,3,10,16,3,0,3,0,0,0,5,6,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,0,0,4,0,0,3,0,0,5,4,0,7,3,4,4,0,0,7,0,6,3,3,5,6,6,12,14,30,41,69,30,40,72,51,39,91,69,75,140,44,33,75,42,45,91,1202,1279,2479,1171,1227,2397,1270,1335,2605
801011002,31,21,30,53,53,41,85,7,5,13,7,9,12,20,18,38,13,17,25,26,22,45,73,59,136,11,11,21,10,8,18,7,10,17,8,10,15,6,9,19,10,12,22,12,9,20,13,14,29,25,16,41,22,21,49,37,45,81,61,67,126,18,15,27,15,30,45,40,56,95,8,12,22,25,25,49,23,20,48,3,7,11,10,30,40,5,30,36,6,9,18,10,5,16,16,10,21,14,9,32,39,25,64,43,38,82,44,41,84,42,76,122,57,88,147,118,111,228,211,186,402,274,305,578,322,240,558,287,274,559,223,216,435,2275,2165,4436,3326,3328,6651,4202,4296,8502
801011003,28,24,19,39,14,15,27,3,6,6,3,5,9,9,3,10,10,12,20,14,15,31,39,37,71,5,4,9,14,13,26,17,7,23,8,6,11,6,9,16,6,8,16,26,26,49,31,23,57,25,39,59,17,15,32,24,20,48,34,30,70,10,7,13,24,30,56,15,28,44,16,19,34,29,23,51,35,38,69,10,10,21,7,24,29,5,25,29,7,4,6,5,0,5,3,0,10,22,7,30,35,18,57,36,36,64,47,59,104,36,53,91,46,84,132,110,104,205,145,132,276,193,201,390,440,471,913,243,263,504,126,139,267,3165,3225,6390,3497,3502,6996,3600,3914,7520
801011004,0,0,0,0,0,0,0,4,5,8,0,5,3,6,3,8,0,0,0,4,6,9,20,16,32,0,0,9,3,4,9,0,3,6,7,3,7,6,3,10,0,3,3,7,0,8,0,0,0,0,0,6,27,22,47,19,19,37,13,12,28,8,11,18,13,13,30,12,18,31,0,0,0,0,0,0,0,3,7,10,15,20,0,9,11,8,12,15,0,0,0,0,0,0,0,0,6,0,0,0,9,4,10,8,5,12,13,15,30,20,22,47,18,22,38,46,64,110,53,67,120,71,79,155,94,92,180,91,88,177,65,66,134,1488,1584,3066,1465,1509,2979,1499,1552,3055
801011005,4,5,4,9,0,0,0,0,0,4,0,0,0,0,0,5,6,0,6,0,0,0,3,4,4,13,12,20,3,8,12,3,7,12,0,0,3,3,0,4,6,0,4,7,8,10,9,8,21,6,0,7,11,16,27,12,18,32,22,16,38,3,5,7,0,9,3,8,8,18,0,0,0,0,0,0,3,5,3,3,3,4,0,9,9,3,11,15,0,0,0,3,4,7,8,0,5,0,0,0,5,3,8,4,3,7,5,4,8,5,8,12,0,11,16,37,48,87,43,42,80,39,40,76,48,43,91,61,51,110,50,61,108,1404,1504,2901,1347,1460,2804,1391,1570,2965
801011006,19,5,4,10,3,16,19,3,0,7,0,5,4,3,4,10,0,0,0,21,15,36,30,25,61,6,16,19,4,9,10,3,11,11,5,10,10,0,4,6,4,6,5,10,6,16,10,9,21,8,19,22,38,44,81,32,47,86,42,54,95,15,14,32,14,20,41,25,34,51,3,6,9,8,13,22,4,4,5,7,10,13,5,15,24,9,17,29,0,0,0,4,0,3,0,0,0,22,16,32,11,12,31,17,18,32,46,56,103,44,50,96,33,46,84,164,194,358,174,223,401,185,206,385,88,76,163,122,126,253,118,96,215,3506,3601,7108,3534,3663,7199,3633,3632,7265
801011007,0,0,0,0,4,4,9,5,0,8,0,5,6,0,4,5,9,3,9,15,10,25,13,12,24,11,6,9,11,4,13,6,5,14,12,5,14,8,8,8,7,3,7,4,3,3,0,4,7,3,3,8,24,43,68,24,31,57,25,32,59,5,0,4,0,0,0,6,6,11,4,8,11,3,0,4,7,6,15,0,0,0,3,6,8,7,5,8,0,0,0,0,0,0,0,0,0,12,3,17,8,9,20,12,0,13,23,32,54,25,25,55,29,35,58,74,103,179,82,96,173,97,91,185,62,40,101,172,167,336,68,59,125,2693,2722,5417,2672,2653,5329,2863,2667,5531
801011008,13,9,13,17,4,10,9,7,5,12,0,0,4,9,7,13,14,9,24,14,3,13,21,19,38,9,12,20,7,6,15,9,7,12,12,12,18,9,10,15,7,3,11,8,9,17,13,15,21,7,11,18,25,31,57,29,26,56,36,34,66,28,23,48,13,23,33,15,21,40,10,15,20,6,9,13,9,8,11,0,8,12,5,12,15,5,11,17,0,0,0,0,0,0,0,0,0,15,8,25,32,21,56,32,31,61,108,112,220,113,124,239,98,126,222,119,137,259,108,114,222,114,124,234,107,81,188,104,96,200,72,75,144,2483,2561,5039,2333,2432,4769,2316,2464,4781
801011009,0,7,3,8,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,8,6,13,0,7,6,0,7,6,4,3,6,5,5,5,0,3,7,7,4,11,0,3,3,0,0,0,0,0,0,16,27,34,19,12,29,26,15,40,5,0,7,0,3,5,3,8,10,0,0,0,0,0,0,3,0,3,3,0,6,0,4,3,3,3,6,0,0,5,3,0,3,0,0,9,0,0,0,0,0,0,26,8,25,5,5,8,5,10,13,7,16,23,51,51,103,46,50,96,72,59,124,147,120,265,61,58,120,54,55,109,1788,1763,3554,1692,1664,3355,1849,1821,3671
801011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,10,4,3,7,4,3,9,6,0,8,0,0,0,0,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,8,3,3,3,3,3,3,21,29,44,25,13,35,35,30,66,27,10,37,45,44,83,24,22,47,1076,1044,2124,1005,1026,2027,1101,1035,2126
