SA2_CODE_2021,C11_0_14_SEO,C11_0_14_UOL_SE_Vw_w,C11_0_14_UOL_SE_Nw_Na,C11_0_14_UOL_SE_P_E_n,C11_0_14_UOL_SE_Tot,C11_0_14_LPE_NS,C11_0_14_Tot,C11_15_24_SEO,C11_15_24_UOL_SE_Vw_w,C11_15_24_UOL_SE_Nw_Na,C11_15_24_UOL_SE_P_E_n,C11_15_24_UOL_SE_Tot,C11_15_24_LPE_NS,C11_15_24_Tot,C11_25_34_SEO,C11_25_34_UOL_SE_Vw_w,C11_25_34_UOL_SE_Nw_Na,C11_25_34_UOL_SE_P_E_n,C11_25_34_UOL_SE_Tot,C11_25_34_LPE_NS,C11_25_34_Tot,C11_35_44_SEO,C11_35_44_UOL_SE_Vw_w,C11_35_44_UOL_SE_Nw_Na,C11_35_44_UOL_SE_P_E_n,C11_35_44_UOL_SE_Tot,C11_35_44_LPE_NS,C11_35_44_Tot,C11_45_54_SEO,C11_45_54_UOL_SE_Vw_w,C11_45_54_UOL_SE_Nw_Na,C11_45_54_UOL_SE_P_E_n,C11_45_54_UOL_SE_Tot,C11_45_54_LPE_NS,C11_45_54_Tot,C11_55_64_SEO,C11_55_64_UOL_SE_Vw_w,C11_55_64_UOL_SE_Nw_Na,C11_55_64_UOL_SE_P_E_n,C11_55_64_UOL_SE_Tot,C11_55_64_LPE_NS,C11_55_64_Tot,C11_65_74_SEO,C11_65_74_UOL_SE_Vw_w,C11_65_74_UOL_SE_Nw_Na,C11_65_74_UOL_SE_P_E_n,C11_65_74_UOL_SE_Tot,C11_65_74_LPE_NS,C11_65_74_Tot,C11_75_84_SEO,C11_75_84_UOL_SE_Vw_w,C11_75_84_UOL_SE_Nw_Na,C11_75_84_UOL_SE_P_E_n,C11_75_84_UOL_SE_Tot,C11_75_84_LPE_NS,C11_75_84_Tot,C11_85_over_SEO,C11_85_over_UOL_SE_Vw_w,C11_85_over_UOL_SE_Nw_Na,C11_85_over_UOL_SE_P_E_n,C11_85_over_UOL_SE_Tot,C11_85_over_LPE_NS,C11_85_over_Tot,C11_Tot_SEO,C11_Tot_UOL_SE_Vw_w,C11_Tot_UOL_SE_Nw_Na,C11_Tot_UOL_SE_P_E_n,C11_Tot_UOL_SE_Tot,C11_Tot_LPE_NS,C11_Tot_Tot,C16_0_14_SEO,C16_0_14_UOL_SE_Vw_w,C16_0_14_UOL_SE_Nw_Na,C16_0_14_UOL_SE_P_E_n,C16_0_14_UOL_SE_Tot,C16_0_14_LPE_NS,C16_0_14_Tot,C16_15_24_SEO,C16_15_24_UOL_SE_Vw_w,C16_15_24_UOL_SE_Nw_Na,C16_15_24_UOL_SE_P_E_n,C16_15_24_UOL_SE_Tot,C16_15_24_LPE_NS,C16_15_24_Tot,C16_25_34_SEO,C16_25_34_UOL_SE_Vw_w,C16_25_34_UOL_SE_Nw_Na,C16_25_34_UOL_SE_P_E_n,C16_25_34_UOL_SE_Tot,C16_25_34_LPE_NS,C16_25_34_Tot,C16_35_44_SEO,C16_35_44_UOL_SE_Vw_w,C16_35_44_UOL_SE_Nw_Na,C16_35_44_UOL_SE_P_E_n,C16_35_44_UOL_SE_Tot,C16_35_44_LPE_NS,C16_35_44_Tot,C16_45_54_SEO,C16_45_54_UOL_SE_Vw_w,C16_45_54_UOL_SE_Nw_Na,C16_45_54_UOL_SE_P_E_n,C16_45_54_UOL_SE_Tot,C16_45_54_LPE_NS,C16_45_54_Tot,C16_55_64_SEO,C16_55_64_UOL_SE_Vw_w,C16_55_64_UOL_SE_Nw_Na,C16_55_64_UOL_SE_P_E_n,C16_55_64_UOL_SE_Tot,C16_55_64_LPE_NS,C16_55_64_Tot,C16_65_74_SEO,C16_65_74_UOL_SE_Vw_w,C16_65_74_UOL_SE_Nw_Na,C16_65_74_UOL_SE_P_E_n,C16_65_74_UOL_SE_Tot,C16_65_74_LPE_NS,C16_65_74_Tot,C16_75_84_SEO,C16_75_84_UOL_SE_Vw_w,C16_75_84_UOL_SE_Nw_Na,C16_75_84_UOL_SE_P_E_n,C16_75_84_UOL_SE_Tot,C16_75_84_LPE_NS,C16_75_84_Tot,C16_85_over_SEO,C16_85_over_UOL_SE_Vw_w,C16_85_over_UOL_SE_Nw_Na,C16_85_over_UOL_SE_P_E_n,C16_85_over_UOL_SE_Tot,C16_85_over_LPE_NS,C16_85_over_Tot,C16_Tot_SEO,C16_Tot_UOL_SE_Vw_w,C16_Tot_UOL_SE_Nw_Na,C16_Tot_UOL_SE_P_E_n,C16_Tot_UOL_SE_Tot,C16_Tot_LPE_NS,C16_Tot_Tot,C21_0_14_SEO,C21_0_14_UOL_SE_Vw_w,C21_0_14_UOL_SE_Nw_Na,C21_0_14_UOL_SE_P_E_n,C21_0_14_UOL_SE_Tot,C21_0_14_LPE_NS,C21_0_14_Tot,C21_15_24_SEO,C21_15_24_UOL_SE_Vw_w,C21_15_24_UOL_SE_Nw_Na,C21_15_24_UOL_SE_P_E_n,C21_15_24_UOL_SE_Tot,C21_15_24_LPE_NS,C21_15_24_Tot,C21_25_34_SEO,C21_25_34_UOL_SE_Vw_w,C21_25_34_UOL_SE_Nw_Na,C21_25_34_UOL_SE_P_E_n,C21_25_34_UOL_SE_Tot,C21_25_34_LPE_NS,C21_25_34_Tot,C21_35_44_SEO,C21_35_44_UOL_SE_Vw_w,C21_35_44_UOL_SE_Nw_Na,C21_35_44_UOL_SE_P_E_n,C21_35_44_UOL_SE_Tot,C21_35_44_LPE_NS,C21_35_44_Tot,C21_45_54_SEO,C21_45_54_UOL_SE_Vw_w,C21_45_54_UOL_SE_Nw_Na,C21_45_54_UOL_SE_P_E_n,C21_45_54_UOL_SE_Tot,C21_45_54_LPE_NS,C21_45_54_Tot,C21_55_64_SEO,C21_55_64_UOL_SE_Vw_w,C21_55_64_UOL_SE_Nw_Na,C21_55_64_UOL_SE_P_E_n,C21_55_64_UOL_SE_To,C21_55_64_LPE_NS,C21_55_64_T,C21_65_74_SEO,C21_65_74_UOL_SE_Vw_w,C21_65_74_UOL_SE_Nw_Na,C21_65_74_UOL_SE_P_E_n,C21_65_74_UOL_SE_Tot,C21_65_74_LPE_NS,C21_65_74_Tot,C21_75_84_SEO,C21_75_84_UOL_SE_Vw_w,C21_75_84_UOL_SE_Nw_Na,C21_75_84_UOL_SE_P_E_n,C21_75_84_UOL_SE_Tot,C21_75_84_LPE_NS,C21_75_84_Tot,C21_85_over_SEO,C21_85_over_UOL_SE_Vw_w,C21_85_over_UOL_SE_Nw_Na,C21_85_over_UOL_SE_P_E_n
801011001,371,35,8,5,50,28,446,272,25,0,0,32,26,327,187,45,4,0,49,15,254,259,40,5,0,45,13,314,300,41,8,0,46,16,366,251,18,0,0,23,16,285,223,16,3,0,24,15,265,124,15,6,0,25,3,150,56,8,4,0,16,6,70,2040,257,41,11,304,136,2479,398,60,9,0,73,12,486,229,50,8,0,50,6,287,158,49,3,0,49,3,208,247,61,4,0,66,9,321,279,53,0,0,54,22,352,243,26,0,0,35,7,286,235,17,7,0,27,7,266,111,12,3,0,14,4,137,35,7,7,0,7,0,45,1941,345,41,0,378,72,2397,414,62,7,0,79,21,509,257,34,4,0,38,10,308,172,85,0,0,87,8,270,259,76,0,0,76,9,345,299,33,5,0,41,5,340,286,40,6,0,42,5,339,206,17,5,0,23,13,241,172,11,6,0,16,3,197,56,6,6,0
801011002,155,108,63,10,169,37,363,576,277,23,3,296,150,1018,774,474,20,4,498,170,1442,292,168,21,0,186,46,526,200,88,23,0,107,39,348,181,34,16,0,54,25,257,152,19,8,0,29,9,194,139,9,8,0,16,22,181,58,5,0,0,7,35,104,2528,1169,181,10,1366,542,4436,249,155,110,14,272,49,562,656,692,79,5,771,93,1523,1025,973,45,5,1022,183,2226,438,360,32,4,394,77,908,276,118,30,0,146,50,470,225,56,31,0,90,32,351,195,29,13,0,47,27,262,152,22,7,0,35,18,197,107,19,5,0,26,15,147,3315,2416,370,22,2800,533,6651,321,244,102,25,372,44,737,798,665,20,0,690,64,1556,1226,1771,81,4,1852,133,3216,548,570,37,0,605,54,1209,357,165,38,0,203,35,592,261,88,41,0,131,21,410,238,40,34,0,75,8,324,218,24,18,0,45,10,272,151,17,10,0
801011003,355,143,56,3,209,31,597,1231,493,77,4,571,542,2337,816,508,40,0,549,137,1502,348,166,9,0,183,39,562,284,154,14,0,162,26,475,302,76,15,0,94,27,423,175,25,10,0,36,9,221,101,8,6,0,21,37,157,45,6,3,0,11,56,111,3656,1578,239,14,1828,903,6390,430,140,57,5,202,14,649,1200,625,123,3,755,192,2144,962,727,44,0,773,101,1829,440,309,16,4,331,31,800,298,116,16,0,133,24,449,314,121,32,0,153,23,494,244,37,14,0,52,24,320,127,19,7,0,27,29,181,67,5,0,0,6,56,132,4076,2104,310,18,2432,493,6996,497,198,47,15,259,26,787,1331,503,12,0,514,60,1902,1028,847,38,7,885,57,1970,527,404,19,0,424,26,973,380,165,23,0,183,16,574,294,136,17,0,159,19,472,326,71,25,0,97,12,437,225,16,21,0,39,3,265,117,9,9,0
801011004,569,52,12,0,68,51,691,311,55,0,0,59,35,408,471,51,4,0,59,30,555,389,74,5,0,73,28,495,251,60,7,0,67,19,337,261,43,9,0,60,10,329,128,32,8,0,40,3,172,46,9,5,0,20,0,61,12,4,7,0,10,0,21,2439,388,64,7,456,173,3066,516,58,20,0,77,40,638,293,47,7,0,49,21,367,398,70,7,0,78,35,512,382,69,7,0,74,19,474,250,57,8,0,62,9,328,229,49,17,0,69,22,319,167,32,9,0,38,14,221,70,19,3,0,24,15,103,11,3,3,0,14,0,24,2320,399,83,0,483,170,2979,521,72,13,4,95,26,649,271,47,4,0,49,9,331,355,100,11,0,113,26,495,397,85,13,0,99,18,505,314,52,9,0,62,19,391,225,46,18,0,68,4,293,185,35,19,0,55,5,241,85,16,8,0,21,3,111,21,8,5,0
801011005,396,56,26,7,89,19,505,269,32,4,0,36,9,313,305,76,8,6,87,19,415,407,76,0,0,78,11,501,318,42,3,0,42,4,368,297,26,6,0,31,6,336,223,40,8,0,48,13,279,117,17,11,0,32,5,149,29,7,3,0,7,0,42,2357,381,69,9,456,82,2901,394,72,23,0,96,17,509,208,48,5,0,51,8,264,242,64,6,0,69,11,325,357,74,8,0,77,23,451,338,49,4,0,49,10,403,255,44,5,0,50,12,319,251,22,0,0,29,13,292,147,31,5,0,36,10,198,39,5,3,0,11,0,45,2235,405,62,10,473,97,2804,409,66,12,3,78,18,509,227,27,0,0,27,9,267,270,88,6,0,89,18,374,338,90,6,0,93,13,443,377,63,6,0,60,7,445,288,35,0,0,35,8,327,260,22,9,0,31,13,295,173,27,12,0,36,9,224,62,3,0,0
801011006,1569,195,67,7,266,38,1874,692,154,8,0,163,23,879,1090,218,8,0,223,20,1333,1048,236,21,5,258,30,1331,653,138,18,3,156,18,829,444,54,18,0,78,5,534,186,26,12,0,36,4,219,74,11,8,0,20,3,91,13,0,3,0,5,0,15,5770,1028,159,16,1200,143,7108,1478,260,55,10,321,48,1843,704,141,4,4,152,37,890,791,179,0,0,189,29,1007,973,266,22,7,288,53,1314,761,188,18,0,214,30,1001,482,89,24,0,110,26,613,288,39,10,0,51,11,346,111,13,16,0,25,5,142,26,5,0,0,9,0,36,5620,1183,153,18,1348,236,7199,1338,264,51,9,329,37,1703,753,159,6,0,164,29,944,652,166,10,0,179,31,857,907,270,25,0,298,20,1227,859,209,26,0,238,30,1128,580,129,32,0,160,19,759,356,48,23,0,75,4,435,143,18,20,0,30,3,174,33,6,3,0
801011007,976,100,34,6,135,15,1125,591,96,8,4,106,10,708,668,119,3,0,123,10,800,735,132,9,0,145,14,890,586,113,11,0,125,15,720,628,93,15,0,112,15,748,210,44,11,0,55,9,267,66,24,15,0,38,3,106,18,4,5,0,10,4,28,4471,721,107,11,850,96,5417,884,115,25,4,145,57,1084,563,76,5,0,75,45,685,533,115,8,0,118,36,688,637,150,10,0,155,53,843,545,82,6,0,89,49,682,518,87,14,0,104,48,671,389,75,10,0,88,37,514,82,21,12,0,32,10,123,23,11,9,0,12,3,39,4174,723,98,10,829,325,5329,938,151,18,10,172,19,1130,560,74,0,0,75,18,651,602,151,7,0,159,15,774,627,149,12,0,163,15,799,630,111,5,0,114,16,760,479,89,14,0,100,14,596,499,64,15,0,79,5,577,142,30,11,0,41,3,188,30,9,5,0
801011008,642,180,52,13,244,41,932,593,203,10,4,213,16,825,476,196,20,0,221,37,733,459,164,23,0,192,23,674,563,185,25,0,214,22,799,437,128,26,5,160,16,613,185,61,27,0,90,6,277,98,20,20,0,45,6,144,31,3,7,0,13,0,50,3495,1142,218,21,1384,171,5039,583,172,48,5,232,32,848,452,177,10,0,192,23,671,410,209,14,0,222,34,661,402,189,19,0,215,23,636,426,155,23,0,179,23,633,499,137,44,0,180,23,701,267,86,28,0,120,16,401,101,38,17,0,57,9,161,34,4,10,0,12,5,53,3171,1172,216,13,1398,192,4769,565,193,40,6,240,26,823,398,132,5,0,134,7,537,434,228,9,0,235,28,695,419,232,20,0,247,16,681,401,123,16,0,139,20,557,481,143,36,0,178,14,674,366,97,37,0,135,7,514,145,54,27,0,85,3,231,43,12,10,0
801011009,594,50,9,0,58,45,696,381,45,0,0,43,36,461,352,54,0,0,59,35,439,460,40,4,0,48,35,540,386,63,3,0,64,40,501,431,59,4,0,60,31,520,219,36,7,0,42,26,287,56,14,4,0,17,3,78,14,5,0,0,8,5,22,2898,357,42,3,403,260,3554,619,45,20,0,65,21,703,340,33,0,0,35,12,389,341,45,6,0,51,15,411,437,61,5,0,67,11,518,370,47,4,0,50,16,437,335,39,5,0,39,18,388,322,36,10,0,45,16,379,85,25,7,0,27,6,120,15,4,0,0,0,5,26,2858,332,51,0,390,110,3355,673,66,8,0,80,18,770,379,45,4,0,49,9,436,357,97,8,0,107,19,479,428,76,9,0,87,14,525,404,63,4,0,70,12,487,353,40,3,0,45,8,406,309,35,3,0,39,6,359,137,22,10,0,31,5,177,16,8,0,0
801011010,399,23,10,0,30,4,438,277,11,5,0,19,3,295,228,18,0,0,21,8,257,259,27,0,0,27,3,293,248,14,3,0,13,3,269,354,19,0,0,23,7,381,124,13,0,0,13,0,139,35,4,0,0,4,0,42,4,0,0,0,6,0,11,1935,134,20,0,153,29,2124,380,20,4,0,27,7,414,207,7,0,0,9,6,220,172,23,4,0,26,8,203,263,17,0,0,17,17,298,252,9,0,0,9,10,274,266,12,0,0,12,13,290,208,17,0,0,22,15,245,53,6,0,0,11,3,68,15,0,0,0,0,0,14,1821,117,8,0,126,77,2027,387,31,4,0,33,7,424,226,24,4,0,26,0,247,161,26,4,0,31,3,198,260,38,0,0,35,17,310,257,20,0,0,21,6,289,224,15,0,0,14,0,243,280,16,0,0,20,5,303,95,8,0,0,10,3,99,16,0,0,0
