SA2_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
801011001,6,3,62,2120,370,36,0,405,78,2605
801011002,26,10,184,4126,3588,376,31,4000,371,8502
801011003,11,6,137,4718,2347,197,16,2567,236,7520
801011004,8,0,30,2374,449,100,7,556,117,3055
801011005,9,4,73,2406,416,44,3,458,97,2965
801011006,5,0,40,5610,1264,194,15,1475,182,7265
801011007,16,0,49,4501,824,82,10,920,105,5531
801011008,23,0,69,3237,1208,208,6,1420,123,4781
801011009,11,5,30,3065,454,49,0,510,94,3671
801011010,0,0,16,1906,175,18,0,190,36,2126
801011011,16,0,27,2637,587,61,0,649,87,3372
801011012,0,0,0,3,0,0,0,0,0,3
801011013,11,5,66,2358,497,58,7,559,99,3008
801011014,12,0,46,2659,481,87,3,574,83,3321
801011015,23,0,123,4330,973,148,11,1132,170,5628
801011016,41,9,130,5450,1720,266,21,2008,220,7672
801011017,6,0,32,3022,517,69,9,595,149,3767
801011018,4,0,4,1176,1273,117,11,1402,162,2739
801011019,14,0,32,5120,1594,158,23,1773,152,7049
801011020,19,0,60,2159,692,81,5,774,166,3104
801011021,14,3,45,1918,654,83,0,730,86,2740
801011022,9,0,35,2728,481,63,5,549,109,3383
801011023,33,32,246,2140,616,113,15,748,173,3054
801011024,6,0,31,2227,630,95,8,726,116,3069
801011025,6,0,26,2209,259,36,4,293,88,2587
801011026,18,0,77,2231,467,34,4,504,60,2795
801011111,0,0,0,8,0,0,0,0,3,12
801011142,0,0,0,0,0,0,0,0,0,0
801011143,0,0,0,302,362,24,4,386,26,714
801011144,0,0,0,13,3,0,0,3,6,25
801031031,0,0,0,15,0,0,0,0,376,395
801031032,0,0,0,24,0,0,0,0,3,25
801031113,0,0,10,625,141,19,0,165,311,1097
801031114,0,0,0,70,33,0,0,33,31,125
801031115,0,0,3,219,23,0,0,24,47,296
801041034,11,0,34,4476,1339,138,14,1485,170,6129
801041035,3,0,13,3774,2984,304,26,3314,248,7339
801041036,3,0,13,4152,1911,195,28,2130,190,6471
801041037,5,0,38,2804,1700,182,16,1894,103,4800
801041038,3,0,11,2932,1251,124,14,1387,119,4435
801041039,14,0,14,3217,3494,479,41,4012,255,7484
801041040,8,0,33,4160,3465,638,33,4135,296,8586
801041043,0,0,6,278,12,0,0,16,5,298
801041044,10,0,19,4444,3074,460,26,3561,242,8244
801041045,0,0,0,0,0,3,0,3,6,7
801041046,20,0,92,7592,2613,383,50,3049,314,10957
