SA2_CODE_2021,C11_Chr_Tot_0_14,C11_Chr_Tot_15_24,C11_Chr_Tot_25_34,C11_Chr_Tot_35_44,C11_Chr_Tot_45_54,C11_Chr_Tot_55_64,C11_Chr_Tot_65_74,C11_Chr_Tot_75_84,C11_Chr_Tot_85ov,C11_Chr_Tot_Tot,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_Au_Ab_Tr_R_0_14,C11_OR_Au_Ab_Tr_R_15_24,C11_OR_Au_Ab_Tr_R_25_34,C11_OR_Au_Ab_Tr_R_35_44,C11_OR_Au_Ab_Tr_R_45_54,C11_OR_Au_Ab_Tr_R_55_64,C11_OR_Au_Ab_Tr_R_65_74,C11_OR_Au_Ab_Tr_R_75_84,C11_OR_A_Ab_Tr_Re_85ov,C11_OR_Au_Ab_Tr_Re_Tot,C11_OR_Sikhism_0_14,C11_OR_Sikhism_15_24,C11_OR_Sikhism_25_34,C11_OR_Sikhism_35_44,C11_OR_Sikhism_45_54,C11_OR_Sikhism_55_64,C11_OR_Sikhism_65_74,C11_OR_Sikhism_75_84,C11_OR_Sikhism_85ov,C11_OR_Sikhism_Tot,C11_OR_OR_0_14,C11_OR_OR_15_24,C11_OR_OR_25_34,C11_OR_OR_35_44,C11_OR_OR_45_54,C11_OR_OR_55_64,C11_OR_OR_65_74,C11_OR_OR_75_84,C11_OR_OR_85ov,C11_OR_OR_Tot,C11_OR_Tot_0_14,C11_OR_Tot_15_24,C11_OR_Tot_25_34,C11_OR_Tot_35_44,C11_OR_Tot_45_54,C11_OR_Tot_55_64,C11_OR_Tot_65_74,C11_OR_Tot_75_84,C11_OR_Tot_85ov,C11_OR_Tot_Tot,C11_SBOSB_No_RA_0_14,C11_SBOSB_No_RA_15_24,C11_SBOSB_No_RA_25_34,C11_SBOSB_No_RA_35_44,C11_SBOSB_No_RA_45_54,C11_SBOSB_No_RA_55_64,C11_SBOSB_No_RA_65_74,C11_SBOSB_No_RA_75_84,C11_SBOSB_No_RA_85ov,C11_SBOSB_No_RA_Tot,C11_Rel_aff_ns_0_14,C11_Rel_aff_ns_15_24,C11_Rel_aff_ns_25_34,C11_Rel_aff_ns_35_44,C11_Rel_aff_ns_45_54,C11_Rel_aff_ns_55_64,C11_Rel_aff_ns_65_74,C11_Rel_aff_ns_75_84,C11_Rel_aff_ns_85ov,C11_Rel_aff_NS_Tot,C11_Tot_0_14,C11_Tot_15_24,C11_Tot_25_34,C11_Tot_35_44,C11_Tot_45_54,C11_Tot_55_64,C11_Tot_65_74,C11_Tot_75_84,C11_Tot_85ov,C11_Tot_Tot,C16_Buddhism_0_14,C16_Buddhism_15_24,C16_Buddhism_25_34,C16_Buddhism_35_44,C16_Buddhism_45_54,C16_Buddhism_55_64,C16_Buddhism_65_74,C16_Buddhism_75_84,C16_Buddhism_85ov,C16_Buddhism_Tot,C16_Christ_Angl_0_14,C16_Christ_Angl_15_24,C16_Christ_Angl_25_34,C16_Christ_Angl_35_44,C16_Christ_Angl_45_54,C16_Christ_Angl_55_64,C16_Christ_Angl_65_74,C16_Christ_Angl_75_84,C16_Christ_Angl_85ov,C16_Christ_Angl_Tot,C16_C_Assyr_Apo_0_14,C16_C_Assyr_Apo_15_24,C16_C_Assyr_Apo_25_34,C16_C_Assyr_Apo_35_44,C16_C_Assyr_Apo_45_54,C16_C_Assyr_Apo_55_64,C16_C_Assyr_Apo_65_74,C16_C_Assyr_Apo_75_84,C16_C_Assyr_Apo_85ov,C16_C_Assyr_Apo_Tot,C16_C_Baptist_0_14,C16_C_Baptist_15_24,C16_C_Baptist_25_34,C16_C_Baptist_35_44,C16_C_Baptist_45_54,C16_C_Baptist_55_64,C16_C_Baptist_65_74,C16_C_Baptist_75_84,C16_C_Baptist_85ov,C16_C_Baptist_Tot,C16_Christ_Breth_0_14,C16_Christ_Breth_15_24,C16_Christ_Breth_25_34,C16_Christ_Breth_35_44,C16_Christ_Breth_45_54,C16_Christ_Breth_55_64,C16_Christ_Breth_65_74,C16_Christ_Breth_75_84,C16_Christ_Breth_85ov,C16_Christ_Breth_Tot,C16_Ch_Catholic_0_14,C16_Ch_Catholic_15_24,C16_Ch_Catholic_25_34,C16_Ch_Catholic_35_44,C16_Ch_Catholic_45_54,C16_Ch_Catholic_55_64,C16_Ch_Catholic_65_74,C16_Ch_Catholic_75_84,C16_Ch_Catholic_85ov,C16_C_Catholic_Tot,C16_C_Chur_Christ_0_14,C16_C_Chur_Christ_15_24,C16_C_Chur_Christ_25_34,C16_C_Chur_Christ_35_44,C16_C_Chur_Christ_45_54,C16_C_Chur_Christ_55_64,C16_C_Chur_Christ_65_74,C16_C_Chur_Christ_75_84,C16_C_Chur_Christ_85ov,C16_C_Chur_Christ_Tot,C16_C_East_Ortho_0_14,C16_C_East_Ortho_15_24,C16_C_East_Ortho_25_34,C16_C_East_Ortho_35_44,C16_C_East_Ortho_45_54,C16_C_East_Ortho_55_64,C16_C_East_Ortho_65_74,C16_C_East_Ortho_75_84,C16_C_East_Ortho_85ov,C16_C_East_Ortho_Tot,C16_C_Jeh_Wit_0_14,C16_C_Jeh_Wit_15_24,C16_C_Jeh_Wit_25_34,C16_C_Jeh_Wit_35_44,C16_C_Jeh_Wit_45_54,C16_C_Jeh_Wit_55_64,C16_C_Jeh_Wit_65_74,C16_C_Jeh_Wit_75_84,C16_C_Jeh_Wit_85ov,C16_C_Jeh_Wit_Tot
801011001,163,106,91,109,153,145,142,86,34,1026,0,0,8,3,3,5,0,0,0,19,8,0,6,4,6,0,0,0,0,18,7,3,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,11,0,0,4,0,3,5,0,0,0,13,209,156,111,159,151,87,92,26,11,1008,61,46,31,34,41,39,26,35,25,342,446,327,254,314,366,285,265,150,70,2479,3,9,12,12,14,11,0,0,0,55,43,20,11,29,30,37,55,26,6,255,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,55,26,27,39,50,34,50,37,9,335,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,0,13,0,0,0,0,0,0,0,0,0,0
801011002,110,362,437,201,152,141,137,117,49,1699,21,21,83,15,4,0,4,0,0,157,60,44,105,23,11,4,0,4,0,246,3,3,6,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,9,10,3,0,0,0,0,0,26,0,7,10,0,3,5,0,0,0,24,3,14,22,5,0,5,0,0,0,49,99,360,522,173,98,71,29,24,5,1379,55,192,219,77,56,28,19,29,49,718,363,1018,1442,526,348,257,194,181,104,4436,12,59,71,46,18,15,5,5,0,237,16,42,89,24,40,38,33,43,31,351,0,0,0,0,0,0,0,0,0,0,4,13,31,6,0,0,3,0,0,64,0,0,0,0,0,0,0,0,0,0,65,156,280,131,90,48,70,40,21,890,0,0,0,0,0,0,0,0,0,7,6,7,19,12,11,9,3,0,0,66,0,0,0,3,0,0,0,0,0,8
801011003,261,802,520,256,234,230,147,91,51,2584,23,24,74,15,26,12,0,0,0,175,45,63,94,14,9,3,0,0,0,225,8,0,4,5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,9,8,4,0,0,0,0,0,27,0,13,6,3,0,6,0,0,0,28,4,19,13,6,0,9,0,0,0,54,170,736,538,170,128,120,50,15,4,1922,61,634,200,58,50,35,15,41,57,1149,597,2337,1502,562,475,423,221,157,111,6390,15,62,72,42,14,32,13,0,0,261,49,127,79,68,47,60,54,34,28,539,0,0,0,0,0,0,0,0,0,0,9,14,10,8,6,0,3,5,3,67,0,0,0,0,0,0,0,0,0,0,113,340,289,120,87,88,75,56,35,1201,0,0,0,0,0,0,0,0,0,0,14,7,16,13,16,10,5,6,0,78,0,0,0,0,0,0,0,0,0,3
801011004,328,192,298,265,198,216,130,53,15,1702,7,3,7,0,0,0,0,0,0,22,14,11,3,5,0,4,4,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,7,5,5,3,0,4,0,32,0,4,3,9,5,3,0,4,0,33,243,120,176,151,79,69,26,5,0,865,92,73,54,46,43,28,10,0,3,346,691,408,555,495,337,329,172,61,21,3066,3,7,4,11,8,10,7,0,0,49,59,43,48,49,51,52,54,20,7,387,0,0,0,0,0,0,0,0,0,0,6,4,4,10,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,134,95,107,112,80,82,58,30,3,701,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,3,0,6,0,21,0,0,0,0,0,4,0,0,0,6
801011005,185,118,126,194,166,167,187,111,33,1289,8,0,10,10,0,0,0,0,0,27,9,0,6,3,4,0,0,0,0,35,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,16,0,0,4,0,4,0,0,0,0,15,245,153,214,225,163,117,66,25,0,1215,55,34,40,43,22,35,20,10,5,261,505,313,415,501,368,336,279,149,42,2901,5,5,6,7,12,8,0,5,0,42,37,16,21,27,42,37,53,56,14,300,0,0,0,0,0,0,0,0,0,0,3,6,6,4,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,79,34,38,64,55,48,70,42,17,444,0,0,0,0,0,0,0,0,0,0,6,5,0,5,3,5,3,11,0,52,0,0,4,0,0,0,0,0,0,6
801011006,1100,490,733,831,550,375,171,64,18,4330,37,7,40,22,12,0,3,0,0,121,52,47,28,38,19,5,3,0,0,201,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,6,6,12,3,0,0,0,0,28,5,7,9,12,3,0,0,0,0,35,506,232,409,310,165,94,21,14,0,1764,133,70,88,87,47,35,12,3,0,476,1874,879,1333,1331,829,534,219,91,15,7108,24,18,22,29,36,11,9,9,0,146,155,95,86,159,171,108,66,40,4,888,0,0,0,0,0,0,0,0,0,0,4,0,3,7,15,7,5,0,0,46,0,0,0,0,0,0,0,0,0,0,545,198,236,348,254,143,110,46,8,1885,4,0,3,6,0,0,0,0,0,12,32,6,16,20,8,14,0,4,0,108,0,0,4,0,0,0,0,0,0,15
801011007,638,414,401,513,463,555,191,91,17,3298,19,9,8,13,9,5,4,0,0,59,20,10,15,13,3,0,0,0,0,61,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,0,9,0,0,5,0,6,4,0,0,0,17,0,3,11,3,11,4,0,0,0,29,367,226,294,266,178,138,48,7,3,1533,80,46,47,55,36,36,21,6,5,337,1125,708,800,890,720,748,267,106,28,5417,9,11,11,18,8,13,7,0,0,75,77,54,43,111,93,103,106,23,5,610,0,0,0,0,0,0,0,0,0,0,11,9,7,4,10,8,8,0,0,59,0,0,0,0,0,0,0,0,0,0,301,170,164,179,168,196,158,33,13,1380,0,0,0,0,0,3,0,0,4,9,10,11,9,7,13,4,14,10,0,89,4,0,0,4,0,0,0,0,0,5
801011008,460,418,300,359,516,424,199,109,33,2819,27,11,35,21,18,10,8,3,0,137,38,28,35,22,15,11,0,0,0,155,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,6,4,0,0,3,0,0,17,0,5,3,4,4,0,0,0,0,14,8,3,11,4,4,0,3,0,0,27,251,239,234,170,140,96,44,14,3,1195,73,79,73,51,59,33,9,17,0,393,932,825,733,674,799,613,277,144,50,5039,32,31,21,28,44,37,20,7,3,224,80,53,37,63,83,106,71,26,14,542,0,0,0,0,0,0,0,0,0,0,6,6,8,16,9,12,7,5,0,67,0,0,0,0,0,0,0,0,0,0,185,153,109,139,165,184,131,63,20,1142,0,0,0,0,0,6,0,0,0,6,3,4,3,8,9,9,7,10,0,62,0,0,0,0,4,7,0,0,0,11
801011009,356,248,229,303,298,329,193,61,21,2030,10,6,0,4,3,0,0,0,0,27,3,0,3,0,0,6,0,0,0,19,0,0,0,0,3,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,8,0,0,4,0,3,0,0,0,0,8,249,142,155,166,129,132,53,7,0,1035,74,64,50,63,58,50,32,6,3,392,696,461,439,540,501,520,287,78,22,3554,9,7,10,5,8,0,0,0,0,42,43,27,35,52,58,71,72,31,7,391,0,0,0,0,0,0,0,0,0,0,6,3,3,7,3,5,8,0,0,38,0,0,0,0,0,0,0,0,0,0,205,106,74,121,114,85,97,29,3,838,0,0,0,0,0,4,0,0,0,5,3,3,7,5,3,6,5,3,0,40,0,0,0,0,0,0,0,0,0,3
801011010,260,148,136,173,169,249,97,30,9,1259,0,0,0,0,0,0,0,0,0,4,5,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,7,140,110,99,94,76,96,37,12,0,673,28,31,16,18,14,28,4,0,0,144,438,295,257,293,269,381,139,42,11,2124,0,6,5,5,0,7,0,0,0,20,27,32,15,37,34,58,41,17,3,274,0,0,0,0,0,0,0,0,0,0,9,0,0,3,4,7,4,0,0,24,0,0,0,0,0,0,0,0,0,0,104,46,38,60,65,62,54,18,0,442,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3
