SA2_CODE_2021,C16_C_Lat_Da_Saint_0_14,C16_C_Lat_Da_Saint_15_24,C16_C_Lat_Da_Saint_25_34,C16_C_Lat_Da_Saint_35_44,C16_C_Lat_Da_Saint_45_54,C16_C_Lat_Da_Saint_55_64,C16_C_Lat_Da_Saint_65_74,C16_C_Lat_Da_Saint_75_84,C16_C_Lat_Da_Saint_85ov,C16_C_Lat_Da_Saint_Tot,C16_C_Luthe_0_14,C16_C_Luthe_15_24,C16_C_Luthe_25_34,C16_C_Luthe_35_44,C16_C_Luthe_45_54,C16_C_Luthe_55_64,C16_C_Luthe_65_74,C16_C_Luthe_75_84,C16_C_Luthe_85ov,C16_C_Luthe_Tot,C16_C_Ori_Orth_0_14,C16_C_Ori_Orth_15_24,C16_C_Ori_Orth_25_34,C16_C_Ori_Orth_35_44,C16_C_Ori_Orth_45_54,C16_C_Ori_Orth_55_64,C16_C_Ori_Orth_65_74,C16_C_Ori_Orth_75_84,C16_C_Ori_Orth_85ov,C16_C_Ori_Orth_Tot,C16_C_Oth_Prot_0_14,C16_C_Oth_Prot_15_24,C16_C_Oth_Prot_25_34,C16_C_Oth_Prot_35_44,C16_C_Oth_Prot_45_54,C16_C_Oth_Prot_55_64,C16_C_Oth_Prot_65_74,C16_C_Oth_Prot_75_84,C16_C_Oth_Prot_85ov,C16_C_Oth_Prot_Tot,C16_C_Pentec_0_14,C16_C_Pentec_15_24,C16_C_Pentec_25_34,C16_C_Pentec_35_44,C16_C_Pentec_45_54,C16_C_Pentec_55_64,C16_C_Pentec_65_74,C16_C_Pentec_75_84,C16_C_Pentec_85ov,C16_C_Pentec_Tot,C16_C_Pres_Ref_0_14,C16_C_Pres_Ref_15_24,C16_C_Pres_Ref_25_34,C16_C_Pres_Ref_35_44,C16_C_Pres_Ref_45_54,C16_C_Pres_Ref_55_64,C16_C_Pres_Ref_65_74,C16_C_Pres_Ref_75_84,C16_C_Pres_Ref_85ov,C16_C_Pres_Ref_Tot,C16_C_Sal_Army_0_14,C16_C_Sal_Army_15_24,C16_C_Sal_Army_25_34,C16_C_Sal_Army_35_44,C16_C_Sal_Army_45_54,C16_C_Sal_Army_55_64,C16_C_Sal_Army_65_74,C16_C_Sal_Army_75_84,C16_C_Sal_Army_85ov,C16_C_Sal_Army_Tot,C16_C_Sev_day_Adv_0_14,C16_C_Sev_day_Adv_15_24,C16_C_Sev_day_Adv_25_34,C16_C_Sev_day_Adv_35_44,C16_C_Sev_day_Adv_45_54,C16_C_Sev_day_Adv_55_64,C16_C_Sev_day_Adv_65_74,C16_C_Sev_day_Adv_75_84,C16_C_Sev_day_Adv_85ov,C16_C_Sev_day_Adv_Tot,C16_C_Unit_Chur_0_14,C16_C_Unit_Chur_15_24,C16_C_Unit_Chur_25_34,C16_C_Unit_Chur_35_44,C16_C_Unit_Chur_45_54,C16_C_Unit_Chur_55_64,C16_C_Unit_Chur_65_74,C16_C_Unit_Chur_75_84,C16_C_Unit_Chur_85ov,C16_C_Unit_Chur_Tot,C16_Chr_Ch_nfd_0_14,C16_Chr_Ch_nfd_15_24,C16_Chr_Ch_nfd_25_34,C16_Chr_Ch_nfd_35_44,C16_Chr_Ch_nfd_45_54,C16_Chr_Ch_nfd_55_64,C16_Chr_Ch_nfd_65_74,C16_Chr_Ch_nfd_75_84,C16_Chr_Ch_nfd_85ov,C16_Chr_Ch_nfd_Tot,C16_Chr_Oth_Ch_0_14,C16_Chr_Oth_Ch_15_24,C16_Chr_Oth_Ch_25_34,C16_Chr_Oth_Ch_35_44,C16_Chr_Oth_Ch_45_54,C16_Chr_Oth_Ch_55_64,C16_Chr_Oth_Ch_65_74,C16_Chr_Oth_Ch_75_84,C16_Chr_Oth_Ch_85ov,C16_Chr_Oth_Ch_Tot,C16_Chr_Tot_0_14,C16_Chr_Tot_15_24,C16_Chr_Tot_25_34,C16_Chr_Tot_35_44,C16_Chr_Tot_45_54,C16_Chr_Tot_55_64,C16_Chr_Tot_65_74,C16_Chr_Tot_75_84,C16_Chr_Tot_85ov,C16_Chr_Tot_Tot,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85ov,C16_OR_AusAborTrade_Tot,C16_OR_Sikh_0_14,C16_OR_Sikh_15_24,C16_OR_Sikh_25_34,C16_OR_Sikh_35_44,C16_OR_Sikh_45_54,C16_OR_Sikh_55_64,C16_OR_Sikh_65_74,C16_OR_Sikh_75_84,C16_OR_Sikh_85ov,C16_OR_Sikh_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_OR_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_OthRel_Tot_0_14,C16_OthRel_Tot_15_24,C16_OthRel_Tot_25_34,C16_OthRel_Tot_35_44,C16_OthRel_Tot_45_54,C16_OthRel_Tot_55_64,C16_OthRel_Tot_65_74,C16_OthRel_Tot_75_84,C16_OthRel_Tot_85ov,C16_OthRel_Tot_Tot,C16_SBOSB_N_RA_0_14,C16_SBOSB_N_RA_15_24,C16_SBOSB_N_RA_25_34,C16_SBOSB_N_RA_35_44,C16_SBOSB_N_RA_45_54,C16_SBOSB_N_RA_55_64,C16_SBOSB_N_RA_65_74,C16_SBOSB_N_RA_75_84,C16_SBOSB_N_RA_85ov,C16_SBOSB_N_RA_Tot
801011001,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,5,0,0,12,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,6,4,0,3,4,5,8,5,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,7,10,12,12,3,0,69,16,13,9,8,10,8,5,6,0,56,0,0,0,0,0,0,0,0,0,0,115,85,50,93,117,107,139,79,25,817,0,0,0,4,4,0,0,0,0,11,5,6,4,4,0,0,0,0,0,20,4,4,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,12,316,170,131,184,177,140,100,47,8,1276
801011002,0,8,6,0,4,0,0,0,0,12,3,0,8,10,0,0,4,3,0,34,0,5,0,5,0,0,0,0,0,10,0,6,18,3,0,3,3,3,0,42,5,8,25,11,3,0,0,0,0,58,13,9,18,12,12,6,13,7,4,96,0,0,0,5,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,13,11,8,19,17,6,9,13,7,18,101,16,29,44,26,9,11,7,0,5,137,0,0,3,0,0,6,0,0,0,6,135,297,576,259,177,136,139,106,79,1909,63,25,170,86,8,3,8,3,0,371,81,41,141,61,22,0,4,0,0,353,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,11,19,6,0,0,0,0,0,50,0,8,20,10,4,0,0,0,0,37,7,20,37,16,5,3,0,0,0,90,195,930,981,319,168,133,72,50,10,2853
801011003,0,0,3,0,4,0,0,0,0,6,0,9,3,0,3,10,0,0,0,24,3,0,5,0,0,0,0,0,0,8,5,3,9,0,5,3,0,0,0,35,4,18,21,8,5,4,4,0,0,61,10,13,25,22,9,15,8,3,5,95,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,7,13,24,26,21,12,22,21,7,8,153,17,36,48,20,25,19,7,0,3,177,0,0,0,0,0,0,0,0,0,9,241,594,540,288,215,216,182,122,89,2474,26,46,98,44,14,21,3,0,0,258,39,46,95,38,5,7,0,0,0,229,6,4,0,8,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,5,3,24,0,0,0,0,0,0,35,5,9,3,7,0,6,0,0,0,32,6,13,27,11,0,6,0,0,0,68,265,1101,833,294,156,164,88,33,22,2953
801011004,6,0,4,6,0,0,0,0,0,13,0,0,0,5,0,3,5,0,5,25,0,0,0,0,0,0,0,0,0,0,4,3,9,4,0,0,0,0,0,18,15,6,13,4,7,4,0,6,0,57,10,0,3,7,4,12,14,4,0,53,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,16,5,10,6,5,8,7,3,0,69,27,5,8,13,16,12,5,0,0,84,4,0,0,3,0,0,0,0,0,5,285,176,213,225,168,185,150,72,19,1482,3,0,0,3,0,0,0,0,0,11,20,0,11,9,8,3,0,0,0,58,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,4,0,8,0,7,0,0,0,19,5,4,3,7,3,3,3,0,0,31,276,143,221,190,120,76,48,14,4,1098
801011005,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,3,0,11,0,0,0,0,0,0,0,0,0,5,0,7,0,7,0,0,4,0,0,17,4,0,0,0,3,0,3,0,0,18,0,0,0,3,8,6,15,8,0,45,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,5,0,3,12,10,9,8,10,0,62,6,3,5,3,9,8,3,0,0,38,0,0,6,0,0,0,5,0,0,12,140,73,87,139,140,118,170,134,30,1031,3,0,11,3,4,0,4,0,0,22,13,4,7,7,3,3,0,0,0,48,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,8,0,0,0,3,3,0,0,0,0,7,295,161,192,259,210,156,95,38,14,1418
801011006,12,10,3,8,4,0,0,0,0,32,0,0,5,5,3,3,6,3,0,28,5,6,0,4,3,0,0,0,0,14,3,4,0,5,5,3,0,0,3,27,45,36,17,28,23,17,7,0,0,168,15,9,14,27,24,25,19,9,0,137,3,0,0,0,3,0,0,0,0,14,3,3,0,4,0,5,4,0,0,24,39,19,13,22,31,40,14,10,5,187,53,24,19,34,33,17,3,0,0,194,0,0,0,0,0,0,0,0,0,5,931,415,429,671,585,377,244,108,23,3778,48,13,33,52,17,9,0,5,0,170,61,30,31,32,28,14,3,3,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,7,0,0,0,0,0,22,0,4,0,5,3,4,0,0,0,18,6,3,9,7,9,7,0,0,0,41,666,346,421,437,253,158,69,19,10,2364
801011007,0,0,0,0,0,0,0,0,0,5,3,0,7,4,5,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,3,0,0,0,25,9,4,7,8,6,4,0,0,0,50,9,11,11,10,15,25,28,5,3,110,0,0,0,0,0,0,0,0,0,10,8,0,0,9,0,0,0,0,0,21,27,14,19,18,29,32,20,7,0,168,15,11,20,15,17,14,11,9,3,105,0,4,5,4,0,3,0,0,0,15,483,290,296,366,358,407,358,90,32,2676,16,3,9,15,0,0,6,0,0,52,25,6,8,18,5,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,3,0,0,26,0,5,0,7,0,6,0,0,0,18,4,4,13,5,8,3,3,0,0,45,458,301,281,339,231,174,86,16,6,1900
801011008,17,0,4,5,0,3,0,0,0,27,10,0,0,8,6,0,4,0,0,28,5,0,0,3,0,5,0,0,0,9,4,0,4,4,4,4,0,0,0,20,21,14,12,11,13,4,0,0,0,76,3,8,13,7,5,20,13,8,0,71,3,0,0,4,4,0,0,0,0,16,6,0,4,0,0,0,0,0,0,10,15,6,8,13,14,30,12,8,0,109,14,8,21,27,11,24,14,0,3,113,0,0,0,0,0,0,3,0,0,4,365,269,222,288,326,412,274,116,36,2310,40,10,25,27,18,12,3,7,0,138,59,31,28,27,16,9,10,0,0,185,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,15,3,3,4,3,3,0,0,0,0,18,0,6,9,3,3,0,3,0,0,28,286,283,267,220,169,185,69,23,14,1513
801011009,9,0,0,4,0,3,0,0,0,16,0,0,0,4,4,3,8,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,14,9,11,15,0,11,4,0,0,51,8,4,5,6,13,8,15,6,0,71,0,0,0,0,3,0,4,0,0,11,0,0,6,0,0,0,0,0,0,3,16,0,9,11,13,15,20,9,3,94,22,12,10,17,9,4,9,4,0,78,0,0,0,0,0,0,0,0,0,6,321,160,165,248,222,217,232,84,16,1666,8,0,0,8,6,6,3,3,0,37,6,0,5,7,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3,5,0,0,0,0,0,15,9,0,4,5,0,0,0,0,0,24,310,187,198,206,164,121,106,21,4,1312
801011010,5,0,0,0,0,0,0,0,0,11,0,3,0,0,3,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,9,0,0,3,4,0,3,0,0,14,5,0,9,4,4,8,0,0,0,30,4,6,5,0,6,16,8,5,0,48,4,0,0,6,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,4,4,4,12,9,11,4,3,66,16,9,0,8,5,8,8,0,0,59,0,0,0,0,0,0,0,0,0,0,181,100,80,134,149,171,139,39,11,1007,0,0,0,0,0,0,0,0,0,4,9,0,4,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,100,92,128,103,89,77,14,4,797
