SA2_CODE_2021,C16_Rel_NS_0_14,C16_Rel_NS_15_24,C16_Rel_NS_25_34,C16_Rel_NS_35_44,C16_Rel_NS_45_54,C16_Rel_NS_55_64,C16_Rel_NS_65_74,C16_Rel_NS_75_84,C16_Rel_NS_85ov,C16_Rel_NS_Tot,C16_Tot_0_14,C16_Tot_15_24,C16_Tot_25_34,C16_Tot_35_44,C16_Tot_45_54,C16_Tot_55_64,C16_Tot_65_74,C16_Tot_75_84,C16_Tot_85ov,C16_Tot_Tot,C21_Buddhism_0_14,C21_Buddhism_15_24,C21_Buddhism_25_34,C21_Buddhism_35_44,C21_Buddhism_45_54,C21_Buddhism_55_64,C21_Buddhism_65_74,C21_Buddhism_75_84,C21_Buddhism_85ov,C21_Buddhism_Tot,C21_Christ_Angli_0_14,C21_Christ_Angl_15_24,C21_Christ_Angl_25_34,C21_Christ_Angl_35_44,C21_Christ_Angl_45_54,C21_Christ_Angl_55_64,C21_Christ_Angl_65_74,C21_Christ_Angl_75_84,C21_Christ_Anglic_85ov,C21_Christ_Anglic_Tot,C21_Chr_Ass_Apo_0_14,C21_Chr_Ass_Apo_15_24,C21_Chr_Ass_Apo_25_34,C21_Chr_Ass_Apo_35_44,C21_Chr_Ass_Apo_45_54,C21_Chr_Ass_Apo_55_64,C21_Chr_Ass_Apo_65_74,C21_Chr_Ass_Apo_75_84,C21_Chr_Ass_Apo_85ov,C21_Chr_Ass_Apo_Tot,C21_Chr_Bapt_0_14,C21_Chr_Bapt_15_24,C21_Chr_Bapt_25_34,C21_Chr_Bapt_35_44,C21_Chr_Bapt_45_54,C21_Chr_Bapt_55_64,C21_Chr_Bapt_65_74,C21_Chr_Bapt_75_84,C21_Chr_Bapt_85ov,C21_Chr_Bapt_Tot,C21_Chr_Breth_0_14,C21_Chr_Bret_15_24,C21_Chr_Bret_25_34,C21_Chr_Bret_35_44,C21_Chr_Bret_45_54,C21_Chr_Bret_55_64,C21_Chr_Bret_65_74,C21_Chr_Bret_75_84,C21_Chr_Breth_85ov,C21_Chr_Bret_Tot,C21_Chr_Cath_0_14,C21_Chr_Cath_15_24,C21_Chr_Cath_25_34,C21_Chr_Cath_35_44,C21_Chr_Cath_45_54,C21_Chr_Cath_55_64,C21_Chr_Cath_65_74,C21_Chr_Cath_75_84,C21_Chr_Catho_85ov,C21_Chr_Catho_Tot,C21_C_Chur_Christ_0_14,C21_C_Chur_Christ_15_24,C21_C_Chur_Christ_25_34,C21_C_Chur_Christ_35_44,C21_C_Chur_Christ_45_54,C21_C_Chur_Christ_55_64,C21_C_Chur_Christ_65_74,C21_C_Chur_Christ_75_84,C21_C_Chur_Christ_85ov,C21_C_Chur_Christ_Tot,C21_C_East_Ortho_0_14,C21_C_East_Ortho_15_24,C21_C_East_Ortho_25_34,C21_C_East_Ortho_35_44,C21_C_East_Ortho_45_54,C21_C_East_Ortho_55_64,C21_C_East_Ortho_65_74,C21_C_East_Ortho_75_84,C21_C_East_Ortho_85ov,C21_C_East_Ortho_Tot,C21_C_Jeh_Wit_0_14,C21_C_Jeh_Wit_15_24,C21_C_Jeh_Wit_25_34,C21_C_Jeh_Wit_35_44,C21_C_Jeh_Wit_45_54,C21_C_Jeh_Wit_55_64,C21_C_Jeh_Wit_65_74,C21_C_Jeh_Wit_75_84,C21_C_Jeh_Wit_85ov,C21_C_Jeh_Wit_Tot,C21_C_La_Da_Sai_0_14,C21_C_La_Da_Sa_15_24,C21_C_La_Da_Sa_25_34,C21_C_La_Da_Sa_35_44,C21_C_La_Da_Sa_45_54,C21_C_La_Da_Sa_55_64,C21_C_La_Da_Sa_65_74,C21_C_La_Da_Sa_75_84,C21_C_Lat_Da_Sa_85ov,C21_C_Lat_Da_Sa_Tot,C21_C_Luthe_0_14,C21_C_Luthe_15_24,C21_C_Luthe_25_34,C21_C_Luthe_35_44,C21_C_Luthe_45_54,C21_C_Luthe_55_64,C21_C_Luthe_65_74,C21_C_Luthe_75_84,C21_C_Luthe_85ov,C21_C_Luthe_Tot,C21_C_Ori_Orth_0_14,C21_C_Ori_Orth_15_24,C21_C_Ori_Orth_25_34,C21_C_Ori_Orth_35_44,C21_C_Ori_Orth_45_54,C21_C_Ori_Orth_55_64,C21_C_Ori_Orth_65_74,C21_C_Ori_Orth_75_84,C21_C_Ori_Orth_85ov,C21_C_Ori_Ort_Tot,C21_C_Oth_Pro_0_14,C21_C_Oth_Pro_15_24,C21_C_Oth_Pro_25_34,C21_C_Oth_Pro_35_44,C21_C_Oth_Pro_45_54,C21_C_Oth_Pro_55_64,C21_C_Oth_Pro_65_74,C21_C_Oth_Pro_75_84,C21_C_Oth_Pro_85ov,C21_C_Oth_Pro_Tot,C21_C_Pent_0_14,C21_C_Pent_15_24,C21_C_Pent_25_34,C21_C_Pent_35_44,C21_C_Pent_45_54,C21_C_Pent_55_64,C21_C_Pent_65_74,C21_C_Pent_75_84,C21_C_Pent_85ov,C21_C_Pent_Tot,C21_C_Pres_Ref_0_14,C21_C_Pres_Ref_15_24,C21_C_Pres_Ref_25_34,C21_C_Pres_Ref_35_44,C21_C_Pres_Ref_45_54,C21_C_Pres_Ref_55_64,C21_C_Pres_Ref_65_74,C21_C_Pres_Ref_75_84,C21_C_Pres_Ref_85ov,C21_C_Pres_Ref_Tot,C21_C_Sal_Army_0_14,C21_C_Sal_Army_15_24,C21_C_Sal_Army_25_34,C21_C_Sal_Army_35_44,C21_C_Sal_Army_45_54,C21_C_Sal_Army_55_64,C21_C_Sal_Army_65_74,C21_C_Sal_Army_75_84,C21_C_Sal_Army_85ov,C21_C_Sal_Army_Tot,C21_C_Sev_day_Adv_0_14,C21_C_Sev_day_Adv_15_24,C21_C_Sev_day_Adv_25_34,C21_C_Sev_day_Adv_35_44,C21_C_Sev_day_Adv_45_54,C21_C_Sev_day_Adv_55_64,C21_C_Sev_day_Adv_65_74,C21_C_Sev_day_Adv_75_84,C21_C_Sev_day_Adv_85ov,C21_C_Sev_day_Adv_Tot,C21_Chr_Unit_Ch_0_14,C21_Chr_Unit_Ch_15_24,C21_Chr_Unit_Ch_25_34,C21_Chr_Unit_Ch_35_44,C21_Chr_Unit_Ch_45_54,C21_Chr_Unit_Ch_55_64,C21_Chr_Unit_Ch_65_74,C21_Chr_Unit_Ch_75_84,C21_Chr_Unit_Ch_85ov,C21_Chr_Unit_Ch_Tot
801011001,37,22,8,22,39,18,28,8,3,185,486,287,208,321,352,286,266,137,45,2397,12,9,17,19,5,8,0,0,0,78,17,15,8,14,42,51,40,37,15,227,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,3,0,12,0,0,0,0,0,0,0,0,0,0,50,42,18,39,56,42,33,43,20,351,0,0,0,0,0,0,0,0,0,0,3,0,4,5,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,8,0,4,5,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,9,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,6,4,9,4,15,3,50
801011002,65,157,244,116,71,51,34,33,59,838,562,1523,2226,908,470,351,262,197,147,6651,23,65,124,48,38,20,7,8,6,332,18,31,59,57,34,31,43,42,53,367,0,0,0,0,0,0,0,0,0,0,8,10,27,17,4,7,5,0,0,80,0,0,0,0,0,0,0,0,0,0,74,139,280,153,96,71,74,78,47,1013,0,0,0,0,0,0,0,4,0,4,5,12,16,18,8,6,6,0,0,64,0,0,4,0,7,0,0,0,0,14,6,3,8,4,6,3,0,0,0,26,0,3,3,9,0,0,0,4,3,28,5,0,3,0,0,0,0,0,0,10,3,18,28,13,6,5,0,0,3,77,15,15,23,9,10,4,0,0,0,74,6,10,21,13,10,10,13,19,7,107,0,0,4,0,0,0,0,0,0,5,0,3,5,0,0,0,0,0,0,8,11,20,23,18,17,14,10,14,17,143
801011003,50,277,176,77,43,46,27,26,23,733,649,2144,1829,800,449,494,320,181,132,6996,23,68,100,55,29,33,17,10,3,326,58,108,51,49,50,52,72,60,32,526,0,0,0,0,0,0,0,0,0,0,9,20,16,11,5,3,5,0,0,70,0,0,0,0,0,0,0,0,0,0,125,279,191,140,100,102,83,79,48,1153,0,0,0,0,0,0,0,0,0,0,21,12,9,17,7,12,5,6,6,90,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,7,0,4,0,4,5,4,7,0,0,26,4,0,7,0,0,0,0,0,0,14,6,16,13,9,10,9,0,4,0,65,11,20,32,8,4,5,0,0,0,73,4,18,11,10,11,9,17,5,3,91,0,0,0,0,0,0,0,0,0,5,8,4,0,6,0,0,0,0,0,11,6,23,12,9,12,6,19,15,12,117
801011004,54,33,47,25,20,30,21,15,0,242,638,367,512,474,328,319,221,103,24,2979,5,3,7,9,4,12,8,0,0,51,39,27,40,44,50,29,41,25,0,307,0,0,0,0,0,0,0,0,0,0,6,3,9,5,7,3,4,0,0,45,0,0,0,0,0,0,0,0,0,0,109,62,61,96,77,87,55,33,4,590,0,0,0,0,0,5,0,0,0,5,3,0,0,0,3,6,5,3,3,22,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,18,25,5,5,16,7,0,3,0,0,60,9,7,0,6,6,8,7,3,0,48,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,14,4,0,7,12,3,13,4,0,49
801011005,44,18,23,42,31,31,27,18,0,227,509,264,325,451,403,319,292,198,45,2804,8,0,17,21,8,8,5,5,0,67,14,19,7,14,40,45,43,40,22,239,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,59,37,37,64,49,50,52,45,14,411,0,0,0,0,0,0,0,0,0,0,6,3,4,4,3,12,3,10,3,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,5,14,0,0,0,0,0,0,0,0,0,4,0,0,3,0,5,0,0,0,0,8,3,0,0,0,4,0,3,0,0,6,0,0,0,0,5,0,6,13,5,33,0,0,0,0,0,7,0,0,0,3,0,3,0,0,3,0,0,0,0,4,5,0,0,4,4,8,14,8,4,51
801011006,120,78,63,87,73,42,26,6,5,496,1843,890,1007,1314,1001,613,346,142,36,7199,31,17,17,31,31,29,6,5,0,165,99,73,50,91,126,133,76,30,9,690,0,0,0,0,0,0,0,0,0,0,9,6,11,8,12,12,6,8,0,66,0,0,0,0,0,0,0,0,0,0,429,196,163,279,285,172,122,63,9,1713,7,0,0,0,0,0,0,3,0,17,27,5,11,18,22,12,3,5,0,105,0,0,0,0,5,0,0,0,0,12,3,8,4,3,0,3,0,0,0,20,7,0,0,4,5,4,5,3,0,28,0,0,0,0,4,0,0,0,0,11,4,7,8,0,13,7,5,0,0,47,43,33,19,21,30,13,13,4,0,176,7,11,3,17,18,26,19,4,0,106,0,0,0,0,0,0,0,0,0,7,9,3,0,4,3,4,0,0,0,20,12,6,7,19,13,38,20,10,3,136
801011007,88,75,63,84,69,67,53,9,3,511,1084,685,688,843,682,671,514,123,39,5329,9,8,17,12,14,9,15,0,0,95,45,25,32,61,101,65,102,32,8,469,0,0,0,0,0,0,0,0,0,0,7,12,0,5,7,11,8,3,0,56,0,0,0,0,0,0,0,0,0,0,220,158,123,140,178,162,179,62,13,1239,0,0,0,0,0,0,0,0,0,4,6,6,6,9,7,4,10,5,6,60,0,0,0,0,4,0,4,0,0,5,0,3,0,0,3,0,0,0,0,9,3,0,4,3,0,5,3,0,0,19,0,0,0,0,0,0,0,0,0,0,14,5,11,6,4,0,3,0,0,36,4,8,3,3,4,6,9,3,0,42,6,0,9,11,9,13,15,12,0,78,0,0,0,0,0,0,3,0,0,6,5,0,5,5,5,0,0,0,0,14,18,10,7,21,19,21,20,3,0,116
801011008,66,51,81,37,48,47,29,14,3,371,848,671,661,636,633,701,401,161,53,4769,28,24,35,33,32,44,31,13,0,238,37,35,29,24,51,80,90,34,14,396,0,0,0,0,0,0,0,0,0,0,9,5,13,13,7,11,6,6,0,73,0,0,0,4,0,0,0,0,0,3,167,110,89,123,139,189,139,84,23,1057,0,0,0,0,0,0,5,0,0,5,8,6,9,0,10,15,10,9,8,70,6,0,0,0,0,0,5,0,0,15,7,4,0,3,0,0,0,0,0,14,6,0,0,4,4,0,3,3,0,18,5,0,0,0,0,6,0,0,0,7,6,4,0,0,5,4,8,0,0,28,12,12,12,12,3,8,4,0,0,61,8,3,5,5,8,21,16,7,4,76,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,8,0,9,11,13,23,3,6,81
801011009,53,24,28,38,37,40,29,12,4,258,703,389,411,518,437,388,379,120,26,3355,7,4,7,11,7,3,0,0,0,38,36,27,22,44,53,55,62,32,8,344,0,0,0,0,0,0,0,0,0,0,3,0,4,3,4,4,0,4,0,23,0,0,0,0,0,0,0,0,0,0,186,104,80,105,112,98,77,50,4,816,0,0,0,0,0,0,0,0,0,0,14,4,3,8,0,10,11,4,0,45,4,0,0,0,0,0,3,0,0,8,5,6,0,3,0,0,0,0,0,9,3,0,4,3,0,0,8,3,0,20,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,4,0,0,0,11,8,3,5,9,4,3,4,0,0,35,7,3,4,7,7,7,19,9,0,54,0,0,0,0,4,4,0,0,0,6,3,0,5,3,0,0,0,0,0,9,6,8,4,13,18,20,18,6,0,94
801011010,28,17,20,25,20,30,26,7,0,177,414,220,203,298,274,290,245,68,14,2027,4,4,6,10,4,0,7,0,0,37,23,20,8,24,39,23,60,23,0,227,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,4,0,4,0,15,0,0,0,0,0,0,0,0,0,0,80,46,30,47,58,41,78,25,4,409,0,0,0,0,0,0,0,0,0,0,6,0,0,9,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,3,5,0,0,14,0,0,4,0,6,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,10,15,4,8,7,8,5,3,0,0,49,10,0,0,8,5,7,3,6,0,36,0,4,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,9,5,8,7,0,12,15,0,3,54
