SA2_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
801011001,10,8,3,6,5,13,4,0,0,43,0,0,0,0,0,0,0,0,0,0,94,70,46,77,111,122,94,107,41,765,5,3,18,12,3,0,0,0,0,50,8,0,3,4,4,0,0,0,0,23,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,3,0,0,0,17,4,0,0,3,3,3,0,0,0,17,361,207,158,217,196,185,119,78,15,1542,22,19,22,20,11,11,18,8,0,133,509,308,270,345,340,339,241,197,62,2605
801011002,22,27,59,30,10,12,12,7,4,190,0,0,5,0,0,0,0,0,0,5,177,291,562,343,198,172,172,168,142,2223,79,149,484,104,18,7,7,0,4,843,81,74,183,85,19,19,3,0,0,457,0,4,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,23,60,14,0,0,0,0,0,116,0,13,7,4,3,0,0,0,0,34,15,34,68,19,9,0,0,0,0,146,304,861,1605,521,259,168,124,76,26,3948,58,86,191,88,50,28,13,18,9,536,737,1556,3216,1209,592,410,324,272,184,8502
801011003,13,44,45,24,15,19,10,5,0,176,0,0,0,0,0,0,0,0,0,4,254,553,403,290,227,221,215,178,100,2448,55,105,257,80,21,19,19,0,0,558,45,49,93,55,7,5,3,0,0,256,3,4,0,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,14,29,9,0,0,6,0,0,64,3,12,16,7,0,4,3,0,0,44,15,18,44,14,6,4,3,0,0,109,345,993,980,426,248,157,161,60,27,3390,48,113,93,58,33,30,16,11,9,414,787,1902,1970,973,574,472,437,265,137,7520
801011004,11,16,7,12,20,10,4,3,0,86,0,0,0,0,0,0,4,0,0,4,223,126,140,190,179,159,144,77,19,1249,8,5,19,9,0,0,0,0,0,45,45,13,23,19,12,4,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,4,4,3,0,3,0,33,0,0,5,5,3,0,0,0,4,16,7,0,11,11,6,3,0,3,4,51,321,166,268,249,168,110,80,25,4,1380,36,15,36,25,28,13,14,4,3,164,649,331,495,505,391,293,241,111,30,3055
801011005,9,0,11,9,4,10,3,5,0,46,0,0,0,0,0,0,3,0,0,5,97,67,72,99,128,134,128,129,48,904,9,0,13,5,5,0,0,0,0,33,9,4,10,10,4,4,0,3,0,44,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,18,353,172,234,281,278,173,140,77,18,1728,40,14,22,25,17,14,22,12,0,165,509,267,374,443,445,327,295,224,73,2965
801011006,62,23,29,48,28,22,8,3,0,222,0,0,0,0,4,0,0,0,0,4,714,382,307,515,568,442,280,134,29,3378,52,11,34,62,17,12,6,3,0,197,83,43,34,48,31,20,9,5,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,11,11,4,0,4,0,0,45,0,9,0,3,7,5,0,0,0,18,15,13,15,14,7,3,3,0,0,65,745,436,410,515,415,219,119,33,6,2899,63,48,35,42,52,32,14,0,0,301,1703,944,857,1227,1128,759,435,174,40,7265
801011007,25,8,18,27,19,23,23,5,0,150,4,3,5,0,6,0,0,0,0,13,372,225,217,290,362,319,381,125,38,2324,24,5,28,18,7,4,4,3,0,86,27,9,21,12,5,5,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,8,7,3,0,0,0,0,33,0,8,3,0,4,3,4,0,0,17,12,9,9,6,5,3,4,0,0,53,645,364,447,427,320,225,166,55,11,2658,42,37,27,31,39,25,13,9,0,227,1130,651,774,799,760,596,577,188,49,5531
801011008,18,14,9,27,16,10,13,3,3,114,0,0,0,0,0,0,0,0,0,6,288,192,165,227,262,367,319,155,51,2022,43,28,57,43,10,8,7,3,3,197,69,15,25,41,11,6,7,7,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,4,0,0,0,0,0,28,0,5,5,0,0,4,0,0,0,17,4,4,17,7,3,6,0,4,0,46,365,254,345,298,221,202,129,45,12,1871,31,19,51,30,30,31,13,6,5,222,823,537,695,681,557,674,514,231,69,4781
801011009,28,6,6,18,5,13,11,0,0,87,0,0,0,4,0,0,0,0,0,3,303,166,137,210,217,207,213,111,17,1574,9,5,18,3,6,0,7,3,0,52,17,8,20,11,0,5,6,0,0,59,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,9,14,0,12,0,0,0,0,0,0,32,405,234,258,267,234,177,120,52,7,1748,27,19,24,25,17,12,26,11,5,165,770,436,479,525,487,406,359,177,30,3671
801011010,14,7,0,10,8,10,6,0,0,52,0,0,0,0,0,0,0,0,0,5,165,93,51,111,138,112,175,65,8,921,0,0,4,0,0,0,0,0,0,5,5,12,4,5,6,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,10,0,5,0,0,0,0,6,0,0,10,235,137,115,161,137,109,113,35,3,1055,11,3,6,15,7,9,4,3,0,73,424,247,198,310,289,243,303,99,16,2126
