SA2_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
801011001,0,0,0,0,5,4,4,4,0,5,7,10,14,4,10,13,0,0,0,0,0,0,0,0,0,4,0,6,7,14,18,7,11,20,68,82,158,36,39,77,40,43,83,393,418,813,390,388,774,423,405,832
801011002,10,18,18,33,48,49,94,18,21,36,16,39,56,43,64,105,0,0,0,0,0,0,0,0,9,20,30,53,32,57,92,86,114,204,328,270,601,288,261,550,203,182,385,854,839,1695,1260,1321,2582,1344,1488,2831
801011003,12,5,10,18,13,22,39,19,18,40,17,19,32,40,31,74,0,0,0,0,0,0,0,0,0,29,28,59,19,30,47,58,57,110,458,501,960,267,278,545,122,128,243,1563,1681,3243,1590,1655,3242,1430,1662,3087
801011004,8,0,0,0,10,4,10,7,10,19,6,15,18,17,17,31,0,0,0,0,0,0,0,0,0,14,11,21,6,16,27,26,17,43,119,109,226,92,93,182,65,59,121,469,483,950,458,450,911,465,442,905
801011005,8,3,0,4,4,7,9,4,7,18,7,9,18,11,10,23,0,0,0,0,0,0,0,0,0,9,10,18,8,15,18,13,20,28,59,56,114,57,55,117,48,48,97,403,415,824,423,420,844,416,429,846
801011006,11,11,10,23,12,18,31,21,38,55,14,33,43,35,26,60,0,0,0,0,0,0,0,0,0,30,45,73,15,50,70,43,44,90,171,135,306,120,141,259,105,97,202,1167,1126,2295,1168,1177,2344,1220,1221,2439
801011007,3,0,6,3,10,5,12,15,8,28,5,21,27,27,22,42,0,0,0,0,0,0,0,0,0,15,8,28,10,26,34,35,25,53,82,86,164,179,171,347,65,52,123,787,787,1580,845,846,1691,893,788,1683
801011008,4,7,7,18,12,15,21,7,18,26,7,24,30,25,29,53,0,0,0,0,0,0,0,0,0,10,20,33,15,35,47,34,42,76,122,125,238,103,127,228,64,73,135,856,808,1666,726,786,1506,639,732,1371
801011009,0,0,0,0,5,0,8,3,12,19,4,7,12,15,24,36,0,0,0,0,0,0,0,0,0,7,12,20,4,11,13,19,23,47,159,139,295,63,65,133,54,49,101,611,586,1198,490,488,974,568,572,1139
801011010,0,0,0,0,6,4,4,4,15,18,4,0,6,3,13,16,0,0,0,0,0,0,0,0,0,4,14,20,5,0,7,9,14,23,27,16,40,44,43,87,21,19,36,299,323,616,299,310,605,324,331,652
