SA2_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
801011001,236,291,57,6,589,139,29,51,808,0,0,0,0,5,10,0,3,19,21,8,4,0,25,21,6,5,59,20,8,0,0,31,34,6,6,75,3,3,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,3,3,0,0,9,3,3,0,0,9,6,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,299,61,6,629,173,35,62,907,229,296,58,7,584,132,30,25,774,3,3,0,0,6,11,0,0,20,18,14,9,0,39,16,6,3,67,25,15,9,0,43,31,6,3,82,6,0,0,0,7,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0
801011002,17,11,14,6,54,31,12,0,96,112,42,25,9,188,161,37,30,424,113,64,64,7,251,117,59,51,481,222,108,92,18,441,280,100,79,899,48,21,14,5,97,122,30,35,283,94,22,6,7,132,119,39,30,317,169,29,7,0,209,202,54,77,547,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,316,68,31,16,435,447,124,143,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,192,137,36,930,754,235,222,2142,0,0,4,0,8,14,3,0,30,87,56,31,7,178,155,32,26,393,107,100,56,14,280,139,57,37,511,196,157,86,18,454,287,90,67,905,29,24,12,8,77,64,17,17,168,114,38,14,14,183,166,77,47,472,432,126
801011003,256,284,31,13,589,117,72,39,819,24,23,0,8,53,20,17,6,97,97,84,19,11,211,61,104,20,400,122,107,20,11,264,84,117,27,495,0,0,0,0,0,0,0,0,0,104,18,6,7,134,124,55,41,356,113,22,8,9,149,121,55,37,375,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,221,41,13,8,289,243,109,83,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,604,433,63,34,1142,452,303,150,2046,154,215,23,3,400,32,28,22,475,95,60,22,6,182,96,35,5,319,228,138,41,10,419,146,184,29,770,323,198,61,16,596,242,219,33,1087,18,11,0,5,30,15,14,0,59,94,9,4,6,121,142,35,19,316,159,35
801011004,227,318,176,11,734,220,36,47,1037,21,20,34,0,70,59,9,12,158,0,0,0,0,0,0,0,0,0,21,20,34,0,70,59,9,12,158,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,340,205,13,808,287,45,62,1197,217,295,191,13,712,225,47,62,1043,16,24,21,0,53,67,5,7,134,0,0,0,0,0,0,0,0,0,16,24,21,0,53,67,5,7,134,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0
801011005,183,235,80,6,505,121,23,12,659,114,62,31,3,206,192,26,8,431,21,12,5,0,35,32,3,7,74,133,72,36,0,242,220,24,12,505,9,3,6,3,24,26,13,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,4,5,0,0,11,15,8,4,3,25,30,17,7,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,314,120,8,773,371,64,28,1238,196,250,71,8,527,138,26,22,709,119,54,29,6,197,186,13,23,423,10,10,0,0,15,13,7,3,40,124,60,26,9,217,198,17,22,464,6,0,0,0,9,20,3,0,38,0,0,0,0,0,0,0,0,0,0,0
801011006,523,1021,256,19,1814,273,72,37,2185,51,35,21,0,107,53,4,9,168,5,17,3,0,30,9,0,4,43,55,57,23,0,133,63,11,9,215,0,3,0,0,5,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,1071,281,22,1953,335,81,43,2411,471,1034,247,18,1769,294,54,59,2172,49,38,24,5,106,64,5,7,190,7,15,0,0,25,0,0,3,28,51,50,28,5,132,65,14,10,219,7,0,3,0,13,11,0,0,22,0,0,0,0,0,0,0,0,0,0,0
801011007,496,729,208,25,1462,269,68,37,1835,3,4,0,0,15,18,3,0,36,5,6,8,5,25,10,7,0,37,11,13,6,5,35,33,14,0,79,9,5,0,3,11,8,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,4,0,0,0,10,7,5,0,3,15,10,0,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,746,218,27,1507,309,82,45,1949,520,663,199,16,1391,322,55,111,1880,4,4,0,0,4,0,0,0,6,3,8,7,0,14,9,5,6,45,10,8,7,0,25,10,5,11,53,9,0,0,0,11,3,0,4,23,0,0,0,0,0,0,0,0,0,0,0
801011008,358,586,204,14,1169,270,66,33,1540,49,24,16,5,91,76,12,9,185,0,0,0,0,0,0,0,0,0,49,24,16,5,91,76,12,9,185,48,15,14,8,82,34,15,27,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,49,15,14,8,88,35,15,27,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,630,237,31,1347,376,89,64,1884,362,497,182,21,1061,254,34,48,1402,92,75,45,8,222,164,22,20,434,0,0,0,0,0,0,0,0,3,89,75,45,8,224,164,28,20,433,0,0,0,0,3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0
801011009,334,473,96,10,906,168,39,86,1210,4,0,0,0,5,0,0,0,8,3,0,0,0,3,3,0,0,5,6,0,0,0,9,3,0,0,17,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,6,344,475,106,10,928,173,40,93,1237,314,470,114,11,907,171,28,32,1139,6,3,5,0,15,5,0,0,25,0,0,0,0,0,0,0,3,0,9,3,5,0,19,5,0,3,21,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0
801011010,206,300,72,9,579,110,16,10,712,4,3,4,0,17,7,5,0,25,0,0,0,0,0,0,0,0,0,4,3,4,0,17,7,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,303,77,6,595,110,18,10,740,201,260,71,4,539,94,15,30,680,4,3,8,0,15,9,0,0,23,0,0,0,0,0,0,0,0,0,4,3,8,0,15,9,0,0,23,0,0,8,0,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0
801011011,292,435,117,14,857,179,48,43,1122,16,12,5,5,32,32,9,0,70,0,0,0,0,0,0,0,0,0,16,12,5,5,32,32,9,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4,3,0,0,3,3,0,0,11,4,3,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,447,118,13,890,217,51,45,1206,302,418,110,9,834,184,44,37,1101,13,4,7,0,31,30,9,9,72,0,0,0,0,0,0,0,0,0,13,4,7,0,31,30,9,9,72,3,3,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
