SA2_CODE_2021,C11_SH_0b_s_a_b_NPFH_2,C11_SH_0b_s_a_b_NPFH_3,C11_SH_0b_s_a_b_NPFH_4,C11_SH_0b_s_a_b_NPFH_5,C11_SH_0b_s_a_b_NPFH_6_mor,C11_SH_0b_s_a_b_Tot,C11_SH_1b_NPFH_2,C11_SH_1b_NPFH_3,C11_SH_1b_NPFH_4,C11_SH_1b_NPFH_5,C11_SH_1b_NPFH_6_mor,C11_SH_1b_Tot,C11_SH_2b_NPFH_2,C11_SH_2b_NPFH_3,C11_SH_2b_NPFH_4,C11_SH_2b_NPFH_5,C11_SH_2b_NPFH_6_mor,C11_SH_2b_Tot,C11_SH_3b_NPFH_2,C11_SH_3b_NPFH_3,C11_SH_3b_NPFH_4,C11_SH_3b_NPFH_5,C11_SH_3b_NPFH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPFH_2,C11_SH_4mb_NPFH_3,C11_SH_4mb_NPFH_4,C11_SH_4mb_NPFH_5,C11_SH_4mb_NPFH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPFH_2,C11_SH_NB_NS_NPFH_3,C11_SH_NB_NS_NPFH_4,C11_SH_NB_NS_NPFH_5,C11_SH_NB_NS_NPFH_6_mor,C11_SH_NB_NS_Tot,C11_SH_Tot_NPFH_2,C11_SH_Tot_NPFH_3,C11_SH_Tot_NPFH_4,C11_SH_Tot_NPFH_5,C11_SH_Tot_NPFH_6_mor,C11_SH_Tot_Tot,C11_SDRTHT_0b_s_a_b_NPFH_2,C11_SDRTHT_0b_s_a_b_NPFH_3,C11_SDRTHT_0b_s_a_b_NPFH_4,C11_SDRTHT_0b_s_a_b_NPFH_5,C11_SDRTHT_0b_s_a_b_NPFH_6mor,C11_SDRTHT_0b_s_a_b_Tot,C11_SDRTHT_1b_NPFH_2,C11_SDRTHT_1b_NPFH_3,C11_SDRTHT_1b_NPFH_4,C11_SDRTHT_1b_NPFH_5,C11_SDRTHT_1b_NPFH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPFH_2,C11_SDRTHT_2b_NPFH_3,C11_SDRTHT_2b_NPFH_4,C11_SDRTHT_2b_NPFH_5,C11_SDRTHT_2b_NPFH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPFH_2,C11_SDRTHT_3b_NPFH_3,C11_SDRTHT_3b_NPFH_4,C11_SDRTHT_3b_NPFH_5,C11_SDRTHT_3b_NPFH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPFH_2,C11_SDRTHT_4mb_NPFH_3,C11_SDRTHT_4mb_NPFH_4,C11_SDRTHT_4mb_NPFH_5,C11_SDRTHT_4mb_NPFH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPFH_2,C11_SDRTHT_NB_NS_NPFH_3,C11_SDRTHT_NB_NS_NPFH_4,C11_SDRTHT_NB_NS_NPFH_5,C11_SDRTHT_NB_NS_NPFH_6_mor,C11_SDRTHT_NB_NS_Tot,C11_SDRTHT_Tot_NPFH_2,C11_SDRTHT_Tot_NPFH_3,C11_SDRTHT_Tot_NPFH_4,C11_SDRTHT_Tot_NPFH_5,C11_SDRTHT_Tot_NPFH_6_mor,C11_SDRTHT_Tot_Tot,C11_F_a_0b_s_a_b_NPFH_2,C11_F_a_0b_s_a_b_NPFH_3,C11_F_a_0b_s_a_b_NPFH_4,C11_F_a_0b_s_a_b_NPFH_5,C11_F_a_0b_s_a_b_NPFH_6_mor,C11_F_a_0b_s_a_b_Tot,C11_F_a_1b_NPFH_2,C11_F_a_1b_NPFH_3,C11_F_a_1b_NPFH_4,C11_F_a_1b_NPFH_5,C11_F_a_1b_NPFH_6_mor,C11_F_a_1b_Tot,C11_F_a_2b_NPFH_2,C11_F_a_2b_NPFH_3,C11_F_a_2b_NPFH_4,C11_F_a_2b_NPFH_5,C11_F_a_2b_NPFH_6_mor,C11_F_a_2b_Tot,C11_F_a_3b_NPFH_2,C11_F_a_3b_NPFH_3,C11_F_a_3b_NPFH_4,C11_F_a_3b_NPFH_5,C11_F_a_3b_NPFH_6_mor,C11_F_a_3b_Tot,C11_F_a_4mb_NPFH_2,C11_F_a_4mb_NPFH_3,C11_F_a_4mb_NPFH_4,C11_F_a_4mb_NPFH_5,C11_F_a_4mb_NPFH_6_mor,C11_F_a_4mb_Tot,C11_F_a_NB_NS_NPFH_2,C11_F_a_NB_NS_NPFH_3,C11_F_a_NB_NS_NPFH_4,C11_F_a_NB_NS_NPFH_5,C11_F_a_NB_NS_NPFH_6_mor,C11_F_a_NB_NS_Tot,C11_F_a_Tot_NPFH_2,C11_F_a_Tot_NPFH_3,C11_F_a_Tot_NPFH_4,C11_F_a_Tot_NPFH_5,C11_F_a_Tot_NPFH_6_mor,C11_F_a_Tot_Tot,C11_OD_0b_s_a_b_NPFH_2,C11_OD_0b_s_a_b_NPFH_3,C11_OD_0b_s_a_b_NPFH_4,C11_OD_0b_s_a_b_NPFH_5,C11_OD_0b_s_a_b_NPFH_6_mor,C11_OD_0b_s_a_b_Tot,C11_OD_1b_NPFH_2,C11_OD_1b_NPFH_3,C11_OD_1b_NPFH_4,C11_OD_1b_NPFH_5,C11_OD_1b_NPFH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPFH_2,C11_OD_2b_NPFH_3,C11_OD_2b_NPFH_4,C11_OD_2b_NPFH_5,C11_OD_2b_NPFH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPFH_2,C11_OD_3b_NPFH_3,C11_OD_3b_NPFH_4,C11_OD_3b_NPFH_5,C11_OD_3b_NPFH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPFH_2,C11_OD_4mb_NPFH_3,C11_OD_4mb_NPFH_4,C11_OD_4mb_NPFH_5,C11_OD_4mb_NPFH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPFH_2,C11_OD_NB_NS_NPFH_3,C11_OD_NB_NS_NPFH_4,C11_OD_NB_NS_NPFH_5,C11_OD_NB_NS_NPFH_6_mor,C11_OD_NB_NS_Tot,C11_OD_Tot_NPFH_2,C11_OD_Tot_NPFH_3,C11_OD_Tot_NPFH_4,C11_OD_Tot_NPFH_5,C11_OD_Tot_NPFH_6_mor,C11_OD_Tot_Tot,C11_DS_NS_NPFH_2,C11_DS_NS_NPFH_3,C11_DS_NS_NPFH_4,C11_DS_NS_NPFH_5,C11_DS_NS_NPFH_6_mor,C11_DS_NS_Tot,C11_Tot_NPFH_2,C11_Tot_NPFH_3,C11_Tot_NPFH_4,C11_Tot_NPFH_5,C11_Tot_NPFH_6_mor,C11_Tot_Tot,C16_SH_0b_s_a_b_NPFH_2,C16_SH_0b_s_a_b_NPFH_3,C16_SH_0b_s_a_b_NPFH_4,C16_SH_0b_s_a_b_NPFH_5,C16_SH_0b_s_a_b_NPFH_6_mor,C16_SH_0b_s_a_b_Tot,C16_SH_1b_NPFH_2,C16_SH_1b_NPFH_3,C16_SH_1b_NPFH_4,C16_SH_1b_NPFH_5,C16_SH_1b_NPFH_6_mor,C16_SH_1b_Tot,C16_SH_2b_NPFH_2,C16_SH_2b_NPFH_3,C16_SH_2b_NPFH_4,C16_SH_2b_NPFH_5,C16_SH_2b_NPFH_6_mor,C16_SH_2b_Tot,C16_SH_3b_NPFH_2,C16_SH_3b_NPFH_3
801011001,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,114,48,48,10,0,227,115,78,99,37,20,349,4,0,0,0,0,4,248,123,153,52,22,589,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,14,6,3,0,0,0,15,0,0,0,0,0,5,4,0,0,0,0,4,20,10,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,137,153,52,22,629,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,93,43
801011002,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,16,11,3,5,0,0,22,10,0,4,0,0,9,0,0,0,0,0,0,32,7,6,0,3,54,0,0,0,0,0,0,6,0,0,0,0,3,158,44,11,3,0,215,112,54,35,3,3,207,0,0,0,5,0,9,0,0,4,0,0,7,280,99,49,8,10,441,0,0,0,0,0,0,107,12,6,0,0,121,184,55,14,5,0,249,36,13,9,0,0,58,0,0,0,0,0,0,0,0,0,0,0,3,324,79,25,4,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,190,83,15,13,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
801011003,0,0,0,0,0,0,0,0,0,0,0,0,21,3,3,0,0,25,113,37,29,4,0,186,134,87,111,41,9,379,0,0,0,0,0,6,270,126,141,44,9,589,0,0,0,0,0,0,0,0,0,0,0,0,13,7,4,0,0,24,75,54,33,6,3,169,18,27,13,5,3,67,0,0,0,0,0,4,111,84,46,17,7,264,0,0,0,0,0,0,108,12,0,0,0,120,85,26,3,0,0,114,24,15,11,0,0,45,0,0,0,0,0,0,5,0,0,0,0,5,218,51,16,3,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,595,259,201,59,21,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,48,13
801011004,0,0,0,0,0,0,5,0,0,0,0,4,18,9,3,0,0,26,221,141,104,41,16,534,53,33,42,28,14,170,0,4,0,0,0,8,300,186,149,69,26,734,0,0,0,0,0,0,4,0,0,0,0,4,16,4,0,0,0,22,20,9,13,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,44,17,10,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,206,158,74,26,808,0,0,0,0,0,3,0,0,0,0,0,7,18,7,4,0,0,32,214,123
801011005,0,0,0,0,0,0,3,0,0,0,0,3,8,3,0,0,0,10,123,53,61,11,9,247,85,45,72,30,12,238,0,0,5,0,0,4,218,102,134,42,15,505,0,0,0,0,0,0,4,0,0,0,0,0,62,24,11,4,0,98,66,34,17,0,0,123,11,3,7,0,0,19,0,0,0,0,0,0,152,58,31,5,0,242,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,13,3,6,0,0,0,5,4,0,0,0,0,3,0,0,0,0,0,0,15,5,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,164,161,45,15,773,0,0,0,0,0,0,0,0,0,0,0,0,14,7,4,0,0,26,107,66
801011006,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,24,288,158,153,35,9,647,297,244,358,149,83,1135,4,4,7,0,0,10,603,402,513,189,102,1814,0,0,0,0,0,0,4,0,0,0,0,4,4,4,6,0,0,15,54,24,8,0,0,91,3,8,9,8,0,27,0,0,0,0,0,0,68,39,25,6,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,444,542,195,102,1953,0,0,0,0,0,0,4,0,0,0,0,4,8,5,4,0,0,16,265,152
801011007,0,0,0,0,0,0,0,0,0,0,0,0,19,4,3,0,0,30,338,181,143,47,11,721,207,136,219,92,47,703,0,0,0,0,0,5,569,324,361,140,60,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,6,4,0,0,31,0,0,0,0,0,5,0,0,0,0,0,0,18,7,7,0,4,35,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,335,368,140,61,1507,0,0,0,0,0,0,5,0,0,0,0,5,26,13,8,0,0,43,305,154
801011008,0,0,0,0,0,0,4,0,0,0,0,6,28,18,12,0,0,55,222,144,111,45,19,543,169,126,153,80,40,562,6,0,0,0,0,3,426,289,273,129,58,1169,0,0,0,0,0,0,0,0,0,0,0,0,30,5,3,0,0,41,22,9,8,0,0,43,4,0,0,0,0,8,0,0,0,0,0,3,56,20,16,3,0,91,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,24,34,19,5,0,0,62,0,3,0,0,0,3,0,0,0,0,0,0,56,23,5,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,331,293,130,61,1347,0,0,0,0,0,0,0,0,0,0,0,5,26,4,0,0,0,38,212,104
801011009,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,15,150,92,84,29,5,363,172,118,136,60,32,527,3,0,0,0,0,7,337,212,228,91,45,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,4,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,347,217,230,89,43,928,0,0,0,0,0,0,0,3,0,0,0,10,5,3,0,0,0,12,157,74
801011010,0,0,0,0,0,0,3,0,0,0,0,3,6,4,0,0,0,10,87,47,48,17,3,209,134,61,92,52,18,360,0,0,0,0,0,0,226,112,145,69,25,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,12,0,0,0,0,0,5,0,0,0,0,0,0,8,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,118,149,69,25,595,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,94,44
