SA2_CODE_2021,C11_OO_DS_Sep_house,C11_OO_DS_SemiDRTHT,C11_OO_DS_F_a,C11_OO_DS_OD,C11_OO_DS_NS,C11_Owned_Outright_Tot,C11_OWM_DS_Sep_house,C11_OWM_DS_SemiDRTHT,C11_OWM_DS_F_a,C11_OWM_DS_OD,C11_OWM_DS_NS,C11_Owned_with_mortgage_Tot,C11_R_REA_DS_Sep_house,C11_R_REA_DS_SemiDRTHT,C11_R_REA_DS_F_a,C11_R_REA_DS_OD,C11_R_REA_DS_NS,C11_R_Real_Estate_Agent_Tot,C11_R_STHA_DS_Sep_house,C11_R_STHA_DS_SemiDRTHT,C11_R_STHA_DS_F_a,C11_R_STHA_DS_OD,C11_R_STHA_DS_NS,C11_R_ST_House_Auth_Tot,C11_R_CHP_DS_Sep_house,C11_R_CHP_DS_SemiDRTHT,C11_R_CHP_DS_F_a,C11_R_CHP_DS_OD,C11_R_CHP_DS_NS,C11_R_CHP_Tot,C11_R_PNISH_DS_Sep_house,C11_R_PNISH_DS_SemDRTHT,C11_R_PNISH_DS_F_a,C11_R_PNISH_DS_OD,C11_R_PNISH_DS_NS,C11_R_PNISH_Tot,C11_R_OLT_DS_Sep_house,C11_R_OLT_DS_SemDRTHT,C11_R_OLT_DS_F_a,C11_R_OLT_DS_OD,C11_R_OLT_DS_NS,C11_R_Oth_Llord_Type_Tot,C11_R_LT_NS_DS_Sep_house,C11_R_LT_NS_DS_SemDRTHT,C11_R_LT_NS_DS_F_a,C11_R_LT_NS_DS_OD,C11_R_LT_NS_DS_NS,C11_R_Llord_Type_NS_Tot,C11_R_Tot_DS_Sep_house,C11_R_Tot_DS_SemDRTHT,C11_R_Tot_DS_F_a,C11_R_Tot_DS_OD,C11_R_Tot_DS_NS,C11_R_Tot_Tot,C11_OTT_DS_Sep_house,C11_OTT_DS_SemiDRTHT,C11_OTT_DS_F_a,C11_OTT_DS_OD,C11_OTT_DS_NS,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_F_a,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS,C11_TT_NS_Tot,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_F_a,C11_Tot_DS_OD,C11_Tot_DS_NS,C11_Tot_Tot,C16_OO_DS_Sep_house,C16_OO_DS_SemiDRTHT,C16_OO_DS_F_a,C16_OO_DS_OD,C16_OO_DS_NS,C16_OO_Tot,C16_OWM_DS_Sep_house,C16_OWM_DS_SemiDRTHT,C16_OWM_DS_F_a,C16_OWM_DS_OD,C16_OWM_DS_NS,C16_OWM_Tot,C16_R_REA_DS_Sep_house,C16_R_REA_DS_SemiDRTHT,C16_R_REA_DS_F_a,C16_R_REA_DS_OD,C16_R_REA_DS_NS,C16_R_REA_Tot,C16_R_STHA_DS_Sep_house,C16_R_STHA_DS_SemiDRTHT,C16_R_STHA_DS_F_a,C16_R_STHA_DS_OD,C16_R_STHA_DS_NS,C16_R_STHA_Tot,C16_R_CHP_DS_Sep_house,C16_R_CHP_DS_SemiDRTHT,C16_R_CHP_DS_F_a,C16_R_CHP_DS_OD,C16_R_CHP_DS_NS,C16_R_CHP_Tot,C16_R_PNISH_DS_Sep_house,C16_R_PNISH_DS_SemDRTHT,C16_R_PNISH_DS_F_a,C16_R_PNISH_DS_OD,C16_R_PNISH_DS_NS,C16_R_PNISH_Tot,C16_R_OLT_DS_Sep_house,C16_R_OLT_DS_SemDRTHT,C16_R_OLT_DS_F_a,C16_R_OLT_DS_OD,C16_R_OLT_DS_NS,C16_R_OLT_Tot,C16_R_LT_NS_DS_Sep_house,C16_R_LT_NS_DS_SemDRTHT,C16_R_LT_NS_DS_F_a,C16_R_LT_NS_DS_OD,C16_R_LT_NS_DS_NS,C16_R_LT_NS_Tot,C16_R_Tot_DS_Sep_house,C16_R_Tot_DS_SemiDRTHT,C16_R_Tot_DS_F_a,C16_R_Tot_DS_OD,C16_R_Tot_DS_NS,C16_R_Tot_Tot,C16_OTT_DS_Sep_house,C16_OTT_DS_SemiDRTHT,C16_OTT_DS_F_a,C16_OTT_DS_OD,C16_OTT_DS_NS,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_F_a,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS,C16_TT_NS_Tot,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_F_a,C16_Tot_DS_OD,C16_Tot_DS_NS,C16_Tot_Tot,C21_OO_DS_Sep_house,C21_OO_DS_SemiDRTHT,C21_OO_DS_F_a,C21_OO_DS_OD,C21_OO_DS_NS,C21_OO_Tot,C21_OWM_DS_Sep_house,C21_OWM_DS_SemiDRTHT,C21_OWM_DS_F_a,C21_OWM_DS_OD,C21_OWM_DS_NS,C21_OWM_Tot,C21_R_REA_DS_Sep_house,C21_R_REA_DS_SemiDRTHT,C21_R_REA_DS_F_a,C21_R_REA_DS_OD,C21_R_REA_DS_NS,C21_R_REA_Tot,C21_R_STHA_DS_Sep_house,C21_R_STHA_DS_SemiDRTHT,C21_R_STHA_DS_F_a,C21_R_STHA_DS_OD,C21_R_STHA_DS_NS,C21_R_STHA_Tot,C21_R_CHP_DS_Sep_house,C21_R_CHP_DS_SemiDRTHT,C21_R_CHP_DS_F_a,C21_R_CHP_DS_OD,C21_R_CHP_DS_NS,C21_R_CHP_Tot,C21_R_PNISH_DS_Sep_house,C21_R_PNISH_DS_SemDRTHT,C21_R_PNISH_DS_F_a,C21_R_PNISH_DS_OD,C21_R_PNISH_DS_NS,C21_R_PNISH_Tot,C21_R_OLT_DS_Sep_house,C21_R_OLT_DS_SemDRTHT,C21_R_OLT_DS_F_a,C21_R_OLT_DS_OD,C21_R_OLT_DS_NS,C21_R_OLT_Tot,C21_R_LT_NS_DS_Sep_house,C21_R_LT_NS_DS_SemDRTHT,C21_R_LT_NS_DS_F_a,C21_R_LT_NS_DS_OD,C21_R_LT_NS_DS_NS,C21_R_LT_NS_Tot,C21_R_Tot_DS_Sep_house,C21_R_Tot_DS_SemiDRTHT,C21_R_Tot_DS_F_a,C21_R_Tot_DS_OD,C21_R_Tot_DS_NS,C21_R_Tot_Tot,C21_OTT_DS_Sep_house,C21_OTT_DS_SemiDRTHT
801011001,356,16,0,0,0,377,268,10,4,0,0,280,46,21,5,0,0,64,17,0,0,0,0,17,0,0,0,0,0,0,57,12,7,0,0,82,0,0,0,0,0,5,0,0,0,0,0,0,120,35,18,0,0,169,7,3,0,0,0,12,55,9,0,0,0,61,807,75,22,0,0,901,361,20,0,0,0,384,273,15,6,0,0,294,48,16,0,0,0,66,12,0,0,0,0,12,0,0,0,0,0,0,45,10,4,0,0,60,4,3,0,0,0,5,0,0,0,0,0,0,102,36,7,0,0,147,12,14,0,0,0,24,25,7,0,0,0,28,769,82,16,0,3,874,362,28,0,0,0,389,317,16,7,0,0,342,45,15,9,0,0,67,12,0,0,0,0,9,0,0,0,0,0,0,35,13,6,0,0,54,8,3,0,0,0,11,0,0,0,0,0,0,96,34,12,0,0,143,4,6
801011002,20,132,104,0,0,248,13,169,224,0,0,403,25,225,335,0,0,583,29,113,107,0,0,247,3,5,4,0,0,16,10,109,163,0,0,280,0,9,10,0,0,18,0,5,0,0,0,6,63,469,615,0,0,1147,0,34,45,0,0,77,9,83,137,0,0,229,96,887,1125,0,0,2106,6,144,118,0,0,266,5,175,362,0,0,545,3,253,958,0,0,1214,7,109,91,0,0,214,0,9,6,0,0,12,5,94,263,0,0,363,0,9,32,0,0,43,0,4,3,0,0,0,16,474,1356,0,0,1847,0,14,17,0,0,37,0,82,230,0,0,313,30,888,2088,0,0,3004,0,185,276,0,0,460,0,231,628,0,0,862,0,272,1563,0,0,1838,9,139,58,0,0,205,0,10,13,0,0,27,0,104,365,0,0,468,0,10,59,0,0,70,0,3,0,0,0,4,13,538,2058,0,0,2614,0,50
801011003,287,75,15,0,0,377,217,133,172,0,0,525,111,145,315,0,0,564,5,0,3,0,0,8,10,0,0,0,0,12,52,72,108,0,0,236,53,19,10,0,0,81,0,3,0,0,0,0,229,240,431,0,0,901,38,5,18,0,0,65,46,34,74,0,0,148,814,487,716,0,3,2014,187,230,27,0,0,442,132,231,163,0,0,524,45,349,529,0,0,927,0,4,14,0,0,17,0,5,4,0,0,12,13,130,130,0,0,274,58,33,22,0,0,113,0,0,3,0,0,7,120,534,697,0,0,1344,10,38,20,0,0,66,21,43,59,0,0,129,468,1072,963,0,5,2510,216,249,55,0,0,524,163,355,222,0,0,739,56,379,443,0,0,881,4,5,7,0,0,18,0,7,9,0,0,14,39,139,125,0,0,292,64,37,27,0,3,130,0,5,0,0,0,4,166,571,602,0,6,1347,10,47
801011004,231,13,0,0,0,241,460,50,0,0,0,505,71,19,0,0,0,97,147,37,0,0,0,184,3,0,0,0,0,3,58,16,0,0,0,76,4,0,0,0,0,4,0,0,0,0,0,0,278,83,0,0,0,360,12,0,0,0,0,12,56,13,0,0,0,65,1026,152,7,0,0,1179,226,13,0,0,0,240,449,52,0,0,0,495,63,27,0,0,0,88,138,15,0,0,0,157,0,0,0,0,0,0,59,16,0,0,0,74,4,0,0,0,0,3,0,0,0,0,0,0,265,61,0,0,0,326,12,0,0,0,0,12,77,4,0,0,0,87,1025,131,7,0,0,1163,241,26,0,0,0,260,470,56,0,0,0,529,74,25,0,0,0,99,145,22,0,0,0,163,11,0,0,0,0,11,62,11,0,0,0,74,11,0,0,0,0,13,4,0,0,0,0,3,295,69,3,0,0,364,8,0
801011005,293,164,3,0,0,462,227,143,9,0,0,376,49,97,15,0,0,165,26,22,12,0,0,63,0,0,0,0,0,0,31,47,21,0,0,100,0,0,0,0,0,5,0,0,0,0,0,0,105,168,54,0,0,332,3,11,0,0,0,10,22,17,7,0,0,42,648,501,68,0,0,1227,294,164,0,0,5,454,267,144,0,0,0,411,55,93,0,0,0,154,29,0,25,0,0,57,0,0,0,0,0,0,26,23,3,0,0,51,3,0,0,0,0,9,0,0,0,0,0,0,116,120,34,0,0,270,8,9,0,0,0,15,29,26,4,0,0,57,706,463,35,0,4,1209,313,193,0,0,0,503,290,134,4,0,0,423,57,83,0,0,0,141,28,0,27,0,0,60,3,0,0,0,0,6,44,41,0,0,0,81,9,3,0,0,0,6,0,0,0,0,0,0,135,130,35,0,0,292,13,6
801011006,321,23,0,0,0,344,1426,116,3,0,0,1546,148,25,0,0,0,173,100,15,0,0,0,117,0,0,0,0,0,5,92,16,0,0,0,109,30,4,0,0,0,30,0,0,0,0,0,0,374,62,0,0,0,437,15,0,0,0,0,15,44,10,0,0,0,55,2177,215,9,0,0,2396,388,34,4,0,0,427,1332,99,14,0,0,1446,157,29,8,0,0,191,82,19,0,0,0,100,3,0,0,0,0,5,83,14,0,0,0,95,20,0,0,0,0,20,0,0,0,0,0,3,342,63,8,0,3,415,13,4,0,0,0,14,75,12,0,0,0,89,2157,213,25,0,3,2399,462,34,0,0,0,491,1380,81,16,0,0,1475,169,21,9,0,0,198,99,25,0,0,0,121,0,0,0,0,0,3,81,9,0,0,0,93,25,0,0,0,0,24,4,0,0,0,0,4,381,53,13,0,0,449,7,0
801011007,617,24,0,0,0,642,829,25,7,0,0,864,117,19,8,0,0,138,99,0,3,0,0,102,4,0,0,0,0,4,95,12,9,0,0,120,9,6,0,0,0,7,0,0,0,0,0,0,330,29,22,0,0,372,8,0,0,0,0,9,38,0,4,0,0,46,1825,79,34,0,0,1934,622,3,0,0,0,628,778,12,5,0,0,799,125,13,7,0,0,146,95,0,0,0,0,92,0,0,0,0,0,0,94,4,0,0,0,101,9,0,0,0,0,9,0,0,0,0,0,0,326,22,12,0,0,353,21,0,0,0,0,21,126,11,9,0,3,144,1867,46,22,3,3,1943,641,4,0,0,0,646,832,19,12,0,0,856,168,17,0,0,0,185,101,0,0,0,0,98,5,0,0,0,0,5,111,3,9,0,0,124,14,0,0,0,0,14,0,0,0,0,0,3,398,22,14,0,0,429,19,0
801011008,513,15,28,0,0,556,496,28,44,0,0,572,149,37,32,0,0,218,192,51,5,0,0,246,5,0,0,0,0,5,90,29,19,0,0,146,16,0,6,0,0,16,4,0,0,0,0,4,448,128,61,0,0,633,12,0,0,0,0,10,38,12,25,0,0,80,1511,181,160,0,0,1849,510,64,4,0,4,579,422,91,0,0,0,518,113,103,0,0,0,221,167,61,0,0,0,231,3,0,0,0,0,3,59,62,8,0,0,125,4,8,0,0,0,13,0,0,0,0,0,0,349,237,7,0,0,595,28,10,0,0,0,34,68,22,0,0,0,97,1382,424,6,0,4,1818,530,71,0,0,0,605,469,97,0,0,0,574,129,115,5,0,0,241,172,66,0,0,0,240,9,0,0,0,0,9,58,55,4,0,0,120,8,6,0,0,0,16,0,0,0,0,0,0,381,243,9,0,0,626,21,3
801011009,404,0,3,0,0,413,533,4,0,0,4,547,61,5,0,0,0,66,40,0,0,0,0,45,0,0,0,0,0,0,47,0,0,0,0,51,4,0,0,0,0,4,0,0,0,0,0,0,157,0,0,0,8,166,7,0,0,0,0,7,94,3,0,0,0,100,1201,17,7,0,6,1227,397,7,6,0,0,410,513,4,0,0,0,517,72,7,0,0,0,76,39,5,0,0,0,43,4,0,0,0,0,4,43,0,0,0,0,43,7,0,0,0,0,7,0,0,0,0,0,0,163,10,3,0,0,176,11,0,0,0,0,11,44,3,0,0,0,50,1135,21,7,0,0,1164,408,7,0,0,0,417,576,16,0,0,0,593,72,6,0,0,0,80,43,5,0,0,0,46,0,0,0,0,0,0,46,3,0,0,0,48,9,0,0,0,0,9,0,0,0,0,0,0,174,12,0,0,0,190,5,0
801011010,276,5,0,0,0,278,345,12,0,0,0,359,29,0,0,0,0,30,26,0,0,0,0,28,0,0,0,0,0,0,29,6,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,78,7,0,0,0,86,4,0,0,0,0,4,12,0,0,0,0,12,713,25,0,0,0,737,253,7,0,0,0,258,323,12,0,0,0,335,26,0,4,0,0,28,14,0,0,0,0,22,0,0,0,0,0,0,19,0,0,0,0,26,4,0,0,0,0,4,0,0,0,0,0,0,62,5,6,0,4,75,3,0,0,0,0,3,38,0,0,0,0,41,677,23,7,0,4,710,289,8,0,0,0,295,333,16,0,0,0,352,25,5,5,0,0,29,22,0,0,0,0,18,0,0,0,0,0,0,23,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,70,8,4,0,0,76,0,0
