SA2_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
801011001,0,0,0,16,24,11,0,0,0,32,805,97,23,0,6,924
801011002,79,0,0,128,0,44,144,0,0,190,19,1043,3186,0,7,4256
801011003,10,0,0,64,22,35,21,0,7,85,571,1259,919,0,9,2756
801011004,0,0,0,8,41,5,0,0,0,47,1054,153,5,0,0,1206
801011005,0,0,0,13,23,10,5,0,0,39,767,463,38,0,0,1272
801011006,0,0,0,9,55,9,0,0,0,64,2279,178,28,0,0,2490
801011007,0,0,0,24,46,0,0,0,0,49,1932,41,24,0,0,2000
801011008,0,0,0,25,48,19,0,0,0,62,1438,437,8,0,0,1892
801011009,0,0,0,4,29,0,0,0,0,31,1201,42,0,0,0,1242
801011010,0,0,0,0,9,0,0,0,0,9,708,27,4,0,0,740
801011011,0,0,0,14,27,3,4,0,0,35,1144,65,12,0,3,1231
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,4,0,0,7,20,0,24,0,0,40,803,157,255,0,0,1218
801011014,0,0,0,32,21,3,0,0,0,27,1201,36,23,0,4,1260
801011015,0,0,0,49,50,31,12,0,0,92,1390,796,167,0,0,2363
801011016,0,0,0,20,76,3,3,0,0,92,2504,159,84,0,3,2748
801011017,0,0,0,18,47,4,0,0,0,50,1266,154,24,0,0,1441
801011018,0,0,0,0,12,41,14,0,0,61,200,664,176,0,3,1047
801011019,0,0,0,17,49,6,3,0,0,58,2312,229,4,0,0,2553
801011020,3,0,0,21,42,3,18,0,0,64,811,184,329,0,3,1328
