SA2_CODE_2021,C11_1_74_REA,C11_1_74_ST_HA,C11_1_74_Co_ho_pr,C11_1_74_Per_no_sa_ho,C11_1_74_Oth_land_typ,C11_1_74_LLT_NS,C11_1_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Co_ho_pr,C11_75_99_Pe_no_sa_ho,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Co_ho_pr,C11_100_149_Pe_no_sa_ho,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Co_ho_pr,C11_150_199_Pe_no_sa_ho,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Co_ho_pr,C11_200_224_Pe_no_sa_ho,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Co_ho_pr,C11_225_274_Pe_no_sa_ho,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Co_ho_pr,C11_275_349_Pe_no_sa_ho,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Co_ho_pr,C11_350_449_Pe_no_sa_ho,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Co_ho_pr,C11_450_549_Pe_no_sa_ho,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Co_ho_pr,C11_550_649_Pe_no_sa_ho,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Co_ho_pr,C11_650_749_Pe_no_sa_ho,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Co_ho_pr,C11_750_849_Pe_no_sa_ho,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Co_ho_pr,C11_850_949_Pe_no_sa_ho,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950over_REA,C11_950over_ST_HA,C11_950over_Co_ho_pr,C11_950over_Pe_no_sa_ho,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Co_ho_pr,C11_R_NS_Pe_no_sa_ho,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_Tot_Co_ho_pr,C11_Tot_Pe_no_sa_ho,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_Tot_Tot,C16_1_74_REA,C16_1_74_ST_HA,C16_1_74_Co_ho_pr,C16_1_74_Per_no_sa_ho,C16_1_74_Oth_land_typ,C16_1_74_LLT_NS,C16_1_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Co_ho_pr,C16_75_99_Pe_no_sa_ho,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Co_ho_pr,C16_100_149_Pe_no_sa_ho,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Co_ho_pr,C16_150_199_Pe_no_sa_ho,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Co_ho_pr,C16_200_224_Pe_no_sa_ho,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Co_ho_pr,C16_225_274_Pe_no_sa_ho,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Co_ho_pr,C16_275_349_Pe_no_sa_ho,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Co_ho_pr,C16_350_449_Pe_no_sa_ho,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Co_ho_pr,C16_450_549_Pe_no_sa_ho,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Co_ho_pr,C16_550_649_Pe_no_sa_ho,C16_550_649_Oth_lan_typ,C16_550_649_LLT_NS,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Co_ho_pr,C16_650_749_Pe_no_sa_ho,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Co_ho_pr,C16_750_849_Pe_no_sa_ho,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Co_ho_pr,C16_850_949_Pe_no_sa_ho
801011001,0,0,0,0,0,0,3,0,6,0,0,0,0,6,0,4,0,0,0,0,4,0,3,0,5,0,0,4,0,0,0,3,0,0,5,0,0,0,7,0,0,7,6,0,0,14,0,0,20,30,3,0,26,0,0,57,13,0,0,19,0,0,35,10,0,0,4,0,0,18,6,0,0,0,0,0,8,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64,17,0,82,3,0,170,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,5,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,4,4,3,0,9,0,0,23,13,0,0,14,0,0,29,17,0,0,17,0,0,38,8,0,0,4,0,0,8,10,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0
801011002,0,46,0,0,0,0,52,0,63,3,0,0,0,71,0,50,3,5,0,0,62,3,31,0,5,0,0,44,6,11,0,10,0,0,18,4,21,0,4,0,0,31,71,10,0,46,0,0,133,367,11,0,142,8,0,529,101,0,0,40,6,0,154,16,0,0,14,3,0,35,5,0,0,3,0,0,13,0,0,0,3,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,4,8,21,4,3,0,0,30,595,265,15,279,21,4,1181,0,25,0,0,0,0,26,0,34,0,0,0,0,33,3,76,0,6,0,0,85,11,39,8,9,4,0,71,8,18,0,13,4,0,35,3,0,0,10,0,0,18,347,12,0,77,4,0,440,649,6,0,165,15,0,836,136,0,0,52,7,0,189,52,0,0,24,0,0,75,9,0,0,9,0,0,12,4,0,0,0,0,0,3,0,0,0,3
801011003,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,3,0,0,6,4,0,0,3,3,0,13,0,0,0,3,11,0,16,5,0,3,8,22,0,32,9,3,0,25,33,0,69,271,0,0,80,9,0,361,203,0,0,67,3,0,279,51,0,0,28,7,0,85,17,0,0,6,0,0,20,4,0,0,5,0,0,13,0,0,0,0,0,0,0,3,0,0,5,0,0,6,6,0,3,13,0,0,26,572,8,11,248,83,9,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,13,10,0,0,14,4,0,25,0,0,0,9,0,0,9,32,0,4,6,19,0,62,280,5,0,60,52,0,401,325,3,0,93,25,0,437,181,0,0,63,5,0,255,69,0,0,16,3,0,88,10,0,0,6,0,0,18,5,0,0,7,4,0,18,5,0,0,0
801011004,0,10,0,0,0,0,10,0,37,0,0,0,0,39,0,45,0,3,0,0,52,0,16,0,3,0,0,20,0,7,0,3,0,0,13,0,10,0,5,0,0,14,10,21,0,18,0,0,53,74,31,0,32,0,0,141,9,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,17,97,197,0,72,0,3,374,0,6,0,0,0,0,8,0,16,0,0,0,0,16,0,52,0,0,0,0,58,0,32,0,9,0,0,38,5,8,0,3,0,0,14,0,11,0,7,0,0,13,14,11,0,9,0,0,35,61,19,0,37,5,0,123,9,0,0,13,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011005,0,8,0,0,0,0,8,0,12,0,0,0,0,16,0,12,0,0,0,0,15,0,7,0,7,0,0,15,0,8,0,9,0,0,14,3,0,0,4,0,0,14,11,4,0,12,0,0,30,103,8,0,42,0,0,161,34,0,0,14,0,0,47,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,8,166,68,0,101,5,0,344,0,7,0,0,0,0,7,0,10,0,0,0,0,15,0,19,0,0,0,0,17,0,8,0,3,0,0,8,0,0,0,0,0,0,3,0,7,0,0,0,0,8,12,0,0,9,0,0,24,101,3,0,22,4,0,128,32,0,0,16,0,0,42,3,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0
801011006,0,12,0,0,0,0,12,0,22,0,0,0,0,22,0,31,5,0,0,0,40,0,23,0,0,0,0,25,0,6,0,0,12,0,25,0,9,0,5,6,0,21,3,7,0,15,4,0,34,72,7,0,46,4,0,127,75,5,0,32,3,0,122,14,0,0,4,0,0,19,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,13,177,125,5,108,35,4,451,0,3,0,0,0,0,3,0,12,0,0,0,0,13,0,24,0,0,0,0,28,0,23,0,0,0,0,30,0,11,5,0,0,0,19,0,11,0,6,9,0,32,10,6,0,7,0,0,25,79,8,0,38,0,0,125,84,4,0,29,4,0,115,16,0,0,5,0,0,22,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0
801011007,0,12,0,0,0,0,13,0,15,0,0,0,0,11,0,24,0,3,0,0,28,0,13,0,4,0,0,19,0,5,0,6,0,0,13,0,6,0,5,0,0,16,6,13,0,22,0,0,38,79,23,0,44,6,0,152,42,0,0,25,0,0,69,4,0,0,9,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,144,108,4,122,7,0,390,0,4,0,0,0,0,4,0,10,0,0,0,0,10,0,23,0,4,0,0,28,3,23,0,5,0,0,30,0,7,0,0,0,0,4,0,5,0,3,0,0,11,11,12,0,11,0,0,37,82,15,0,46,4,0,145,33,0,0,26,0,0,65,10,0,0,4,0,0,13,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
801011008,0,19,0,0,0,0,19,0,57,0,0,0,0,57,0,69,0,5,0,0,73,0,33,0,10,0,0,47,0,9,0,5,0,0,13,0,16,0,5,0,0,19,10,16,0,28,0,0,61,155,29,0,62,13,0,256,29,0,0,17,4,0,53,12,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,5,0,0,34,218,270,3,146,16,4,666,0,10,0,0,0,0,7,0,42,0,3,0,0,40,0,73,0,3,0,0,72,3,51,3,7,0,0,59,0,4,0,0,0,0,9,0,11,0,7,0,0,15,18,16,0,17,0,0,51,149,29,0,63,8,0,240,37,0,0,15,0,0,61,8,0,0,4,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
801011009,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,11,0,0,0,0,15,0,6,0,0,0,0,6,0,4,0,4,0,0,12,0,3,0,4,0,0,6,0,5,0,7,0,0,8,27,9,0,22,0,0,61,27,0,0,12,0,0,43,7,0,0,3,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,11,65,47,3,57,4,0,179,0,0,0,0,0,0,4,0,3,0,0,0,0,4,0,13,0,0,0,0,16,0,9,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,5,0,0,12,0,3,0,10,0,0,12,29,5,0,13,0,0,53,32,4,0,15,0,0,53,9,0,0,0,0,0,10,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0
801011010,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,6,0,0,5,0,0,0,0,0,0,3,0,0,0,3,0,0,6,8,3,0,3,0,0,13,9,5,0,9,0,0,19,12,0,0,10,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,30,26,0,31,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,10,17,3,0,15,0,0,29,8,0,0,6,0,0,11,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
