SA2_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
801011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,6,0,0,4,0,0,3,5,0,4,0,0,15,8,0,6,0,0,16,7,0,12,0,0,10,0,3,4,0,0,7,8,0,3,0,0,6,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,27,4,35,0,0,80
801011002,0,0,0,0,0,0,6,0,0,4,13,0,0,0,0,11,6,0,0,0,0,12,16,0,4,0,0,19,20,0,6,0,0,29,420,6,90,4,0,520,329,0,104,3,0,443,83,0,25,4,3,113,13,0,4,0,0,21,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,14,916,9,255,12,8,1199
801011003,0,0,0,0,6,0,0,0,0,6,7,0,0,0,0,7,3,0,0,0,0,4,17,0,8,0,0,22,28,0,6,0,0,40,159,0,66,0,0,228,112,4,48,4,0,168,52,4,28,7,3,94,17,4,15,7,5,45,9,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,8,0,8,0,0,12,416,11,179,21,16,642
801011004,0,0,0,0,3,0,0,0,0,7,5,0,0,0,0,14,7,0,4,0,0,3,0,0,3,0,0,0,6,0,3,0,0,7,17,0,23,0,7,57,9,0,24,0,0,35,6,0,9,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,6,5,0,13,59,3,75,0,8,151
801011005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,0,0,0,0,8,0,0,0,0,0,0,6,0,3,0,0,9,15,0,13,0,5,29,30,3,12,0,4,53,5,0,9,0,0,18,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,69,3,43,0,4,132
801011006,0,0,0,0,0,0,0,0,0,3,8,0,6,0,0,11,0,0,3,0,0,4,0,0,13,0,0,13,4,0,0,0,0,3,14,3,8,0,3,27,28,3,27,9,3,66,21,6,35,7,6,69,9,0,7,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,0,0,9,84,11,101,14,21,232
801011007,0,0,0,0,0,0,0,0,0,3,8,0,3,0,0,8,3,0,0,0,0,8,5,0,0,0,0,5,7,0,3,0,0,9,17,0,10,0,0,34,39,0,40,5,4,94,19,6,16,4,0,38,0,0,3,0,0,9,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,100,13,90,10,7,219
801011008,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,24,6,0,0,0,0,6,6,0,0,0,0,6,4,0,0,0,0,11,24,0,32,4,0,62,42,9,57,4,3,112,11,5,18,5,0,35,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,118,11,114,15,3,270
801011009,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,4,6,0,0,0,0,9,12,8,15,0,0,35,3,6,9,0,4,22,3,0,3,3,0,7,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,14,33,3,4,92
801011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,3,0,0,8,5,0,3,0,0,16,4,0,3,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,16,4,0,41
801011011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,4,0,0,0,0,9,4,4,9,0,3,20,20,5,13,0,0,42,27,0,13,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,3,64,10,48,0,9,124
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,0,25,24,0,16,0,0,41,15,0,15,0,0,36,4,0,3,0,0,12,7,0,5,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,60,5,62,3,0,130
801011014,0,0,0,0,3,0,0,0,0,3,5,0,5,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,13,0,4,0,0,25,16,0,21,0,5,46,3,6,20,4,5,28,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,11,55,7,12,124
801011015,0,0,0,0,3,0,0,0,0,5,10,0,7,0,4,17,3,0,0,0,0,3,5,0,12,0,0,18,3,0,5,3,0,13,50,4,32,0,3,89,36,4,36,0,4,77,21,0,8,3,0,37,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,11,104,4,10,275
801011016,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,12,5,0,0,0,0,5,4,0,6,3,3,8,7,0,3,0,0,13,17,0,19,4,4,44,48,4,49,4,6,113,24,9,34,5,0,68,3,4,12,3,0,23,4,0,5,0,0,12,3,0,0,0,0,3,0,0,3,0,0,3,6,0,0,0,4,11,135,18,133,16,19,319
801011017,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,7,0,0,0,0,3,9,0,0,0,0,11,5,0,5,0,0,11,7,4,15,0,4,30,12,3,19,3,0,42,6,4,13,0,0,23,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,15,58,7,4,124
801011018,0,0,0,0,4,0,0,0,0,4,0,0,5,0,0,3,4,0,0,0,0,4,3,0,0,0,0,5,11,0,0,0,0,13,28,0,7,0,0,39,40,0,8,0,0,51,47,0,13,3,0,65,19,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,6,0,0,0,0,6,164,0,41,3,0,215
801011019,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,11,0,0,0,3,0,3,0,0,3,0,0,3,3,0,3,4,0,12,19,6,22,0,4,49,58,3,59,0,3,126,11,3,22,0,0,41,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,7,0,4,0,0,3,110,17,120,12,15,273
801011020,0,0,0,3,0,0,4,0,0,3,6,0,0,0,0,9,7,0,0,0,0,7,4,0,0,0,0,3,4,0,5,0,0,13,36,4,9,0,0,49,32,0,22,0,0,56,14,7,9,0,0,33,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,114,9,53,4,3,191
801011021,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,6,0,8,0,0,14,9,0,9,0,5,22,5,0,4,0,0,10,6,0,6,0,0,15,3,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,33,3,31,11,10,93
801011022,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,4,5,0,6,0,0,6,11,0,8,0,5,24,13,6,9,0,0,29,9,3,6,0,0,21,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,7,48,3,47,3,5,109
801011023,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,10,0,0,0,0,0,5,3,0,4,0,0,9,4,0,3,0,0,11,22,0,20,5,0,41,39,4,22,4,3,71,6,4,16,0,3,26,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,92,6,71,3,9,185
801011024,0,0,0,0,4,0,0,0,0,8,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,6,0,9,0,0,15,24,3,20,4,0,54,10,3,28,0,5,42,16,0,12,0,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,71,9,77,6,4,167
801011025,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,8,0,3,0,6,13,6,0,14,0,0,21,7,0,10,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,28,6,8,70
801011026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,3,10,0,4,0,0,20,6,0,7,0,0,9,5,0,5,0,0,10,3,0,10,0,0,12,4,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,3,32,3,33,3,0,76
801011111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,8,0,0,14
801011144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031113,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,16,0,0,34
801031114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,4,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,4,0,18
801031115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,9
801041034,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,7,5,6,18,0,3,37,7,0,14,5,0,20,40,0,17,0,6,60,45,7,34,5,0,88,14,8,50,5,5,81,7,3,10,5,0,27,3,0,6,0,0,10,0,0,4,0,0,4,0,0,3,0,0,3,0,0,4,0,0,3,122,22,164,19,15,346
801041035,0,0,0,0,4,0,0,0,0,7,4,5,5,0,0,9,0,0,0,0,0,0,9,0,6,0,0,15,9,0,13,0,0,17,16,10,43,0,5,73,50,0,77,4,4,131,45,11,56,9,6,133,19,10,32,6,6,74,0,0,7,0,0,15,0,0,5,0,0,9,0,0,0,0,0,0,0,0,7,0,0,7,155,34,257,27,25,483
801041036,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,5,0,0,6,4,0,17,0,0,26,12,0,11,0,0,21,22,0,20,0,0,44,57,0,59,5,5,129,38,5,57,5,0,109,12,6,24,4,7,52,8,0,6,0,5,11,0,0,5,0,0,4,0,0,3,0,0,10,4,0,0,0,0,7,160,13,215,19,17,424
801041037,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,39,3,0,62,17,0,24,0,0,42,25,0,14,3,0,51,41,0,18,3,3,62,29,0,32,0,3,69,15,5,23,3,4,45,6,0,8,3,0,23,0,0,0,0,0,4,0,0,0,0,0,0,10,0,6,0,0,17,164,12,172,10,10,370
