SA2_CODE_2021,C21_450_549_1PF_CU15_DS,C21_450_549_1PF_CU15_NDS,C21_450_549_1PFnoCU15_DS,C21_450_549_1PF_NDCO,C21_450_549_Tot,C21_550_649_1PF_CU15_DS,C21_550_649_1PF_CU15_NDS,C21_550_649_1PFnoCU15_DS,C21_550_649_1PF_NDCO,C21_550_649_Tot,C21_650_749_1PF_CU15_DS,C21_650_749_1PF_CU15_NDS,C21_650_749_1PFnoCU15_DS,C21_650_749_1PF_NDCO,C21_650_749_Tot,C21_750_849_1PF_CU15_DS,C21_750_849_1PF_CU15_NDS,C21_750_849_1PFnoCU15_DS,C21_750_849_1PF_NDCO,C21_750_849_Tot,C21_850_949_1PF_CU15_DS,C21_850_949_1PF_CU15_NDS,C21_850_949_1PFnoCU15_DS,C21_850_949_1PF_NDCO,C21_850_949_Tot,C21_950over_1PF_CU15_DS,C21_950over_1PF_CU15_NDS,C21_950over_1PFnoCU15_DS,C21_950over_1PF_NDCO,C21_950over_Tot,C21_Rns_1PF_CU15_DS,C21_Rns_1PF_CU15_NDS,C21_Rns_1PFnoCU15_DS,C21_Rns_1PF_NDCO,C21_Rns_Tot,C21_Tot_1PF_CU15_DS,C21_Tot_1PF_CU15_NDS,C21_Tot_1PFnoCU15_DS,C21_Tot_1_pa_f_NDCO,C21_Tot_Tot
801011001,0,0,0,0,3,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,10,4,4,18
801011002,0,24,3,13,47,0,7,3,3,17,0,3,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,96,26,44,173
801011003,0,17,3,7,30,0,0,5,3,13,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,15,14,66
801011004,4,12,0,3,18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,12,45,16,35,102
801011005,0,8,0,0,9,0,5,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,4,10,39
801011006,3,14,0,10,25,3,5,0,6,20,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,19,63,9,32,122
801011007,0,9,4,8,22,3,9,5,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,41,9,32,90
801011008,3,6,9,0,19,0,0,0,3,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,9,47,21,37,118
801011009,0,3,0,3,11,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,15,5,13,41
801011010,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,6,16
801011011,0,0,0,7,10,0,3,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,7,16,46
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,4,0,4,10,0,3,0,0,5,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,7,31
