SA2_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
801011001,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,9,4,0,14,10,10,4,0,16,10,12,3,0,19,24,29,6,3,62,62,109,41,3,214,7,8,0,0,16,0,0,0,0,0,118,177,52,7,357
801011002,0,0,0,0,4,10,3,0,0,10,51,13,3,0,66,46,26,0,0,79,48,29,0,0,82,22,29,0,0,49,38,15,4,0,54,31,16,3,0,52,9,0,0,0,15,3,4,0,0,6,273,135,18,4,431
801011003,8,0,0,0,3,3,0,0,0,4,14,15,0,4,29,21,6,6,0,31,21,22,3,0,49,22,9,0,0,31,53,48,7,4,120,84,102,23,0,211,10,15,3,0,33,0,0,0,0,0,242,223,49,14,525
801011004,0,0,0,0,3,0,0,0,0,0,8,8,6,4,25,22,10,5,0,37,22,22,3,0,46,13,31,10,4,56,38,33,16,0,89,16,28,3,0,46,13,11,0,0,25,0,0,0,0,0,137,147,47,11,347
801011005,0,4,0,0,0,0,0,0,0,0,3,4,0,0,6,8,7,0,0,14,15,14,0,0,31,16,11,0,0,24,33,36,6,0,74,56,69,27,3,155,3,7,6,0,18,0,0,0,0,4,142,146,40,3,331
801011006,0,0,0,0,0,0,0,5,4,10,13,12,3,7,42,26,32,14,0,74,51,55,18,8,126,52,76,20,5,158,100,121,52,8,277,92,180,58,17,344,17,24,22,5,61,0,4,0,0,3,357,511,181,53,1093
801011007,0,3,0,0,8,0,0,0,0,0,6,6,3,0,21,21,22,7,4,48,27,30,13,0,72,28,55,15,0,97,77,90,23,12,197,78,126,36,7,252,14,18,14,3,42,0,0,0,0,0,258,350,113,25,739
801011008,3,6,0,0,7,5,3,0,0,10,19,4,9,3,29,25,21,5,0,48,29,24,11,0,60,29,26,4,4,67,57,38,10,0,112,65,90,30,12,191,14,17,3,0,38,0,0,0,0,0,243,235,75,19,569
801011009,0,0,0,0,0,0,0,0,0,0,4,8,6,0,14,12,9,5,0,19,25,15,4,3,38,14,20,14,6,54,44,73,18,7,134,69,95,41,11,211,11,12,4,0,28,0,0,0,0,0,163,231,91,27,520
801011010,0,0,0,0,0,0,0,0,0,5,8,4,0,0,9,9,4,3,0,18,15,8,3,3,29,3,11,9,0,21,22,34,15,3,72,36,63,23,4,122,5,3,11,0,17,0,0,0,0,0,94,130,61,10,299
