SA2_CODE_2021,C11_Neg_Ni_inc_1PF_1C,C11_Neg_Ni_inc_1PF_2C,C11_Neg_Ni_inc_1PF_3C,C11_Neg_Ni_inc_1PF_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_1PF_1C,C11_1_149_1PF_2C,C11_1_149_1PF_3C,C11_1_149_1PF_4mC,C11_1_149_Tot,C11_150_299_1PF_1C,C11_150_299_1PF_2C,C11_150_299_1PF_3C,C11_150_299_1PF_4mC,C11_150_299_Tot,C11_300_399_1PF_1C,C11_300_399_1PF_2C,C11_300_399_1PF_3C,C11_300_399_1PF_4mC,C11_300_399_Tot,C11_400_499_1PF_1C,C11_400_499_1PF_2C,C11_400_499_1PF_3C,C11_400_499_1PF_4mC,C11_400_499_Tot,C11_500_649_1PF_1C,C11_500_649_1PF_2C,C11_500_649_1PF_3C,C11_500_649_1PF_4mC,C11_500_649_Tot,C11_650_799_1PF_1C,C11_650_799_1PF_2C,C11_650_799_1PF_3C,C11_650_799_1PF_4mC,C11_650_799_Tot,C11_800_999_1PF_1C,C11_800_999_1PF_2C,C11_800_999_1PF_3C,C11_800_999_1PF_4mC,C11_800_999_Tot,C11_1000_1499_1PF_1C,C11_1000_1499_1PF_2C,C11_1000_1499_1PF_3C,C11_1000_1499_1PF_4mC,C11_1000_1499_Tot,C11_1500_1999_1PF_1C,C11_1500_1999_1PF_2C,C11_1500_1999_1PF_3C,C11_1500_1999_1PF_4mC,C11_1500_1999_Tot,C11_2000_2499_1PF_1C,C11_2000_2499_1PF_2C,C11_2000_2499_1PF_3C,C11_2000_2499_1PF_4mC,C11_2000_2499_Tot,C11_2500_2999_1PF_1C,C11_2500_2999_1PF_2C,C11_2500_2999_1PF_3C,C11_2500_2999_1PF_4mC,C11_2500_2999_Tot,C11_3000_3999_1PF_1C,C11_3000_3999_1PF_2C,C11_3000_3999_1PF_3C,C11_3000_3999_1PF_4mC,C11_3000_3999_Tot,C11_4000more_1PF_1C,C11_4000more_1PF_2C,C11_4000more_1PF_3C,C11_4000more_1PF_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_1PF_1C,C11_Par_inc_st_1PF_2C,C11_Par_inc_st_1PF_3C,C11_Par_inc_st_1PF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_1PF_1Ch,C11_All_inc_ns_1PF_2C,C11_All_inc_ns_1PF_3C,C11_All_inc_ns_1PF_4mC,C11_All_inc_ns_Tot,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1PF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_1PF_1C,C16_Neg_Ni_inc_1PF_2C,C16_Neg_Ni_inc_1PF_3C,C16_Neg_Ni_inc_1PF_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_1PF_1C,C16_1_149_1PF_2C,C16_1_149_1PF_3C,C16_1_149_1PF_4mC,C16_1_149_Tot,C16_150_299_1PF_1C,C16_150_299_1PF_2C,C16_150_299_1PF_3C,C16_150_299_1PF_4mC,C16_150_299_Tot,C16_300_399_1PF_1C,C16_300_399_1PF_2C,C16_300_399_1PF_3C,C16_300_399_1PF_4mC,C16_300_399_Tot,C16_400_499_1PF_1C,C16_400_499_1PF_2C,C16_400_499_1PF_3C,C16_400_499_1PF_4mC,C16_400_499_Tot,C16_500_649_1PF_1C,C16_500_649_1PF_2C,C16_500_649_1PF_3C,C16_500_649_1PF_4mC,C16_500_649_Tot,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_Tot,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_Tot,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_Tot,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_Tot,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_Tot,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_Tot,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_Tot,C16_4000more_1PF_1C,C16_4000more_1PF_2C,C16_4000more_1PF_3C,C16_4000more_1PF_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_Tot,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_1PF_1C,C21_Neg_Ni_inc_1PF_2C,C21_Neg_Ni_inc_1PF_3C,C21_Neg_Ni_inc_1PF_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_1PF_1C,C21_1_149_1PF_2C,C21_1_149_1PF_3C,C21_1_149_1PF_4mC,C21_1_149_Tot,C21_150_299_1PF_1C,C21_150_299_1PF_2C,C21_150_299_1PF_3C,C21_150_299_1PF_4mC,C21_150_299_Tot,C21_300_399_1PF_1C,C21_300_399_1PF_2C,C21_300_399_1PF_3C,C21_300_399_1PF_4mC,C21_300_399_Tot,C21_400_499_1PF_1C,C21_400_499_1PF_2C,C21_400_499_1PF_3C,C21_400_499_1PF_4mC,C21_400_499_Tot,C21_500_649_1PF_1C,C21_500_649_1PF_2C,C21_500_649_1PF_3C,C21_500_649_1PF_4mC,C21_500_649_Tot
801011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,5,0,0,0,0,0,0,3,0,0,4,4,0,0,0,4,6,5,0,0,13,5,5,0,0,6,0,5,0,0,5,11,4,0,0,14,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,31,16,7,0,60,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,14,3,0,3,0,11,8,7,0,0,13,3,3,0,0,9,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,33,20,8,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011002,0,0,0,0,4,0,0,0,0,6,13,3,0,0,18,6,0,0,0,13,12,4,0,0,17,5,0,0,0,5,14,4,0,0,14,6,5,0,0,15,13,0,0,0,19,12,4,0,0,11,0,0,0,0,0,4,8,0,0,13,0,0,0,0,0,4,0,0,0,5,6,3,6,0,8,0,0,0,0,0,95,33,8,0,140,0,0,0,0,0,0,0,0,0,4,5,0,0,0,5,4,5,4,0,16,9,3,0,0,8,8,0,0,0,15,9,3,5,0,14,12,3,0,0,13,18,3,0,0,29,9,14,0,0,20,11,3,0,0,9,6,0,0,0,6,3,0,0,0,3,4,0,0,0,4,3,5,0,0,11,0,0,0,0,0,107,38,6,0,152,4,0,3,0,7,0,0,0,0,4,0,0,0,0,4,4,5,0,0,12,16,0,0,0,16,16,5,0,0,20
801011003,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,4,0,0,0,7,13,3,0,0,16,5,3,0,0,14,4,3,0,0,8,7,0,0,0,7,6,0,0,0,6,0,0,0,0,0,4,4,0,0,7,0,0,0,0,0,47,20,0,0,70,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,5,0,0,9,3,4,0,0,4,13,0,4,0,26,8,4,0,0,14,17,4,0,0,20,4,0,0,0,9,5,0,0,0,10,5,0,0,0,5,10,3,0,0,10,0,0,0,0,0,73,27,10,0,112,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,5
801011004,0,0,0,0,0,3,0,0,0,5,0,0,3,0,4,5,8,4,0,20,6,8,8,0,23,3,4,0,0,5,7,11,4,0,25,16,3,4,0,23,19,11,0,0,29,15,4,0,0,25,16,6,0,0,17,6,3,0,0,8,0,0,0,0,0,0,0,0,0,0,12,13,6,0,27,0,0,0,0,0,110,63,26,9,212,4,0,0,0,0,0,0,0,0,0,4,5,0,0,8,11,3,0,0,9,5,5,0,0,12,7,4,3,0,13,11,9,0,3,22,6,9,0,0,12,30,12,0,6,42,13,3,0,0,16,11,0,3,0,18,4,0,0,0,4,3,3,0,0,12,0,0,0,0,0,9,14,3,4,25,4,0,0,0,4,116,68,19,12,208,0,0,0,0,0,3,0,0,0,3,0,6,0,0,7,0,6,0,0,3,3,8,0,0,10,6,3,0,3,17
801011005,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,10,3,3,0,0,9,0,0,0,0,0,9,4,0,0,10,5,0,0,0,12,10,8,0,4,26,15,7,0,0,26,9,0,0,0,9,4,8,0,0,13,4,0,0,0,8,0,0,0,0,0,3,8,0,0,10,5,0,0,0,5,81,39,0,3,127,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,4,0,3,0,0,5,4,0,0,0,7,0,0,0,0,3,3,0,0,0,3,10,9,0,0,21,10,6,0,4,13,10,0,0,0,15,5,0,0,0,7,9,0,0,0,9,5,0,0,0,5,3,0,0,0,0,0,0,0,0,0,68,28,4,6,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,4,3,0,0,5
801011006,0,0,0,0,3,4,0,0,0,4,4,0,0,0,5,5,5,0,0,13,11,3,7,0,19,3,0,0,0,6,12,9,0,3,20,3,11,6,0,18,37,21,0,0,57,25,21,3,0,49,10,5,4,0,18,7,8,3,0,19,3,4,0,0,11,0,0,0,0,0,6,7,6,0,23,0,3,0,0,5,146,95,34,12,286,5,0,4,0,5,0,0,0,0,0,8,0,0,0,9,6,4,0,0,9,6,9,0,0,11,11,3,7,6,22,7,6,0,0,10,8,9,6,0,23,22,13,0,3,34,32,13,3,3,50,15,8,3,0,29,11,7,0,0,14,0,6,0,0,9,3,0,0,0,6,9,15,7,3,34,0,0,0,0,3,140,93,32,19,285,7,0,0,4,9,0,6,0,0,6,4,0,3,0,5,5,0,0,0,5,5,0,0,0,5,7,10,7,0,19
801011007,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,10,8,0,5,22,7,9,0,0,19,5,0,0,0,5,11,8,0,0,18,11,6,0,0,15,22,17,3,0,37,10,17,3,0,30,14,0,3,0,13,7,11,3,0,17,8,3,0,0,11,0,0,0,0,0,9,10,5,0,17,0,0,0,0,4,120,84,21,11,227,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,4,0,0,0,5,4,0,0,0,11,6,9,0,0,11,11,3,0,0,15,8,4,0,0,15,31,7,4,0,40,19,20,0,0,36,18,10,0,0,33,4,5,0,0,10,0,5,0,0,10,0,0,3,0,3,6,6,0,0,15,0,4,0,0,4,115,80,12,6,210,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10
801011008,0,0,0,0,0,0,0,0,0,0,4,4,0,0,9,10,12,0,0,20,4,12,3,0,22,0,3,0,0,11,11,7,0,0,20,9,3,3,4,20,24,16,3,0,48,15,8,0,0,27,6,9,0,0,19,8,3,5,0,11,0,4,5,0,10,0,0,0,0,0,6,5,3,0,20,0,5,0,0,3,115,95,20,6,245,0,0,0,0,0,0,0,0,0,7,8,4,0,0,9,3,4,0,0,7,9,6,3,0,19,8,8,0,0,13,14,4,0,3,18,10,6,0,0,20,25,3,3,0,36,15,0,3,0,23,22,7,0,0,33,3,3,3,0,8,0,3,0,0,4,5,0,0,0,3,12,7,0,0,20,4,0,0,0,8,148,63,23,10,240,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,6,0,0,0,6,3,0,0,0,9,8,5,0,0,22
801011009,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,9,0,4,0,0,8,3,3,0,0,10,15,11,0,0,24,0,6,0,0,8,4,12,0,0,13,0,0,0,0,0,0,0,0,0,0,9,4,0,0,13,0,0,0,0,0,49,51,10,3,109,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,3,0,0,0,8,4,3,0,0,11,18,8,4,0,26,7,5,0,0,12,8,3,0,0,13,0,0,0,0,5,9,4,0,0,10,0,0,0,0,0,8,4,0,0,14,0,0,0,0,0,71,37,10,3,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,11,3,0,0,0,11
801011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,4,3,0,6,5,0,0,0,5,4,0,0,0,5,0,3,0,0,8,9,0,0,0,15,3,3,0,0,12,3,3,0,0,7,4,4,0,0,10,0,0,0,0,5,3,0,0,0,3,3,0,0,0,8,0,0,0,0,0,42,23,8,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,18,8,0,0,28,8,0,0,0,12,4,3,0,0,5,0,0,3,0,5,0,4,0,0,5,0,0,0,0,5,0,5,4,0,8,0,0,0,0,0,35,29,17,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
