SA2_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
801011001,0,0,0,0,0,4,0,0,0,3,12,0,3,0,11,8,0,0,0,7,5,4,4,0,13,5,4,0,0,9,3,8,0,0,15,0,4,0,0,4,0,5,3,0,7,0,0,0,0,0,46,24,13,0,77
801011002,16,0,3,0,15,10,3,0,0,14,20,7,0,0,32,34,8,0,0,42,22,11,0,0,29,13,0,0,0,13,11,3,3,0,13,3,3,0,0,7,8,0,0,0,11,0,0,0,0,6,181,53,17,0,247
801011003,0,0,0,0,0,10,0,0,0,8,17,5,0,0,30,18,7,0,0,24,23,13,0,0,39,12,0,0,0,9,10,8,0,0,21,3,0,3,0,16,6,8,4,0,17,0,0,0,0,0,113,46,15,0,170
801011004,7,4,5,0,15,16,5,0,3,24,27,6,4,6,41,14,8,0,0,24,17,8,0,0,26,6,5,0,0,9,3,5,0,0,12,0,0,0,0,5,7,7,6,0,22,0,0,0,0,0,117,62,21,16,214
801011005,0,0,0,0,5,5,0,0,0,5,16,5,0,0,30,9,3,0,0,14,13,9,0,0,21,6,4,0,0,8,12,4,0,0,13,5,4,0,0,12,3,3,0,0,11,0,0,0,0,0,77,38,0,5,123
801011006,3,0,0,0,5,7,3,0,0,25,34,17,10,0,60,25,18,3,6,50,33,19,3,3,59,12,10,0,0,24,20,10,0,0,28,4,6,0,0,9,4,8,9,0,19,0,0,0,0,0,171,100,28,23,320
801011007,3,3,0,3,14,9,0,5,0,11,27,10,0,0,43,33,8,0,0,46,24,19,0,3,45,7,10,0,0,19,4,8,0,0,9,6,7,3,0,13,10,3,4,0,11,5,0,0,0,5,134,75,22,9,244
801011008,5,0,3,0,11,9,5,0,0,15,24,13,0,0,33,23,14,3,0,43,19,13,0,0,33,9,5,0,0,16,6,5,0,0,10,3,0,0,0,4,0,3,6,0,6,0,0,0,0,5,135,64,25,4,227
801011009,4,0,0,0,5,5,0,0,0,5,13,9,0,0,20,10,9,4,0,25,5,13,0,0,17,3,7,0,0,10,9,0,0,0,11,7,0,0,0,3,0,0,3,0,6,0,0,0,0,0,70,40,15,6,126
801011010,4,0,0,0,3,0,4,0,0,8,3,0,0,0,4,11,5,0,0,15,11,8,6,0,17,8,4,0,0,8,4,0,0,0,6,0,0,3,0,9,0,9,3,0,9,0,0,0,0,0,46,31,7,0,90
