SA2_CODE_2021,C16_2500_2999_R650more,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R1_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650more,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000more_R1_74,C16_4000more_R75_99,C16_4000more_R100_149,C16_4000more_R150_199,C16_4000more_R200_224,C16_4000more_R225_274,C16_4000more_R275_349,C16_4000more_R350_449,C16_4000more_R450_549,C16_4000more_R550_649,C16_4000more_R650more,C16_4000more_R_NS,C16_4000more_R_Tot,C16_PI_S_R1_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650more,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R1_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650more,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R1_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650more,C16_Tot_R_NS,C16_Tot_R_Tot,C21_Neg_Ni_inc_R1_74,C21_Neg_Ni_inc_R75_99,C21_Neg_Ni_inc_R100_149,C21_Neg_Ni_inc_R150_199,C21_Neg_Ni_inc_R200_224,C21_Neg_Ni_inc_R225_274,C21_Neg_Ni_inc_R275_349,C21_Neg_Ni_inc_R350_449,C21_Neg_Ni_inc_R450_549,C21_Neg_Ni_inc_R550_649,C21_Neg_Ni_inc_R650more,C21_Neg_Ni_inc_R_NS,C21_Neg_Ni_inc_R_Tot,C21_1_149_R1_74,C21_1_149_R75_99,C21_1_149_R100_149,C21_1_149_R150_149,C21_1_149_R200_224,C21_1_149_R225_274,C21_1_149_R275_349,C21_1_149_R350_449,C21_1_149_R450_549,C21_1_149_R550_649,C21_1_149_R650more,C21_1_149_R_NS,C21_1_149_R_Tot,C21_150_299_R1_74,C21_150_299_R75_99,C21_150_299_R100_149,C21_150_299_R150_199,C21_150_299_R150_224,C21_150_299_R225_274,C21_150_299_R275_349,C21_150_299_R350_449,C21_150_299_R450_549,C21_150_299_R550_649,C21_150_299_R650more,C21_150_299_R_NS,C21_150_299_R_Tot,C21_300_399_R1_74,C21_300_399_R75_99,C21_300_399_R100_149,C21_300_399_R150_199,C21_300_399_R200_224,C21_300_399_R225_274,C21_300_399_R275_349,C21_300_399_R350_449,C21_300_399_R450_549,C21_300_399_R550_649,C21_300_399_R650more,C21_300_399_R_NS,C21_300_399_R_Tot,C21_400_499_R1_74,C21_400_499_R75_99,C21_400_499_R100_149,C21_400_499_R150_199,C21_400_499_R200_224,C21_400_499_R225_274,C21_400_499_R275_349,C21_400_499_R350_449,C21_400_499_R450_549,C21_400_499_R550_649,C21_400_499_R650more,C21_400_499_R_NS,C21_400_499_R_Tot,C21_500_649_R1_74,C21_500_649_R75_99,C21_500_649_R100_149,C21_500_649_R150_199,C21_500_649_R200_224,C21_500_649_R225_274,C21_500_649_R275_349,C21_500_649_R350_449,C21_500_649_R450_549,C21_500_649_R550_649,C21_500_649_R650more,C21_500_649_R_NS,C21_500_649_R_Tot,C21_650_799_R1_74,C21_650_799_R75_99,C21_650_799_R100_149,C21_650_799_R150_199,C21_650_799_R200_224,C21_650_799_R225_274,C21_650_799_R275_349,C21_650_799_R350_449,C21_650_799_R450_549,C21_650_799_R550_649,C21_650_799_R650more,C21_650_799_R_NS,C21_650_799_R_Tot,C21_800_999_R1_74,C21_800_999_R75_99,C21_800_999_R100_149,C21_800_999_R150_199,C21_800_999_R200_224,C21_800_999_R225_274,C21_800_999_R275_349,C21_800_999_R350_449,C21_800_999_R450_549,C21_800_999_R550_649,C21_800_999_R650more,C21_800_999_R_NS,C21_800_999_R_Tot,C21_1000_1249_R1_74,C21_1000_1249_R75_99,C21_1000_1249_R100_149,C21_1000_1249_R150_199,C21_1000_1249_R200_224,C21_1000_1249_R225_274,C21_1000_1249_R275_349,C21_1000_1249_R350_449,C21_1000_1249_R450_549,C21_1000_1249_R550_649,C21_1000_1249_R650more,C21_1000_1249_R_NS,C21_1000_1249_R_Tot,C21_1250_1499_R1_74,C21_1250_1499_R75_99,C21_1250_1499_R100_149,C21_1250_1499_R150_199,C21_1250_1499_R200_224,C21_1250_1499_R225_274,C21_1250_1499_R275_349,C21_1250_1499_R350_449,C21_1250_1499_R450_549,C21_1250_1499_R550_649,C21_1250_1499_R650more,C21_1250_1499_R_NS,C21_1250_1499_R_Tot,C21_1500_1999_R1_74,C21_1500_1999_R75_99
801011001,0,0,9,0,0,0,0,0,0,0,3,8,0,0,0,13,0,0,0,0,0,0,0,0,4,0,4,0,16,0,0,0,0,0,0,0,4,3,4,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,8,0,4,4,23,29,38,8,20,3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
801011002,3,0,132,0,0,0,0,0,0,13,66,32,8,6,0,130,0,0,0,0,0,0,7,24,10,9,0,0,51,0,0,5,6,0,0,15,50,24,13,0,0,109,0,3,6,4,0,0,0,3,0,3,0,3,28,26,33,86,71,35,18,440,838,189,75,23,47,1895,0,4,0,0,0,4,0,17,16,6,5,4,62,0,0,0,5,0,0,0,0,0,0,0,0,10,5,0,6,0,7,0,0,0,3,4,0,0,29,4,4,9,11,5,0,4,10,9,4,3,0,62,0,5,34,4,6,5,0,16,4,0,0,0,79,0,0,11,6,6,0,3,25,13,3,0,0,75,0,5,3,4,3,5,8,39,17,7,4,0,100,0,0,6,4,0,7,6,59,19,7,0,5,118,0,0,0,8,0,6,10,114,50,8,0,4,212,0,3,0,4,0,5,6,148,67,16,0,0,255,0,0
801011003,3,4,118,0,0,0,0,0,3,20,30,41,16,3,0,117,0,0,0,0,0,3,19,11,20,13,4,5,79,0,0,0,5,0,5,18,26,41,7,7,4,115,0,0,0,0,0,0,5,3,0,0,3,0,9,0,0,13,25,9,62,401,437,255,88,50,27,1374,0,0,0,4,0,0,0,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,3,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,3,9,7,0,0,0,23,0,0,0,0,0,4,7,13,3,3,0,0,35,0,0,0,0,4,4,6,11,11,7,0,0,40,0,0,0,0,4,7,3,45,14,3,0,4,86,0,0,0,3,5,5,10,63,24,9,5,0,123,0,0
801011004,0,3,9,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,14,0,0,0,4,22,0,0,4,0,0,0,0,0,0,0,0,0,6,8,16,58,38,14,13,35,123,18,0,0,20,346,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,4,3,0,0,0,0,0,0,0,0,12,0,0,13,3,0,0,0,0,0,0,0,3,21,0,0,18,4,0,0,0,4,0,0,0,3,24,0,0,7,5,0,0,0,4,3,0,0,4,24,0,0,0,5,5,0,0,0,3,0,0,0,20,0,0,3,0,6,6,0,3,0,0,0,0,20,0,0,0,3,3,3,4,4,3,0,0,0,28,0,0,5,0,0,0,0,14,4,0,0,4,33,0,0
801011005,0,0,27,0,0,0,0,0,0,0,17,15,0,0,0,32,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,5,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,17,8,3,8,24,128,42,6,7,13,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,4,0,0,0,0,11,0,0,4,0,0,0,4,0,4,0,0,0,12,0,0,0,0,0,0,0,3,0,0,3,0,6,0,0,3,0,0,0,6,13,4,0,0,0,31,0,0,0,0,0,0,0,8,0,0,0,0,20,0,0
801011006,0,0,49,0,0,0,0,0,0,0,3,22,5,0,0,34,0,0,0,0,0,0,0,0,3,8,0,0,9,0,0,3,0,0,0,0,11,11,3,0,4,45,0,0,0,0,0,0,0,0,0,0,0,3,6,3,13,28,30,19,32,25,125,115,22,7,19,435,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,7,0,0,9,4,0,0,0,0,0,0,0,0,19,0,0,9,0,0,0,0,6,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,9,4,6,0,0,24,0,0,0,7,3,0,0,0,4,4,0,0,21,0,0,0,5,0,3,5,4,14,5,0,0,37,0,0
801011007,0,0,31,0,0,0,0,0,0,0,10,14,4,0,0,23,0,0,0,0,0,0,0,0,5,3,0,0,11,0,0,0,0,0,0,0,9,7,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,3,4,10,28,30,4,11,37,145,65,13,4,13,373,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,7,3,0,0,0,0,0,0,0,0,12,0,0,9,0,4,0,0,0,0,0,0,0,14,0,0,0,10,4,0,0,0,3,3,0,5,27,0,0,5,4,4,0,0,3,3,5,0,0,22,0,0,5,0,0,4,5,7,8,0,0,0,28,0,0,0,0,0,0,3,9,11,0,0,0,24,0,0
801011008,3,0,34,0,3,0,0,0,0,0,14,3,4,0,0,26,0,0,0,0,0,0,0,4,10,0,3,0,17,0,0,0,0,0,0,3,15,3,0,0,4,28,0,0,3,0,0,0,0,0,0,0,0,5,15,7,40,72,59,9,15,51,240,61,11,7,32,629,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,8,0,3,15,0,4,4,0,0,0,0,0,0,30,0,3,42,5,0,4,0,3,0,0,0,0,62,0,0,13,3,0,4,3,0,0,0,0,3,34,0,0,6,16,0,0,0,3,0,0,0,0,39,0,0,6,3,5,6,0,5,4,0,0,0,41,0,0,0,4,0,0,3,14,13,0,0,0,31,0,0,0,0,0,0,5,11,18,8,0,0,39,0,0
801011009,0,0,18,0,0,0,0,0,0,0,6,15,4,3,0,30,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,4,8,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,16,9,9,12,12,53,53,10,8,8,187,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,3,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,4,0,10,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0
801011010,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,3,10,31,11,8,0,4,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
