SA2_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
801011001,0,0,0,4,0,0,5,0,0,0,14,0,0,0,0,0,0,6,6,3,4,0,0,17,0,0,0,0,0,0,0,0,5,4,0,0,10,0,0,0,0,0,0,3,3,7,7,3,4,29,0,0,0,0,0,0,0,0,7,7,19,0,39,0,0,0,0,0,0,0,0,0,5,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,10,21,26,22,35,10,143
801011002,4,0,3,8,26,265,122,27,11,5,478,0,0,0,0,0,15,11,175,146,36,11,5,398,0,0,0,3,4,3,8,68,100,29,8,0,223,0,0,0,3,0,8,0,78,96,35,11,7,233,0,0,0,0,0,0,0,39,67,19,16,4,152,0,0,0,0,4,3,0,28,40,20,4,6,100,0,0,0,0,0,0,0,0,3,4,0,9,22,20,20,88,56,41,59,92,1070,786,230,89,57,2613
801011003,0,0,5,6,16,111,37,13,7,6,206,0,0,0,5,0,8,13,82,57,23,11,5,202,0,0,0,0,0,8,3,32,45,17,9,0,117,0,0,3,3,4,3,13,46,66,38,34,4,214,0,0,0,0,0,5,3,34,37,43,32,3,166,0,0,0,4,0,0,0,13,11,13,15,9,73,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,13,28,26,48,86,478,325,168,119,41,1346
801011004,0,0,0,0,0,13,18,0,0,3,39,0,0,0,0,0,0,5,19,19,5,0,0,53,0,0,0,0,0,0,0,9,11,0,0,0,24,0,0,0,0,0,0,0,10,5,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,4,4,0,0,3,9,6,3,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,60,25,19,14,18,97,77,14,7,28,364
801011005,0,0,3,0,0,13,17,8,0,0,42,0,0,0,0,0,0,0,18,19,11,0,0,46,0,0,0,0,0,0,0,4,10,0,0,0,17,0,0,0,0,0,0,0,0,14,0,6,0,32,0,0,0,0,0,0,0,0,15,7,3,0,27,0,0,3,0,0,0,0,8,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,14,9,9,18,66,92,31,16,5,292
801011006,0,4,0,4,0,9,17,8,0,4,57,0,0,0,5,0,4,5,9,30,23,0,0,60,0,0,3,0,0,5,0,4,23,15,8,3,57,0,0,0,0,0,0,0,3,14,30,8,0,54,0,0,0,0,0,0,0,6,6,8,8,0,41,0,0,0,0,0,0,0,4,0,3,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,38,28,12,28,13,57,110,103,29,23,443
801011007,0,0,0,0,4,17,27,5,4,0,58,0,0,0,0,0,0,5,13,31,14,0,0,61,0,0,0,0,0,6,0,6,28,8,5,0,42,0,0,0,0,0,0,4,9,14,18,0,0,47,0,0,0,0,0,0,0,4,7,20,12,0,45,0,0,0,0,0,0,0,0,8,3,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,30,24,20,13,19,66,144,74,27,10,429
801011008,0,0,3,4,0,31,30,3,0,0,80,0,0,0,0,0,0,4,25,26,9,9,0,74,3,0,0,0,0,0,0,21,18,5,0,0,48,0,0,0,0,0,0,0,9,25,15,0,0,47,0,0,0,0,0,0,0,4,19,10,5,0,39,0,0,0,0,0,0,0,0,13,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,12,14,14,99,46,26,27,24,122,169,53,17,23,625
801011009,0,0,0,0,4,0,6,5,0,0,25,0,0,0,0,0,0,0,6,5,8,0,0,15,0,0,0,0,0,0,0,3,10,3,4,0,19,0,0,0,0,0,0,3,0,16,5,4,0,33,0,0,0,0,0,0,0,3,4,4,5,0,21,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,12,4,10,13,21,51,34,26,10,190
801011010,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,7,3,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,0,5,0,0,0,0,0,0,0,7,0,0,3,0,13,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,6,0,0,6,17,20,12,7,3,76
