SA2_CODE_2021,C16_CF_NCu15DS_MR_1000_1399,C16_CF_NCu15DS_MR_1400_1799,C16_CF_NCu15DS_MR_1800_2399,C16_CF_NCu15DS_MR_2400_2999,C16_CF_NCu15DS_MR_3000_3999,C16_CF_NCu15DS_MR_4000over,C16_CF_NCu15DS_MR_NS,C16_CF_NCu15DS_Tot,C16_CF_NDCO_MR_0_299,C16_CF_NDCO_MR_300_449,C16_CF_NDCO_MR_450_599,C16_CF_NDCO_MR_600_799,C16_CF_NDCO_MR_800_999,C16_CF_NDCO_MR_1000_1399,C16_CF_NDCO_MR_1400_1799,C16_CF_NDCO_MR_1800_2399,C16_CF_NDCO_MR_2400_2999,C16_CF_NDCO_MR_3000_3999,C16_CF_NDCO_MR_4000over,C16_CF_NDCO_MR_NS,C16_CF_NDCO_Tot,C16_CF_Tot_MR_0_299,C16_CF_Tot_MR_300_449,C16_CF_Tot_MR_450_599,C16_CF_Tot_MR_600_799,C16_CF_Tot_MR_800_999,C16_CF_Tot_MR_1000_1399,C16_CF_Tot_MR_1400_1799,C16_CF_Tot_MR_1800_2399,C16_CF_Tot_MR_2400_2999,C16_CF_Tot_MR_3000_3999,C16_CF_Tot_MR_4000over,C16_CF_Tot_MR_NS,C16_CF_Tot_Tot,C16_1PF_Cu15DS_MR_0_299,C16_1PF_Cu15DS_MR_300_449,C16_1PF_Cu15DS_MR_450_599,C16_1PF_Cu15DS_MR_600_799,C16_1PF_Cu15DS_MR_800_999,C16_1PF_Cu15DS_MR_1000_1399,C16_1PF_Cu15DS_MR_1400_1799,C16_1PF_Cu15DS_MR_1800_2399,C16_1PF_Cu15DS_MR_2400_2999,C16_1PF_Cu15DS_MR_3000_3999,C16_1PF_Cu15DS_MR_4000over,C16_1PF_Cu15DS_MR_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_MR_0_299,C16_1PF_CU15_NDS_MR_300_449,C16_1PF_CU15_NDS_MR_450_599,C16_1PF_CU15_NDS_MR_600_799,C16_1PF_CU15_NDS_MR_800_999,C16_1PF_CU15_NDS_MR_1000_1399,C16_1PF_CU15_NDS_MR_1400_1799,C16_1PF_CU15_NDS_MR_1800_2399,C16_1PF_CU15_NDS_MR_2400_2999,C16_1PF_CU15_NDS_MR_3000_3999,C16_1PF_CU15_NDS_MR_4000over,C16_1PF_CU15_NDS_MR_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_MR_0_299,C16_1PF_NCu15DS_MR_300_449,C16_1PF_NCu15DS_MR_450_599,C16_1PF_NCu15DS_MR_600_799,C16_1PF_NCu15DS_MR_800_999,C16_1PF_NCu15DS_MR_1000_1399,C16_1PF_NCu15DS_MR_1400_1799,C16_1PF_NCu15DS_MR_1800_2399,C16_1PF_NCu15DS_MR_2400_2999,C16_1PF_NCu15DS_MR_3000_3999,C16_1PF_NCu15DS_MR_4000over,C16_1PF_NCu15DS_MR_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_MR_0_299,C16_1PF_NDCO_MR_300_449,C16_1PF_NDCO_MR_450_599,C16_1PF_NDCO_MR_600_799,C16_1PF_NDCO_MR_800_999,C16_1PF_NDCO_MR_1000_1399,C16_1PF_NDCO_MR_1400_1799,C16_1PF_NDCO_MR_1800_2399,C16_1PF_NDCO_MR_2400_2999,C16_1PF_NDCO_MR_3000_3999,C16_1PF_NDCO_MR_4000over,C16_1PF_NDCO_MR_NS,C16_1PF_NDCO_Tot,C16_1PF_Tot_MR_0_299,C16_1PF_Tot_MR_300_449,C16_1PF_Tot_MR_450_599,C16_1PF_Tot_MR_600_799,C16_1PF_Tot_MR_800_999,C16_1PF_Tot_MR_1000_1399,C16_1PF_Tot_MR_1400_1799,C16_1PF_Tot_MR_1800_2399,C16_1PF_Tot_MR_2400_2999,C16_1PF_Tot_MR_3000_3999,C16_1PF_Tot_MR_4000over,C16_1PF_Tot_MR_NS,C16_1PF_Tot_Tot,C16_Tot_MR_0_299,C16_Tot_MR_300_449,C16_Tot_MR_450_599,C16_Tot_MR_600_799,C16_Tot_MR_800_999,C16_Tot_MR_1000_1399,C16_Tot_MR_1400_1799,C16_Tot_MR_1800_2399,C16_Tot_MR_2400_2999,C16_Tot_MR_3000_3999,C16_Tot_MR_4000over,C16_Tot_MR_NS,C16_Tot_Tot,C21_CFNC_MR_0_299,C21_CFNC_MR_300_449,C21_CFNC_MR_450_599,C21_CFNC_MR_600_799,C21_CFNC_MR_800_999,C21_CFNC_MR_1000_1399,C21_CFNC_MR_1400_1799,C21_CFNC_MR_1800_2399,C21_CFNC_MR_2400_2999,C21_CFNC_MR_3000_3999,C21_CFNC_MR_4000over,C21_CFNC_MR_NS,C21_CFNC_Tot,C21_CF_Cu15DS_MR_0_299,C21_CF_Cu15DS_MR_300_449,C21_CF_Cu15DS_MR_450_599,C21_CF_Cu15DS_MR_600_799,C21_CF_Cu15DS_MR_800_999,C21_CF_Cu15DS_MR_1000_1399,C21_CF_Cu15DS_MR_1400_1799,C21_CF_Cu15DS_MR_1800_2399,C21_CF_Cu15DS_MR_2400_2999,C21_CF_Cu15DS_MR_3000_3999,C21_CF_Cu15DS_MR_4000over,C21_CF_Cu15DS_MR_NS,C21_CF_Cu15DS_Tot,C21_CF_Cu15NDS_MR_0_299,C21_CF_Cu15NDS_MR_300_449,C21_CF_Cu15NDS_MR_450_599,C21_CF_Cu15NDS_MR_600_799,C21_CF_Cu15NDS_MR_800_999,C21_CF_Cu15NDS_MR_1000_1399,C21_CF_Cu15NDS_MR_1400_1799,C21_CF_Cu15NDS_MR_1800_2399,C21_CF_Cu15NDS_MR_2400_2999,C21_CF_Cu15NDS_MR_3000_3999,C21_CF_Cu15NDS_MR_4000over,C21_CF_Cu15NDS_MR_NS,C21_CF_Cu15NDS_Tot,C21_CF_NCu15DS_MR_0_299,C21_CF_NCu15DS_MR_300_449,C21_CF_NCu15DS_MR_450_599,C21_CF_NCu15DS_MR_600_799,C21_CF_NCu15DS_MR_800_999,C21_CF_NCu15DS_MR_1000_1399,C21_CF_NCu15DS_MR_1400_1799,C21_CF_NCu15DS_MR_1800_2399,C21_CF_NCu15DS_MR_2400_2999,C21_CF_NCu15DS_MR_3000_3999,C21_CF_NCu15DS_MR_4000over,C21_CF_NCu15DS_MR_NS,C21_CF_NCu15DS_Tot,C21_CF_NDCO_MR_0_299,C21_CF_NDCO_MR_300_449,C21_CF_NDCO_MR_450_599,C21_CF_NDCO_MR_600_799,C21_CF_NDCO_MR_800_999,C21_CF_NDCO_MR_1000_1399,C21_CF_NDCO_MR_1400_1799,C21_CF_NDCO_MR_1800_2399,C21_CF_NDCO_MR_2400_2999,C21_CF_NDCO_MR_3000_3999,C21_CF_NDCO_MR_4000over,C21_CF_NDCO_MR_NS,C21_CF_NDCO_Tot,C21_CF_Tot_MR_0_299,C21_CF_Tot_MR_300_449,C21_CF_Tot_MR_450_599,C21_CF_Tot_MR_600_799,C21_CF_Tot_MR_800_999,C21_CF_Tot_MR_1000_1399,C21_CF_Tot_MR_1400_1799,C21_CF_Tot_MR_1800_2399,C21_CF_Tot_MR_2400_2999,C21_CF_Tot_MR_3000_3999,C21_CF_Tot_MR_4000over,C21_CF_Tot_MR_NS,C21_CF_Tot_Tot,C21_1PF_Cu15DS_MR_0_299,C21_1PF_Cu15DS_MR_300_449,C21_1PF_Cu15DS_MR_450_599,C21_1PF_Cu15DS_MR_600_799,C21_1PF_Cu15DS_MR_800_999,C21_1PF_Cu15DS_MR_1000_1399,C21_1PF_Cu15DS_MR_1400_1799,C21_1PF_Cu15DS_MR_1800_2399,C21_1PF_Cu15DS_MR_2400_2999,C21_1PF_Cu15DS_MR_3000_3999
801011001,0,0,8,4,4,0,0,29,0,0,0,0,0,0,0,0,0,9,0,0,14,8,0,3,0,10,3,9,40,29,43,25,4,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,7,0,3,0,4,0,0,20,14,0,8,0,10,14,24,58,30,60,33,4,263,8,0,0,0,3,0,6,13,6,10,12,4,65,0,0,0,0,0,6,0,3,3,8,0,0,13,3,0,0,0,0,0,8,24,29,41,25,11,154,8,0,0,0,0,8,3,0,4,4,11,0,39,3,0,0,0,5,4,3,3,5,5,0,0,23,14,3,0,8,9,14,11,38,35,53,37,11,227,0,0,0,0,0,0,0,0,0,0
801011002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,5,3,0,0,4,0,10,25,28,5,9,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,6,4,3,3,3,0,3,0,0,25,16,6,0,5,6,30,61,90,27,23,10,0,280,5,0,4,3,12,50,69,55,10,12,5,3,241,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,26,29,18,10,5,0,0,98,0,0,0,0,0,4,6,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,4,0,0,9,0,0,0,0,3,32,38,23,12,8,4,4,125,0,0,0,0,0,0,0,0,0,0
801011003,4,4,5,3,3,4,0,29,0,0,0,0,0,0,0,4,0,0,0,0,14,11,5,3,0,4,18,18,39,33,28,18,11,175,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,0,13,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,8,4,0,0,0,0,3,5,8,3,5,6,0,31,26,4,7,8,13,30,39,72,56,54,38,15,360,14,0,7,0,5,35,36,41,17,17,11,4,194,0,0,0,0,0,0,0,0,4,6,4,0,19,4,0,0,0,3,15,24,28,24,18,15,7,149,0,0,0,0,0,0,0,4,3,4,10,6,29,0,0,0,0,0,3,5,3,0,3,0,0,23,9,0,0,0,0,18,37,40,31,33,31,7,220,0,0,0,0,0,0,0,0,0,0
801011004,0,8,3,4,0,0,0,11,3,0,0,0,0,8,0,12,6,0,0,0,22,3,0,0,3,0,21,42,82,33,11,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,10,0,0,0,0,16,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,7,3,8,6,6,0,0,0,0,28,0,3,0,3,3,8,19,16,4,3,0,0,63,13,4,3,15,8,41,79,140,42,22,3,10,376,0,0,3,3,4,16,33,33,9,9,0,4,123,0,0,0,0,0,4,6,10,0,0,0,0,21,0,0,0,4,0,9,41,54,27,12,8,3,159,0,0,0,0,0,5,3,3,4,0,0,0,19,0,0,0,0,3,0,6,9,0,0,0,0,25,0,0,0,8,3,16,58,70,33,17,7,9,219,0,0,0,0,0,0,6,0,0,0
801011005,0,0,0,0,6,0,3,17,4,0,0,0,0,6,0,0,3,0,0,0,5,9,3,5,9,5,16,22,41,24,32,14,7,192,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,9,4,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,3,10,6,8,0,0,33,19,4,9,13,10,29,35,75,47,47,25,6,320,4,4,0,3,4,5,9,21,19,14,10,3,93,0,0,0,0,0,3,3,0,6,0,6,0,25,5,0,3,0,3,6,18,35,32,25,17,0,145,3,0,0,0,0,0,4,7,3,3,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,7,6,0,5,0,7,13,24,44,43,32,22,4,198,0,0,0,0,0,0,0,0,0,0
801011006,10,11,25,20,14,4,0,101,0,0,0,9,4,10,16,21,11,13,3,0,78,19,6,9,14,23,68,104,249,162,110,34,20,821,0,0,0,0,0,0,0,10,0,0,0,0,15,0,3,0,0,4,14,14,19,11,0,0,0,64,0,0,0,0,4,0,7,3,0,0,0,0,20,0,0,0,0,0,13,14,10,3,0,3,4,47,0,3,0,3,8,26,33,39,21,0,7,4,143,30,14,15,21,38,112,190,395,227,143,53,31,1260,19,5,4,8,6,37,51,81,52,23,9,14,294,3,0,0,0,0,7,19,46,19,12,9,0,108,3,0,0,0,5,24,81,195,115,51,27,15,518,0,4,0,3,0,16,10,33,17,12,10,5,109,7,0,0,5,8,8,16,24,12,7,9,10,93,18,4,3,12,11,51,124,289,167,77,45,28,831,0,0,0,0,0,0,5,5,3,0
801011007,3,5,15,7,5,6,0,59,0,4,0,0,3,5,8,12,6,0,3,0,39,9,14,3,14,15,37,57,132,64,57,25,21,435,0,0,0,0,0,0,5,0,0,3,0,0,12,0,0,0,0,3,0,3,11,0,0,0,0,30,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,3,0,0,3,8,0,0,0,0,20,5,0,0,3,3,3,10,26,5,7,0,5,71,31,17,3,23,30,61,92,197,95,81,30,32,691,11,0,0,6,5,18,14,58,27,18,12,8,187,0,0,0,0,5,5,9,15,6,4,4,3,46,6,0,0,5,6,23,45,91,64,45,23,8,315,0,5,3,0,0,5,10,11,7,10,5,0,59,4,0,0,0,6,8,7,7,4,4,0,7,58,10,7,3,5,14,41,75,128,77,64,33,19,476,0,0,0,0,0,0,6,3,0,0
801011008,5,9,10,4,3,4,0,42,0,0,0,0,3,9,0,3,3,0,4,0,28,7,4,5,9,9,30,25,64,52,32,17,4,263,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,6,0,5,0,0,0,21,0,0,0,0,0,0,4,0,3,0,0,0,8,0,0,0,0,0,3,5,4,4,0,0,0,23,0,4,0,0,0,5,16,11,6,0,0,0,52,16,8,6,13,19,43,61,107,68,53,30,8,431,12,0,3,0,7,19,17,35,22,14,6,8,141,0,0,0,3,0,4,4,5,5,5,4,0,33,6,3,6,0,0,19,27,44,46,24,10,3,189,0,5,0,0,0,8,3,4,3,3,0,0,30,4,0,0,4,0,5,7,7,8,4,0,0,38,10,7,9,4,0,31,47,69,53,32,15,10,290,0,0,0,0,0,0,0,3,0,0
801011009,4,5,12,11,5,0,0,44,4,0,0,0,0,5,9,4,3,0,0,0,35,9,4,0,8,6,26,39,92,58,46,8,11,307,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,5,0,0,0,0,16,0,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,3,4,5,0,3,0,0,15,0,0,0,0,0,8,13,16,0,0,0,0,45,15,4,11,17,11,46,70,146,84,56,21,9,471,7,5,3,0,4,7,16,43,26,17,11,5,137,0,0,0,0,0,0,3,9,6,5,4,5,39,8,0,0,0,4,13,28,65,55,44,7,7,232,0,0,0,0,0,5,7,10,11,0,0,0,48,0,0,0,5,3,9,0,7,4,5,7,4,44,9,0,0,8,8,28,42,93,73,59,16,12,352,0,0,0,0,0,0,3,0,0,0
801011010,4,0,12,3,0,0,0,27,0,3,0,3,0,5,0,8,3,4,0,0,25,3,3,5,3,5,20,19,60,37,33,10,9,202,0,0,0,0,0,3,0,6,0,0,0,0,6,0,0,0,0,0,0,5,3,4,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,8,0,0,0,0,13,0,0,0,0,0,6,3,14,6,5,0,0,42,12,6,6,3,13,30,34,92,55,39,14,6,315,6,0,0,0,9,8,7,16,5,8,0,0,66,0,0,0,0,0,0,4,8,3,10,0,0,35,6,0,0,0,0,5,11,35,31,17,6,3,121,7,0,0,0,0,0,4,9,6,4,0,0,34,0,0,0,0,0,5,7,9,4,3,5,0,28,3,0,0,0,4,15,23,61,45,36,14,6,212,0,0,0,0,0,0,0,0,4,0
