SA2_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
801011001,0,0,4,0,0,0,0,0,3,0,0,0,8,0,0,12,0,0,0,0,0,0,0,4,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,5,5,0,5,0,3,22,22,6,3,7,12,19,22,49,45,74,48,19,324
801011002,0,0,0,0,0,0,0,0,3,12,6,0,0,0,0,22,0,0,0,0,0,3,4,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,10,13,9,4,0,0,5,47,11,0,3,5,17,92,128,83,27,18,10,11,411
801011003,0,0,3,0,0,0,0,3,3,7,6,5,0,0,0,32,0,0,0,0,0,0,0,4,0,0,4,0,15,0,5,0,0,0,4,3,3,0,0,0,3,25,0,4,0,0,5,10,16,21,4,0,9,0,67,22,9,7,4,11,63,93,107,57,50,48,16,482
801011004,0,0,7,0,0,0,0,0,3,4,7,6,4,0,0,28,0,0,0,0,0,0,3,3,0,0,0,0,9,4,0,0,0,0,6,3,10,0,0,0,0,28,3,0,0,0,5,10,19,22,6,3,3,0,69,5,3,3,11,15,43,112,126,48,29,12,8,411
801011005,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,19,3,0,0,0,0,0,3,0,0,3,0,0,12,4,0,0,0,0,0,3,0,0,0,0,0,9,8,0,3,0,0,4,11,13,0,3,5,0,38,18,10,7,3,10,17,39,71,61,53,36,9,330
801011006,0,0,21,0,0,0,4,0,7,7,22,5,6,3,0,57,0,0,0,0,0,5,8,14,0,0,0,0,27,0,0,0,3,4,9,9,23,6,0,0,4,59,6,0,0,8,6,15,27,61,12,8,7,3,160,38,13,9,25,27,105,198,430,229,107,55,45,1281
801011007,0,0,10,0,0,0,0,0,5,11,17,3,3,0,0,37,0,0,0,0,0,4,0,3,0,0,0,0,21,0,0,0,0,0,0,3,9,0,0,0,3,15,0,0,5,0,3,6,18,32,6,3,6,5,82,23,7,7,15,30,68,105,218,117,85,52,27,747
801011008,0,0,5,0,0,0,0,0,0,3,9,3,3,0,0,24,0,0,0,0,0,0,3,6,3,0,0,0,14,0,4,0,0,0,0,7,5,6,0,0,0,20,0,4,0,0,3,5,14,20,8,3,4,3,64,26,6,12,7,8,57,79,122,84,52,25,18,495
801011009,0,0,4,0,0,0,0,0,4,8,7,0,0,4,0,27,0,0,0,0,0,0,5,3,0,0,0,0,8,0,0,0,0,0,4,3,3,4,0,0,0,15,0,0,0,0,0,11,12,20,0,5,8,4,55,21,5,4,5,8,43,71,148,103,79,37,18,546
801011010,0,0,3,0,0,0,0,4,4,3,4,3,0,0,0,24,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,4,0,3,3,0,0,6,17,0,0,0,5,4,9,7,9,7,0,0,7,41,11,5,0,5,10,31,41,85,59,41,19,14,322
801011011,3,0,7,0,0,0,0,0,0,0,11,0,3,6,0,24,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,6,12,17,4,7,5,6,53,11,3,7,9,8,36,52,105,86,56,33,18,427
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,0,5,0,0,0,0,0,0,10,10,5,0,0,5,28,0,0,0,0,0,0,0,0,4,0,3,0,9,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,3,0,10,9,13,6,0,0,6,44,15,0,0,11,4,31,34,60,36,50,50,17,314
801011014,0,0,5,0,0,0,0,0,5,3,6,7,4,0,0,28,3,0,0,3,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,6,4,3,0,0,0,15,3,0,4,3,0,10,12,4,12,4,0,0,58,14,4,6,11,11,43,74,154,83,39,17,19,475
801011015,0,0,11,0,0,0,0,0,4,4,17,3,0,4,0,37,0,0,0,0,0,0,4,12,0,0,0,0,18,0,0,0,0,0,10,4,10,0,0,0,0,33,0,0,0,7,5,13,16,33,8,7,4,8,94,15,5,7,14,21,79,111,284,109,53,30,38,769
801011016,0,0,10,0,0,0,0,0,6,10,12,4,3,0,5,36,0,0,0,0,0,6,0,9,3,0,0,0,15,4,0,0,4,0,6,6,3,5,3,0,4,25,4,5,0,7,0,19,11,22,7,3,0,3,88,43,18,6,27,20,80,75,188,153,129,55,36,819
801011017,0,0,14,0,0,0,0,0,0,13,7,0,6,0,5,33,0,0,0,0,0,5,3,0,0,0,0,0,9,0,0,0,0,0,3,5,0,0,0,0,0,12,3,0,0,0,0,6,24,20,3,4,0,3,72,18,13,4,3,16,53,81,178,79,36,15,20,521
801011018,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,5,4,6,4,3,0,23,8,0,0,0,4,24,48,89,41,33,35,21,311
801011019,0,0,16,0,3,0,4,0,11,17,28,12,4,0,0,78,0,0,0,0,0,3,11,14,0,0,0,0,30,0,0,0,0,6,9,10,10,0,0,0,0,41,6,7,0,8,9,31,44,48,13,4,0,0,165,33,10,9,12,31,98,214,427,173,89,50,41,1195
801011020,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,6,3,9,5,0,0,0,31,10,3,5,4,11,26,38,65,33,44,17,17,269
801011021,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,3,6,6,0,0,0,0,17,0,0,0,0,5,3,9,8,3,3,0,0,35,17,8,0,6,12,22,39,71,59,49,31,10,327
