SA2_CODE_2021,CFNC_FI_H_MI_C11_Fam,CFNC_FI_H_MI_C11_Per,CFNC_FI_H_MI_C16_Fam,CFNC_FI_H_MI_C16_Per,CFNC_FI_H_MI_C21_Fam,CFNC_FI_H_MI_C21_Per,CFNC_FI_S_MI_C11_Fam,CFNC_FI_S_MI_C11_Per,CFNC_FI_S_MI_C16_Fam,CFNC_FI_S_MI_C16_Per,CFNC_FI_S_MI_C21_Fam,CFNC_FI_S_MI_C21_Per,CFNC_FI_L_MI_C11_Fam,CFNC_FI_L_MI_C11_Per,CFNC_FI_L_MI_C16_Fam,CFNC_FI_L_MI_C16_Per,CFNC_FI_L_MI_C21_Fam,CFNC_FI_L_MI_C21_Per,CF_CU15_DS_FI_H_MI_C11_Fam,CF_CU15_DS_FI_H_MI_C11_Per,CF_CU15_DS_FI_H_MI_C16_Fam,CF_CU15_DS_FI_H_MI_C16_Per,CF_CU15_DS_FI_H_MI_C21_Fam,CF_CU15_DS_FI_H_MI_C21_Per,CF_CU15_DS_FI_S_MI_C11_Fam,CF_CU15_DS_FI_S_MI_C11_Per,CF_CU15_DS_FI_S_MI_C16_Fam,CF_CU15_DS_FI_S_MI_C16_Per,CF_CU15_DS_FI_S_MI_C21_Fam,CF_CU15_DS_FI_S_MI_C21_Per,CF_CU15_DS_FI_L_MI_C11_Fam,CF_CU15_DS_FI_L_MI_C11_Per,CF_CU15_DS_FI_L_MI_C16_Fam,CF_CU15_DS_FI_L_MI_C16_Per,CF_CU15_DS_FI_L_MI_C21_Fam,CF_CU15_DS_FI_L_MI_C21_Per,CF_CU15noDS_FI_H_MI_C11_Fam,CF_CU15noDS_FI_H_MI_C11_Per,CF_CU15noDS_FI_H_MI_C16_Fam,CF_CU15noDS_FI_H_MI_C16_Per,CF_CU15noDS_FI_H_MI_C21_Fam,CF_CU15noDS_FI_H_MI_C21_Per,CF_CU15noDS_FI_S_MI_C11_Fam,CF_CU15noDS_FI_S_MI_C11_Per,CF_CU15noDS_FI_S_MI_C16_Fam,CF_CU15noDS_FI_S_MI_C16_Per,CF_CU15noDS_FI_S_MI_C21_Fam,CF_CU15noDS_FI_S_MI_C21_Per,CF_CU15noDS_FI_L_MI_C11_Fam,CF_CU15noDS_FI_L_MI_C11_Per,CF_CU15noDS_FI_L_MI_C16_Fam,CF_CU15noDS_FI_L_MI_C16_Per,CF_CU15noDS_FI_L_MI_C21_Fam,CF_CU15noDS_FI_L_MI_C21_Per,CFNCU15_DS_FI_H_MI_C11_Fam,CFNCU15_DS_FI_H_MI_C11_Per,CFNCU15_DS_FI_H_MI_C16_Fam,CFNCU15_DS_FI_H_MI_C16_Per,CFNCU15_DS_FI_H_MI_C21_Fam,CFNCU15_DS_FI_H_MI_C21_Per,CFNCU15_DS_FI_S_MI_C11_Fam,CFNCU15_DS_FI_S_MI_C11_Per,CFNCU15_DS_FI_S_MI_C16_Fam,CFNCU15_DS_FI_S_MI_C16_Per,CFNCU15_DS_FI_S_MI_C21_Fam,CFNCU15_DS_FI_S_MI_C21_Per,CFNCU15_DS_FI_L_MI_C11_Fam,CFNCU15_DS_FI_L_MI_C11_Per,CFNCU15_DS_FI_L_MI_C16_Fam,CFNCU15_DS_FI_L_MI_C16_Per,CFNCU15_DS_FI_L_MI_C21_Fam,CFNCU15_DS_FI_L_MI_C21_Per,CF_nonDC_FI_H_MI_C11_Fam,CF_nonDC_FI_H_MI_C11_Per,CF_nonDC_FI_H_MI_C16_Fam,CF_nonDC_FI_H_MI_C16_Per,CF_nonDC_FI_H_MI_C21_Fam,CF_nonDC_FI_H_MI_C21_Per,CF_nonDC_FI_S_MI_C11_Fam,CF_nonDC_FI_S_MI_C11_Per,CF_nonDC_FI_S_MI_C16_Fam,CF_nonDC_FI_S_MI_C16_Per,CF_nonDC_FI_S_MI_C21_Fam,CF_nonDC_FI_S_MI_C21_Per,CF_nonDC_FI_L_MI_C11_Fam,CF_nonDC_FI_L_MI_C11_Per,CF_nonDC_FI_L_MI_C16_Fam,CF_nonDC_FI_L_MI_C16_Per,CF_nonDC_FI_L_MI_C21_Fam,CF_nonDC_FI_L_MI_C21_Per,Tot_CF_FI_H_MI_C11_Fam,Tot_CF_FI_H_MI_C11_Per,Tot_CF_FI_H_MI_C16_Fam,Tot_CF_FI_H_MI_C16_Per,Tot_CF_FI_H_MI_C21_Fam,Tot_CF_FI_H_MI_C21_Per,Tot_CF_FI_S_MI_C11_Fam,Tot_CF_FI_S_MI_C11_Per,Tot_CF_FI_S_MI_C16_Fam,Tot_CF_FI_S_MI_C16_Per,Tot_CF_FI_S_MI_C21_Fam,Tot_CF_FI_S_MI_C21_Per,Tot_CF_FI_L_MI_C11_Fam,Tot_CF_FI_L_MI_C11_Per,Tot_CF_FI_L_MI_C16_Fam,Tot_CF_FI_L_MI_C16_Per,Tot_CF_FI_L_MI_C21_Fam,Tot_CF_FI_L_MI_C21_Per,Tot_CF_Tot_C11_Fam,Tot_CF_Tot_C11_Per,Tot_CF_Tot_C16_Fam,Tot_CF_Tot_C16_Per,Tot_CF_Tot_C21_Fam,Tot_CF_Tot_C21_Per
801011001,40,16.8,44,18.3,66,24.4,58,25.4,58,23.8,50,19.8,135,57.8,138,57.9,146,55.7,0,5.6,3,21.4,4,5.7,5,16.7,10,32.1,6,22.9,29,77.8,17,46.4,27,71.4,20,14.5,29,15.1,42,20.2,39,22,48,26.3,45,20.7,101,63.5,109,58.7,119,59.1,11,17,12,21.6,13,19.4,14,24.5,16,25.5,11,17.7,29,58.5,29,52.9,38,62.9,5,7.7,0,13.8,12,30,6,23.1,3,17.2,8,15,15,69.2,21,69,25,55,72,14.8,88,17.4,136,21.7,120,23.5,134,24.9,117,19.8,309,61.7,302,57.7,354,58.5,505,100,523,100,604,100
801011002,112,22.3,174,25.4,344,28.7,129,24.9,166,23.7,255,21.3,268,52.9,359,50.9,601,50,0,14.3,0,0,10,37.5,0,14.3,5,37.5,0,12.5,6,71.4,3,62.5,12,50,19,11.9,52,18,62,18.2,28,18.5,45,14.7,45,11.8,106,69.5,187,67.3,250,70,5,16.7,0,0,3,22.7,0,8.3,4,37.5,5,9.1,12,75,5,62.5,13,68.2,0,16.7,4,16,5,19,0,25,5,32,9,38.1,10,58.3,16,52,10,42.9,139,19.7,231,22.7,424,26.3,157,23.1,225,21.7,308,19.2,395,57.2,566,55.6,882,54.5,692,100,1019,100,1619,100
801011003,91,17.4,170,24.3,226,27.8,153,27.7,149,22.1,171,20.7,297,54.9,364,53.6,425,51.5,8,24.1,5,13.3,5,15.8,6,13.8,9,26.7,4,13.2,18,62.1,19,60,31,71.1,32,11.1,42,15.3,58,17.7,50,19.2,44,15.6,60,18,187,69.7,204,69.2,222,64.2,9,16.9,18,23.5,16,22.7,21,30.5,16,20.6,14,22.7,31,52.5,41,55.9,36,54.5,6,14.9,5,7.5,15,30,9,21.3,5,20,5,14,31,63.8,28,72.5,24,56,150,15.7,234,21,326,24.6,231,24.7,230,20.3,258,19.6,564,59.6,656,58.7,734,55.7,950,100,1116,100,1319,100
801011004,53,23.4,58,27.5,65,27.7,73,30.7,50,24.2,57,24.4,106,45.9,99,48.3,115,47.9,3,18.5,0,0,10,26.1,5,11.1,0,10,8,21.7,20,70.4,18,90,12,52.2,33,18.2,40,20.1,53,23,42,19.7,23,11.8,28,10.9,128,62.1,139,68.1,149,66.1,12,25,6,29.2,4,10.5,11,28.1,5,20.8,4,15.8,12,46.9,12,50,16,73.7,12,16.4,9,16.7,6,16.3,12,25.5,10,20.4,9,20.4,36,58.2,35,63,33,63.3,111,20.6,115,22.4,134,24.2,134,25,91,18.1,103,18.1,299,54.4,304,59.5,324,57.7,550,100,517,100,567,100
801011005,61,20.5,75,25.3,83,25.4,89,31.3,75,24.3,84,25.1,145,48.1,147,50.3,159,49.5,8,23.1,6,31.8,7,11.1,6,34.6,0,4.5,7,25,12,42.3,10,63.6,20,63.9,37,18.8,46,22.2,38,17.9,30,15.2,32,15.2,54,25.6,132,66,125,62.6,117,56.5,4,9.1,15,40.5,10,21.4,5,18.2,6,11.9,6,11.9,24,72.7,19,47.6,27,66.7,10,22.2,6,15.6,11,27,6,16.7,8,28.1,8,24.3,24,61.1,20,56.3,17,48.6,116,19.5,148,25.1,140,22,141,24.4,117,19.8,155,24.3,332,56,329,55.1,345,53.7,590,100,592,100,641,100
801011006,110,19,120,24.8,132,24.8,195,34.9,119,24.2,109,19.8,260,46.1,249,51,298,55.4,22,18.5,32,28.6,23,18.7,28,21,17,16.8,33,26.1,74,60.5,64,54.6,71,55.2,101,15.1,128,18.6,118,18.9,111,16.2,112,16.5,109,17.4,471,68.7,432,64.9,402,63.7,19,20.4,20,18.8,37,27,16,20.4,22,19.5,24,18.4,56,59.1,81,61.7,76,54.6,20,18.5,34,24.8,36,23.3,16,18.5,28,20.7,35,22.6,67,63,67,54.5,80,54.1,273,17.3,334,21.9,350,22,373,23.7,295,19.6,308,19.5,927,59,889,58.6,931,58.5,1576,100,1526,100,1588,100
801011007,110,22.3,130,25.3,122,22,114,24.2,101,20,131,23.9,256,53.5,279,54.7,288,54.1,14,16.9,11,15.9,12,15.9,16,22.1,13,15.9,17,18.8,46,61,42,68.3,48,65.2,54,14.3,59,16.2,96,22.5,67,16,50,13.1,64,15.3,287,69.7,275,70.7,272,62.3,19,17.9,16,17.2,22,24,16,20,14,14.9,20,18.3,59,62.1,57,67.8,59,57.7,20,17.6,19,21.6,31,27.4,34,29.6,21,25,19,16.8,66,52.8,49,53.4,64,55.8,219,18.3,239,20.8,281,22.5,255,21.5,200,17.4,244,19.6,715,60.2,708,61.8,725,57.9,1185,100,1141,100,1258,100
801011008,89,20.9,100,23,115,23.5,118,28.9,106,25.1,144,28.6,212,50.2,225,51.9,236,47.9,15,20,8,15,20,35.1,22,23.8,16,28.3,8,14,42,56.3,31,56.7,31,50.9,45,15.9,57,18.7,61,20.5,51,17.6,34,11.3,47,15.7,196,66.4,211,70,199,63.8,16,15.7,29,28,19,24.7,18,16.7,15,15.1,13,15.6,69,67.6,54,57,45,59.7,36,26.7,19,18,22,23.3,28,23.3,28,30,17,17.5,60,50,55,52,58,59.2,198,19.5,210,21.2,244,23.3,238,23.4,203,20.7,228,21.9,583,57.1,570,58.2,575,54.8,1019,100,981,100,1041,100
801011009,71,21.1,63,20.3,78,22.5,92,26,68,21.5,88,25.4,177,52.9,187,58.2,181,52,11,15.3,14,27.5,13,27.6,9,16.9,9,22.5,9,19,42,67.8,23,50,30,53.4,30,14.4,48,18.1,47,16.5,36,14.8,28,10.8,64,22.2,166,70.8,185,71,176,61.3,17,25,24,31,17,24.3,15,20.3,16,23.9,21,27.1,34,54.7,34,45.1,36,48.6,15,14.4,20,23.8,13,13.8,27,27.8,19,26.3,24,25.3,54,57.7,38,50,54,60.9,144,18.2,165,21.3,168,20.1,172,21.8,145,18.7,203,24,479,60,461,60.1,472,55.9,797,100,767,100,840,100
801011010,43,21.4,47,23.1,64,29.2,57,26.9,42,18.8,32,15.7,101,51.7,124,58.2,122,55.1,9,21.9,8,25,10,14.6,8,12.5,0,3.1,6,22,21,65.6,22,71.9,26,63.4,27,16.3,33,21.3,24,16.4,21,11.9,21,15.6,34,24.7,118,71.9,88,63.1,87,58.9,12,31.6,8,27.3,7,20.5,5,7.9,8,18.2,5,13.6,27,60.5,17,54.5,29,65.9,11,16.4,8,26.1,10,19.6,12,19.7,8,19.6,8,16.1,37,63.9,26,54.3,36,64.3,98,19.9,105,23.3,114,22.5,89,18.7,81,16.7,91,18.7,305,61.4,276,60,293,58.8,492,100,458,100,504,100
