SA2_CODE_2021,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Total,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1PF_NDC_UR_1,C11_1PF_NDC_UR_2,C11_1PF_NDC_UR_3,C11_1PF_NDC_UR_4mo,C11_1PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1PF_NDC_UR_1,C16_1PF_NDC_UR_2,C16_1PF_NDC_UR_3,C16_1PF_NDC_UR_4mo,C16_1PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot,C21_CFC_SMS_MRM_NDC_UR_1,C21_CFC_SMS_MRM_NDC_UR_2,C21_CFC_SMS_MRM_NDC_UR_3,C21_CFC_SMS_MRM_NDC_UR_4mo,C21_CFC_SMS_MRM_NDC_UR_Tot,C21_CFC_SMS_M_DfM_NDC_UR_1,C21_CFC_SMS_M_DfM_NDC_UR_2,C21_CFC_SMS_M_DfM_NDC_UR_3,C21_CFC_SMS_M_DfM_NDC_UR_4mo,C21_CFC_SMS_M_DfM_NDC_UR_Tot,C21_CFC_SMS_Tot_NDC_UR_1,C21_CFC_SMS_Tot_NDC_UR_2,C21_CFC_SMS_Tot_NDC_UR_3,C21_CFC_SMS_Tot_NDC_UR_4mo,C21_CFC_SMS_Tot_NDC_UR_Tot,C21_1PF_NDC_UR_1,C21_1PF_NDC_UR_2,C21_1PF_NDC_UR_3,C21_1PF_NDC_UR_4mo,C21_1PF_NDC_UR_Tot,C21_Tot_NDC_UR_1,C21_Tot_NDC_UR_2,C21_Tot_NDC_UR_3,C21_Tot_NDC_UR_4mo,C21_Tot_NDC_UR_Tot
801011001,76,116,35,10,235,13,18,6,0,39,83,132,41,5,269,26,12,6,0,50,113,147,45,9,322,71,139,30,4,245,18,16,5,0,36,89,152,39,12,288,24,16,4,0,48,108,167,48,12,332,90,134,39,4,265,26,13,6,0,46,107,145,45,7,312,23,14,8,0,50,131,169,56,10,364
801011002,103,55,3,0,166,9,4,0,3,16,113,61,3,3,182,77,24,11,0,110,190,83,16,3,288,188,87,11,4,286,28,9,0,0,37,221,92,6,4,321,73,31,8,0,108,286,122,14,5,430,224,112,17,4,360,38,9,0,0,49,261,123,17,4,412,130,50,6,0,188,395,169,27,8,596
801011003,164,140,40,6,351,20,9,4,0,35,188,151,47,5,384,37,16,0,0,50,230,162,44,5,437,185,162,38,5,397,21,8,3,0,35,207,172,38,5,428,49,23,5,0,84,263,197,46,9,510,185,190,41,6,422,18,14,4,3,44,209,208,45,9,469,71,38,9,0,118,276,242,54,12,586
801011004,71,101,32,8,215,24,28,7,4,63,98,123,39,14,276,73,45,23,5,146,171,170,62,23,424,69,96,25,15,209,18,26,10,0,53,92,115,36,15,260,65,42,15,8,128,161,160,50,24,392,84,104,31,10,223,30,22,6,0,62,115,130,33,9,292,56,50,17,8,127,165,178,49,17,413
801011005,82,112,26,9,220,29,25,4,0,55,103,136,29,8,275,51,29,0,3,86,158,163,36,13,364,81,104,29,5,220,27,26,7,3,63,107,131,34,9,281,40,22,5,0,66,145,155,38,8,351,80,107,27,4,219,36,30,9,0,80,120,139,37,4,297,42,26,3,0,78,163,169,37,3,374
801011006,288,393,134,34,848,43,50,12,11,111,332,443,140,43,964,95,70,25,13,204,426,514,164,56,1165,283,381,133,39,841,52,48,21,8,131,341,429,156,47,967,97,61,28,16,203,435,488,184,59,1170,265,383,133,27,819,52,44,19,8,116,321,428,152,37,938,98,77,16,13,210,422,511,172,53,1144
801011007,180,254,79,33,536,32,38,7,0,79,212,289,87,29,615,76,59,14,4,157,288,348,107,34,769,173,240,72,21,502,32,42,11,4,81,205,278,81,22,584,67,56,12,4,139,268,337,94,30,724,173,253,75,13,517,43,43,18,6,106,215,298,96,20,618,69,56,12,10,144,284,348,108,24,769
801011008,152,194,81,23,455,17,22,3,4,52,174,216,88,23,500,84,66,19,6,176,263,284,103,32,678,152,196,69,13,425,20,17,5,3,45,178,218,71,13,476,78,50,15,5,144,253,267,89,17,620,171,182,54,15,412,21,19,3,0,56,192,200,55,15,468,74,43,16,3,137,260,251,70,20,603
801011009,100,153,51,22,328,16,21,7,3,50,125,169,62,22,379,32,33,4,3,79,151,209,63,25,453,98,153,58,14,328,29,24,5,3,65,132,180,61,20,394,41,29,4,0,75,172,208,68,23,469,113,169,69,13,361,16,35,13,7,69,126,199,80,16,428,41,25,9,6,74,166,223,91,17,499
801011010,60,101,39,14,213,12,12,4,0,31,69,109,42,14,241,26,18,3,0,50,97,126,49,14,287,57,88,37,11,197,10,11,6,0,25,69,95,44,9,218,18,28,12,0,57,85,125,55,9,274,60,95,39,7,202,14,12,5,3,37,73,109,46,11,237,22,20,6,0,57,96,134,51,15,296
