SA2_CODE_2021,C11_0_4_Need_asst_M,C11_0_4_Need_asst_F,C11_0_4_Need_asst_P,C11_0_4_No_need_asst_M,C11_0_4_No_need_asst_F,C11_0_4_No_need_asst_P,C11_0_4_Need_asst_ns_M,C11_0_4_Need_asst_ns_F,C11_0_4_Need_asst_ns_P,C11_0_4_Tot_M,C11_0_4_Tot_F,C11_0_4_Tot_P,C11_5_14_Need_asst_M,C11_5_14_Need_asst_F,C11_5_14_Need_asst_P,C11_5_14_No_need_asst_M,C11_5_14_No_need_asst_F,C11_5_14_No_need_asst_P,C11_5_14_Need_asst_ns_M,C11_5_14_Need_asst_ns_F,C11_5_14_Need_asst_ns_P,C11_5_14_Tot_M,C11_5_14_Tot_F,C11_5_14_Tot_P,C11_15_19_Need_asst_M,C11_15_19_Need_asst_F,C11_15_19_Need_asst_P,C11_15_19_No_need_asst_M,C11_15_19_No_need_asst_F,C11_15_19_No_need_asst_P,C11_15_19_Need_asst_ns_M,C11_15_19_Need_asst_ns_F,C11_15_19_Need_asst_ns_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Need_asst_M,C11_20_24_Need_asst_F,C11_20_24_Need_asst_P,C11_20_24_No_need_asst_M,C11_20_24_No_need_asst_F,C11_20_24_No_need_asst_P,C11_20_24_Need_asst_ns_M,C11_20_24_Need_asst_ns_F,C11_20_24_Need_asst_ns_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_34_Need_asst_M,C11_25_34_Need_asst_F,C11_25_34_Need_asst_P,C11_25_34_No_need_asst_M,C11_25_34_No_need_asst_F,C11_25_34_No_need_asst_P,C11_25_34_Need_asst_ns_M,C11_25_34_Need_asst_ns_F,C11_25_34_Need_asst_ns_P,C11_25_34_Tot_M,C11_25_34_Tot_F,C11_25_34_Tot_P,C11_35_44_Need_asst_M,C11_35_44_Need_asst_F,C11_35_44_Need_asst_P,C11_35_44_No_need_asst_M,C11_35_44_No_need_asst_F,C11_35_44_No_need_asst_P,C11_35_44_Need_asst_ns_M,C11_35_44_Need_asst_ns_F,C11_35_44_Need_asst_ns_P,C11_35_44_Tot_M,C11_35_44_Tot_F,C11_35_44_Tot_P,C11_45_54_Need_asst_M,C11_45_54_Need_asst_F,C11_45_54_Need_asst_P,C11_45_54_No_need_asst_M,C11_45_54_No_need_asst_F,C11_45_54_No_need_asst_P,C11_45_54_Need_asst_ns_M,C11_45_54_Need_asst_ns_F,C11_45_54_Need_asst_ns_P,C11_45_54_Tot_M,C11_45_54_Tot_F,C11_45_54_Tot_P,C11_55_64_Need_asst_M,C11_55_64_Need_asst_F,C11_55_64_Need_asst_P,C11_55_64_No_need_asst_M,C11_55_64_No_need_asst_F,C11_55_64_No_need_asst_P,C11_55_64_Need_asst_ns_M,C11_55_64_Need_asst_ns_F,C11_55_64_Need_asst_ns_P,C11_55_64_Tot_M,C11_55_64_Tot_F,C11_55_64_Tot_P,C11_65_74_Need_asst_M,C11_65_74_Need_asst_F,C11_65_74_Need_asst_P,C11_65_74_No_need_asst_M,C11_65_74_No_need_asst_F,C11_65_74_No_need_asst_P,C11_65_74_Need_asst_ns_M,C11_65_74_Need_asst_ns_F,C11_65_74_Need_asst_ns_P,C11_65_74_Tot_M,C11_65_74_Tot_F,C11_65_74_Tot_P,C11_75_84_Need_asst_M,C11_75_84_Need_asst_F,C11_75_84_Need_asst_P,C11_75_84_No_need_asst_M,C11_75_84_No_need_asst_F,C11_75_84_No_need_asst_P,C11_75_84_Need_asst_ns_M,C11_75_84_Need_asst_ns_F,C11_75_84_Need_asst_ns_P,C11_75_84_Tot_M,C11_75_84_Tot_F,C11_75_84_Tot_P,C11_85over_Need_asst_M,C11_85over_Need_asst_F,C11_85over_Need_asst_P,C11_85over_No_need_asst_M,C11_85over_No_need_asst_F,C11_85over_No_need_asst_P,C11_85over_Need_asst_ns_M,C11_85over_Need_asst_ns_F,C11_85over_Need_asst_ns_P,C11_85over_Tot_M,C11_85over_Tot_F,C11_85over_Tot_P,C11_Tot_Need_asst_M,C11_Tot_Need_asst_F,C11_Tot_Need_asst_P,C11_Tot_No_need_asst_M,C11_Tot_No_need_asst_F,C11_Tot_No_need_asst_P,C11_Tot_Need_asst_ns_M,C11_Tot_Need_asst_ns_F,C11_Tot_Need_asst_ns_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_0_4_Need_asst_M,C16_0_4_Need_asst_F,C16_0_4_Need_asst_P,C16_0_4_No_need_asst_M,C16_0_4_No_need_asst_F,C16_0_4_No_need_asst_P,C16_0_4_Need_asst_ns_M,C16_0_4_Need_asst_ns_F,C16_0_4_Need_asst_ns_P,C16_0_4_Tot_M,C16_0_4_Tot_F,C16_0_4_Tot_P,C16_5_14_Need_asst_M,C16_5_14_Need_asst_F,C16_5_14_Need_asst_P,C16_5_14_No_need_asst_M,C16_5_14_No_need_asst_F,C16_5_14_No_need_asst_P,C16_5_14_Need_asst_ns_M,C16_5_14_Need_asst_ns_F,C16_5_14_Need_asst_ns_P,C16_5_14_Tot_M,C16_5_14_Tot_F,C16_5_14_Tot_P,C16_15_19_Need_asst_M,C16_15_19_Need_asst_F,C16_15_19_Need_asst_P,C16_15_19_No_need_asst_M,C16_15_19_No_need_asst_F,C16_15_19_No_need_asst_P,C16_15_19_Need_asst_ns_M,C16_15_19_Need_asst_ns_F,C16_15_19_Need_asst_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Need_asst_M,C16_20_24_Need_asst_F,C16_20_24_Need_asst_P,C16_20_24_No_need_asst_M,C16_20_24_No_need_asst_F,C16_20_24_No_need_asst_P,C16_20_24_Need_asst_ns_M,C16_20_24_Need_asst_ns_F,C16_20_24_Need_asst_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_34_Need_asst_M,C16_25_34_Need_asst_F,C16_25_34_Need_asst_P,C16_25_34_No_need_asst_M,C16_25_34_No_need_asst_F,C16_25_34_No_need_asst_P,C16_25_34_Need_asst_ns_M,C16_25_34_Need_asst_ns_F
801011001,0,0,3,79,58,141,12,6,19,91,64,154,4,5,4,124,145,273,0,12,15,128,162,292,0,0,0,94,67,160,7,5,11,101,72,171,0,0,0,61,79,143,5,9,12,66,88,154,3,0,0,114,121,235,5,3,15,122,124,254,0,6,6,143,149,295,8,11,13,151,166,314,0,6,7,159,180,341,10,10,18,169,196,366,4,6,12,122,140,263,11,5,16,137,151,285,7,13,17,114,114,226,6,10,19,127,137,265,18,22,47,52,44,98,4,3,5,74,69,150,13,34,48,8,11,26,0,6,3,21,51,70,56,88,142,1073,1116,2188,72,78,148,1201,1282,2479,4,0,5,68,56,121,0,3,8,72,59,130,6,4,15,159,175,336,0,3,6,165,182,355,4,6,6,69,72,134,0,0,3,73,78,146,3,0,3,78,59,145,0,0,0,81,59,148,3,0,8,104,100,198,0,0
801011002,0,0,0,98,78,175,12,12,20,110,90,199,6,0,7,83,62,145,10,8,18,99,70,164,0,0,0,91,115,208,22,24,43,113,139,253,0,0,4,303,344,644,66,52,117,369,396,766,4,6,6,655,604,1264,102,69,176,761,679,1442,11,3,11,252,202,460,33,18,53,296,223,526,7,5,20,162,123,293,27,16,42,196,144,348,3,6,11,103,122,222,14,8,25,120,136,257,10,13,23,71,86,157,8,7,16,89,106,194,15,14,29,46,76,117,19,14,35,80,104,181,3,13,17,19,25,43,12,27,40,34,65,104,66,69,129,1877,1847,3723,330,254,582,2273,2170,4436,0,0,0,165,148,317,10,12,27,175,160,344,3,0,4,112,88,195,9,8,21,124,96,218,0,3,3,109,130,238,4,9,7,113,142,248,4,0,7,558,615,1170,34,58,95,596,673,1273,19,11,24,1004,1005,2004,106,84
801011003,0,0,0,136,109,244,12,7,21,148,116,265,0,0,0,153,149,304,13,7,22,166,156,330,0,5,4,228,260,485,88,81,165,316,346,659,3,0,4,623,673,1298,183,200,384,809,873,1681,5,8,11,697,640,1338,82,76,160,784,724,1502,4,0,9,265,252,517,23,18,41,292,270,562,0,0,3,205,230,437,20,18,36,225,248,475,0,7,5,195,189,385,18,17,31,213,213,423,3,9,8,99,104,196,4,3,9,106,116,221,6,9,17,39,55,95,12,25,37,57,89,157,3,17,18,21,18,36,18,39,59,42,74,111,43,51,95,2650,2688,5340,470,488,958,3163,3227,6390,5,0,5,147,138,287,5,0,9,157,138,295,4,10,13,167,166,334,0,3,9,171,179,354,3,0,10,223,231,455,25,31,53,251,262,516,7,6,9,722,748,1468,72,82,145,801,836,1625,9,10,14,875,834,1714,52,47
801011004,0,0,0,120,127,247,3,18,20,123,145,271,9,6,13,182,193,372,14,10,30,205,209,416,0,0,6,98,77,175,16,9,17,114,86,194,0,3,5,100,86,181,10,14,25,110,103,210,3,0,8,257,262,516,20,12,31,280,274,555,9,4,13,226,226,454,7,20,28,242,250,495,3,10,17,128,177,303,3,16,22,134,203,337,5,5,8,145,160,301,9,6,16,159,171,329,3,11,14,74,78,151,8,0,10,85,89,172,6,8,14,23,27,52,0,0,0,29,35,61,8,9,11,3,3,7,0,0,0,11,12,21,52,57,111,1347,1427,2769,89,98,192,1488,1582,3066,3,0,9,108,111,222,15,11,25,126,122,251,16,3,22,179,164,344,11,10,17,206,177,387,4,4,3,84,72,156,5,11,11,93,87,172,3,4,4,96,79,178,7,11,18,106,94,198,7,7,14,231,223,458,21,17
801011005,0,0,3,94,90,185,0,7,11,94,97,195,5,5,8,151,141,289,5,4,13,161,150,311,0,0,0,66,59,123,0,3,0,66,62,128,0,0,0,95,81,173,5,3,11,100,84,183,8,0,5,183,201,386,7,8,22,198,209,415,0,4,4,232,248,477,9,3,13,241,255,501,3,4,8,171,188,351,7,0,7,181,192,368,0,3,5,141,179,324,4,4,13,145,186,336,5,9,15,122,127,253,7,4,13,134,140,279,0,10,16,63,60,125,6,0,15,69,70,149,0,8,10,15,16,27,0,7,7,15,31,42,27,47,77,1319,1395,2717,58,57,110,1404,1499,2901,0,0,0,85,69,155,0,3,5,85,72,153,6,0,5,168,163,330,10,6,15,184,169,353,0,6,6,64,54,119,4,0,4,68,60,125,0,0,0,74,60,131,0,4,8,74,64,135,0,0,4,128,174,304,8,5
801011006,0,0,4,364,352,716,15,13,24,379,365,746,23,15,40,559,493,1056,18,14,38,600,522,1127,8,8,11,238,214,460,9,7,13,255,229,481,0,0,4,176,202,381,12,8,17,188,210,403,4,4,10,601,690,1288,13,18,34,618,712,1333,5,14,17,628,656,1286,22,17,30,655,687,1331,16,15,34,379,400,779,10,6,15,405,421,829,12,15,27,230,260,496,9,4,9,251,279,534,14,12,24,86,100,189,4,0,3,104,112,219,10,9,18,32,38,74,0,0,3,42,47,91,6,8,12,0,4,8,0,0,0,6,12,15,99,96,191,3297,3428,6727,110,88,193,3506,3612,7108,5,0,7,313,303,613,14,19,30,332,322,652,33,18,47,591,516,1112,20,17,33,644,551,1194,15,5,23,226,210,436,13,7,26,254,222,481,3,7,14,192,191,382,8,8,15,203,206,413,10,10,15,442,514,956,15,18
801011007,3,3,7,201,171,374,5,8,8,209,182,390,19,8,27,348,347,695,12,4,12,379,359,737,10,0,12,172,172,341,9,0,9,191,172,363,3,3,8,160,173,333,3,4,8,166,180,350,8,6,16,383,383,770,10,8,22,401,397,800,8,0,8,430,438,863,10,9,17,448,447,890,6,9,15,332,358,692,5,12,18,343,379,720,9,12,21,351,364,714,7,7,16,367,383,748,4,13,17,126,116,245,3,3,7,133,132,267,9,20,22,35,42,75,0,6,6,44,68,106,5,9,10,0,10,14,0,4,4,5,23,28,81,85,172,2543,2574,5116,67,62,128,2691,2721,5417,0,0,0,205,148,349,11,8,15,216,156,364,26,8,36,329,312,632,26,18,42,381,338,717,8,3,5,149,154,306,14,11,25,171,168,338,7,3,14,149,156,306,17,14,28,173,173,346,7,11,17,305,320,625,28,18
801011008,0,0,5,152,132,283,14,9,17,166,141,304,6,4,13,300,298,599,12,6,19,318,308,628,3,0,3,224,170,394,0,5,8,227,175,408,3,0,4,215,192,401,8,4,11,226,196,421,7,8,18,325,345,670,27,18,44,359,371,733,6,6,15,291,345,635,12,15,25,309,366,674,14,26,42,339,387,734,16,9,25,369,422,799,12,22,27,267,300,565,11,5,18,290,327,613,10,21,29,122,120,244,0,4,3,132,145,277,9,15,25,47,58,111,0,5,7,56,78,144,5,16,26,5,11,22,0,0,0,10,27,50,82,126,205,2297,2357,4653,102,81,182,2481,2564,5039,3,3,7,125,141,268,12,4,18,140,148,287,15,6,24,258,251,508,14,13,25,287,270,559,3,4,8,145,138,276,8,4,10,156,146,299,5,3,7,201,136,336,16,16,26,222,155,376,3,10,18,305,304,612,16,16
801011009,0,0,0,110,76,187,12,4,11,122,80,196,14,6,13,221,219,442,27,15,41,262,240,499,3,0,3,118,95,217,10,14,22,131,109,245,6,0,4,99,100,196,16,0,14,121,100,222,6,0,6,182,211,400,19,15,35,207,226,439,7,5,12,246,244,484,17,25,44,270,274,540,7,6,14,213,228,437,25,25,47,245,259,501,5,8,15,219,252,475,22,16,39,246,276,520,12,10,17,134,110,246,14,13,26,160,133,287,6,4,11,31,32,67,5,4,3,42,40,78,4,7,13,4,8,13,0,0,5,8,15,22,57,53,116,1574,1579,3153,160,133,288,1791,1765,3554,7,4,6,124,108,233,8,0,9,139,112,248,13,8,20,226,192,422,6,4,14,245,204,457,8,4,8,103,92,197,0,8,3,111,104,214,3,0,5,84,77,164,5,0,5,92,77,177,0,5,10,191,190,378,7,9
801011010,0,0,0,80,73,153,4,0,4,84,73,152,7,0,9,135,136,269,5,4,10,147,140,282,4,4,4,60,70,133,4,0,4,68,74,141,3,0,3,82,64,151,3,0,3,88,64,156,3,0,3,117,128,246,3,0,10,123,128,257,4,4,9,135,141,277,3,0,6,142,145,293,3,5,4,124,132,256,4,0,11,131,137,269,5,7,11,173,186,363,7,3,6,185,196,381,4,4,10,74,59,131,0,0,0,78,63,139,4,3,5,20,12,33,0,0,0,24,15,42,0,3,3,3,0,4,0,0,0,3,3,11,34,29,64,1011,1006,2015,34,10,41,1079,1045,2124,0,0,0,62,71,132,4,0,6,66,71,143,3,4,15,134,120,254,8,0,6,145,124,274,3,0,3,52,60,115,0,3,7,55,63,129,3,7,10,33,48,84,0,5,4,36,60,96,0,6,0,95,95,187,4,0
