SA2_CODE_2021,C16_25_34_Need_asst_ns_P,C16_25_34_Tot_M,C16_25_34_Tot_F,C16_25_34_Tot_P,C16_35_44_Need_asst_M,C16_35_44_Need_asst_F,C16_35_44_Need_asst_P,C16_35_44_No_need_asst_M,C16_35_44_No_need_asst_F,C16_35_44_No_need_asst_P,C16_35_44_Need_asst_ns_M,C16_35_44_Need_asst_ns_F,C16_35_44_Need_asst_ns_P,C16_35_44_Tot_M,C16_35_44_Tot_F,C16_35_44_Tot_P,C16_45_54_Need_asst_M,C16_45_54_Need_asst_F,C16_45_54_Need_asst_P,C16_45_54_No_need_asst_M,C16_45_54_No_need_asst_F,C16_45_54_No_need_asst_P,C16_45_54_Need_asst_ns_M,C16_45_54_Need_asst_ns_F,C16_45_54_Need_asst_ns_P,C16_45_54_Tot_M,C16_45_54_Tot_F,C16_45_54_Tot_P,C16_55_64_Need_asst_M,C16_55_64_Need_asst_F,C16_55_64_Need_asst_P,C16_55_64_No_need_asst_M,C16_55_64_No_need_asst_F,C16_55_64_No_need_asst_P,C16_55_64_Need_asst_ns_M,C16_55_64_Need_asst_ns_F,C16_55_64_Need_asst_ns_P,C16_55_64_Tot_M,C16_55_64_Tot_F,C16_55_64_Tot_P,C16_65_74_Need_asst_M,C16_65_74_Need_asst_F,C16_65_74_Need_asst_P,C16_65_74_No_need_asst_M,C16_65_74_No_need_asst_F,C16_65_74_No_need_asst_P,C16_65_74_Need_asst_ns_M,C16_65_74_Need_asst_ns_F,C16_65_74_Need_asst_ns_P,C16_65_74_Tot_M,C16_65_74_Tot_F,C16_65_74_Tot_P,C16_75_84_Need_asst_M,C16_75_84_Need_asst_F,C16_75_84_Need_asst_P,C16_75_84_No_need_asst_M,C16_75_84_No_need_asst_F,C16_75_84_No_need_asst_P,C16_75_84_Need_asst_ns_M,C16_75_84_Need_asst_ns_F,C16_75_84_Need_asst_ns_P,C16_75_84_Tot_M,C16_75_84_Tot_F,C16_75_84_Tot_P,C16_85over_Need_asst_M,C16_85over_Need_asst_F,C16_85over_Need_asst_P,C16_85over_No_need_assist_M,C16_85over_No_need_assist_F,C16_85over_No_need_asst_P,C16_85over_Need_assist_ns_M,C16_85over_Need_assist_ns_F,C16_85over_Need_assist_ns_P,C16_85over_Tot_M,C16_85over_Tot_F,C16_85over_Tot_P,C16_Tot_Need_assist_M,C16_Tot_Need_assist_F,C16_Tot_Need_asst_P,C16_Tot_No_need_assist_M,C16_Tot_No_need_assist_F,C16_Tot_No_need_asst_P,C16_Tot_Need_assist_ns_M,C16_Tot_Need_assist_ns_F,C16_Tot_Need_assist_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Need_assist_M,C21_0_4_Need_assist_F,C21_0_4_Need_assist_P,C21_0_4_No_need_assist_M,C21_0_4_No_need_assist_F,C21_0_4_No_need_assist_P,C21_0_4_Need_assist_ns_M,C21_0_4_Need_assist_ns_F,C21_0_4_Need_assist_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_14_Need_assist_M,C21_5_14_Need_assist_F,C21_5_14_Need_assist_P,C21_5_14_No_need_assist_M,C21_5_14_No_need_assist_F,C21_5_14_No_need_assist_P,C21_5_14_Need_assist_ns_M,C21_5_14_Need_assist_ns_F,C21_5_14_Need_assist_ns_P,C21_5_14_Tot_M,C21_5_14_Tot_F,C21_5_14_Tot_P,C21_15_19_Need_assist_M,C21_15_19_Need_assist_F,C21_15_19_Need_assist_P,C21_15_19_No_need_assist_M,C21_15_19_No_need_assist_F,C21_15_19_No_need_assist_P,C21_15_19_Need_assist_ns_M,C21_15_19_Need_assist_ns_F,C21_15_19_Need_assist_ns_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Need_assist_M,C21_20_24_Need_assist_F,C21_20_24_Need_assist_P,C21_20_24_No_need_assist_M,C21_20_24_No_need_assist_F,C21_20_24_No_need_assist_P,C21_20_24_Need_assist_ns_M,C21_20_24_Need_assist_ns_F,C21_20_24_Need_assist_ns_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_34_Need_assist_M,C21_25_34_Need_assist_F,C21_25_34_Need_assist_P,C21_25_34_No_need_assist_M,C21_25_34_No_need_assist_F,C21_25_34_No_need_assist_P,C21_25_34_Need_assist_ns_M,C21_25_34_Need_assist_ns_F,C21_25_34_Need_assist_ns_P,C21_25_34_Tot_M,C21_25_34_Tot_F,C21_25_34_Tot_P,C21_35_44_Need_assist_M,C21_35_44_Need_assist_F,C21_35_44_Need_assist_P,C21_35_44_No_need_assist_M,C21_35_44_No_need_assist_F,C21_35_44_No_need_assist_P,C21_35_44_Need_assist_ns_M,C21_35_44_Need_assist_ns_F,C21_35_44_Need_assist_ns_P,C21_35_44_Tot_M,C21_35_44_Tot_F,C21_35_44_Tot_P,C21_45_54_Need_assist_M,C21_45_54_Need_assist_F,C21_45_54_Need_assist_P,C21_45_54_No_need_assist_M,C21_45_54_No_need_assist_F,C21_45_54_No_need_assist_P,C21_45_54_Need_assist_ns_M,C21_45_54_Need_assist_ns_F,C21_45_54_Need_assist_ns_P,C21_45_54_Tot_M,C21_45_54_Tot_F,C21_45_54_Tot_P,C21_55_64_Need_assist_M,C21_55_64_Need_assist_F,C21_55_64_Need_assist_P,C21_55_64_No_need_assist_M,C21_55_64_No_need_assist_F,C21_55_64_No_need_assist_P,C21_55_64_Need_assist_ns_M,C21_55_64_Need_assist_ns_F,C21_55_64_Need_assist_ns_P,C21_55_64_Tot_M,C21_55_64_Tot_F,C21_55_64_Tot_P,C21_65_74_Need_assist_M,C21_65_74_Need_assist_F,C21_65_74_Need_assist_P,C21_65_74_No_need_assist_M,C21_65_74_No_need_assist_F,C21_65_74_No_need_assist_P,C21_65_74_Need_assist_ns_M,C21_65_74_Need_assist_ns_F,C21_65_74_Need_assist_ns_P,C21_65_74_Tot_M,C21_65_74_Tot_F,C21_65_74_Tot_P,C21_75_84_Need_assist_M,C21_75_84_Need_assist_F,C21_75_84_Need_assist_P,C21_75_84_No_need_assist_M
801011001,0,107,100,208,0,3,3,136,171,309,8,0,9,144,174,321,4,3,10,159,171,325,13,7,21,176,181,352,0,10,9,123,141,266,3,4,7,126,155,286,6,7,14,110,134,248,7,5,8,123,146,266,7,9,11,67,53,118,3,9,9,77,71,137,10,16,17,9,15,21,0,0,0,19,31,45,44,54,94,1088,1129,2223,43,39,81,1175,1222,2397,0,0,0,61,71,132,4,4,7,65,75,142,3,6,8,192,148,345,8,9,12,203,163,371,0,0,0,63,78,141,0,3,3,63,81,142,0,0,5,88,63,149,8,4,10,96,67,164,3,0,7,133,117,256,5,0,8,141,117,270,0,0,0,152,183,335,3,5,8,155,188,345,0,11,14,162,164,322,4,4,3,166,179,340,3,7,12,155,168,322,8,3,10,166,178,339,4,16,21,89,112,203,10,11,15,103,139,241,14,18,31,72
801011002,191,1129,1100,2226,12,9,21,447,353,799,54,31,90,513,393,908,14,8,23,222,177,394,35,25,53,271,210,470,8,17,22,148,149,298,17,15,30,173,181,351,9,10,25,91,120,213,14,12,28,114,142,262,16,21,40,61,88,147,6,7,9,83,116,197,19,46,71,21,33,60,0,15,15,40,94,147,101,138,241,2930,2908,5840,294,280,574,3325,3326,6651,0,0,0,167,182,349,13,13,26,180,195,380,9,10,11,158,165,322,14,6,17,181,181,360,3,0,5,105,106,212,7,3,14,115,109,229,7,9,18,580,663,1247,32,33,63,619,705,1325,18,28,45,1527,1497,3020,75,81,153,1620,1606,3216,8,14,23,609,510,1118,41,22,63,658,546,1209,10,12,22,288,246,534,20,10,37,318,268,592,5,15,18,192,175,364,14,15,28,211,205,410,10,15,24,123,168,288,8,4,10,141,187,324,19,32,47,81
801011003,107,936,891,1829,10,6,17,397,350,744,21,14,40,428,370,800,6,6,7,198,215,417,14,13,27,218,234,449,7,9,17,226,224,448,16,12,27,249,245,494,14,19,32,128,139,268,5,11,20,147,169,320,18,23,47,61,61,116,5,9,19,84,93,181,27,53,76,16,26,41,6,7,11,49,86,132,110,141,246,3160,3131,6295,231,223,457,3501,3495,6996,0,0,3,148,138,284,8,3,8,156,141,292,15,5,17,233,218,455,9,10,20,257,233,494,4,6,9,231,301,531,10,18,27,245,325,565,10,10,19,549,727,1273,12,26,42,571,763,1339,9,20,33,977,900,1874,28,31,63,1014,951,1970,9,6,16,461,468,932,19,12,29,489,486,973,3,4,6,269,276,547,8,9,15,280,289,574,7,14,22,193,235,429,17,7,23,217,256,472,12,19,38,186,205,390,6,4,12,204,228,437,29,44,70,86
801011004,42,259,247,512,7,13,21,210,218,424,12,16,29,229,247,474,9,7,19,145,146,293,3,8,16,157,161,328,9,13,27,112,154,268,12,16,25,133,183,319,7,13,24,88,94,184,3,7,13,98,114,221,12,14,26,27,40,66,8,4,10,47,58,103,4,15,15,3,9,10,0,0,0,7,24,24,77,98,172,1290,1308,2601,98,101,199,1465,1507,2979,6,5,6,112,97,204,3,7,9,121,109,220,31,3,35,185,186,369,7,6,21,223,195,424,8,3,10,82,76,156,10,0,10,100,79,170,0,0,5,73,72,151,0,0,3,73,72,158,7,8,10,236,226,457,16,13,27,259,247,495,8,14,20,216,252,472,11,7,20,235,273,505,10,11,16,177,185,360,13,12,16,200,208,391,8,19,24,110,154,263,5,9,9,123,182,293,3,13,26,100,110,214,4,6,8,107,129,241,12,13,24,45
801011005,13,136,179,325,0,0,0,211,220,429,11,12,21,222,232,451,0,3,7,180,202,383,6,5,13,186,210,403,0,5,14,131,159,292,7,9,18,138,173,319,6,7,16,109,147,262,8,9,13,123,163,292,14,12,22,77,80,156,4,5,10,95,97,198,7,10,25,9,15,27,0,3,3,16,28,45,38,54,93,1246,1346,2589,61,60,120,1345,1460,2804,0,0,0,84,77,162,3,3,6,87,80,166,7,4,10,151,161,315,11,9,18,169,174,346,0,4,3,60,71,127,0,0,0,60,75,135,0,0,0,68,54,123,3,0,7,71,54,128,4,3,9,153,197,345,6,9,18,163,209,374,0,7,9,201,214,420,9,8,12,210,229,443,7,7,13,218,203,420,6,3,12,231,213,445,8,8,17,135,166,307,8,5,8,151,179,327,4,9,11,103,169,277,4,9,10,111,187,295,9,17,27,83
801011006,31,467,542,1007,12,18,31,575,642,1214,35,32,65,622,692,1314,12,18,31,459,477,940,11,17,33,482,512,1001,15,17,30,259,303,557,10,14,28,284,334,613,22,30,43,132,153,287,8,8,18,162,191,346,11,25,38,48,55,100,0,3,6,59,83,142,3,19,20,5,8,13,0,0,0,8,27,36,147,157,304,3242,3368,6608,141,136,283,3530,3661,7199,5,0,9,253,206,459,5,8,13,263,214,479,43,14,57,573,557,1137,18,19,34,634,590,1227,7,12,16,275,223,500,16,8,25,298,243,540,9,14,21,201,167,365,13,3,13,223,184,402,8,14,24,394,411,800,16,15,26,418,440,857,14,8,22,573,606,1180,16,13,26,603,627,1227,9,15,21,507,562,1070,17,15,33,533,592,1128,23,31,59,330,348,679,9,15,20,362,394,759,15,36,46,179,203,379,5,4,9,199,243,435,19,26,46,61
801011007,42,340,349,688,5,9,17,379,389,771,26,38,58,410,436,843,3,9,17,317,296,610,28,27,57,348,332,682,6,16,28,285,305,588,26,36,55,317,357,671,16,14,28,221,230,450,18,21,32,255,265,514,9,11,17,49,45,95,8,0,10,66,56,123,4,22,22,3,11,14,0,3,3,7,36,39,94,104,205,2397,2361,4751,189,186,373,2680,2651,5329,0,0,0,183,156,338,3,4,7,186,160,344,28,19,50,407,311,721,11,4,24,446,334,785,14,3,14,154,151,304,8,3,12,176,157,336,7,3,10,162,130,292,9,3,17,178,136,315,13,9,25,386,344,737,13,6,19,412,359,774,11,11,21,387,380,762,9,7,21,407,398,799,7,13,22,360,359,712,9,6,21,376,378,760,7,11,18,274,286,557,11,12,17,292,309,596,17,22,36,264,272,536,4,4,8,285,298,577,12,16,36,78
801011008,35,324,330,661,5,10,15,277,315,592,18,12,31,300,337,636,12,15,27,271,298,572,10,20,33,293,333,633,20,25,46,289,333,623,10,24,33,319,382,701,13,17,33,161,186,349,8,11,20,182,214,401,17,25,36,53,59,111,4,9,11,74,93,161,6,20,26,12,8,26,0,0,0,18,28,53,116,140,258,2106,2166,4275,116,126,237,2338,2432,4769,0,0,0,120,122,239,7,8,15,127,130,257,19,10,32,246,277,518,0,13,19,265,300,568,4,9,14,100,113,217,0,0,0,104,122,233,4,0,6,151,142,291,9,0,7,164,142,309,8,7,15,333,311,643,19,14,37,360,332,695,4,17,26,317,323,636,5,10,16,326,350,681,12,14,22,247,270,516,10,8,20,269,292,557,24,20,49,281,329,606,8,11,17,313,360,674,22,25,46,206,250,455,4,10,11,232,285,514,20,36,52,93
801011009,17,198,204,411,8,4,16,249,241,486,8,3,18,265,248,518,4,9,18,193,211,395,15,5,21,212,225,437,0,11,13,171,191,362,6,13,18,177,215,388,11,12,31,158,174,332,8,12,19,177,198,379,11,10,25,47,35,83,4,5,5,62,50,120,3,8,11,4,9,12,0,0,5,7,17,26,74,87,161,1547,1515,3061,73,64,136,1694,1666,3355,3,0,3,115,109,225,0,4,5,118,113,232,7,7,15,248,262,508,6,6,11,261,275,539,9,5,15,105,105,208,0,3,7,114,113,230,6,4,12,96,98,195,3,3,3,105,105,208,11,12,23,248,194,443,9,3,17,268,209,479,8,5,9,250,247,498,9,12,18,267,264,525,5,8,11,228,232,459,6,6,16,239,246,487,17,11,23,182,194,375,15,3,13,214,208,406,10,25,32,155,163,316,3,6,7,168,194,359,14,15,35,72
801011010,12,99,101,203,3,0,4,134,139,272,9,8,20,146,147,298,6,8,10,127,122,251,6,10,16,139,140,274,9,9,13,116,146,257,7,9,17,132,164,290,7,6,10,118,103,211,6,6,15,131,115,245,0,9,7,30,22,49,3,4,5,33,35,68,5,7,7,0,4,5,0,0,0,5,11,14,42,52,90,902,927,1829,57,48,101,1001,1027,2027,0,0,0,52,47,98,3,4,4,55,51,98,14,4,19,147,150,300,0,0,4,161,154,328,3,4,7,74,56,132,0,0,0,77,60,133,3,0,5,55,51,106,0,0,0,58,51,116,9,4,13,92,84,176,6,3,6,107,91,198,4,5,4,137,151,291,10,3,8,151,159,310,3,0,9,135,144,283,6,0,6,144,144,289,9,13,18,111,103,218,3,5,7,123,121,243,9,13,21,141,132,278,3,3,8,153,148,303,12,11,24,44
