SA2_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
801011001,77,152,5,9,12,91,104,197,10,13,23,19,21,36,0,3,3,29,37,62,39,72,112,1182,1209,2392,43,54,101,1264,1335,2605
801011002,133,212,3,3,16,103,168,272,28,58,92,35,53,85,0,6,10,63,117,184,122,189,314,3863,3900,7763,217,205,421,4202,4294,8502
801011003,105,188,5,5,9,120,154,265,27,58,80,22,24,46,4,7,7,53,89,137,123,189,306,3353,3598,6952,129,132,254,3605,3919,7520
801011004,44,85,0,0,7,57,57,111,4,8,16,5,9,15,0,0,0,9,17,30,87,93,184,1339,1400,2739,66,58,129,1492,1551,3055
801011005,95,187,5,0,7,97,112,224,3,19,27,21,21,46,0,0,5,24,40,73,51,81,133,1286,1433,2722,51,57,108,1388,1571,2965
801011006,63,128,0,0,3,80,89,174,5,7,21,14,3,24,0,0,0,19,10,40,158,181,338,3361,3347,6710,114,103,216,3633,3631,7265
801011007,74,151,0,3,5,90,93,188,10,16,26,7,14,21,0,0,0,17,30,49,129,128,256,2658,2473,5129,78,68,143,2865,2669,5531
801011008,81,176,3,4,3,116,121,231,12,20,33,14,18,31,0,0,4,26,38,69,137,162,296,2106,2225,4331,73,81,151,2316,2468,4781
801011009,66,141,0,5,5,86,86,177,6,10,14,11,3,16,5,0,5,22,13,30,91,94,190,1701,1679,3379,55,51,105,1847,1824,3671
801011010,32,79,0,5,0,56,48,99,3,0,0,10,6,11,0,0,0,13,6,16,67,54,117,1005,963,1966,26,23,47,1098,1040,2126
