SA2_CODE_2021,C21_CFNC_BPT_2000_2499,C21_CFNC_BPT_2500_2999,C21_CFNC_BPT_3000_3999,C21_CFNC_BPT_4000more,C21_CFNC_BPT_Ns,C21_CFNC_BPT_Tot,C21_CFNC_1F1P_Neg_ni_inc,C21_CFNC_1F1P_1_149,C21_CFNC_1F1P_150_399,C21_CFNC_1F1P_400_649,C21_CFNC_1F1P_650_799,C21_CFNC_1F1P_800_1249,C21_CFNC_1F1P_1250_1999,C21_CFNC_1F1P_2000_2499,C21_CFNC_1F1P_2500_2999,C21_CFNC_1F1P_3000_3999,C21_CFNC_1F1P_4000more,C21_CFNC_1F1P_Ns,C21_CFNC_1F1P_Tot,C21_CFNC_1E1A_Neg_ni_inc,C21_CFNC_1E1A_1_149,C21_CFNC_1E1A_150_399,C21_CFNC_1E1A_400_649,C21_CFNC_1E1A_650_799,C21_CFNC_1E1A_800_1249,C21_CFNC_1E1A_1250_1999,C21_CFNC_1E1A_2000_2499,C21_CFNC_1E1A_2500_2999,C21_CFNC_1E1A_3000_3999,C21_CFNC_1E1A_4000more,C21_CFNC_1E1A_Ns,C21_CFNC_1E1A_Tot,C21_CFNC_1F1NW_Neg_ni_inc,C21_CFNC_1F1NW_1_149,C21_CFNC_1F1NW_150_399,C21_CFNC_1F1NW_400_649,C21_CFNC_1F1NW_650_799,C21_CFNC_1F1NW_800_1249,C21_CFNC_1F1NW_1250_1999,C21_CFNC_1F1NW_2000_2499,C21_CFNC_1F1NW_2500_2999,C21_CFNC_1F1NW_3000_3999,C21_CFNC_1F1NW_4000more,C21_CFNC_1F1NW_Ns,C21_CFNC_1F1NW_Tot,C21_CFNC_1P1NW_Neg_ni_inc,C21_CFNC_1P1NW_1_149,C21_CFNC_1P1NW_150_399,C21_CFNC_1P1NW_400_649,C21_CFNC_1P1NW_650_799,C21_CFNC_1P1NW_800_1249,C21_CFNC_1P1NW_1250_1999,C21_CFNC_1P1NW_2000_2499,C21_CFNC_1P1NW_2500_2999,C21_CFNC_1P1NW_3000_3999,C21_CFNC_1P1NW_4000more,C21_CFNC_1P1NW_Ns,C21_CFNC_1P1NW_Tot,C21_CFNC_1A1NW_Neg_ni_inc,C21_CFNC_1A1NW_1_149,C21_CFNC_1A1NW_150_399,C21_CFNC_1A1NW_400_649,C21_CFNC_1A1NW_650_799,C21_CFNC_1A1NW_800_1249,C21_CFNC_1A1NW_1250_1999,C21_CFNC_1A1NW_2000_2499,C21_CFNC_1A1NW_2500_2999,C21_CFNC_1A1NW_3000_3999,C21_CFNC_1A1NW_4000more,C21_CFNC_1A1NW_Ns,C21_CFNC_1A1NW_Tot,C21_CFNC_BA_Neg_ni_inc,C21_CFNC_BA_1_149,C21_CFNC_BA_150_399,C21_CFNC_BA_400_649,C21_CFNC_BA_650_799,C21_CFNC_BA_800_1249,C21_CFNC_BA_1250_1999,C21_CFNC_BA_2000_2499,C21_CFNC_BA_2500_2999,C21_CFNC_BA_3000_3999,C21_CFNC_BA_4000more,C21_CFNC_BA_Ns,C21_CFNC_BA_Tot,C21_CFNC_BNW_Neg_ni_inc,C21_CFNC_BNW_1_149,C21_CFNC_BNW_150_399,C21_CFNC_BNW_400_649,C21_CFNC_BNW_650_799,C21_CFNC_BNW_800_1249,C21_CFNC_BNW_1250_1999,C21_CFNC_BNW_2000_2499,C21_CFNC_BNW_2500_2999,C21_CFNC_BNW_3000_3999,C21_CFNC_BNW_4000more,C21_CFNC_BNW_Ns,C21_CFNC_BNW_Tot,C21_CFNC_LFns_Neg_ni_inc,C21_CFNC_LFns_1_149,C21_CFNC_LFns_150_399,C21_CFNC_LFns_400_649,C21_CFNC_LFns_650_799,C21_CFNC_LFns_800_1249,C21_CFNC_LFns_1250_1999,C21_CFNC_LFns_2000_2499,C21_CFNC_LFns_2500_2999,C21_CFNC_LFns_3000_3999,C21_CFNC_LFns_4000more,C21_CFNC_LFns_Ns,C21_CFNC_LFns_Tot,C21_CFNC_Tot_Neg_ni_inc,C21_CFNC_Tot_1_149,C21_CFNC_Tot_150_399,C21_CFNC_Tot_400_649,C21_CFNC_Tot_650_799,C21_CFNC_Tot_800_1249,C21_CFNC_Tot_1250_1999,C21_CFNC_Tot_2000_2499,C21_CFNC_Tot_2500_2999,C21_CFNC_Tot_3000_3999,C21_CFNC_Tot_4000more,C21_CFNC_Tot_Ns,C21_CFNC_Tot_Tot,C21_CF_BFT_Neg_ni_inc,C21_CF_BFT_1_149,C21_CF_BFT_150_399,C21_CF_BFT_400_649,C21_CF_BFT_650_799,C21_CF_BFT_800_1249,C21_CF_BFT_1250_1999,C21_CF_BFT_2000_2499,C21_CF_BFT_2500_2999,C21_CF_BFT_3000_3999,C21_CF_BFT_4000more,C21_CF_BFT_Ns,C21_CF_BFT_Tot,C21_CF_BPT_Neg_ni_inc,C21_CF_BPT_1_149,C21_CF_BPT_150_399,C21_CF_BPT_400_649,C21_CF_BPT_650_799,C21_CF_BPT_800_1249,C21_CF_BPT_1250_1999,C21_CF_BPT_2000_2499,C21_CF_BPT_2500_2999,C21_CF_BPT_3000_3999,C21_CF_BPT_4000more,C21_CF_BPT_Ns,C21_CF_BPT_Tot,C21_CF_1F1P_Neg_ni_inc,C21_CF_1F1P_1_149,C21_CF_1F1P_150_399,C21_CF_1F1P_400_649,C21_CF_1F1P_650_799,C21_CF_1F1P_800_1249,C21_CF_1F1P_1250_1999,C21_CF_1F1P_2000_2499,C21_CF_1F1P_2500_2999,C21_CF_1F1P_3000_3999,C21_CF_1F1P_4000more,C21_CF_1F1P_Ns,C21_CF_1F1P_Tot,C21_CF_1E1A_Neg_ni_inc,C21_CF_1E1A_1_149,C21_CF_1E1A_150_399,C21_CF_1E1A_400_649,C21_CF_1E1A_650_799,C21_CF_1E1A_800_1249,C21_CF_1E1A_1250_1999,C21_CF_1E1A_2000_2499,C21_CF_1E1A_2500_2999,C21_CF_1E1A_3000_3999,C21_CF_1E1A_4000more,C21_CF_1E1A_Ns,C21_CF_1E1A_Tot,C21_CF_1F1NW_Neg_ni_inc,C21_CF_1F1NW_1_149,C21_CF_1F1NW_150_399,C21_CF_1F1NW_400_649,C21_CF_1F1NW_650_799,C21_CF_1F1NW_800_1249,C21_CF_1F1NW_1250_1999,C21_CF_1F1NW_2000_2499,C21_CF_1F1NW_2500_2999,C21_CF_1F1NW_3000_3999,C21_CF_1F1NW_4000more,C21_CF_1F1NW_Ns,C21_CF_1F1NW_Tot,C21_CF_1P1NW_Neg_ni_inc,C21_CF_1P1NW_1_149,C21_CF_1P1NW_150_399,C21_CF_1P1NW_400_649,C21_CF_1P1NW_650_799,C21_CF_1P1NW_800_1249,C21_CF_1P1NW_1250_1999,C21_CF_1P1NW_2000_2499,C21_CF_1P1NW_2500_2999,C21_CF_1P1NW_3000_3999,C21_CF_1P1NW_4000more,C21_CF_1P1NW_Ns
801011001,0,0,6,0,0,6,0,0,0,0,0,0,3,0,8,5,10,0,27,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,3,3,7,0,22,0,0,0,0,0,6,3,0,5,5,0,0,17,0,0,0,0,0,0,4,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,47,29,17,16,10,0,126,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,3,5,20,59,34,36,44,68,14,277,0,0,0,0,0,0,5,10,0,16,109,7,141,0,0,0,0,0,0,3,0,0,0,6,0,18,0,0,0,0,0,0,4,3,10,25,60,3,103,0,0,0,0,0,0,0,0,0,5,20,0,22,0,0,0,0,0,0,4,7,3,3,14,3,39,0,0,0,0,0,0,3,0,0,3,0,0
801011002,4,5,6,0,0,92,0,0,0,0,0,10,107,66,45,29,22,4,280,0,0,0,0,0,5,17,7,6,7,4,0,42,0,0,0,0,0,29,72,25,19,10,11,0,168,0,0,4,12,10,20,27,5,5,0,0,0,79,0,0,0,0,0,3,5,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,19,3,9,9,22,48,54,11,8,9,3,0,193,0,0,0,0,0,0,4,0,0,0,0,42,46,16,3,10,23,32,142,360,238,180,154,119,53,1343,0,0,0,0,0,0,5,14,17,16,27,3,84,0,0,0,0,0,7,14,7,0,3,0,0,41,0,0,0,0,0,0,30,19,21,17,11,0,96,0,0,0,0,0,0,6,3,3,6,4,0,29,0,0,0,0,0,15,41,26,7,3,7,0,99,0,0,0,3,5,4,11,11,3,0,0,0
801011003,6,8,5,4,0,67,0,0,0,0,0,3,50,28,17,22,17,3,138,0,0,0,0,0,5,3,5,0,7,3,0,18,0,0,0,0,0,4,25,14,10,9,16,0,81,0,0,3,4,5,14,7,6,5,4,5,0,62,0,0,0,0,0,0,4,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,5,4,12,34,52,31,22,19,17,5,195,0,0,0,0,0,0,0,0,0,0,0,27,27,8,5,4,12,18,77,191,126,114,153,146,31,889,0,0,0,0,0,0,10,4,9,46,107,7,183,0,0,0,0,0,0,4,4,0,3,4,0,17,0,0,0,0,0,0,7,14,13,37,62,0,138,0,0,0,0,0,0,0,0,3,10,6,0,26,0,0,0,0,5,8,21,14,3,11,21,0,95,0,0,0,0,0,0,0,0,0,6,0,0
801011004,0,0,0,0,0,4,0,0,0,0,0,0,5,12,0,4,3,0,27,0,0,0,0,0,0,4,0,5,0,0,0,7,0,0,0,0,0,3,8,9,0,0,0,0,26,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,4,14,16,22,3,4,0,0,5,71,0,0,0,0,0,0,0,0,0,0,0,11,10,4,0,3,4,19,31,52,44,39,38,21,12,258,0,0,0,0,0,3,4,9,16,40,30,0,104,0,0,0,0,0,0,5,4,0,4,0,0,17,0,0,0,0,0,0,14,22,25,31,5,0,99,0,0,0,0,0,0,0,3,5,4,0,3,16,0,0,0,0,0,0,15,7,0,8,5,0,39,0,0,0,4,0,6,5,0,0,5,0,0
801011005,0,0,0,5,0,11,0,0,0,0,0,0,9,9,9,11,9,0,52,0,0,0,0,0,0,0,0,3,0,5,0,10,0,0,0,0,0,3,6,4,9,4,11,0,31,0,0,0,0,0,0,8,0,7,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,12,8,41,18,10,13,3,0,119,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,0,6,13,14,71,40,34,61,78,11,340,0,0,0,0,0,0,0,4,6,17,77,4,108,0,0,0,0,0,5,5,4,0,8,7,0,29,0,0,0,0,0,0,0,9,16,37,44,4,111,0,0,0,0,0,0,0,0,0,0,10,0,18,0,0,0,0,0,0,6,8,0,7,12,0,35,0,0,0,0,0,4,7,0,0,4,0,0
801011006,8,0,0,0,0,13,0,0,0,0,0,0,18,15,18,23,13,0,87,0,0,0,0,0,0,6,7,5,0,9,0,22,0,0,0,0,0,3,17,20,5,4,9,0,68,0,0,0,0,0,11,6,5,6,4,0,0,34,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,4,0,0,0,5,0,3,9,4,0,7,21,22,47,16,7,3,0,0,139,0,0,0,0,0,0,0,0,0,0,0,17,21,9,4,0,10,22,47,115,94,73,99,73,29,578,0,0,0,0,0,0,3,28,49,128,202,16,428,0,0,0,0,0,0,6,5,5,9,9,0,36,0,0,0,0,0,3,30,46,66,85,80,6,312,0,0,0,0,0,0,7,6,13,32,16,7,73,0,0,0,0,0,0,29,17,11,15,20,5,109,0,0,0,0,0,4,3,6,4,6,6,0
801011007,0,3,0,4,0,30,0,0,0,0,0,0,9,11,12,29,7,0,71,0,0,0,0,0,0,0,0,3,5,5,0,15,0,0,0,0,0,4,10,8,9,7,7,0,43,0,0,0,0,0,9,14,0,0,4,0,0,37,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,7,4,0,0,7,34,43,67,35,9,8,9,3,214,0,0,0,0,0,0,0,0,0,0,0,14,20,4,0,0,5,35,63,126,78,66,102,75,17,574,0,0,0,0,0,0,0,14,13,70,122,6,228,0,0,0,0,5,0,3,3,10,13,9,0,42,0,0,0,0,0,0,21,28,32,74,60,3,216,0,0,0,0,0,0,0,6,12,13,25,4,63,0,0,0,0,0,0,19,13,13,10,20,3,82,0,0,0,0,0,0,3,0,0,5,0,3
801011008,4,3,7,3,0,23,0,0,0,0,0,0,8,16,9,12,13,0,62,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,6,16,14,7,6,4,0,57,0,0,0,0,3,5,3,8,3,3,0,0,25,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,5,27,46,50,21,21,9,6,4,208,0,0,0,0,0,0,0,0,0,0,0,18,22,7,4,0,7,34,66,97,82,58,83,65,22,534,0,0,0,0,0,4,4,10,19,39,96,10,178,0,0,0,0,0,0,4,0,3,4,10,0,27,0,0,0,0,0,0,21,24,30,33,51,4,162,0,0,0,0,0,0,0,3,7,9,13,0,31,0,0,0,0,3,4,16,17,10,14,15,3,84,0,0,0,0,0,5,10,3,0,4,8,4
801011009,0,0,0,0,0,5,0,0,0,0,0,0,6,3,4,7,9,0,31,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,9,9,5,6,11,0,32,0,0,0,0,5,4,4,4,3,0,3,0,21,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,25,51,17,17,5,0,3,142,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,8,17,40,76,43,41,54,59,8,356,0,0,0,0,0,0,0,6,17,47,105,5,180,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,13,15,18,48,53,5,155,0,0,0,0,0,0,0,4,3,16,14,0,41,0,0,0,0,0,0,11,7,6,12,23,0,56,0,0,0,3,0,0,4,0,3,4,0,0
801011010,0,0,0,0,0,5,0,0,0,0,0,0,4,4,7,12,7,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,0,4,0,5,0,20,0,0,0,0,3,0,5,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,10,48,19,12,3,10,0,112,0,0,0,0,0,0,0,0,0,0,0,8,4,3,0,0,4,17,20,61,27,20,29,37,9,229,0,0,0,0,0,0,3,7,6,25,56,3,95,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,9,6,12,25,42,0,96,0,0,0,0,0,0,0,3,0,3,10,0,15,0,0,0,0,0,4,9,0,0,9,9,0,33,0,0,0,0,0,0,0,3,0,0,6,0
