SA2_CODE_2021,C21_CF_1P1NW_Tot,C21_CF_1A1NW_Neg_ni_inc,C21_CF_1A1NW_1_149,C21_CF_1A1NW_150_399,C21_CF_1A1NW_400_649,C21_CF_1A1NW_650_799,C21_CF_1A1NW_800_1249,C21_CF_1A1NW_1250_1999,C21_CF_1A1NW_2000_2499,C21_CF_1A1NW_2500_2999,C21_CF_1A1NW_3000_3999,C21_CF_1A1NW_4000more,C21_CF_1A1NW_Ns,C21_CF_1A1NW_Tot,C21_CF_BA_Neg_ni_inc,C21_CF_BA_1_149,C21_CF_BA_150_399,C21_CF_BA_400_649,C21_CF_BA_650_799,C21_CF_BA_800_1249,C21_CF_BA_1250_1999,C21_CF_BA_2000_2499,C21_CF_BA_2500_2999,C21_CF_BA_3000_3999,C21_CF_BA_4000more,C21_CF_BA_Ns,C21_CF_BA_Tot,C21_CF_BNW_Neg_ni_inc,C21_CF_BNW_1_149,C21_CF_BNW_150_399,C21_CF_BNW_400_649,C21_CF_BNW_650_799,C21_CF_BNW_800_1249,C21_CF_BNW_1250_1999,C21_CF_BNW_2000_2499,C21_CF_BNW_2500_2999,C21_CF_BNW_3000_3999,C21_CF_BNW_4000more,C21_CF_BNW_Ns,C21_CF_BNW_Tot,C21_CF_LFns_Neg_ni_inc,C21_CF_LFns_1_149,C21_CF_LFns_150_399,C21_CF_LFns_400_649,C21_CF_LFns_650_799,C21_CF_LFns_800_1249,C21_CF_LFns_1250_1999,C21_CF_LFns_2000_2499,C21_CF_LFns_2500_2999,C21_CF_LFns_3000_3999,C21_CF_LFns_4000more,C21_CF_LFns_Ns,C21_CF_LFns_Tot,C21_C_f_c_Tot_Fi_Neg_ni_inc,C21_C_f_c_Tot_Fi_1_149,C21_C_f_c_Tot_Fi_150_399,C21_C_f_c_Tot_Fi_400_649,C21_CF_c_Tot_Fi_650_799,C21_CF_c_Tot_Fi_800_1249,C21_CF_c_Tot_Fi_1250_1999,C21_CF_c_Tot_Fi_2000_2499,C21_CF_c_Tot_Fi_2500_2999,C21_CF_c_Tot_Fi_3000_3999,C21_CF_c_Tot_Fi_4000more,C21_C_f_with_c_TotFI_Ns,C21_C_f_with_c_Tot_Tot,C21_1PF_F_Neg_ni_inc,C21_1PF_F_1_149,C21_1PF_F_150_399,C21_1PF_F_400_649,C21_1PF_F_650_799,C21_1PF_F_800_1249,C21_1PF_F_1250_1999,C21_1PF_F_2000_2499,C21_1PF_F_2500_2999,C21_1PF_F_3000_3999,C21_1PF_F_4000more,C21_1PF_F_Ns,C21_1PF_F_Tot,C21_1PF_P_Neg_ni_inc,C21_1PF_P_1_149,C21_1PF_P_150_399,C21_1PF_P_400_649,C21_1PF_P_650_799,C21_1PF_P_800_1249,C21_1PF_P_1250_1999,C21_1PF_P_2000_2499,C21_1PF_P_2500_2999,C21_1PF_P_3000_3999,C21_1PF_P_4000more,C21_1PF_P_Ns,C21_1PF_P_Tot,C21_1PF_A_Neg_ni_inc,C21_1PF_A_1_149,C21_1PF_A_150_399,C21_1PF_A_400_649,C21_1PF_A_650_799,C21_1PF_A_800_1249,C21_1PF_A_1250_1999,C21_1PF_A_2000_2499,C21_1PF_A_2500_2999,C21_1PF_A_3000_3999,C21_1PF_A_4000_more,C21_1PF_A_Ns,C21_1PF_A_Tot,C21_1PF_U_Neg_ni_inc,C21_1PF_U_1_149,C21_1PF_U_150_399,C21_1PF_U_400_649,C21_1PF_U_650_799,C21_1PF_U_800_1249,C21_1PF_U_1250_1999,C21_1PF_U_2000_2499,C21_1PF_U_2500_2999,C21_1PF_U_3000_3999,C21_1PF_U_4000_more,C21_1PF_U_Ns,C21_1PF_U_Tot,C21_1PF_N_lf_Fi_Neg_ni_inc,C21_1PF_N_lf_Fi_1_149,C21_1PF_N_lf_Fi_150_399,C21_1PF_N_lf_Fi_400_649,C21_1PF_N_lf_Fi_650_799,C21_1PF_N_lf_Fi_800_1249,C21_1PF_N_lf_Fi_1250_1999,C21_1PF_N_lf_Fi_2000_2499,C21_1PF_N_lf_Fi_2500_2999,C21_1PF_N_lf_Fi_3000_3999,C21_1PF_N_lf_Fi_4000_more,C21_1PF_N_lf_Fi_Ns,C21_1PF_N_the_lf_Tot,C21_1PF_LFns_Neg_ni_inc,C21_1PF_LFns_1_149,C21_1PF_LFns_150_399,C21_1PF_LFns_400_649,C21_1PF_LFns_Fi_650_799,C21_1PF_LFns_Fi_800_1249,C21_1PF_LFns_Fi_1250_1999,C21_1PF_LFns_Fi_2000_2499,C21_1PF_LFns_Fi_2500_2999,C21_1PF_LFns_Fi_3000_3999,C21_1PF_LFns_4000more,C21_1PF_LFns_Ns,C21_1PF_LFns_Tot,C21_1PF_TotFI_Neg_ni_inc,C21_1PF_TotFI_1_149,C21_1PF_TotFI_150_399,C21_1PF_TotFI_400_649,C21_1PF_TotFI_650_799,C21_1PF_TotFI_800_1249,C21_1PF_TotFI_1250_1999,C21_1PF_TotFI_2000_2499,C21_1PF_TotFI_2500_2999,C21_1PF_TotFI_3000_3999,C21_1PF_TotFI_4000more,C21_One_par_f_TotFI_Ns,C21_One_parent_f_Tot_Tot,C21_TotFI_Neg_ni_inc,C21_TotFI_1_149,C21_TotFI_150_399,C21_TotFI_400_649,C21_TotFI_650_799,C21_TotFI_800_1249,C21_TotFI_1250_1999,C21_TotFI_2000_2499,C21_TotFI_2500_2999,C21_TotFI_3000_3999,C21_TotFI_4000_more,C21_TotFI_Ns,C21_Tot_Tot
801011001,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,20,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,19,16,19,62,214,18,357,0,0,0,0,0,3,3,6,0,8,4,5,25,0,0,0,0,0,3,5,0,0,5,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,7,0,6,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,16,13,9,15,4,7,77,6,6,4,9,9,25,89,68,67,122,286,39,715
801011002,34,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,4,0,5,3,4,0,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,3,12,4,47,113,82,49,54,52,19,431,0,0,0,4,0,11,31,21,7,15,7,3,89,0,0,4,7,5,11,12,3,0,0,0,3,48,0,0,0,0,0,5,4,4,0,0,0,0,13,3,4,0,4,0,0,0,0,0,0,0,0,13,6,0,8,18,12,12,11,6,0,0,0,5,77,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,12,35,15,28,55,29,13,13,7,13,247,29,5,27,66,60,213,535,355,245,227,177,87,2027
801011003,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,3,0,5,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,19,23,0,0,0,3,3,21,46,49,31,120,211,33,525,0,0,0,0,0,3,25,26,10,16,11,9,98,0,0,0,0,0,11,12,3,0,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,3,0,9,5,4,0,5,0,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,20,42,39,9,21,16,17,170,11,5,10,21,27,112,283,216,160,281,375,86,1573
801011004,21,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,4,6,3,7,56,46,56,89,46,26,347,0,0,0,0,5,16,18,13,7,4,5,10,65,0,0,5,6,6,19,5,5,0,4,0,7,48,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,6,17,5,13,13,5,0,3,0,3,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,28,15,46,42,26,9,12,5,16,214,9,4,13,34,33,86,141,117,109,132,74,60,820
801011005,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,5,5,0,18,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,7,23,31,24,74,155,21,331,0,0,0,0,0,4,8,17,10,7,10,0,59,0,0,0,5,0,5,4,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,10,6,0,0,6,0,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,23,25,21,8,13,12,11,123,0,0,5,12,26,42,110,91,78,154,241,37,801
801011006,30,0,0,0,0,0,3,0,3,0,0,0,3,13,0,0,0,0,0,0,0,4,5,6,0,0,14,0,0,0,4,0,12,10,7,3,3,5,3,52,0,0,0,0,0,0,0,0,0,0,0,25,28,0,0,0,3,0,26,97,126,158,277,344,62,1093,0,0,0,0,0,12,37,38,10,21,9,11,136,0,0,0,10,0,17,20,10,0,3,0,4,69,0,0,0,0,0,0,6,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,10,15,0,17,21,10,6,3,0,0,93,0,0,0,0,0,0,0,0,0,0,0,3,0,9,6,6,28,5,47,84,59,24,28,9,18,320,16,4,6,46,25,123,294,283,253,399,426,108,1992
801011007,24,0,0,0,0,0,0,0,0,4,4,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,4,11,8,8,7,3,0,44,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,3,3,8,9,62,72,97,197,252,42,739,0,0,0,0,0,8,22,29,12,6,12,5,101,0,0,0,0,4,9,19,5,0,0,0,0,45,0,0,0,0,0,0,0,0,0,5,0,4,9,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,4,14,11,19,20,6,5,0,0,8,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,12,14,38,71,45,19,9,13,17,244,9,9,7,24,58,104,259,195,180,308,340,82,1562
801011008,29,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,3,9,9,3,0,5,3,0,45,0,0,0,0,0,0,0,0,0,0,0,15,17,4,0,0,5,7,16,68,60,67,112,191,35,569,0,0,0,0,0,10,25,26,11,6,0,3,77,0,0,0,8,0,8,14,7,4,0,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,13,0,0,12,20,8,24,12,6,5,3,0,3,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,11,35,59,33,16,10,4,12,227,6,11,15,47,50,117,222,179,143,201,268,71,1328
801011009,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,0,0,0,0,0,4,5,3,6,3,7,3,27,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,3,0,5,28,38,54,134,211,28,520,0,0,0,0,0,7,16,15,3,8,3,0,52,0,0,0,5,3,4,4,0,5,0,0,0,24,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,7,0,4,11,0,3,4,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,5,16,35,17,10,11,3,6,126,4,0,3,24,24,66,145,101,109,203,282,43,992
801011010,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,6,6,4,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,22,29,21,72,122,19,299,0,0,0,0,0,0,8,7,5,7,7,5,34,0,0,0,0,0,0,4,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,5,9,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,3,10,16,17,8,6,9,7,90,3,0,3,5,18,40,100,80,55,114,164,34,612
