SA2_CODE_2021,C11_F_CL_Tot_15_19,C11_F_CL_Tot_20_24,C11_F_CL_Tot_25_34,C11_F_CL_Tot_35_44,C11_F_CL_Tot_45_54,C11_F_CL_Tot_55_64,C11_F_CL_Tot_65_74,C11_F_CL_Tot_75_84,C11_F_CL_Tot_85over,C11_F_CL_Tot_Tot,C11_F_LE_ID_15_19,C11_F_LE_ID_20_24,C11_F_LE_ID_25_34,C11_F_LE_ID_35_44,C11_F_LE_ID_45_54,C11_F_LE_ID_55_64,C11_F_LE_ID_65_74,C11_F_LE_ID_75_84,C11_F_LE_ID_85over,C11_F_LE_ID_Tot,C11_F_LE_NS_15_19,C11_F_LE_NS_20_24,C11_F_LE_NS_25_34,C11_F_LE_NS_35_44,C11_F_LE_NS_45_54,C11_F_LE_NS_55_64,C11_F_LE_NS_65_74,C11_F_LE_NS_75_84,C11_F_LE_NS_85over,C11_F_LE_NS_Tot,C11_F_Tot_15_19_yrs,C11_F_Tot_20_24_yrs,C11_F_Tot_25_34_yrs,C11_F_Tot_35_44_yrs,C11_F_Tot_45_54_yrs,C11_F_Tot_55_64_yrs,C11_F_Tot_65_74_yrs,C11_F_Tot_75_84_yrs,C11_F_Tot_85over,C11_F_Tot_Tot,C16_F_Post_Deg_15_19_yrs,C16_F_Post_Deg_20_24_yrs,C16_F_Post_Deg_25_34_yrs,C16_F_Post_Deg_35_44_yrs,C16_F_Post_Deg_45_54_yrs,C16_F_Post_Deg_55_64_yrs,C16_F_Post_Deg_65_74_yrs,C16_F_Post_Deg_75_84_yrs,C16_F_Post_Deg_85over,C16_F_Post_Deg_Tot,C16_F_GrDip_GrCe_15_19,C16_F_GrDip_GrCe_20_24,C16_F_GrDip_GrCe_25_34,C16_F_GrDip_GrCe_35_44,C16_F_GrDip_GrCe_45_54,C16_F_GrDip_GrCe_55_64,C16_F_GrDip_GrCe_65_74,C16_F_GrDip_GrCe_75_84,C16_F_GrDip_GrCe_85over,C16_F_GrDip_GrCe_Tot,C16_F_BD_15_19,C16_F_BD_20_24,C16_F_BD_25_34,C16_F_BD_35_44,C16_F_BD_45_54,C16_F_BD_55_64,C16_F_BD_65_74,C16_F_BD_75_84,C16_F_BD_85over,C16_F_BD_Tot,C16_F_AdD_DL_15_19,C16_F_AdD_DL_20_24,C16_F_AdD_DL_25_34,C16_F_AdD_DL_35_44,C16_F_AdD_DL_45_54,C16_F_AdD_DL_55_64,C16_F_AdD_DL_65_74,C16_F_AdD_DL_75_84,C16_F_AdD_DL_85over,C16_F_AdD_DL_Tot,C16_F_CL_C_III_IV_15_19,C16_F_CL_C_III_IV_20_24,C16_F_CL_C_III_IV_25_34,C16_F_CL_C_III_IV_35_44,C16_F_CL_C_III_IV_45_54,C16_F_CL_C_III_IV_55_64,C16_F_CL_C_III_IV_65_74,C16_F_CL_C_III_IV_75_84,C16_F_CL_C_III_IV_85over,C16_F_CL_C_III_IV_Tot,C16_F_CL_C_I_II_15_19,C16_F_CL_C_I_II_20_24,C16_F_CL_C_I_II_25_34,C16_F_CL_C_I_II_35_44,C16_F_CL_C_I_II_45_54,C16_F_CL_C_I_II_55_64,C16_F_CL_C_I_II_65_74,C16_F_CL_C_I_II_75_84,C16_F_CL_C_I_II_85over,C16_F_CL_C_I_II_Tot,C16_F_CL_CL_nfd_15_19,C16_F_CL_CL_nfd_20_24,C16_F_CL_CL_nfd_25_34,C16_F_CL_CL_nfd_35_44,C16_F_CL_CL_nfd_45_54,C16_F_CL_CL_nfd_55_64,C16_F_CL_CL_nfd_65_74,C16_F_CL_CL_nfd_75_84,C16_F_CL_CL_nfd_85over,C16_F_CL_CL_nfd_Tot,C16_F_CL_Tot_15_19,C16_F_CL_Tot_20_24,C16_F_CL_Tot_25_34,C16_F_CL_Tot_35_44,C16_F_CL_Tot_45_54,C16_F_CL_Tot_55_64,C16_F_CL_Tot_65_74,C16_F_CL_Tot_75_84,C16_F_CL_Tot_85over,C16_F_CL_Tot_Tot,C16_F_LE_ID_15_19,C16_F_LE_ID_20_24,C16_F_LE_ID_25_34,C16_F_LE_ID_35_44,C16_F_LE_ID_45_54,C16_F_LE_ID_55_64,C16_F_LE_ID_65_74,C16_F_LE_ID_75_84,C16_F_LE_ID_85over,C16_F_LE_ID_Tot,C16_F_LE_NS_15_19,C16_F_LE_NS_20_24,C16_F_LE_NS_25_34,C16_F_LE_NS_35_44,C16_F_LE_NS_45_54,C16_F_LE_NS_55_64,C16_F_LE_NS_65_74,C16_F_LE_NS_75_84,C16_F_LE_NS_85over,C16_F_LE_NS_Tot,C16_F_Tot_15_19_yrs,C16_F_Tot_20_24_yrs,C16_F_Tot_25_34_yrs,C16_F_Tot_35_44_yrs,C16_F_Tot_45_54_yrs,C16_F_Tot_55_64_yrs,C16_F_Tot_65_74_yrs,C16_F_Tot_75_84_yrs,C16_F_Tot_85over,C16_F_Tot_Tot,C21_F_Post_Deg_15_19_yrs,C21_F_Post_Deg_20_24_yrs,C21_F_Post_Deg_25_34_yrs,C21_F_Post_Deg_35_44_yrs,C21_F_Post_Deg_45_54_yrs,C21_F_Post_Deg_55_64_yrs,C21_F_Post_Deg_65_74_yrs,C21_F_Post_Deg_75_84_yrs,C21_F_Post_Deg_85over,C21_F_Post_Deg_Tot,C21_F_GrDip_GrCe_15_19,C21_F_GrDip_GrCe_20_24,C21_F_GrDip_GrCe_25_34,C21_F_GrDip_GrCe_35_44,C21_F_GrDip_GrCe_45_54,C21_F_GrDip_GrCe_55_64,C21_F_GrDip_GrCe_65_74,C21_F_GrDip_GrCe_75_84,C21_F_GrDip_GrCe_85over,C21_F_GrDip_GrCe_Tot,C21_F_BD_15_19,C21_F_BD_20_24,C21_F_BD_25_34,C21_F_BD_35_44,C21_F_BD_45_54,C21_F_BD_55_64,C21_F_BD_65_74,C21_F_BD_75_84,C21_F_BD_85over,C21_F_BD_Tot,C21_F_AdD_DL_15_19,C21_F_AdD_DL_20_24,C21_F_AdD_DL_25_34,C21_F_AdD_DL_35_44,C21_F_AdD_DL_45_54,C21_F_AdD_DL_55_64,C21_F_AdD_DL_65_74,C21_F_AdD_DL_75_84,C21_F_AdD_DL_85over,C21_F_AdD_DL_Tot,C21_F_CL_C_III_IV_15_19,C21_F_CL_C_III_IV_20_24,C21_F_CL_C_III_IV_25_34,C21_F_CL_C_III_IV_35_44,C21_F_CL_C_III_IV_45_54,C21_F_CL_C_III_IV_55_64,C21_F_CL_C_III_IV_65_74,C21_F_CL_C_III_IV_75_84,C21_F_CL_C_III_IV_85over,C21_F_CL_C_III_IV_Tot
801011001,5,11,13,8,0,3,12,6,0,59,0,0,0,0,6,7,4,0,3,21,5,6,3,11,16,14,16,21,26,119,12,59,108,143,166,124,101,52,39,803,0,0,14,47,57,29,22,7,5,171,0,0,10,19,17,24,20,8,0,92,0,14,51,62,56,41,26,10,0,271,0,0,3,12,10,18,21,8,9,82,0,0,7,9,3,0,3,0,0,25,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,3,5,3,0,20,0,5,12,9,11,4,11,3,0,55,0,0,0,0,0,0,0,0,0,8,3,4,6,6,12,0,12,10,3,45,6,22,97,159,163,124,103,47,16,734,0,3,29,62,50,44,21,18,0,240,0,0,5,21,20,14,15,8,0,93,0,10,52,66,58,60,38,21,5,310,0,3,11,9,16,17,18,8,5,92,0,6,3,6,0,4,7,3,0,34
801011002,9,47,72,20,17,15,7,8,0,183,0,0,3,3,5,3,3,4,0,21,20,47,70,24,20,14,15,25,32,271,36,237,589,184,106,88,60,66,44,1410,0,21,240,90,28,20,9,3,4,417,0,9,53,17,13,12,6,0,0,112,0,235,416,113,41,30,26,18,11,887,3,40,80,35,24,14,13,11,4,227,3,36,56,25,17,12,3,4,0,161,4,8,4,3,0,0,0,0,0,23,0,3,6,4,5,7,10,5,4,48,8,44,72,39,23,21,12,10,0,232,0,0,10,5,0,6,0,0,0,26,9,57,88,41,24,26,19,19,21,303,20,412,956,335,157,127,85,58,46,2195,0,33,522,134,53,21,17,6,9,800,0,10,50,43,20,13,13,11,5,158,0,264,576,175,59,36,37,24,12,1190,0,69,102,73,38,28,19,20,11,357,3,51,69,34,26,19,7,3,4,217
801011003,21,53,41,23,23,15,4,3,0,187,0,0,4,4,3,7,6,4,0,38,82,200,76,21,15,18,8,34,44,487,104,479,640,248,207,161,78,65,52,2042,0,12,179,94,41,33,17,4,3,387,0,8,60,17,28,26,19,3,0,161,4,218,381,129,69,68,34,18,0,920,6,45,65,47,26,30,18,6,3,254,16,41,41,20,13,8,6,6,0,153,3,5,11,4,0,0,0,0,0,23,4,8,11,0,6,6,7,4,0,36,21,54,55,26,20,18,15,8,3,213,0,0,3,3,0,0,6,0,0,20,36,81,50,11,14,12,18,18,56,296,65,411,797,329,193,187,127,62,67,2245,0,22,258,167,61,42,26,12,0,592,0,11,57,36,23,25,16,16,6,182,0,199,386,167,94,77,63,34,15,1034,3,58,63,46,33,31,25,14,5,279,28,73,59,33,25,18,11,4,3,246
801011004,3,18,69,40,24,33,9,7,3,196,0,0,3,4,7,8,5,3,0,32,10,10,16,20,20,15,6,4,3,103,19,49,181,151,116,93,38,11,11,669,0,0,21,13,7,6,4,0,0,51,0,0,4,7,3,5,4,3,0,30,0,13,46,45,28,20,8,3,0,160,7,4,27,36,24,16,8,0,3,132,4,14,50,47,23,27,14,4,0,182,0,0,4,6,3,0,0,0,3,18,0,0,6,10,4,8,8,6,0,41,4,19,64,57,25,38,20,8,5,242,0,0,3,0,3,0,4,0,0,11,6,11,20,10,10,16,16,12,0,104,17,51,184,171,103,101,65,22,11,733,0,0,22,16,14,11,3,0,0,71,0,0,7,12,4,5,3,0,0,35,0,11,57,59,26,24,13,3,0,194,0,5,30,53,30,20,19,3,4,161,8,8,47,47,36,16,14,5,0,179
801011005,5,13,12,21,21,15,11,5,0,95,0,0,5,7,3,8,9,5,0,34,3,5,8,9,0,6,7,9,13,59,6,35,192,229,149,149,99,37,20,919,0,7,35,65,51,42,19,11,0,222,0,0,11,23,20,15,22,0,0,91,0,15,80,88,68,53,31,20,4,353,0,4,15,20,17,14,14,13,9,96,5,5,14,7,12,10,8,0,0,65,0,0,0,0,3,0,0,0,0,8,0,3,0,0,0,7,12,3,0,33,5,7,14,9,15,11,21,9,0,106,0,0,0,0,0,0,4,0,0,5,0,0,10,6,4,9,11,7,0,54,7,32,165,211,175,150,115,58,14,923,0,0,34,71,68,49,33,9,0,268,0,0,13,19,28,17,21,8,0,110,0,13,88,92,72,51,46,35,7,399,0,5,19,17,17,18,19,10,6,105,3,13,15,9,12,10,4,4,0,77
801011006,9,44,109,120,57,40,17,3,0,396,0,4,9,8,8,8,9,0,0,54,21,13,23,33,15,10,6,10,0,117,33,111,504,448,222,136,64,17,3,1544,0,0,48,47,27,12,0,0,0,145,0,0,32,42,18,9,3,0,0,96,0,23,154,161,85,48,24,4,0,500,0,14,64,108,57,37,18,4,3,310,9,32,79,92,70,31,10,0,0,321,3,5,9,16,4,3,0,0,0,35,0,0,9,18,12,8,11,5,0,75,6,37,91,117,92,50,24,3,0,433,0,0,0,5,3,5,4,0,0,23,10,7,16,34,18,19,10,8,0,121,22,88,397,517,309,172,87,31,8,1623,0,0,54,70,38,18,9,0,0,187,0,3,17,39,37,8,4,4,0,117,0,21,132,167,117,72,28,10,0,556,0,9,49,109,91,45,26,3,5,334,6,37,62,86,99,38,22,0,0,359
801011007,13,30,54,63,45,36,16,5,0,260,0,0,3,0,6,17,3,4,0,38,4,0,10,10,16,19,13,9,6,81,18,93,304,329,248,199,70,22,4,1287,0,0,23,63,36,15,5,0,0,138,0,0,17,27,21,13,15,0,0,101,0,26,116,130,65,64,31,7,3,435,0,11,39,40,44,51,21,3,4,209,6,29,46,54,25,17,9,3,0,200,3,0,4,5,0,3,0,4,0,28,0,4,3,5,13,13,10,0,0,50,9,27,57,61,42,38,23,8,0,272,0,0,3,3,5,0,0,0,4,16,12,15,17,37,33,34,23,9,9,189,25,86,267,361,244,219,121,25,13,1363,0,5,39,54,56,22,12,4,0,187,0,3,19,33,38,18,22,6,0,137,0,29,137,128,96,61,51,8,5,512,0,11,39,45,51,50,29,8,4,237,9,21,40,53,43,32,16,7,0,225
801011008,10,30,45,44,48,30,8,0,0,215,0,5,7,13,17,13,9,4,0,65,10,3,24,16,13,20,16,15,4,126,21,81,298,245,257,156,66,33,8,1161,0,0,53,48,37,15,11,6,0,165,0,0,7,22,19,17,6,0,0,78,0,29,106,104,74,63,28,5,0,410,0,3,33,33,36,29,14,4,0,154,3,12,34,37,25,34,12,0,0,153,0,0,4,9,3,8,0,0,0,18,0,0,7,6,8,14,0,0,0,46,8,15,44,43,33,53,18,0,0,220,0,0,0,4,4,5,4,0,0,13,10,10,18,14,18,27,25,9,4,134,11,64,262,268,221,206,101,25,7,1170,0,0,59,65,39,27,9,5,0,213,0,0,17,20,19,18,17,0,0,88,0,34,116,120,71,65,38,11,4,461,0,20,32,44,26,47,30,3,0,209,3,15,27,33,30,35,18,6,0,162
801011009,7,16,34,38,34,35,5,0,0,167,0,0,0,5,5,14,10,0,0,32,11,5,18,21,26,19,13,11,5,132,17,46,173,194,187,175,70,13,8,876,0,0,13,32,18,15,4,3,0,95,0,0,9,14,15,19,10,0,0,65,0,9,63,67,52,43,29,0,0,267,0,4,27,36,39,39,20,8,0,174,4,18,32,27,22,5,7,0,0,122,0,3,3,9,0,0,8,0,0,21,0,0,0,5,5,7,12,0,0,33,3,18,36,38,27,17,27,3,0,171,0,0,0,5,0,0,0,0,0,12,8,9,9,7,14,11,20,4,0,77,8,38,158,199,160,143,114,26,3,859,0,0,28,36,26,24,18,4,0,129,0,4,13,21,16,22,6,0,0,86,0,23,69,80,69,38,41,13,0,334,0,4,25,35,45,30,22,13,0,171,4,18,32,27,21,16,9,5,0,138
801011010,7,7,22,20,26,9,7,0,0,101,0,4,0,6,0,8,0,0,0,15,3,3,4,3,3,11,0,0,0,19,3,23,90,101,102,115,32,10,0,491,0,0,9,8,3,11,3,4,0,43,0,0,3,12,11,13,6,0,0,47,0,10,31,42,40,36,28,6,0,190,0,4,12,30,26,23,14,3,0,109,4,3,12,18,11,11,0,0,0,63,0,0,0,3,3,0,0,0,0,11,0,0,3,0,0,7,7,0,0,18,3,4,16,23,17,17,7,0,0,90,0,0,0,0,0,0,0,0,0,6,7,5,3,11,7,13,9,4,0,50,10,22,71,123,108,108,73,22,0,533,0,0,9,9,9,11,5,0,0,55,0,0,10,5,15,12,12,0,0,47,0,0,27,55,45,36,31,5,0,209,0,0,11,27,32,22,16,9,0,115,0,13,14,19,16,10,0,0,0,71
