SA2_CODE_2021,C21_F_CL_C_I_II_15_19,C21_F_CL_C_I_II_20_24,C21_F_CL_C_I_II_25_34,C21_F_CL_C_I_II_35_44,C21_F_CL_C_I_II_45_54,C21_F_CL_C_I_II_55_64,C21_F_CL_C_I_II_65_74,C21_F_CL_C_I_II_75_84,C21_F_CL_C_I_II_85over,C21_F_CL_C_I_II_Tot,C21_F_CL_CL_nfd_15_19,C21_F_CL_CL_nfd_20_24,C21_F_CL_CL_nfd_25_34,C21_F_CL_CL_nfd_35_44,C21_F_CL_CL_nfd_45_54,C21_F_CL_CL_nfd_55_64,C21_F_CL_CL_nfd_65_74,C21_F_CL_CL_nfd_75_84,C21_F_CL_CL_nfd_85over,C21_F_CL_CL_nfd_Tot,C21_F_CL_Tot_15_19,C21_F_CL_Tot_20_24,C21_F_CL_Tot_25_34,C21_F_CL_Tot_35_44,C21_F_CL_Tot_45_54,C21_F_CL_Tot_55_64,C21_F_CL_Tot_65_74,C21_F_CL_Tot_75_84,C21_F_CL_Tot_85over,C21_F_CL_Tot_Tot,C21_F_LE_ID_15_19,C21_F_LE_ID_20_24,C21_F_LE_ID_25_34,C21_F_LE_ID_35_44,C21_F_LE_ID_45_54,C21_F_LE_ID_55_64,C21_F_LE_ID_65_74,C21_F_LE_ID_75_84,C21_F_LE_ID_85over,C21_F_LE_ID_Tot,C21_F_LE_NS_15_19,C21_F_LE_NS_20_24,C21_F_LE_NS_25_34,C21_F_LE_NS_35_44,C21_F_LE_NS_45_54,C21_F_LE_NS_55_64,C21_F_LE_NS_65_74,C21_F_LE_NS_75_84,C21_F_LE_NS_85over,C21_F_LE_NS_Tot,C21_F_Tot_15_19_yrs,C21_F_Tot_20_24_yrs,C21_F_Tot_25_34_yrs,C21_F_Tot_35_44_yrs,C21_F_Tot_45_54_yrs,C21_F_Tot_55_64_yrs,C21_F_Tot_65_74_yrs,C21_F_Tot_75_84_yrs,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_Post_Deg_15_19_yrs,C11_P_Post_Deg_20_24_yrs,C11_P_Post_Deg_25_34_yrs,C11_P_Post_Deg_35_44_yrs,C11_P_Post_Deg_45_54_yrs,C11_P_Post_Deg_55_64_yrs,C11_P_Post_Deg_65_74_yrs,C11_P_Post_Deg_75_84_yrs,C11_P_Post_Deg_85over,C11_P_Post_Deg_Tot,C11_P_GrDip_GrCe_15_19,C11_P_GrDip_GrCe_20_24,C11_P_GrDip_GrCe_25_34,C11_P_GrDip_GrCe_35_44,C11_P_GrDip_GrCe_45_54,C11_P_GrDip_GrCe_55_64,C11_P_GrDip_GrCe_65_74,C11_P_GrDip_GrCe_75_84,C11_P_GrDip_GrCe_85over,C11_P_GrDip_GrCe_Tot,C11_P_BD_15_19,C11_P_BD_20_24,C11_P_BD_25_34,C11_P_BD_35_44,C11_P_BD_45_54,C11_P_BD_55_64,C11_P_BD_65_74,C11_P_BD_75_84,C11_P_BD_85over,C11_P_BD_Tot,C11_P_AdD_DL_15_19,C11_P_AdD_DL_20_24,C11_P_AdD_DL_25_34,C11_P_AdD_DL_35_44,C11_P_AdD_DL_45_54,C11_P_AdD_DL_55_64,C11_P_AdD_DL_65_74,C11_P_AdD_DL_75_84,C11_P_AdD_DL_85over,C11_P_AdD_DL_Tot,C11_P_CL_C_III_IV_15_19,C11_P_CL_C_III_IV_20_24,C11_P_CL_C_III_IV_25_34,C11_P_CL_C_III_IV_35_44,C11_P_CL_C_III_IV_45_54,C11_P_CL_C_III_IV_55_64,C11_P_CL_C_III_IV_65_74,C11_P_CL_C_III_IV_75_84,C11_P_CL_C_III_IV_85over,C11_P_CL_C_III_IV_Tot,C11_P_CL_C_I_II_15_19,C11_P_CL_C_I_II_20_24,C11_P_CL_C_I_II_25_34,C11_P_CL_C_I_II_35_44,C11_P_CL_C_I_II_45_54,C11_P_CL_C_I_II_55_64,C11_P_CL_C_I_II_65_74,C11_P_CL_C_I_II_75_84,C11_P_CL_C_I_II_85over,C11_P_CL_C_I_II_Tot,C11_P_CL_CL_nfd_15_19,C11_P_CL_CL_nfd_20_24,C11_P_CL_CL_nfd_25_34,C11_P_CL_CL_nfd_35_44,C11_P_CL_CL_nfd_45_54,C11_P_CL_CL_nfd_55_64,C11_P_CL_CL_nfd_65_74,C11_P_CL_CL_nfd_75_84,C11_P_CL_CL_nfd_85over,C11_P_CL_CL_nfd_Tot,C11_P_CL_Tot_15_19,C11_P_CL_Tot_20_24,C11_P_CL_Tot_25_34,C11_P_CL_Tot_35_44,C11_P_CL_Tot_45_54,C11_P_CL_Tot_55_64,C11_P_CL_Tot_65_74,C11_P_CL_Tot_75_84,C11_P_CL_Tot_85over,C11_P_CL_Tot_Tot,C11_P_LE_ID_15_19,C11_P_LE_ID_20_24,C11_P_LE_ID_25_34,C11_P_LE_ID_35_44,C11_P_LE_ID_45_54,C11_P_LE_ID_55_64,C11_P_LE_ID_65_74,C11_P_LE_ID_75_84,C11_P_LE_ID_85over,C11_P_LE_ID_Tot,C11_P_LE_NS_15_19,C11_P_LE_NS_20_24,C11_P_LE_NS_25_34,C11_P_LE_NS_35_44,C11_P_LE_NS_45_54,C11_P_LE_NS_55_64,C11_P_LE_NS_65_74,C11_P_LE_NS_75_84,C11_P_LE_NS_85over,C11_P_LE_NS_Tot,C11_P_Tot_15_19_yrs,C11_P_Tot_20_24_yrs,C11_P_Tot_25_34_yrs,C11_P_Tot_35_44_yrs,C11_P_Tot_45_54_yrs,C11_P_Tot_55_64_yrs,C11_P_Tot_65_74_yrs,C11_P_Tot_75_84_yrs,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_Post_Deg_15_19_yrs,C16_P_Post_Deg_20_24_yrs,C16_P_Post_Deg_25_34_yrs,C16_P_Post_Deg_35_44_yrs,C16_P_Post_Deg_45_54_yrs,C16_P_Post_Deg_55_64_yrs,C16_P_Post_Deg_65_74_yrs,C16_P_Post_Deg_75_84_yrs,C16_P_Post_Deg_85over,C16_P_Post_Deg_Tot,C16_P_GrDip_GrCe_15_19,C16_P_GrDip_GrCe_20_24,C16_P_GrDip_GrCe_25_34,C16_P_GrDip_GrCe_35_44,C16_P_GrDip_GrCe_45_54,C16_P_GrDip_GrCe_55_64,C16_P_GrDip_GrCe_65_74,C16_P_GrDip_GrCe_75_84,C16_P_GrDip_GrCe_85over,C16_P_GrDip_GrCe_Tot,C16_P_BD_15_19,C16_P_BD_20_24,C16_P_BD_25_34,C16_P_BD_35_44,C16_P_BD_45_54,C16_P_BD_55_64,C16_P_BD_65_74,C16_P_BD_75_84,C16_P_BD_85over,C16_P_BD_Tot
801011001,0,0,0,0,0,0,0,3,0,7,0,0,3,0,0,0,7,6,0,16,0,13,7,11,5,13,8,7,0,61,0,0,0,0,0,0,0,0,5,5,3,4,0,3,0,5,13,10,10,46,6,34,112,175,161,154,117,73,23,848,0,0,41,72,95,64,52,9,4,344,0,4,10,35,27,32,13,0,0,129,0,50,97,105,115,75,53,29,8,529,4,7,22,16,37,29,23,17,5,164,0,12,26,14,14,13,16,20,3,117,5,0,0,0,0,0,3,0,0,11,0,3,0,0,3,4,10,0,0,25,4,20,29,21,20,15,24,22,3,150,0,5,0,8,6,7,7,0,0,29,14,12,15,13,26,25,30,38,43,216,25,92,211,274,321,250,207,122,58,1557,0,0,32,80,103,71,64,20,11,375,0,0,15,30,39,36,23,10,0,146,0,34,90,114,106,97,61,31,9,538
801011002,0,10,10,4,3,0,0,4,0,32,0,0,7,6,5,7,6,6,10,52,8,59,82,38,40,28,18,16,14,295,0,0,13,0,4,4,0,5,0,24,4,35,94,31,17,17,8,13,12,233,16,475,1437,491,223,147,116,95,56,3060,0,14,242,76,48,22,21,8,3,439,0,13,58,34,22,15,7,3,0,150,0,193,510,145,73,49,34,27,11,1036,5,40,79,49,26,28,22,12,3,265,11,67,112,42,33,19,11,14,6,306,5,12,19,9,6,0,0,4,0,52,0,10,13,5,4,9,8,8,0,47,14,88,141,51,32,28,19,19,6,400,0,3,13,10,12,3,3,0,0,47,45,118,184,62,50,33,23,46,46,606,68,468,1221,419,261,183,127,120,69,2939,0,32,465,210,65,53,22,15,15,880,0,13,90,31,24,19,14,0,0,187,0,384,806,253,99,67,45,29,23,1708
801011003,3,8,0,0,0,0,0,0,0,18,3,0,4,3,0,11,7,3,6,41,30,89,64,33,29,27,23,11,12,312,0,4,6,3,0,0,3,0,0,21,20,30,46,11,8,13,13,9,17,165,57,417,877,465,245,215,175,95,51,2597,0,24,245,117,97,81,32,7,9,610,0,4,67,35,30,29,8,3,0,187,5,307,605,188,156,100,49,18,6,1438,3,68,96,61,38,43,21,18,6,355,22,83,87,36,34,27,13,16,8,325,10,24,7,0,3,4,0,0,0,43,3,14,5,5,11,8,3,0,0,52,37,116,101,43,42,36,22,14,8,415,3,8,22,10,4,17,12,5,3,85,173,383,151,43,30,32,13,47,61,935,224,914,1293,495,403,340,155,117,93,4036,0,23,345,207,105,88,47,20,3,840,0,11,94,32,44,38,32,4,0,258,4,389,725,253,125,141,72,39,13,1765
801011004,4,3,3,6,5,0,0,0,0,23,0,0,0,9,5,3,11,5,0,31,8,13,59,57,49,24,21,10,0,238,0,0,4,0,0,0,4,0,0,8,0,9,15,11,12,7,15,3,5,72,10,33,190,207,142,94,72,24,6,781,0,0,13,18,16,10,7,0,0,72,0,0,14,19,5,7,3,0,0,43,0,17,90,69,43,36,8,0,0,259,0,13,47,41,37,25,15,5,0,185,3,25,126,102,53,52,22,8,4,403,8,7,12,5,3,6,0,0,0,42,0,4,11,10,3,12,6,0,0,52,8,40,151,119,59,75,27,7,5,493,5,0,3,9,8,13,7,3,0,49,27,26,42,35,28,25,9,4,5,210,44,89,354,312,199,190,88,26,15,1318,0,0,26,30,12,9,7,5,0,91,0,0,11,14,6,10,4,3,0,44,0,16,85,79,43,42,22,5,0,291
801011005,0,0,3,0,0,4,8,3,0,18,0,0,0,4,0,0,8,0,3,21,3,15,24,12,5,19,16,5,4,110,0,0,5,0,0,0,0,0,0,10,0,0,12,10,3,9,6,9,5,56,7,28,195,222,208,161,150,77,21,1059,0,3,64,123,72,77,33,11,4,392,0,3,19,52,34,33,11,0,0,159,0,36,180,156,111,90,63,22,0,669,0,13,24,28,34,22,37,9,3,169,5,16,36,41,27,19,19,14,0,179,3,8,8,6,0,0,0,0,0,24,0,0,5,7,7,5,4,5,0,32,8,26,40,51,29,30,27,18,3,233,0,0,7,8,5,8,13,4,0,44,7,9,19,13,8,13,13,21,13,109,17,81,361,426,299,273,202,86,25,1774,0,0,58,110,102,74,52,30,0,432,0,0,14,39,33,25,23,0,0,145,0,28,127,172,117,92,62,40,9,648
801011006,6,9,11,14,9,6,7,0,0,56,0,0,4,13,23,20,20,6,0,83,17,44,80,114,135,60,46,11,5,496,0,0,6,4,4,0,0,0,0,11,12,9,14,23,22,24,3,9,0,123,34,85,345,520,449,226,119,38,5,1829,0,0,73,77,62,23,10,3,0,246,0,0,37,57,24,14,6,0,0,142,0,40,337,242,122,66,23,5,0,827,0,31,168,183,113,74,12,3,0,598,8,69,229,234,109,75,35,13,4,778,6,11,23,20,10,0,0,0,0,74,0,0,16,25,20,19,7,0,0,91,15,84,266,283,143,99,34,14,4,947,0,8,14,15,15,11,14,0,0,78,45,24,39,50,28,13,13,13,0,227,66,194,938,914,496,303,116,40,10,3076,0,0,70,107,74,34,13,8,0,306,0,0,37,61,25,20,11,0,0,154,0,46,241,275,145,80,41,9,4,846
801011007,3,3,4,3,6,3,5,0,0,28,0,0,5,7,11,16,13,3,0,49,10,24,56,59,59,50,24,14,3,299,0,0,6,4,0,3,3,0,0,17,9,3,3,15,6,16,14,7,0,80,26,73,300,335,303,222,152,46,8,1471,0,7,57,83,60,32,16,6,0,265,0,0,23,57,43,33,4,0,0,162,0,52,235,221,124,135,35,9,0,807,0,21,91,101,98,86,25,6,3,437,9,60,137,150,112,83,47,12,0,597,8,10,13,4,0,8,0,0,0,57,0,0,0,15,17,10,10,0,0,60,17,66,153,180,132,111,58,6,0,714,0,4,9,16,8,19,7,4,0,70,14,8,24,21,32,32,17,15,8,171,35,161,588,681,493,450,157,48,14,2630,0,0,36,114,91,46,21,4,0,317,0,0,20,39,33,31,26,0,0,158,0,41,211,220,124,105,70,12,3,783
801011008,3,4,9,4,7,3,6,0,0,28,0,0,0,4,3,13,11,0,0,35,6,23,31,38,42,50,32,10,0,224,0,0,0,0,0,0,0,0,0,9,0,0,17,13,12,12,14,3,4,82,11,78,273,304,216,221,137,44,11,1287,0,3,88,74,68,50,15,6,6,306,0,4,32,29,36,33,6,0,0,148,0,62,230,172,153,85,40,7,4,771,5,23,51,47,88,43,17,11,0,287,16,58,89,85,91,58,32,17,0,441,0,4,8,6,10,5,7,0,0,44,3,9,6,16,6,17,3,0,0,62,19,71,106,108,112,76,36,19,0,549,0,4,14,20,19,13,9,9,0,94,27,17,55,29,33,34,16,21,4,233,54,188,573,485,515,341,147,74,15,2390,0,5,85,94,68,52,25,9,4,336,0,4,16,37,31,31,19,0,0,139,0,64,203,171,144,126,54,25,3,793
801011009,3,0,0,9,0,4,0,3,0,23,0,4,0,0,8,8,17,9,0,42,14,20,34,38,33,28,29,13,0,207,0,3,0,0,0,0,0,0,0,7,4,4,8,11,12,7,14,3,3,58,20,60,169,221,194,150,129,46,3,993,0,0,21,28,34,45,16,8,0,150,0,0,11,19,35,28,15,0,0,99,0,27,121,108,91,90,54,4,0,490,0,16,44,86,57,51,24,0,0,276,4,28,64,85,84,65,25,12,7,372,4,3,9,5,3,3,0,4,0,33,0,0,4,3,6,19,5,0,0,38,12,38,75,96,93,86,34,9,7,446,0,0,0,6,5,11,19,4,0,50,24,17,32,49,47,39,36,13,4,272,40,101,310,395,366,353,187,34,14,1794,0,0,21,62,32,38,23,4,0,189,0,0,13,25,17,32,15,0,0,106,0,18,107,114,89,70,76,13,0,491
801011010,0,0,0,0,4,0,3,0,0,11,0,0,0,0,3,3,7,4,0,21,5,8,10,20,25,12,13,5,0,102,0,0,0,4,0,0,0,0,0,8,0,0,6,3,0,3,11,4,0,22,5,17,68,129,127,98,90,28,3,553,0,0,11,20,24,21,13,4,0,95,0,0,4,9,14,23,8,0,0,64,0,9,52,78,59,84,27,7,4,327,0,10,38,36,36,53,18,4,0,186,0,23,44,44,48,33,10,3,0,211,3,0,10,0,0,0,0,0,0,16,3,0,5,3,10,8,0,0,0,32,5,22,59,50,58,45,14,3,0,259,0,0,0,7,0,11,5,0,0,29,7,0,4,7,12,8,4,0,0,51,17,51,168,211,203,246,85,22,3,1007,0,0,14,20,29,24,18,5,0,111,0,0,4,17,16,16,18,0,0,72,0,12,49,74,62,66,44,8,0,320
