SA2_CODE_2021,C16_P_AdD_DL_15_19,C16_P_AdD_DL_20_24,C16_P_AdD_DL_25_34,C16_P_AdD_DL_35_44,C16_P_AdD_DL_45_54,C16_P_AdD_DL_55_64,C16_P_AdD_DL_65_74,C16_P_AdD_DL_75_84,C16_P_AdD_DL_85over,C16_P_AdD_DL_Tot,C16_P_CL_C_III_IV_15_19,C16_P_CL_C_III_IV_20_24,C16_P_CL_C_III_IV_25_34,C16_P_CL_C_III_IV_35_44,C16_P_CL_C_III_IV_45_54,C16_P_CL_C_III_IV_55_64,C16_P_CL_C_III_IV_65_74,C16_P_CL_C_III_IV_75_84,C16_P_CL_C_III_IV_85over,C16_P_CL_C_III_IV_Tot,C16_P_CL_C_I_II_15_19,C16_P_CL_C_I_II_20_24,C16_P_CL_C_I_II_25_34,C16_P_CL_C_I_II_35_44,C16_P_CL_C_I_II_45_54,C16_P_CL_C_I_II_55_64,C16_P_CL_C_I_II_65_74,C16_P_CL_C_I_II_75_84,C16_P_CL_C_I_II_85over,C16_P_CL_C_I_II_Tot,C16_P_CL_CL_nfd_15_19,C16_P_CL_CL_nfd_20_24,C16_P_CL_CL_nfd_25_34,C16_P_CL_CL_nfd_35_44,C16_P_CL_CL_nfd_45_54,C16_P_CL_CL_nfd_55_64,C16_P_CL_CL_nfd_65_74,C16_P_CL_CL_nfd_75_84,C16_P_CL_CL_nfd_85over,C16_P_CL_CL_nfd_Tot,C16_P_CL_Tot_15_19,C16_P_CL_Tot_20_24,C16_P_CL_Tot_25_34,C16_P_CL_Tot_35_44,C16_P_CL_Tot_45_54,C16_P_CL_Tot_55_64,C16_P_CL_Tot_65_74,C16_P_CL_Tot_75_84,C16_P_CL_Tot_85over,C16_P_CL_Tot_Tot,C16_P_LE_ID_15_19,C16_P_LE_ID_20_24,C16_P_LE_ID_25_34,C16_P_LE_ID_35_44,C16_P_LE_ID_45_54,C16_P_LE_ID_55_64,C16_P_LE_ID_65_74,C16_P_LE_ID_75_84,C16_P_LE_ID_85over,C16_P_LE_ID_Tot,C16_P_LE_NS_15_19,C16_P_LE_NS_20_24,C16_P_LE_NS_25_34,C16_P_LE_NS_35_44,C16_P_LE_NS_45_54,C16_P_LE_NS_55_64,C16_P_LE_NS_65_74,C16_P_LE_NS_75_84,C16_P_LE_NS_85over,C16_P_LE_NS_Tot,C16_P_Tot_15_19_yrs,C16_P_Tot_20_24_yrs,C16_P_Tot_25_34_yrs,C16_P_Tot_35_44_yrs,C16_P_Tot_45_54_yrs,C16_P_Tot_55_64_yrs,C16_P_Tot_65_74_yrs,C16_P_Tot_75_84_yrs,C16_P_Tot_85over,C16_P_Tot_Tot,C21_P_Post_Deg_15_19_yrs,C21_P_Post_Deg_20_24_yrs,C21_P_Post_Deg_25_34_yrs,C21_P_Post_Deg_35_44_yrs,C21_P_Post_Deg_45_54_yrs,C21_P_Post_Deg_55_64_yrs,C21_P_Post_Deg_65_74_yrs,C21_P_Post_Deg_75_84_yrs,C21_P_Post_Deg_85over,C21_P_Post_Deg_Tot,C21_P_GrDip_GrCe_15_19,C21_P_GrDip_GrCe_20_24,C21_P_GrDip_GrCe_25_34,C21_P_GrDip_GrCe_35_44,C21_P_GrDip_GrCe_45_54,C21_P_GrDip_GrCe_55_64,C21_P_GrDip_GrCe_65_74,C21_P_GrDip_GrCe_75_84,C21_P_GrDip_GrCe_85over,C21_P_GrDip_GrCe_Tot,C21_P_BD_15_19,C21_P_BD_20_24,C21_P_BD_25_34,C21_P_BD_35_44,C21_P_BD_45_54,C21_P_BD_55_64,C21_P_BD_65_74,C21_P_BD_75_84,C21_P_BD_85over,C21_P_BD_Tot,C21_P_AdD_DL_15_19,C21_P_AdD_DL_20_24,C21_P_AdD_DL_25_34,C21_P_AdD_DL_35_44,C21_P_AdD_DL_45_54,C21_P_AdD_DL_55_64,C21_P_AdD_DL_65_74,C21_P_AdD_DL_75_84,C21_P_AdD_DL_85over,C21_P_AdD_DL_Tot,C21_P_CL_C_III_IV_15_19,C21_P_CL_C_III_IV_20_24,C21_P_CL_C_III_IV_25_34,C21_P_CL_C_III_IV_35_44,C21_P_CL_C_III_IV_45_54,C21_P_CL_C_III_IV_55_64,C21_P_CL_C_III_IV_65_74,C21_P_CL_C_III_IV_75_84,C21_P_CL_C_III_IV_85over,C21_P_CL_C_III_IV_Tot,C21_P_CL_C_I_II_15_19,C21_P_CL_C_I_II_20_24,C21_P_CL_C_I_II_25_34,C21_P_CL_C_I_II_35_44,C21_P_CL_C_I_II_45_54,C21_P_CL_C_I_II_55_64,C21_P_CL_C_I_II_65_74,C21_P_CL_C_I_II_75_84,C21_P_CL_C_I_II_85over,C21_P_CL_C_I_II_Tot,C21_P_CL_CL_nfd_15_19,C21_P_CL_CL_nfd_20_24,C21_P_CL_CL_nfd_25_34,C21_P_CL_CL_nfd_35_44,C21_P_CL_CL_nfd_45_54,C21_P_CL_CL_nfd_55_64,C21_P_CL_CL_nfd_65_74,C21_P_CL_CL_nfd_75_84,C21_P_CL_CL_nfd_85over,C21_P_CL_CL_nfd_Tot,C21_P_CL_Tot_15_19,C21_P_CL_Tot_20_24,C21_P_CL_Tot_25_34,C21_P_CL_Tot_35_44,C21_P_CL_Tot_45_54,C21_P_CL_Tot_55_64,C21_P_CL_Tot_65_74,C21_P_CL_Tot_75_84,C21_P_CL_Tot_85over,C21_P_CL_Tot_Tot,C21_P_LE_ID_15_19,C21_P_LE_ID_20_24,C21_P_LE_ID_25_34,C21_P_LE_ID_35_44,C21_P_LE_ID_45_54,C21_P_LE_ID_55_64,C21_P_LE_ID_65_74,C21_P_LE_ID_75_84,C21_P_LE_ID_85over,C21_P_LE_ID_Tot,C21_P_LE_NS_15_19,C21_P_LE_NS_20_24,C21_P_LE_NS_25_34,C21_P_LE_NS_35_44,C21_P_LE_NS_45_54,C21_P_LE_NS_55_64,C21_P_LE_NS_65_74,C21_P_LE_NS_75_84,C21_P_LE_NS_85over,C21_P_LE_NS_Tot,C21_P_Tot_15_19_yrs,C21_P_Tot_20_24_yrs,C21_P_Tot_25_34_yrs,C21_P_Tot_35_44_yrs,C21_P_Tot_45_54_yrs,C21_P_Tot_55_64_yrs,C21_P_Tot_65_74_yrs,C21_P_Tot_75_84_yrs,C21_P_Tot_85over,C21_P_Tot_Tot
801011001,0,6,11,26,23,25,29,13,4,147,0,4,20,18,19,8,13,9,0,94,3,5,5,0,0,0,0,0,0,17,0,0,0,3,0,3,3,3,0,20,3,10,29,17,22,14,22,18,0,131,0,0,0,6,0,0,5,9,0,22,9,5,7,16,23,11,15,15,0,93,9,58,184,285,315,245,217,104,32,1459,0,3,49,110,98,102,64,45,11,485,0,0,6,31,39,30,24,15,0,145,0,34,111,108,116,113,64,49,11,608,0,3,18,30,21,35,24,14,3,161,0,20,27,21,13,17,8,14,7,124,0,4,0,0,0,0,0,3,0,15,0,4,5,0,0,0,7,7,3,25,3,25,29,22,19,22,10,18,7,160,0,0,0,3,4,0,7,0,5,8,3,12,10,15,5,10,21,9,10,83,8,77,231,322,302,306,207,149,46,1652
801011002,5,76,153,74,51,24,21,16,20,441,10,90,148,74,42,30,18,20,5,433,3,12,15,11,3,0,0,0,0,46,0,9,18,15,7,13,12,5,4,83,16,110,181,99,54,45,32,23,6,557,0,7,13,7,4,3,0,0,0,49,11,102,186,98,58,42,36,26,29,592,37,724,1897,772,359,252,174,116,89,4419,0,53,972,301,115,67,38,26,14,1589,0,15,110,67,38,25,21,18,5,296,0,461,1141,363,133,84,75,55,29,2338,7,99,212,130,60,50,29,28,21,642,8,99,166,100,65,38,23,19,14,538,4,16,25,13,9,0,3,4,0,68,0,0,11,11,10,7,14,9,14,76,9,119,208,126,85,43,36,32,28,687,0,10,20,3,3,7,4,5,0,50,12,71,180,73,38,29,16,20,24,458,29,825,2837,1066,479,308,214,179,112,6054
801011003,11,78,127,88,43,56,38,12,6,454,23,97,122,63,30,23,19,12,3,395,6,11,15,3,5,0,0,0,0,46,4,5,15,5,6,12,5,4,0,51,36,118,151,71,36,30,25,16,6,495,3,4,12,8,5,6,4,0,0,48,65,146,107,38,23,23,30,37,80,559,111,767,1569,702,378,390,256,132,108,4420,0,23,507,340,156,107,86,30,3,1256,0,14,91,66,38,42,29,16,6,301,0,341,751,299,168,133,110,71,33,1918,3,89,127,84,56,49,47,17,18,492,29,127,145,64,50,29,25,15,7,493,9,19,3,0,0,0,6,3,0,42,4,5,12,3,6,9,14,9,6,68,46,148,162,70,50,46,42,26,15,598,0,10,5,8,0,3,5,4,0,40,25,50,89,37,18,26,24,17,29,309,80,672,1739,896,495,401,349,186,95,4918
801011004,3,9,49,60,42,26,20,7,3,223,0,36,126,103,65,52,35,14,5,435,0,7,16,13,3,0,0,0,3,34,0,0,8,12,7,15,12,6,3,58,3,47,147,132,71,67,44,14,7,538,0,0,4,0,4,0,4,0,0,12,17,16,38,27,23,27,30,22,5,204,24,90,362,341,198,179,129,53,18,1395,0,0,40,37,23,19,8,6,0,130,0,0,9,16,14,7,8,4,0,51,0,12,94,95,46,41,25,9,3,336,0,7,44,79,51,34,31,11,0,257,12,28,124,114,97,39,43,16,3,474,6,5,11,10,6,0,0,0,0,41,0,0,9,9,9,10,11,4,0,56,12,32,138,128,112,56,56,23,8,565,0,0,0,0,3,0,4,0,0,13,10,8,36,20,28,9,18,4,5,147,26,59,367,380,278,174,149,53,12,1506
801011005,0,8,17,31,28,22,20,23,10,166,8,13,34,38,32,16,23,12,0,175,0,0,0,0,3,0,0,0,0,12,0,5,0,11,4,7,14,3,0,38,7,16,40,41,40,21,35,21,7,224,0,0,0,0,0,0,4,0,0,12,4,3,16,22,15,21,17,12,0,111,12,56,272,418,342,262,212,127,25,1735,0,0,64,126,134,83,68,32,10,512,0,0,19,24,44,23,28,13,0,157,0,20,144,167,153,92,75,60,11,721,0,11,28,35,31,37,23,21,10,192,3,23,36,32,23,25,19,21,3,181,0,3,7,0,4,3,8,3,0,29,0,0,0,0,0,4,10,0,3,25,7,27,48,39,29,35,25,23,8,230,0,0,5,0,0,0,0,3,0,9,0,8,21,18,12,15,9,12,8,104,8,53,332,417,403,282,243,155,41,1935
801011006,0,34,114,193,129,88,33,11,5,602,12,63,195,221,174,87,35,21,3,817,9,11,17,18,9,3,0,0,0,64,0,0,13,24,17,17,13,6,0,100,11,76,226,261,209,107,55,21,3,977,0,0,7,8,9,9,8,5,0,41,24,22,33,64,39,35,25,13,0,253,45,177,717,966,626,373,191,69,18,3175,0,4,69,137,86,54,25,4,5,381,0,5,22,62,50,29,17,3,0,196,0,45,216,281,202,110,60,20,0,933,0,19,87,190,169,94,48,11,4,622,20,81,189,219,224,109,56,19,9,914,18,13,17,21,11,7,8,0,0,97,0,0,11,21,34,26,26,7,0,125,40,94,208,258,269,143,87,28,5,1132,0,0,7,7,4,3,3,0,0,27,27,19,31,42,47,38,13,12,5,235,71,179,642,969,838,472,249,89,19,3528
801011007,0,21,74,86,80,90,44,3,4,408,10,41,129,135,103,75,59,13,3,569,9,6,10,12,3,5,5,4,0,43,0,3,7,11,19,13,11,3,0,77,22,51,146,153,130,99,75,17,3,694,0,4,6,3,8,3,4,3,4,37,29,34,41,70,61,69,43,19,8,366,48,151,534,694,526,438,291,60,17,2754,0,5,82,100,112,60,29,11,0,398,0,4,30,47,50,30,34,7,0,210,0,47,235,234,176,98,92,22,7,914,4,12,66,93,91,87,67,16,4,436,13,51,155,137,125,102,52,23,7,663,9,6,8,4,8,3,5,0,0,50,0,0,12,14,16,19,18,9,0,87,26,63,170,155,151,126,71,35,9,806,0,0,7,3,0,4,4,0,0,29,18,12,21,29,24,31,17,7,0,164,47,144,610,662,612,435,317,101,14,2951
801011008,0,11,46,52,57,65,32,9,4,285,5,43,80,93,83,81,41,17,3,438,3,4,8,5,9,5,0,0,0,35,4,3,6,13,12,21,7,7,0,74,17,52,100,109,99,104,45,18,4,553,0,0,4,4,4,8,5,0,0,21,13,24,40,33,31,41,32,19,4,234,24,158,499,504,441,432,216,78,19,2365,0,3,111,128,74,62,42,14,0,442,0,0,27,33,35,26,29,9,4,162,0,61,220,205,140,133,72,36,6,864,0,27,47,69,59,82,43,15,0,346,8,46,86,84,83,71,56,25,0,456,7,4,18,3,8,7,5,0,0,54,0,3,4,10,11,14,17,12,0,62,13,52,101,90,101,93,75,36,8,570,0,0,10,0,0,4,0,0,0,18,0,7,35,31,26,19,22,9,8,168,18,151,555,558,436,430,287,115,24,2574
801011009,0,11,47,73,56,61,36,11,4,302,10,32,84,85,64,40,45,18,3,383,4,3,3,9,6,0,8,0,0,32,0,3,8,7,12,9,16,0,0,58,15,42,91,101,78,53,71,19,3,465,0,0,0,4,7,3,0,6,0,19,9,9,16,14,24,20,32,12,3,140,18,72,308,395,313,281,255,66,13,1717,0,3,61,64,52,49,34,13,0,280,0,4,20,23,27,28,16,11,0,124,0,31,126,137,125,77,73,31,0,606,0,11,39,71,76,61,37,14,4,308,8,32,108,96,72,55,46,16,4,439,7,4,0,9,5,7,0,3,0,33,0,4,0,4,15,15,17,9,0,60,17,42,112,107,89,73,69,25,4,532,0,3,4,0,5,0,0,0,0,10,6,7,24,22,21,13,22,10,3,128,26,98,380,427,384,302,254,108,14,1992
801011010,0,4,23,46,36,32,30,8,0,187,8,11,35,48,51,40,25,3,0,218,0,6,0,5,3,0,0,0,0,15,0,5,3,3,3,5,14,0,0,34,8,14,37,55,56,47,33,11,0,271,0,0,0,0,0,0,3,0,0,14,8,6,11,16,14,20,17,8,3,97,18,42,136,230,221,208,176,43,4,1071,0,0,11,22,21,31,21,10,3,122,0,0,11,14,20,13,24,5,0,79,0,9,44,87,77,57,62,18,6,364,0,0,15,49,50,30,32,14,0,198,0,22,47,49,42,42,31,5,0,237,0,5,0,0,3,0,9,0,0,15,0,0,0,4,4,12,8,3,0,36,6,19,49,51,52,51,46,14,0,296,0,0,0,5,0,3,0,0,0,17,0,0,7,16,7,3,9,4,0,53,4,33,141,241,234,195,206,65,9,1136
