SA2_CODE_2021,C11_M_NatPhy_sci_15_19,C11_M_NatPhy_sci_20_24,C11_M_NatPhy_sci_25_34,C11_M_NatPhy_sci_35_44,C11_M_NatPhy_sci_45_54,C11_M_NatPhy_sci_55_64,C11_M_NatPhy_sci_65_74,C11_M_NatPhy_sci_75_84,C11_M_NatPhy_sci_85over,C11_M_NatPhy_sci_Tot,C11_M_InfTec_15_19,C11_M_InfTec_20_24,C11_M_InfTec_25_34,C11_M_InfTec_35_44,C11_M_InfTec_45_54,C11_M_InfTec_55_64,C11_M_InfTec_65_74,C11_M_InfTec_75_84,C11_M_InfTec_85over,C11_M_InfTec_Tot,C11_M_EngRT_15_19,C11_M_EngRT_20_24,C11_M_EngRT_25_34,C11_M_EngRT_35_44,C11_M_EngRT_45_54,C11_M_EngRT_55_64,C11_M_EngRT_65_74,C11_M_EngRT_75_84,C11_M_EngRT_85over,C11_M_EngRT_Tot,C11_M_ArchBuild_15_19,C11_M_ArchBuild_20_24,C11_M_ArchBuild_25_34,C11_M_ArchBuild_35_44,C11_M_ArchBuild_45_54,C11_M_ArchBuild_55_64,C11_M_ArchBuild_65_74,C11_M_ArchBuild_75_84,C11_M_ArchBuild_85over,C11_M_ArchBuild_Tot,C11_M_AgEnv_RS_15_19,C11_M_AgEnv_RS_20_24,C11_M_AgEnv_RS_25_34,C11_M_AgEnv_RS_35_44,C11_M_AgEnv_RS_45_54,C11_M_AgEnv_RS_55_64,C11_M_AgEnv_RS_65_74,C11_M_AgEnv_RS_75_84,C11_M_AgEnv_RS_85over,C11_M_AgEnv_RS_Tot,C11_M_Health_15_19,C11_M_Health_20_24,C11_M_Health_25_34,C11_M_Health_35_44,C11_M_Health_45_54,C11_M_Health_55_64,C11_M_Health_65_74,C11_M_Health_75_84,C11_M_Health_85over,C11_M_Health_Tot,C11_M_Educ_15_19,C11_M_Educ_20_24,C11_M_Educ_25_34,C11_M_Educ_35_44,C11_M_Educ_45_54,C11_M_Educ_55_64,C11_M_Educ_65_74,C11_M_Educ_75_84,C11_M_Educ_85over,C11_M_Educ_Tot,C11_M_MngtCom_15_19,C11_M_MngtCom_20_24,C11_M_MngtCom_25_34,C11_M_MngtCom_35_44,C11_M_MngtCom_45_54,C11_M_MngtCom_55_64,C11_M_MngtCom_65_74,C11_M_MngtCom_75_84,C11_M_MngtCom_85over,C11_M_MngtCom_Tot,C11_M_Soc_cult_15_19,C11_M_Soc_cult_20_24,C11_M_Soc_cult_25_34,C11_M_Soc_cult_35_44,C11_M_Soc_cult_45_54,C11_M_Soc_cult_55_64,C11_M_Soc_cult_65_74,C11_M_Soc_cult_75_84,C11_M_Soc_cult_85over,C11_M_Soc_cult_Tot,C11_M_Creative_art_15_19,C11_M_Creative_art_20_24,C11_M_Creative_art_25_34,C11_M_Creative_art_35_44,C11_M_Creative_art_45_54,C11_M_Creative_art_55_64,C11_M_Creative_art_65_74,C11_M_Creative_art_75_84,C11_M_Creative_art_85over,C11_M_Creative_art_Tot,C11_M_FoodHos_PS_15_19,C11_M_FoodHos_PS_20_24,C11_M_FoodHos_PS_25_34,C11_M_FoodHos_PS_35_44,C11_M_FoodHos_PS_45_54,C11_M_FoodHos_PS_55_64,C11_M_FoodHos_PS_65_74,C11_M_FoodHos_PS_75_84,C11_M_FoodHos_PS_85over,C11_M_FoodHos_PS_Tot,C11_M_MixFld_pr_15_19,C11_M_MixFld_pr_20_24,C11_M_MixFld_pr_25_34,C11_M_MixFld_pr_35_44,C11_M_MixFld_pr_45_54,C11_M_MixFld_pr_55_64,C11_M_MixFld_pr_65_74,C11_M_MixFld_pr_75_84,C11_M_MixFld_pr_85over,C11_M_MixFld_pr_Tot,C11_M_FldStu_ID_15_19,C11_M_FldStu_ID_20_24,C11_M_FldStu_ID_25_34,C11_M_FldStu_ID_35_44,C11_M_FldStu_ID_45_54,C11_M_FldStu_ID_55_64,C11_M_FldStu_ID_65_74,C11_M_FldStu_ID_75_84,C11_M_FldStu_ID_85over,C11_M_FldStu_ID_Tot,C11_M_FldStu_NS_15_19,C11_M_FldStu_NS_20_24,C11_M_FldStu_NS_25_34,C11_M_FldStu_NS_35_44,C11_M_FldStu_NS_45_54,C11_M_FldStu_NS_55_64,C11_M_FldStu_NS_65_74,C11_M_FldStu_NS_75_84,C11_M_FldStu_NS_85over,C11_M_FldStu_NS_Tot,C11_M_Tot_15_19,C11_M_Tot_20_24,C11_M_Tot_25_34,C11_M_Tot_35_44,C11_M_Tot_45_54,C11_M_Tot_55_64,C11_M_Tot_65_74,C11_M_Tot_75_84,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_NatPhy_sci_15_19,C16_M_NatPhy_sci_20_24,C16_M_NatPhy_sci_25_34,C16_M_NatPhy_sci_35_44,C16_M_NatPhy_sci_45_54,C16_M_NatPhy_sci_55_64,C16_M_NatPhy_sci_65_74,C16_M_NatPhy_sci_75_84,C16_M_NatPhy_sci_85over,C16_M_NatPhy_sci_Tot,C16_M_InfTec_15_19,C16_M_InfTec_20_24,C16_M_InfTec_25_34,C16_M_InfTec_35_44,C16_M_InfTec_45_54,C16_M_InfTec_55_64,C16_M_InfTec_65_74,C16_M_InfTec_75_84,C16_M_InfTec_85over,C16_M_InfTec_Tot,C16_M_EngRT_15_19,C16_M_EngRT_20_24,C16_M_EngRT_25_34,C16_M_EngRT_35_44,C16_M_EngRT_45_54,C16_M_EngRT_55_64,C16_M_EngRT_65_74,C16_M_EngRT_75_84,C16_M_EngRT_85over,C16_M_EngRT_Tot,C16_M_ArchBuild_15_19,C16_M_ArchBuild_20_24,C16_M_ArchBuild_25_34,C16_M_ArchBuild_35_44,C16_M_ArchBuild_45_54,C16_M_ArchBuild_55_64,C16_M_ArchBuild_65_74,C16_M_ArchBuild_75_84,C16_M_ArchBuild_85over,C16_M_ArchBuild_Tot,C16_M_AgEnv_RS_15_19,C16_M_AgEnv_RS_20_24,C16_M_AgEnv_RS_25_34,C16_M_AgEnv_RS_35_44,C16_M_AgEnv_RS_45_54,C16_M_AgEnv_RS_55_64,C16_M_AgEnv_RS_65_74,C16_M_AgEnv_RS_75_84,C16_M_AgEnv_RS_85over,C16_M_AgEnv_RS_Tot
801011001,0,3,7,11,28,23,17,9,4,99,0,5,17,19,16,8,4,0,0,66,0,0,14,18,15,17,16,15,4,102,0,3,7,0,4,3,5,4,0,31,0,0,0,5,6,0,4,0,0,26,0,0,0,0,6,7,3,0,0,22,0,4,8,9,5,4,8,6,0,32,0,5,12,20,17,11,11,0,0,83,0,7,18,24,36,36,25,11,3,155,0,5,5,8,3,0,0,0,0,24,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,3,0,0,13,9,3,13,4,10,13,16,20,13,101,10,37,101,131,154,123,109,70,24,753,0,6,0,11,21,20,24,13,3,105,0,6,14,23,14,20,3,0,0,77,0,0,11,8,17,13,15,11,3,87,0,0,4,8,3,0,5,3,0,27,0,0,4,6,3,6,0,0,0,23
801011002,0,11,38,10,18,6,0,0,0,96,0,17,109,37,14,3,4,0,0,188,5,18,63,23,16,16,13,18,3,175,0,11,6,5,4,4,3,0,0,43,0,0,6,3,0,0,4,0,0,18,0,11,23,10,6,3,0,6,0,52,0,0,14,4,9,6,8,5,0,48,3,39,122,34,16,15,4,0,0,246,0,31,83,40,16,6,13,6,0,204,0,5,24,16,3,3,0,0,0,56,0,7,18,3,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,4,0,4,4,5,5,3,0,0,0,22,22,68,112,35,31,15,6,23,12,340,35,228,631,236,153,94,62,58,32,1533,0,32,74,21,13,9,9,3,4,156,5,36,133,77,31,15,4,0,0,303,0,22,90,56,21,13,16,21,10,248,0,13,37,8,3,9,5,0,0,82,0,0,11,5,3,0,0,0,0,19
801011003,0,11,39,21,13,19,5,0,0,113,6,26,114,34,30,9,3,0,0,225,0,17,78,33,33,34,13,12,3,241,0,14,13,12,12,9,5,0,0,62,0,5,7,0,8,3,3,3,0,36,0,11,37,7,10,4,4,5,0,70,4,3,10,6,7,10,3,0,0,48,0,80,126,51,39,27,16,7,4,355,8,33,99,47,29,32,17,8,7,279,0,15,28,5,0,4,0,0,0,54,3,13,12,8,0,0,3,0,0,41,0,5,0,0,0,0,0,0,0,3,0,4,5,4,0,0,0,0,0,23,96,185,84,26,17,18,7,11,18,455,115,437,654,246,200,177,82,57,37,1999,0,26,48,23,16,21,11,5,5,153,5,37,108,67,29,22,3,0,0,272,0,36,101,49,23,35,28,11,5,281,0,13,24,15,3,7,0,0,0,71,0,0,13,3,0,0,5,0,0,26
801011004,0,0,5,5,0,0,0,0,0,15,0,0,20,27,9,7,0,0,0,57,0,4,28,30,21,18,15,5,0,123,0,5,21,15,12,18,3,3,0,82,0,0,4,8,6,5,4,0,0,18,4,0,0,6,0,0,0,0,0,15,0,0,0,3,6,3,7,0,0,18,0,3,20,14,7,17,4,0,0,68,0,0,25,18,14,6,3,0,0,68,0,4,10,4,0,4,0,0,0,25,0,0,10,6,8,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,12,22,14,27,22,16,10,5,3,0,112,25,40,177,154,84,95,54,15,8,655,0,0,3,8,4,0,0,0,0,19,0,0,23,13,9,5,0,0,0,54,0,11,29,35,19,15,18,10,0,135,0,10,29,18,8,13,7,3,0,88,0,0,3,5,0,4,0,0,0,12
801011005,0,0,18,32,33,24,13,5,0,131,0,5,27,32,19,4,0,0,0,86,0,6,7,20,19,15,21,12,0,101,0,8,3,7,5,6,6,9,0,47,0,0,5,10,3,6,4,0,0,26,0,0,4,0,6,3,7,0,0,17,0,0,9,9,10,3,7,4,0,42,0,13,33,26,20,12,11,0,0,113,0,4,34,35,23,38,16,10,0,173,0,3,5,10,3,3,4,0,0,34,0,0,6,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,3,6,9,10,4,5,6,0,54,10,48,169,200,152,119,105,51,5,856,0,0,9,24,27,26,17,11,0,118,3,8,9,26,14,14,0,0,0,70,0,6,8,20,25,10,8,17,0,101,0,0,5,12,13,0,5,6,4,48,0,0,0,11,3,0,0,0,0,20
801011006,0,0,15,23,20,12,5,0,0,78,5,15,61,54,34,13,0,0,0,174,3,18,78,93,51,40,11,5,4,304,0,7,36,49,21,10,6,5,0,132,0,3,5,13,9,9,0,0,0,37,0,0,15,9,13,12,0,3,0,50,0,0,20,22,12,8,0,0,0,61,0,5,81,85,53,30,6,0,0,269,0,4,53,51,30,17,9,0,0,163,0,3,22,12,4,9,0,0,0,57,0,3,20,19,5,0,5,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,5,0,0,0,25,20,12,20,24,15,12,4,6,0,126,30,84,429,464,276,166,57,24,4,1531,0,0,14,26,21,8,9,0,0,77,0,9,29,65,37,15,3,0,0,152,0,3,63,80,64,42,26,7,5,286,0,14,34,35,30,10,7,4,0,129,0,4,11,6,10,9,3,0,0,44
801011007,0,0,8,27,23,17,0,0,0,80,5,4,46,35,19,16,5,0,0,123,0,11,49,74,65,57,29,8,0,295,0,11,37,25,18,24,12,0,0,129,0,0,12,8,7,5,0,0,0,41,0,0,8,9,4,9,0,3,0,25,0,4,7,20,16,11,3,5,0,57,0,10,57,61,35,34,12,0,0,209,0,9,28,43,34,45,8,0,0,169,0,10,20,11,3,4,0,0,0,53,0,8,15,15,7,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,4,10,5,3,0,0,0,22,13,3,18,14,16,17,6,6,0,98,22,72,291,347,247,246,84,26,5,1338,0,0,5,22,30,13,11,4,0,85,0,10,24,34,19,17,8,0,0,110,0,11,42,53,58,54,35,10,3,265,0,5,31,27,27,11,15,0,0,123,0,0,12,16,8,7,0,0,0,45
801011008,0,4,21,20,24,17,0,0,0,88,5,18,46,25,29,10,4,0,0,136,3,13,39,49,56,42,21,12,0,232,0,8,15,11,11,9,11,4,0,77,0,0,7,0,5,0,0,3,0,17,0,0,0,11,9,9,0,0,0,37,0,5,9,7,7,6,5,3,0,42,4,21,41,44,34,32,10,0,0,188,0,12,38,33,37,35,17,6,5,174,0,9,17,10,4,4,0,0,0,41,7,7,10,9,8,3,3,5,0,47,0,3,0,0,0,0,0,0,0,3,0,0,6,3,4,3,7,3,0,18,15,13,29,14,21,16,8,7,0,125,28,108,277,237,260,180,81,43,5,1229,0,0,19,8,21,27,8,3,3,97,6,21,38,22,31,18,3,0,0,141,0,4,29,41,47,51,27,15,3,213,0,11,16,16,15,12,8,7,3,77,0,0,5,9,0,0,4,0,0,22
801011009,0,0,5,7,11,24,7,0,0,64,0,3,13,23,23,3,5,0,0,66,0,3,31,31,37,54,21,10,0,187,0,8,12,27,16,10,7,0,0,81,0,0,3,4,6,4,3,0,0,17,0,0,0,3,0,9,0,0,0,21,0,0,0,11,5,8,11,0,0,29,3,3,20,26,25,18,19,0,0,112,4,3,19,19,28,32,14,3,0,123,0,3,5,8,10,0,5,0,0,28,0,0,0,10,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,13,13,12,20,30,24,18,18,6,0,146,17,54,135,201,186,178,113,21,5,913,0,0,4,10,6,16,20,4,0,58,5,0,15,22,22,12,6,0,0,84,0,4,29,24,30,33,30,12,3,166,4,7,21,23,16,9,11,5,0,99,0,0,3,4,8,0,0,0,0,16
801011010,0,0,0,8,3,18,0,0,0,37,3,0,9,9,12,11,6,0,0,53,0,0,15,21,21,30,10,3,0,110,0,4,8,10,9,9,5,0,0,48,0,0,0,4,0,4,0,0,0,16,0,0,0,0,4,3,4,0,0,7,0,0,0,5,8,11,5,3,0,30,0,0,14,10,15,21,11,0,4,74,0,3,12,20,4,14,8,4,0,66,0,5,0,0,3,0,0,0,0,13,0,0,3,6,5,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,14,5,5,4,3,8,5,0,0,0,33,8,27,81,106,99,131,55,11,3,518,0,0,0,3,4,12,11,0,0,38,0,0,3,13,10,10,6,0,0,49,0,4,15,11,33,26,24,6,0,116,6,6,11,13,13,8,5,4,0,59,0,0,0,3,3,3,4,0,0,14
801011011,0,0,8,10,12,14,10,0,0,55,0,8,20,22,15,9,3,0,0,80,0,6,26,32,33,41,23,0,0,159,0,14,20,17,14,18,7,0,0,95,0,0,4,3,3,5,0,0,0,16,0,0,3,0,3,3,0,0,0,15,0,0,4,7,10,10,9,0,0,40,0,14,33,26,26,29,3,0,0,129,0,12,22,22,26,27,11,3,0,115,0,5,14,9,9,5,0,0,0,39,0,0,6,6,3,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,4,0,0,15,14,10,14,10,9,12,7,3,0,89,17,68,191,166,159,181,77,18,3,872,0,0,7,9,13,7,10,3,0,52,0,0,6,18,15,6,7,4,0,56,0,7,30,30,25,29,25,6,0,162,0,10,33,19,7,17,8,0,4,103,0,0,0,6,6,3,0,0,0,14
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,0,0,13,14,27,15,4,0,80,0,7,27,25,8,10,0,0,0,73,0,0,19,26,16,30,29,13,0,133,0,4,5,8,6,5,8,6,0,45,0,5,4,4,4,4,9,0,0,23,0,0,9,9,6,7,0,0,0,27,0,0,0,8,8,5,11,6,0,39,0,8,24,38,29,28,10,9,5,144,0,8,14,19,29,35,29,8,4,144,0,7,21,5,6,0,3,0,0,42,0,6,6,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,20,9,19,15,15,13,4,4,3,0,86,10,58,147,174,138,156,122,50,14,878,0,3,0,10,17,15,26,7,0,81,0,3,18,24,8,10,4,0,0,71,0,0,15,23,17,16,26,18,8,116,0,0,5,7,7,3,12,3,0,38,0,0,9,5,0,0,5,6,0,21
801011014,0,0,15,14,19,9,8,0,0,61,0,4,20,24,12,6,4,0,0,76,0,12,25,43,33,17,37,13,0,172,0,8,21,16,17,10,11,4,0,88,0,0,7,11,0,7,3,0,0,23,0,0,6,5,0,0,0,0,0,17,0,0,9,9,5,4,0,0,0,27,0,4,25,30,13,16,10,0,0,94,0,5,21,22,15,8,14,3,0,94,0,3,11,7,7,0,0,0,0,28,0,0,8,6,6,4,0,0,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,8,0,9,9,10,12,10,10,4,66,10,41,180,188,140,91,98,32,4,781,0,0,0,8,12,21,4,5,0,57,0,0,15,26,7,5,7,0,0,65,0,5,32,33,35,20,22,17,0,161,0,9,22,12,16,10,19,6,4,93,0,0,6,4,4,3,0,0,0,23
801011015,0,3,15,21,11,7,6,0,0,52,0,6,35,27,12,12,6,0,0,93,0,6,43,48,36,45,23,10,4,217,0,10,23,23,12,19,16,3,0,110,0,0,11,15,3,0,4,0,0,34,0,0,6,5,11,0,6,0,0,24,0,0,4,10,8,19,5,0,0,50,0,6,44,49,24,28,14,7,0,177,0,12,34,32,21,26,16,4,3,146,0,0,15,4,0,5,0,0,0,35,0,10,17,15,0,4,0,3,0,49,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,4,0,18,4,20,20,21,10,21,4,15,13,130,12,73,266,275,154,180,99,56,22,1140,0,0,12,13,5,4,11,3,0,44,3,11,34,20,17,11,5,0,0,98,4,8,43,52,36,36,32,21,5,227,0,5,25,21,19,6,14,4,0,92,0,0,9,10,8,5,4,3,0,32
801011016,0,3,20,32,36,35,7,0,0,138,3,14,63,47,33,32,10,0,0,201,0,20,64,84,76,85,36,19,5,383,0,14,33,23,25,36,15,0,0,152,0,5,9,4,10,14,5,0,0,56,0,0,10,9,7,6,4,0,0,38,0,3,0,3,17,13,12,0,0,51,4,29,76,75,63,68,25,0,0,329,0,16,46,59,53,59,31,4,5,266,0,10,30,11,15,11,0,0,0,76,0,9,12,7,12,7,0,0,0,49,0,0,0,0,0,0,0,0,0,5,0,0,5,0,7,5,10,0,0,21,12,16,20,28,26,28,26,7,0,175,25,146,382,387,374,399,163,44,10,1939,0,8,22,32,24,27,22,5,0,141,0,19,39,50,36,17,20,3,0,190,0,15,64,64,61,85,59,23,11,378,0,13,40,37,19,22,27,8,0,164,0,3,12,15,13,10,6,0,0,56
801011017,0,0,11,7,9,11,10,0,0,45,0,4,20,23,12,4,3,0,0,72,0,8,42,43,44,41,14,14,3,207,0,14,23,24,13,14,8,3,0,108,0,0,6,10,3,3,0,0,0,28,0,3,5,4,0,0,0,0,0,19,0,0,8,13,3,4,8,3,0,42,0,4,26,16,26,9,14,3,3,110,0,4,11,11,19,18,11,3,4,89,0,5,15,5,3,6,0,0,0,45,0,0,8,15,8,0,6,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,9,0,8,18,16,12,13,13,0,88,10,54,183,193,159,137,87,39,10,888,0,0,11,14,7,12,3,4,0,47,0,3,18,28,15,10,3,0,0,74,0,4,36,41,34,36,30,9,7,193,0,8,24,31,18,16,9,4,3,105,0,3,10,9,7,4,0,0,0,35
801011018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,3,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
801011019,0,4,16,21,16,14,9,3,0,77,3,9,74,40,8,8,3,0,0,150,0,19,76,64,40,45,27,6,4,284,0,23,34,20,7,14,12,6,0,116,0,0,20,9,0,4,3,0,0,46,0,0,14,8,9,6,0,0,0,34,0,0,18,19,7,12,0,0,0,61,0,11,89,53,21,21,7,0,0,207,4,6,72,50,25,25,13,5,0,197,0,6,23,3,11,5,0,3,0,49,0,5,18,11,0,8,8,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,4,3,0,20,6,8,21,20,13,7,8,0,0,90,18,96,482,322,163,178,87,20,5,1369,6,4,17,18,15,11,11,3,0,87,5,13,68,66,17,10,3,0,0,179,0,0,81,107,44,37,38,11,4,317,4,13,51,32,9,13,11,3,0,141,0,3,20,8,8,6,0,4,0,45
801011020,0,4,11,21,16,12,5,3,0,75,0,3,25,20,15,3,5,0,0,66,0,3,22,15,22,15,22,7,0,107,0,3,9,5,4,7,15,4,0,49,0,0,7,5,4,0,4,0,0,13,0,0,4,4,0,0,0,0,0,11,0,0,7,10,4,3,5,0,0,24,0,8,27,18,22,12,12,5,0,101,0,5,27,22,18,23,13,4,3,118,0,3,14,10,4,0,0,0,0,29,0,3,6,5,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,3,0,0,0,10,7,8,13,12,9,0,8,9,3,73,12,53,156,152,126,84,76,31,9,707,0,0,15,22,22,7,8,5,0,77,0,5,22,22,14,4,5,0,0,62,0,10,24,18,31,16,15,10,0,118,0,3,10,7,4,5,6,5,5,47,0,0,10,0,6,0,3,0,0,16
801011021,0,0,3,11,14,16,5,0,0,43,0,6,18,12,15,12,0,0,0,79,4,11,16,24,20,34,13,9,0,124,0,5,12,17,13,14,8,6,0,72,0,0,0,3,3,6,0,0,0,17,0,0,0,0,4,3,3,0,0,15,0,0,0,4,12,13,0,0,0,25,0,9,26,33,17,25,7,0,0,122,0,9,21,12,22,37,3,3,0,99,0,3,4,0,6,5,0,0,0,17,0,5,0,6,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,4,9,9,6,0,0,50,14,57,111,125,134,170,51,22,0,680,0,0,0,0,4,15,3,4,0,32,0,0,15,27,24,18,8,0,0,81,0,4,15,20,31,23,16,3,0,112,0,9,12,20,11,12,11,5,4,76,0,0,0,3,0,6,6,0,0,16
