SA2_CODE_2021,C16_M_Health_15_19,C16_M_Health_20_24,C16_M_Health_25_34,C16_M_Health_35_44,C16_M_Health_45_54,C16_M_Health_55_64,C16_M_Health_65_74,C16_M_Health_75_84,C16_M_Health_85over,C16_M_Health_Tot,C16_M_Educ_15_19,C16_M_Educ_20_24,C16_M_Educ_25_34,C16_M_Educ_35_44,C16_M_Educ_45_54,C16_M_Educ_55_64,C16_M_Educ_65_74,C16_M_Educ_75_84,C16_M_Educ_85over,C16_M_Educ_Tot,C16_M_MngtCom_15_19,C16_M_MngtCom_20_24,C16_M_MngtCom_25_34,C16_M_MngtCom_35_44,C16_M_MngtCom_45_54,C16_M_MngtCom_55_64,C16_M_MngtCom_65_74,C16_M_MngtCom_75_84,C16_M_MngtCom_85over,C16_M_MngtCom_Tot,C16_M_Soc_cult_15_19,C16_M_Soc_cult_20_24,C16_M_Soc_cult_25_34,C16_M_Soc_cult_35_44,C16_M_Soc_cult_45_54,C16_M_Soc_cult_55_64,C16_M_Soc_cult_65_74,C16_M_Soc_cult_75_84,C16_M_Soc_cult_85over,C16_M_Soc_cult_Tot,C16_M_Creative_art_15_19,C16_M_Creative_art_20_24,C16_M_Creative_art_25_34,C16_M_Creative_art_35_44,C16_M_Creative_art_45_54,C16_M_Creative_art_55_64,C16_M_Creative_art_65_74,C16_M_Creative_art_75_84,C16_M_Creative_art_85over,C16_M_Creative_art_Tot,C16_M_FoodHos_PS_15_19,C16_M_FoodHos_PS_20_24,C16_M_FoodHos_PS_25_34,C16_M_FoodHos_PS_35_44,C16_M_FoodHos_PS_45_54,C16_M_FoodHos_PS_55_64,C16_M_FoodHos_PS_65_74,C16_M_FoodHos_PS_75_84,C16_M_FoodHos_PS_85over,C16_M_Foodhos_PS_Tot,C16_M_MixFld_pr_15_19,C16_M_MixFld_pr_20_24,C16_M_MixFld_pr_25_34,C16_M_MixFld_pr_35_44,C16_M_MixFld_pr_45_54,C16_M_MixFld_pr_55_64,C16_M_MixFld_pr_65_74,C16_M_MixFld_pr_75_84,C16_M_MixFld_pr_85overer,C16_M_MixFld_pr_Tot,C16_M_FldStu_ID_15_19,C16_M_FldStu_ID_20_24,C16_M_FldStu_ID_25_34,C16_M_FldStu_ID_35_44,C16_M_FldStu_ID_45_54,C16_M_FldStu_ID_55_64,C16_M_FldStu_ID_65_74,C16_M_FldStu_ID_75_84,C16_M_FldStu_ID_85over,C16_M_FldStu_ID_Tot,C16_M_FldStu_NS_15_19,C16_M_FldStu_NS_20_24,C16_M_FldStu_NS_25_34,C16_M_FldStu_NS_35_44,C16_M_FldStu_NS_45_54,C16_M_FldStu_NS_55_64,C16_M_FldStu_NS_65_74,C16_M_FldStu_NS_75_84,C16_M_FldStu_NS_85over,C16_M_FldStu_NS_Tot,C16_M_Tot_15_19,C16_M_Tot_20_24,C16_M_Tot_25_34,C16_M_Tot_35_44,C16_M_Tot_45_54,C16_M_Tot_55_64,C16_M_Tot_65_74,C16_M_Tot_75_84,C16_M_Tot_85over,C16_M_Tot_Tot,C21_M_NatPhy_sci_15_19,C21_M_NatPhy_sci_20_24,C21_M_NatPhy_sci_25_34,C21_M_NatPhy_sci_35_44,C21_M_NatPhy_sci_45_54,C21_M_NatPhy_sci_55_64,C21_M_NatPhy_sci_65_74,C21_M_NatPhy_sci_75_84,C21_M_NatPhy_sci_85over,C21_M_NatPhy_sci_Tot,C21_M_InfTec_15_19,C21_M_InfTec_20_24,C21_M_InfTec_25_34,C21_M_InfTec_35_44,C21_M_InfTec_45_54,C21_M_InfTec_55_64,C21_M_InfTec_65_74,C21_M_InfTec_75_84,C21_M_InfTec_85over,C21_M_InfTec_Tot,C21_M_EngRT_15_19,C21_M_EngRT_20_24,C21_M_EngRT_25_34,C21_M_EngRT_35_44,C21_M_EngRT_45_54,C21_M_EngRT_55_64,C21_M_EngRT_65_74,C21_M_EngRT_75_84,C21_M_EngRT_85over,C21_M_EngRT_Tot,C21_M_ArchBuild_15_19,C21_M_ArchBuild_20_24,C21_M_ArchBuild_25_34,C21_M_ArchBuild_35_44,C21_M_ArchBuild_45_54,C21_M_ArchBuild_55_64,C21_M_ArchBuild_65_74,C21_M_ArchBuild_75_84,C21_M_ArchBuild_85over,C21_M_ArchBuild_Tot,C21_M_AgEnv_RS_15_19,C21_M_AgEnv_RS_20_24,C21_M_AgEnv_RS_25_34,C21_M_AgEnv_RS_35_44,C21_M_AgEnv_RS_45_54,C21_M_AgEnv_RS_55_64,C21_M_AgEnv_RS_65_74,C21_M_AgEnv_RS_75_84,C21_M_AgEnv_RS_85over,C21_M_AgEnv_RS_Tot,C21_M_Health_15_19,C21_M_Health_20_24,C21_M_Health_25_34,C21_M_Health_35_44,C21_M_Health_45_54,C21_M_Health_55_64,C21_M_Health_65_74,C21_M_Health_75_84,C21_M_Health_85over,C21_M_Health_Tot,C21_M_Educ_15_19,C21_M_Educ_20_24,C21_M_Educ_25_34,C21_M_Educ_35_44,C21_M_Educ_45_54,C21_M_Educ_55_64,C21_M_Educ_65_74,C21_M_Educ_75_84,C21_M_Educ_85over,C21_M_Educ_Tot,C21_M_MngtCom_15_19,C21_M_MngtCom_20_24,C21_M_MngtCom_25_34,C21_M_MngtCom_35_44,C21_M_MngtCom_45_54,C21_M_MngtCom_55_64,C21_M_MngtCom_65_74,C21_M_MngtCom_75_84,C21_M_MngtCom_85over,C21_M_MngtCom_Tot,C21_M_Soc_cult_15_19,C21_M_Soc_cult_20_24,C21_M_Soc_cult_25_34,C21_M_Soc_cult_35_44,C21_M_Soc_cult_45_54,C21_M_Soc_cult_55_64,C21_M_Soc_cult_65_74,C21_M_Soc_cult_75_84,C21_M_Soc_cult_85over,C21_M_Soc_cult_Tot,C21_M_Creative_art_15_19,C21_M_Creative_art_20_24,C21_M_Creative_art_25_34,C21_M_Creative_art_35_44,C21_M_Creative_art_45_54,C21_M_Creative_art_55_64,C21_M_Creative_art_65_74,C21_M_Creative_art_75_84,C21_M_Creative_art_85over,C21_M_Creative_art_Tot
801011001,0,0,5,5,7,7,4,0,0,25,0,0,4,4,3,3,3,0,0,20,0,9,15,20,20,10,6,5,0,92,0,8,20,27,36,35,32,15,0,170,0,0,5,10,10,0,0,0,0,30,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,8,4,0,4,14,11,3,5,8,4,53,7,32,89,126,153,123,104,58,14,721,0,4,9,18,15,25,18,14,9,118,0,9,11,22,12,17,6,0,0,78,0,4,21,17,20,10,12,14,7,99,0,8,9,4,3,10,0,5,0,36,0,0,0,0,5,9,3,4,0,24,0,0,3,3,8,12,7,3,0,29,0,0,3,3,9,7,0,4,0,26,0,8,24,29,28,23,10,5,5,112,0,5,21,30,34,33,27,29,0,187,0,0,3,8,11,4,0,0,0,34
801011002,0,14,51,13,8,3,0,0,7,99,0,6,19,5,7,5,5,6,0,54,5,74,197,79,31,13,21,6,4,426,0,45,148,78,34,21,14,6,9,350,5,17,27,14,7,4,4,5,0,80,0,9,24,21,6,7,0,0,0,66,0,4,0,0,0,0,0,0,0,3,0,4,16,0,5,5,5,0,0,37,0,41,109,52,36,18,13,5,7,285,17,317,944,433,202,126,89,53,39,2224,0,27,63,33,11,9,12,9,5,169,4,86,282,85,36,26,5,3,0,524,0,21,175,69,28,14,21,20,18,358,0,13,44,27,7,7,8,4,0,110,0,0,10,3,4,6,3,3,4,39,0,12,83,25,14,13,0,3,0,157,0,5,31,14,7,6,8,4,8,86,4,59,306,122,48,25,20,13,3,596,0,54,202,99,53,21,15,12,10,472,0,14,48,18,14,3,0,0,0,97
801011003,3,12,65,27,10,9,0,7,0,130,0,3,14,11,5,5,12,0,0,45,5,77,165,68,31,36,17,15,6,415,4,39,126,60,41,45,31,11,7,365,0,18,28,8,8,3,0,0,0,68,3,8,23,11,4,5,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,4,6,6,3,3,0,0,0,24,29,73,60,23,18,12,12,11,20,263,50,358,774,376,193,204,131,67,39,2173,0,20,69,31,16,24,20,4,8,191,0,55,157,73,35,28,9,0,0,361,0,12,102,49,39,33,35,15,3,292,0,14,27,6,8,6,7,4,0,73,0,3,10,4,0,3,6,3,0,25,0,20,50,24,10,7,0,8,4,127,0,3,21,20,5,7,12,11,3,81,0,39,169,91,58,39,36,8,8,445,0,38,127,79,48,28,30,22,5,393,0,22,39,15,8,0,0,0,0,88
801011004,0,0,6,5,7,0,0,0,0,18,0,0,6,5,0,9,5,0,0,27,0,3,20,28,14,11,11,4,0,83,0,8,15,19,12,8,7,0,0,70,0,0,8,7,0,0,0,3,0,23,0,0,14,12,5,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,16,8,7,17,20,5,13,9,8,0,93,6,42,180,167,94,81,64,27,0,665,0,0,0,4,7,0,0,0,0,12,0,5,33,18,5,8,3,3,0,70,0,5,33,25,34,20,22,7,0,145,0,4,25,19,14,6,13,0,0,88,0,0,5,7,4,0,3,0,0,24,0,0,4,6,4,0,0,0,0,19,0,0,8,5,0,5,3,5,0,26,3,0,20,35,14,4,8,4,0,90,0,5,13,15,15,14,8,5,0,75,0,6,7,10,4,0,4,0,0,29
801011005,0,0,7,8,4,3,0,4,0,27,0,0,3,9,8,4,4,0,0,32,0,8,11,29,14,15,13,6,0,99,0,0,26,43,28,24,27,16,0,175,0,4,6,8,3,0,3,0,0,41,0,0,4,4,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,18,0,0,4,16,11,6,9,7,0,54,9,27,107,207,163,111,101,68,15,806,0,5,20,17,31,24,21,16,5,137,0,5,10,27,15,10,8,0,0,77,0,0,20,22,26,17,5,15,3,108,0,0,3,9,11,8,8,3,0,40,0,0,4,5,13,7,3,3,0,30,0,0,7,3,4,6,6,0,0,31,0,0,7,16,7,4,0,3,0,38,0,4,18,27,20,18,13,13,5,116,0,6,30,46,41,18,29,5,4,185,0,4,4,9,9,5,7,4,0,40
801011006,0,4,8,13,13,12,3,0,0,54,0,5,13,26,8,17,3,0,0,72,4,14,65,83,64,29,16,5,0,270,0,9,35,53,24,29,12,0,0,175,0,5,14,16,9,4,8,4,0,56,0,5,16,13,9,4,3,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,8,0,0,0,25,16,16,21,30,17,18,11,4,0,131,24,87,317,451,317,197,107,38,14,1550,0,0,14,21,26,18,7,4,0,85,0,17,41,67,51,27,9,0,0,209,0,11,51,74,71,51,26,14,3,297,0,22,43,26,36,19,9,5,0,157,0,0,10,8,6,11,8,0,0,45,0,5,9,7,8,10,10,0,0,48,0,3,12,17,23,10,9,4,0,86,3,6,42,103,78,32,21,10,0,287,3,8,34,63,40,31,24,5,0,212,0,9,12,20,4,4,7,4,0,58
801011007,0,0,8,11,9,4,0,0,0,31,0,0,10,14,7,8,10,5,0,60,0,8,39,59,34,26,25,4,0,194,3,3,33,37,49,23,24,11,0,182,0,10,13,15,3,9,4,0,0,53,0,0,12,16,4,8,0,0,0,39,0,0,0,0,0,0,0,0,0,4,0,0,3,9,3,7,0,0,0,20,17,22,27,24,26,27,14,10,0,163,24,69,262,331,279,218,163,32,6,1388,0,0,12,13,23,16,18,0,0,90,0,8,31,43,26,18,12,0,0,145,0,14,60,56,60,43,51,19,0,294,3,9,46,37,25,21,6,0,4,148,0,6,7,11,15,9,5,0,0,47,0,3,10,5,12,4,0,0,0,39,0,0,12,15,14,16,5,3,0,56,0,6,40,55,59,31,31,11,0,221,0,14,39,41,44,33,26,13,0,213,0,4,15,30,5,3,4,6,0,61
801011008,0,3,5,9,7,6,3,0,0,32,0,0,5,8,11,6,4,7,3,45,0,16,46,51,36,36,12,3,0,202,3,14,23,38,26,39,24,3,3,177,0,3,14,7,4,7,0,0,0,36,0,6,13,9,10,4,4,3,0,33,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,8,6,13,23,16,12,14,9,5,0,98,11,97,235,232,217,225,109,49,16,1191,0,0,17,17,15,22,16,4,4,97,3,14,49,51,28,34,8,6,0,184,0,17,40,38,37,32,42,18,7,230,0,10,18,12,11,17,13,10,0,82,0,5,3,5,7,0,4,0,0,26,0,7,17,9,14,7,5,0,0,56,0,3,9,6,9,3,4,10,0,55,0,11,55,42,33,26,23,5,0,195,0,8,25,39,24,38,30,15,0,182,0,3,7,4,10,0,0,0,0,28
801011009,0,0,3,9,3,5,3,4,0,21,0,0,3,3,5,7,6,0,0,32,0,0,24,40,17,24,20,6,0,128,0,3,13,27,18,24,25,4,0,112,0,0,8,3,7,0,9,0,0,28,0,0,4,12,6,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,4,0,0,18,0,3,13,10,15,10,9,7,0,60,10,29,147,194,151,135,141,42,6,856,0,0,10,7,14,6,18,8,0,64,0,8,31,23,27,10,6,7,0,114,0,4,38,30,19,42,25,19,4,175,3,3,39,24,25,10,4,3,0,117,0,0,3,9,7,0,0,4,0,17,4,0,8,5,0,4,6,0,0,29,0,0,8,12,11,6,3,8,0,44,0,4,18,31,36,22,17,0,0,127,0,12,23,35,21,16,27,12,0,141,0,5,11,8,3,7,3,3,0,40
801011010,0,0,4,7,4,4,0,0,0,19,0,0,7,3,4,6,7,4,0,27,0,5,4,17,11,13,20,0,0,68,0,0,11,17,18,10,15,0,0,72,0,0,3,0,8,0,0,0,0,15,0,0,0,3,3,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,3,13,6,6,11,4,0,52,7,16,67,109,110,94,102,23,5,537,0,0,3,4,5,8,15,9,4,37,0,5,7,17,12,16,9,0,0,62,0,0,19,13,19,32,22,8,0,116,0,0,15,14,17,7,7,6,0,61,0,0,5,9,3,3,5,4,0,20,0,0,3,9,7,7,5,6,0,25,0,0,0,4,0,5,10,3,0,22,0,0,6,22,21,13,22,3,0,83,0,5,12,23,18,9,20,6,0,84,0,6,0,7,0,3,0,0,0,25
