SA2_CODE_2021,C21_M_FoodHos_PS_15_19,C21_M_FoodHos_PS_20_24,C21_M_FoodHos_PS_25_34,C21_M_FoodHos_PS_35_44,C21_M_FoodHos_PS_45_54,C21_M_FoodHos_PS_55_64,C21_M_FoodHos_PS_65_74,C21_M_FoodHos_PS_75_84,C21_M_FoodHos_PS_85over,C21_M_FoodHos_PS_Tot,C21_M_MixFld_pr_15_19,C21_M_MixFld_pr_20_24,C21_M_MixFld_pr_25_34,C21_M_MixFld_pr_35_44,C21_M_MixFld_pr_45_54,C21_M_MixFld_pr_55_64,C21_M_MixFld_pr_65_74,C21_M_MixFld_pr_75_84,C21_M_MixFld_pr_85over,C21_M_MixFld_pr_Tot,C21_M_FldStu_ID_15_19,C21_M_FldStu_ID_20_24,C21_M_FldStu_ID_25_34,C21_M_FldStu_ID_35_44,C21_M_FldStu_ID_45_54,C21_M_FldStu_ID_55_64,C21_M_FldStu_ID_65_74,C21_M_FldStu_ID_75_84,C21_M_FldStu_ID_85over,C21_M_FldStu_ID_Tot,C21_M_FldStu_NS_15_19,C21_M_FldStu_NS_20_24,C21_M_FldStu_NS_25_34,C21_M_FldStu_NS_35_44,C21_M_FldStu_NS_45_54,C21_M_FldStu_NS_55_64,C21_M_FldStu_NS_65_74,C21_M_FldStu_NS_75_84,C21_M_FldStu_NS_85over,C21_M_FldStu_NS_Tot,C21_M_Tot_15_19,C21_M_Tot_20_24,C21_M_Tot_25_34,C21_M_Tot_35_44,C21_M_Tot_45_54,C21_M_Tot_55_64,C21_M_Tot_65_74,C21_M_Tot_75_84,C21_M_Tot_85over,C21_M_Tot_Tot,C11_F_NatPhy_sci_15_19,C11_F_NatPhy_sci_20_24,C11_F_NatPhy_sci_25_34,C11_F_NatPhy_sci_35_44,C11_F_NatPhy_sci_45_54,C11_F_NatPhy_sci_55_64,C11_F_NatPhy_sci_65_74,C11_F_NatPhy_sci_75_84,C11_F_NatPhy_sci_85over,C11_F_NatPhy_sci_Tot,C11_F_InfTec_15_19,C11_F_InfTec_20_24,C11_F_InfTec_25_34,C11_F_InfTec_35_44,C11_F_InfTec_45_54,C11_F_InfTec_55_64,C11_F_InfTec_65_74,C11_F_InfTec_75_84,C11_F_InfTec_85over,C11_F_InfTec_Tot,C11_F_EngRT_15_19,C11_F_EngRT_20_24,C11_F_EngRT_25_34,C11_F_EngRT_35_44,C11_F_EngRT_45_54,C11_F_EngRT_55_64,C11_F_EngRT_65_74,C11_F_EngRT_75_84,C11_F_EngRT_85over,C11_F_EngRT_Tot,C11_F_ArchBuild_15_19,C11_F_ArchBuild_20_24,C11_F_ArchBuild_25_34,C11_F_ArchBuild_35_44,C11_F_ArchBuild_45_54,C11_F_ArchBuild_55_64,C11_F_ArchBuild_65_74,C11_F_ArchBuild_75_84,C11_F_ArchBuild_85over,C11_F_ArchBuild_Tot,C11_F_AgEnv_RS_15_19,C11_F_AgEnv_RS_20_24,C11_F_AgEnv_RS_25_34,C11_F_AgEnv_RS_35_44,C11_F_AgEnv_RS_45_54,C11_F_AgEnv_RS_55_64,C11_F_AgEnv_RS_65_74,C11_F_AgEnv_RS_75_84,C11_F_AgEnv_RS_85over,C11_F_AgEnv_RS_Tot,C11_F_Health_15_19,C11_F_Health_20_24,C11_F_Health_25_34,C11_F_Health_35_44,C11_F_Health_45_54,C11_F_Health_55_64,C11_F_Health_65_74,C11_F_Health_75_84,C11_F_Health_85over,C11_F_Health_Tot,C11_F_Educ_15_19,C11_F_Educ_20_24,C11_F_Educ_25_34,C11_F_Educ_35_44,C11_F_Educ_45_54,C11_F_Educ_55_64,C11_F_Educ_65_74,C11_F_Educ_75_84,C11_F_Educ_85over,C11_F_Educ_Tot,C11_F_MngtCom_15_19,C11_F_MngtCom_20_24,C11_F_MngtCom_25_34,C11_F_MngtCom_35_44,C11_F_MngtCom_45_54,C11_F_MngtCom_55_64,C11_F_MngtCom_65_74,C11_F_MngtCom_75_84,C11_F_MngtCom_85over,C11_F_MngtCom_Tot,C11_F_Soc_cult_15_19,C11_F_Soc_cult_20_24,C11_F_Soc_cult_25_34,C11_F_Soc_cult_35_44,C11_F_Soc_cult_45_54,C11_F_Soc_cult_55_64,C11_F_Soc_cult_65_74,C11_F_Soc_cult_75_84,C11_F_Soc_cult_85over,C11_F_Soc_cult_Tot,C11_F_Creative_art_15_19,C11_F_Creative_art_20_24,C11_F_Creative_art_25_34,C11_F_Creative_art_35_44,C11_F_Creative_art_45_54,C11_F_Creative_art_55_64,C11_F_Creative_art_65_74,C11_F_Creative_art_75_84,C11_F_Creative_art_85over,C11_F_Creative_art_Tot,C11_F_FoodHos_PS_15_19,C11_F_FoodHos_PS_20_24,C11_F_FoodHos_PS_25_34,C11_F_FoodHos_PS_35_44,C11_F_FoodHos_PS_45_54,C11_F_FoodHos_PS_55_64,C11_F_FoodHos_PS_65_74,C11_F_FoodHos_PS_75_84,C11_F_FoodHos_PS_85over,C11_F_FoodHos_PS_Tot,C11_F_MixFld_pr_15_19,C11_F_MixFld_pr_20_24,C11_F_MixFld_pr_25_34,C11_F_MixFld_pr_35_44,C11_F_MixFld_pr_45_54,C11_F_MixFld_pr_55_64,C11_F_MixFld_pr_65_74,C11_F_MixFld_pr_75_84,C11_F_MixFld_pr_85over,C11_F_MixFld_pr_Tot,C11_F_FldStu_ID_15_19,C11_F_FldStu_ID_20_24,C11_F_FldStu_ID_25_34,C11_F_FldStu_ID_35_44,C11_F_FldStu_ID_45_54,C11_F_FldStu_ID_55_64,C11_F_FldStu_ID_65_74,C11_F_FldStu_ID_75_84,C11_F_FldStu_ID_85over,C11_F_FldStu_ID_Tot,C11_F_FldStu_NS_15_19,C11_F_FldStu_NS_20_24,C11_F_FldStu_NS_25_34,C11_F_FldStu_NS_35_44,C11_F_FldStu_NS_45_54,C11_F_FldStu_NS_55_64,C11_F_FldStu_NS_65_74,C11_F_FldStu_NS_75_84,C11_F_FldStu_NS_85over,C11_F_FldStu_NS_Tot,C11_F_Tot_15_19,C11_F_Tot_20_24,C11_F_Tot_25_34,C11_F_Tot_35_44,C11_F_Tot_45_54,C11_F_Tot_55_64,C11_F_Tot_65_74,C11_F_Tot_75_84,C11_F_Tot_85over,C11_F_Tot_Tot
801011001,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,13,0,4,7,4,4,4,4,0,0,38,3,47,118,145,150,152,92,77,24,801,0,6,12,14,16,11,11,0,0,70,5,0,0,3,3,0,0,0,0,9,0,4,0,0,0,0,4,0,0,10,0,0,0,4,4,0,0,0,0,4,0,0,4,3,3,0,3,4,0,17,0,0,15,10,19,16,10,8,0,83,0,4,5,12,20,27,19,6,6,103,0,6,19,32,21,20,12,0,3,103,0,21,32,33,41,26,26,6,0,189,0,7,6,10,13,5,0,0,0,46,0,3,7,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,0,3,0,0,19,5,6,3,11,18,14,18,24,26,121,12,59,108,143,166,124,101,52,39,803
801011002,0,12,48,18,4,4,3,0,0,89,0,0,0,0,0,0,0,0,0,3,0,3,19,6,0,3,0,0,0,33,7,39,83,48,28,18,4,6,8,250,13,355,1402,576,255,158,101,80,53,2991,0,14,38,8,3,0,0,0,0,65,0,5,19,6,8,4,0,0,0,35,0,3,16,3,0,0,0,3,0,20,0,3,4,0,3,3,0,0,0,17,0,0,9,4,0,0,0,0,0,12,0,12,56,14,10,11,0,8,0,107,0,6,33,15,13,17,12,8,0,108,9,62,137,46,23,15,12,5,4,310,0,45,149,56,23,20,11,14,4,313,0,16,32,8,8,5,0,0,0,73,0,20,23,4,4,5,0,0,0,58,0,0,0,0,0,0,0,0,0,3,0,4,8,3,4,7,0,0,0,22,21,50,77,25,19,14,11,26,32,277,36,237,589,184,106,88,60,66,44,1410
801011003,6,8,32,11,5,3,0,0,0,63,0,0,0,0,0,0,0,0,0,8,0,4,8,8,5,0,0,8,0,31,9,21,45,23,7,8,13,8,10,147,24,262,865,434,247,190,177,90,46,2321,0,17,43,15,13,17,3,0,0,103,0,9,30,19,21,5,0,0,0,82,0,5,10,4,8,4,3,3,0,34,0,0,3,3,0,0,0,0,0,16,0,7,6,6,6,0,0,0,0,16,0,29,61,33,30,20,6,12,4,197,0,17,50,23,22,25,17,8,3,157,8,92,161,58,43,26,17,3,0,416,3,63,143,47,41,43,16,3,0,356,0,17,42,12,4,0,3,0,0,90,4,10,13,7,4,3,0,5,0,50,0,0,0,0,0,0,0,0,0,4,3,11,6,5,3,3,0,0,0,35,82,201,75,23,19,13,8,30,46,495,104,479,640,248,207,161,78,65,52,2042
801011004,3,0,10,13,8,11,4,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,17,10,0,27,15,19,3,4,6,0,78,12,30,182,171,133,81,73,36,8,727,0,0,3,5,3,0,0,0,0,15,0,0,4,0,10,0,0,0,0,16,0,0,4,0,3,3,0,3,0,11,0,0,3,0,3,0,0,0,0,6,0,0,4,4,0,6,0,0,0,12,0,4,14,12,13,9,3,0,0,51,0,3,19,12,15,10,7,0,0,73,5,16,45,37,17,27,9,6,0,159,0,7,37,29,22,13,0,0,0,120,0,3,11,13,4,3,4,0,0,42,0,5,20,7,0,10,8,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,10,10,20,16,20,15,5,0,3,110,19,49,181,151,116,93,38,11,11,669
801011005,0,0,6,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,4,8,10,6,4,0,4,0,50,4,26,137,193,201,127,98,77,24,874,0,3,23,25,11,12,9,3,0,94,0,0,3,3,5,4,0,0,0,25,0,0,0,8,5,0,0,0,0,20,0,3,0,3,4,0,0,0,0,10,0,6,4,7,3,3,0,0,0,26,0,0,16,22,18,21,9,5,0,87,0,4,20,17,14,29,24,10,3,107,0,7,30,43,23,26,20,4,0,159,0,4,57,69,43,41,23,9,3,246,0,4,10,18,8,5,4,0,0,52,0,0,4,5,4,0,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,5,0,0,22,3,0,8,8,0,8,7,6,8,53,6,35,192,229,149,149,99,37,20,919
801011006,4,0,12,16,16,8,0,0,0,63,0,0,0,0,0,0,5,0,0,5,0,0,6,12,5,0,4,4,0,30,14,10,16,22,34,18,5,6,0,123,35,93,300,448,396,241,130,45,15,1697,0,0,22,9,14,4,0,0,0,53,0,3,25,13,7,3,0,0,0,50,0,0,7,3,0,0,5,0,0,23,0,5,4,6,3,0,0,0,0,15,0,3,0,5,0,0,0,0,0,7,0,5,42,55,29,12,11,0,0,165,0,6,56,53,24,23,14,0,0,174,3,33,144,149,68,48,14,0,0,464,5,23,108,68,34,23,7,0,0,272,0,6,33,13,11,0,0,0,0,69,5,16,36,28,11,8,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,7,10,3,0,0,0,0,28,21,10,26,33,9,14,9,10,0,133,33,111,504,448,222,136,64,17,3,1544
801011007,3,0,8,10,6,8,5,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,0,0,0,3,18,7,10,17,11,18,10,8,3,0,96,26,77,308,327,307,217,167,52,6,1483,0,4,16,18,12,3,0,0,0,57,3,0,11,15,9,5,0,0,0,46,0,0,8,9,10,0,0,0,0,18,0,0,0,4,6,0,0,0,0,11,0,4,7,11,0,3,0,0,0,25,0,10,23,33,31,31,9,4,0,127,0,7,29,41,19,24,12,4,0,140,0,26,88,86,81,60,18,5,0,369,3,18,75,65,53,46,14,0,0,266,0,4,20,19,7,7,0,0,0,64,4,12,10,14,5,6,9,4,0,55,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,3,0,0,0,23,4,5,10,16,8,19,12,9,6,89,18,93,304,329,248,199,70,22,4,1287
801011008,0,3,11,5,7,7,4,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,5,3,0,0,26,0,8,17,20,16,11,7,7,5,92,3,73,282,251,221,208,154,76,18,1286,0,6,20,22,15,3,0,0,0,75,0,5,17,11,14,4,0,0,0,51,0,0,3,5,9,3,4,3,0,23,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,10,0,10,26,23,34,29,8,8,0,135,0,0,32,21,30,24,9,4,0,119,4,20,67,61,70,26,13,8,0,266,0,14,67,61,47,35,16,3,0,238,0,7,16,12,5,3,4,0,0,49,9,8,16,9,9,3,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,8,9,4,6,0,0,0,24,14,5,24,17,13,18,12,12,4,116,21,81,298,245,257,156,66,33,8,1161
801011009,0,0,9,0,7,4,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,3,0,0,0,25,0,3,13,10,10,10,10,0,3,60,9,39,206,207,191,150,131,64,10,992,0,0,13,10,11,7,3,0,0,53,0,4,5,0,0,0,0,0,0,17,0,0,0,3,4,6,0,0,0,16,0,5,0,4,0,4,0,0,0,16,0,0,4,5,5,0,0,0,0,13,0,5,10,16,21,20,8,0,0,85,0,4,11,22,23,28,13,3,0,100,4,11,39,46,39,38,9,0,0,190,0,9,39,42,27,35,8,6,0,157,0,6,18,16,10,0,3,3,0,44,0,4,9,10,9,7,4,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,12,11,5,15,22,26,23,19,11,5,133,17,46,173,194,187,175,70,13,8,876
801011010,0,0,8,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,9,10,4,3,6,0,0,29,4,19,77,120,114,100,116,37,8,582,0,0,6,0,5,11,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,5,0,0,3,0,0,0,0,0,0,9,0,3,8,15,24,17,7,0,0,68,0,0,5,21,15,23,9,0,0,69,0,8,29,26,17,30,9,0,0,123,0,3,18,21,23,19,11,3,0,102,0,3,8,7,3,4,0,0,0,28,4,3,6,7,5,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,4,3,5,4,0,0,0,14,3,23,90,101,102,115,32,10,0,491
