SA2_CODE_2021,C16_F_NatPhy_sci_15_19,C16_F_NatPhy_sci_20_24,C16_F_NatPhy_sci_25_34,C16_F_NatPhy_sci_35_44,C16_F_NatPhy_sci_45_54,C16_F_NatPhy_sci_55_64,C16_F_NatPhy_sci_65_74,C16_F_NatPhy_sci_75_84,C16_F_NatPhy_sci_85over,C16_F_NatPhy_sci_Tot,C16_F_InfTec_15_19,C16_F_InfTec_20_24,C16_F_InfTec_25_34,C16_F_InfTec_35_44,C16_F_InfTec_45_54,C16_F_InfTec_55_64,C16_F_InfTec_65_74,C16_F_InfTec_75_84,C16_F_InfTec_85over,C16_F_InfTec_Tot,C16_F_EngRT_15_19,C16_F_EngRT_20_24,C16_F_EngRT_25_34,C16_F_EngRT_35_44,C16_F_EngRT_45_54,C16_F_EngRT_55_64,C16_F_EngRT_65_74,C16_F_EngRT_75_84,C16_F_EngRT_85over,C16_F_EngRT_Tot,C16_F_ArchBuild_15_19,C16_F_ArchBuild_20_24,C16_F_ArchBuild_25_34,C16_F_ArchBuild_35_44,C16_F_ArchBuild_45_54,C16_F_ArchBuild_55_64,C16_F_ArchBuild_65_74,C16_F_ArchBuild_75_84,C16_F_ArchBuild_85over,C16_F_ArchBuild_Tot,C16_F_AgEnv_RS_15_19,C16_F_AgEnv_RS_20_24,C16_F_AgEnv_RS_25_34,C16_F_AgEnv_RS_35_44,C16_F_AgEnv_RS_45_54,C16_F_AgEnv_RS_55_64,C16_F_AgEnv_RS_65_74,C16_F_AgEnv_RS_75_84,C16_F_AgEnv_RS_85over,C16_F_AgEnv_RS_Tot,C16_F_Health_15_19,C16_F_Health_20_24,C16_F_Health_25_34,C16_F_Health_35_44,C16_F_Health_45_54,C16_F_Health_55_64,C16_F_Health_65_74,C16_F_Health_75_84,C16_F_Health_85over,C16_F_Health_Tot,C16_F_Educ_15_19,C16_F_Educ_20_24,C16_F_Educ_25_34,C16_F_Educ_35_44,C16_F_Educ_45_54,C16_F_Educ_55_64,C16_F_Educ_65_74,C16_F_Educ_75_84,C16_F_Educ_85over,C16_F_Educ_Tot,C16_F_MngtCom_15_19,C16_F_MngtCom_20_24,C16_F_MngtCom_25_34,C16_F_MngtCom_35_44,C16_F_MngtCom_45_54,C16_F_MngtCom_55_64,C16_F_MngtCom_65_74,C16_F_MngtCom_75_84,C16_F_MngtCom_85over,C16_F_MngtCom_Tot,C16_F_Soc_cult_15_19,C16_F_Soc_cult_20_24,C16_F_Soc_cult_25_34,C16_F_Soc_cult_35_44,C16_F_Soc_cult_45_54,C16_F_Soc_cult_55_64,C16_F_Soc_cult_65_74,C16_F_Soc_cult_75_84,C16_F_Soc_cult_85over,C16_F_Soc_cult_Tot,C16_F_Creative_art_15_19,C16_F_Creative_art_20_24,C16_F_Creative_art_25_34,C16_F_Creative_art_35_44,C16_F_Creative_art_45_54,C16_F_Creative_art_55_64,C16_F_Creative_art_65_74,C16_F_Creative_art_75_84,C16_F_Creative_art_85over,C16_F_Creative_art_Tot,C16_F_FoodHos_PS_15_19,C16_F_FoodHos_PS_20_24,C16_F_FoodHos_PS_25_34,C16_F_FoodHos_PS_35_44,C16_F_FoodHos_PS_45_54,C16_F_FoodHos_PS_55_64,C16_F_FoodHos_PS_65_74,C16_F_FoodHos_PS_75_84,C16_F_FoodHos_PS_85over,C16_F_FoodHos_PS_Tot,C16_F_MixFld_pr_15_19,C16_F_MixFld_pr_20_24,C16_F_MixFld_pr_25_34,C16_F_MixFld_pr_35_44,C16_F_MixFld_pr_45_54,C16_F_MixFld_pr_55_64,C16_F_MixFld_pr_65_74,C16_F_MixFld_pr_75_84,C16_F_MixFld_pr_85over,C16_F_MixFld_pr_Tot,C16_F_FldStu_ID_15_19,C16_F_FldStu_ID_20_24,C16_F_FldStu_ID_25_34,C16_F_FldStu_ID_35_44,C16_F_FldStu_ID_45_54,C16_F_FldStu_ID_55_64,C16_F_FldStu_ID_65_74,C16_F_FldStu_ID_75_84,C16_F_FldStu_ID_85over,C16_F_FldStu_ID_Tot,C16_F_FldStu_NS_15_19,C16_F_FldStu_NS_20_24,C16_F_FldStu_NS_25_34,C16_F_FldStu_NS_35_44,C16_F_FldStu_NS_45_54,C16_F_FldStu_NS_55_64,C16_F_FldStu_NS_65_74,C16_F_FldStu_NS_75_84,C16_F_FldStu_NS_85over,C16_F_FldStu_NS_Tot,C16_F_Tot_15_19,C16_F_Tot_20_24,C16_F_Tot_25_34,C16_F_Tot_35_44,C16_F_Tot_45_54,C16_F_Tot_55_64,C16_F_Tot_65_74,C16_F_Tot_75_84,C16_F_Tot_85over,C16_F_Tot_Tot,C21_F_NatPhy_sci_15_19,C21_F_NatPhy_sci_20_24,C21_F_NatPhy_sci_25_34,C21_F_NatPhy_sci_35_44,C21_F_NatPhy_sci_45_54,C21_F_NatPhy_sci_55_64,C21_F_NatPhy_sci_65_74,C21_F_NatPhy_sci_75_84,C21_F_NatPhy_sci_85over,C21_F_NatPhy_sci_Tot,C21_F_InfTec_15_19,C21_F_InfTec_20_24,C21_F_InfTec_25_34,C21_F_InfTec_35_44,C21_F_InfTec_45_54,C21_F_InfTec_55_64,C21_F_InfTec_65_74,C21_F_InfTec_75_84,C21_F_InfTec_85over,C21_F_InfTec_Tot,C21_F_EngRT_15_19,C21_F_EngRT_20_24,C21_F_EngRT_25_34,C21_F_EngRT_35_44,C21_F_EngRT_45_54,C21_F_EngRT_55_64,C21_F_EngRT_65_74,C21_F_EngRT_75_84,C21_F_EngRT_85over,C21_F_EngRT_Tot,C21_F_ArchBuild_15_19,C21_F_ArchBuild_20_24,C21_F_ArchBuild_25_34,C21_F_ArchBuild_35_44,C21_F_ArchBuild_45_54,C21_F_ArchBuild_55_64,C21_F_ArchBuild_65_74,C21_F_ArchBuild_75_84,C21_F_ArchBuild_85over,C21_F_ArchBuild_Tot,C21_F_AgEnv_RS_15_19,C21_F_AgEnv_RS_20_24,C21_F_AgEnv_RS_25_34,C21_F_AgEnv_RS_35_44,C21_F_AgEnv_RS_45_54,C21_F_AgEnv_RS_55_64,C21_F_AgEnv_RS_65_74,C21_F_AgEnv_RS_75_84,C21_F_AgEnv_RS_85over,C21_F_AgEnv_RS_Tot
801011001,0,3,6,10,22,5,10,5,0,57,0,0,7,7,7,0,0,0,0,18,0,0,0,3,0,3,0,0,0,12,0,0,3,0,0,0,0,0,0,10,0,0,0,5,4,5,0,0,0,16,0,0,7,12,19,12,11,4,5,73,0,0,9,18,13,29,29,11,4,111,0,5,26,34,21,18,11,3,4,122,0,3,21,44,39,40,37,11,4,198,0,0,5,17,11,6,4,3,0,51,0,0,0,3,3,6,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,15,3,0,6,8,12,4,10,8,0,44,6,22,97,159,163,124,103,47,16,734,0,0,4,17,22,16,13,3,0,79,0,0,4,6,0,3,0,0,0,22,0,0,3,0,0,0,6,0,0,19,0,3,0,6,0,0,0,0,0,12,0,3,0,0,6,3,0,0,0,18
801011002,0,31,66,24,3,6,5,0,0,132,0,9,46,15,10,0,0,0,0,79,0,10,29,9,3,3,0,0,0,57,0,9,11,3,0,6,0,0,0,22,0,4,11,8,3,5,0,0,0,28,0,35,133,23,14,17,9,5,5,234,0,16,41,21,14,20,19,14,3,139,3,136,208,78,42,29,15,14,6,531,0,71,233,91,33,25,11,6,8,479,0,21,44,26,5,7,4,0,0,110,0,12,31,11,7,7,0,0,0,63,0,3,0,0,0,0,0,0,0,4,0,3,11,11,4,3,0,0,0,29,5,56,89,38,25,18,16,16,22,283,20,412,956,335,157,127,85,58,46,2195,0,31,70,20,10,8,5,5,0,153,0,36,111,20,12,9,0,0,0,191,0,6,45,13,5,0,0,0,3,81,0,11,26,6,3,0,0,0,0,43,0,5,14,4,0,0,0,0,0,25
801011003,6,29,46,21,12,18,10,0,0,144,0,10,29,24,6,11,0,0,0,96,0,0,20,7,4,0,0,0,0,40,0,4,9,5,0,0,0,0,0,14,0,5,6,3,0,4,0,0,0,26,3,44,122,40,27,19,16,12,3,273,0,24,53,23,14,29,25,8,4,181,8,92,201,85,52,36,26,5,4,519,3,74,178,66,38,48,34,9,0,465,0,30,38,22,10,9,0,0,0,112,6,14,21,16,7,0,0,0,0,66,0,0,0,0,0,0,0,0,0,3,0,7,12,4,4,3,4,0,0,29,37,78,51,16,12,12,14,18,54,284,65,411,797,329,193,187,127,62,67,2245,0,29,62,32,18,12,19,4,0,182,0,23,51,24,19,9,3,3,0,136,0,7,28,16,0,9,0,0,3,62,0,7,15,4,0,0,0,0,0,35,3,7,19,3,5,0,0,0,0,39
801011004,0,4,10,0,8,4,0,0,0,21,0,4,6,0,8,5,0,0,0,18,0,0,3,0,0,4,0,0,3,14,0,0,4,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,11,0,8,14,17,8,3,3,0,0,62,0,0,20,26,11,11,5,3,0,73,0,15,43,45,22,23,24,3,4,171,0,13,40,42,26,31,7,0,3,167,0,0,9,10,3,0,0,3,0,34,3,5,17,9,3,8,7,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,11,22,13,15,13,9,10,3,101,17,51,184,171,103,101,65,22,11,733,0,0,5,9,9,10,0,0,0,27,0,0,6,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,13,0,0,4,0,0,0,0,0,0,7,0,3,7,0,0,0,3,0,0,11
801011005,0,0,18,27,11,15,8,0,0,91,0,0,4,5,5,4,4,0,0,18,0,0,8,0,4,0,0,0,0,17,0,0,5,5,4,0,3,0,0,15,0,5,0,3,3,5,0,0,0,20,0,3,15,27,13,17,3,8,7,95,0,3,18,18,13,21,21,15,3,114,0,12,24,38,25,18,21,10,0,145,0,6,38,52,53,35,32,15,0,245,0,0,22,16,19,5,3,0,0,72,0,4,4,0,4,3,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,5,0,17,0,0,10,11,3,11,7,9,0,46,7,32,165,211,175,150,115,58,14,923,0,4,12,24,22,15,15,7,4,100,0,0,7,5,0,0,4,0,0,20,0,0,6,0,3,0,0,0,0,19,0,0,3,4,4,3,0,0,0,17,0,0,3,5,5,5,4,0,0,31
801011006,0,0,25,22,16,11,0,0,0,74,0,0,13,13,8,3,0,0,0,43,0,0,5,11,3,5,0,0,0,29,0,0,3,6,4,0,0,0,0,12,0,0,7,5,4,0,0,0,0,10,0,4,43,49,37,25,17,4,0,188,0,0,43,66,22,23,17,5,0,184,5,22,108,151,80,53,23,3,3,450,3,19,91,92,72,26,10,3,0,316,0,6,23,24,5,9,3,3,0,75,4,11,29,37,25,4,7,0,0,111,0,0,0,0,0,0,0,0,0,7,0,3,6,7,5,4,0,0,0,18,10,7,14,32,16,16,8,6,0,119,22,88,397,517,309,172,87,31,8,1623,0,5,19,20,12,9,5,0,0,72,0,4,4,22,9,8,4,0,0,53,0,0,3,0,9,0,7,0,0,13,0,0,7,0,8,0,0,0,0,16,0,0,4,5,0,3,0,0,0,17
801011007,0,6,12,13,12,8,3,0,0,49,0,4,5,10,11,11,0,0,0,35,0,0,4,4,0,0,3,0,0,17,0,0,0,3,0,3,0,0,0,9,0,0,4,8,6,6,0,0,0,15,0,6,34,31,32,25,12,0,3,144,0,3,32,41,32,17,15,8,0,152,0,20,69,88,52,61,32,4,0,328,5,14,54,85,50,41,23,6,0,283,0,7,19,22,10,0,5,0,0,60,3,12,14,15,0,4,4,0,0,61,0,0,0,0,0,0,0,0,0,3,0,0,3,10,0,0,0,0,0,23,14,17,19,34,31,36,24,6,9,178,25,86,267,361,244,219,121,25,13,1363,0,3,11,16,16,7,4,3,0,67,0,4,5,13,11,6,3,0,0,47,0,0,3,3,5,7,0,0,0,19,0,0,0,3,6,4,0,0,0,15,0,0,4,9,10,5,0,0,0,32
801011008,0,0,8,18,18,9,6,0,0,64,0,0,9,19,9,4,3,0,0,38,0,0,4,7,4,6,9,4,0,24,0,0,9,0,4,0,0,0,0,17,0,0,11,6,0,0,5,0,0,14,0,0,38,30,29,29,12,6,0,147,0,3,24,16,24,22,20,4,0,116,0,18,56,72,51,54,14,6,0,273,0,14,56,71,48,43,14,5,0,251,0,6,14,9,4,8,0,0,0,44,0,0,12,14,8,4,4,0,0,44,0,0,0,0,0,0,4,0,0,5,0,0,3,3,4,3,4,0,0,22,10,10,21,13,20,27,15,6,4,122,11,64,262,268,221,206,101,25,7,1170,0,5,14,15,24,7,8,0,0,67,0,3,9,12,10,9,4,0,0,50,0,0,0,8,0,8,5,0,5,20,0,0,3,0,0,0,3,0,0,10,0,0,3,3,3,0,0,0,0,15
801011009,0,4,12,13,14,7,7,0,0,52,0,0,0,3,0,0,3,0,0,14,0,0,3,0,4,3,0,4,0,16,0,3,0,4,3,0,0,0,0,15,0,0,4,0,0,0,0,0,0,12,0,6,13,23,13,22,13,9,0,93,0,6,15,22,23,32,19,4,0,107,0,8,45,43,47,34,27,5,0,202,0,3,37,54,31,22,16,3,0,163,0,4,11,18,10,0,0,0,0,42,3,10,15,8,0,4,4,0,0,47,0,3,0,0,0,0,0,0,0,3,0,0,6,3,0,5,3,0,0,15,8,9,8,4,9,11,16,6,0,71,8,38,158,199,160,143,114,26,3,859,0,4,11,12,13,9,3,0,0,49,0,6,5,5,5,4,0,4,0,33,0,0,0,0,0,6,3,0,0,6,0,0,4,0,4,0,0,0,0,12,0,0,0,0,10,3,0,0,0,16
801011010,0,0,7,5,5,3,0,0,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,3,0,3,0,0,0,0,10,0,0,0,0,4,0,0,0,0,11,0,5,7,9,19,21,3,5,0,73,0,5,6,20,13,15,16,3,0,80,0,8,15,36,21,26,14,0,0,122,3,6,14,33,14,20,15,0,0,113,0,0,5,13,3,4,3,0,0,23,0,4,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,7,5,7,8,6,5,8,4,0,48,10,22,71,123,108,108,73,22,0,533,0,0,5,9,10,3,3,0,0,28,0,0,0,0,0,0,4,0,0,7,0,0,0,3,4,0,4,0,0,7,0,0,0,3,0,3,0,0,0,3,0,0,0,5,5,0,0,0,0,14
