SA2_CODE_2021,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85over,C11_P_FoodHos_PS_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85over,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85over,C11_P_FldStu_ID_Tot,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85over,C11_P_FldStu_NS_Tot,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_NatPhy_sci_15_19,C16_P_NatPhy_sci_20_24,C16_P_NatPhy_sci_25_34,C16_P_NatPhy_sci_35_44,C16_P_NatPhy_sci_45_54,C16_P_NatPhy_sci_55_64,C16_P_NatPhy_sci_65_74,C16_P_NatPhy_sci_75_84,C16_P_NatPhy_sci_85over,C16_P_NatPhy_sci_Tot,C16_P_InfTec_15_19,C16_P_InfTec_20_24,C16_P_InfTec_25_34,C16_P_InfTec_35_44,C16_P_InfTec_45_54,C16_P_InfTec_55_64,C16_P_InfTec_65_74,C16_P_InfTec_75_84,C16_P_InfTec_85over,C16_P_InfTec_Tot,C16_P_EngRT_15_19,C16_P_EngRT_20_24,C16_P_EngRT_25_34,C16_P_EngRT_35_44,C16_P_EngRT_45_54,C16_P_EngRT_55_64,C16_P_EngRT_65_74,C16_P_EngRT_75_84,C16_P_EngRT_85over,C16_P_EngRT_Tot,C16_P_ArchBuild_15_19,C16_P_ArchBuild_20_24,C16_P_ArchBuild_25_34,C16_P_ArchBuild_35_44,C16_P_ArchBuild_45_54,C16_P_ArchBuild_55_64,C16_P_ArchBuild_65_74,C16_P_ArchBuild_75_84,C16_P_ArchBuild_85over,C16_P_ArchBuild_Tot,C16_P_AgEnv_RS_15_19,C16_P_AgEnv_RS_20_24,C16_P_AgEnv_RS_25_34,C16_P_AgEnv_RS_35_44,C16_P_AgEnv_RS_45_54,C16_P_AgEnv_RS_55_64,C16_P_AgEnv_RS_65_74,C16_P_AgEnv_RS_75_84,C16_P_AgEnv_RS_85over,C16_P_AgEnv_RS_Tot,C16_P_Health_15_19,C16_P_Health_20_24,C16_P_Health_25_34,C16_P_Health_35_44,C16_P_Health_45_54,C16_P_Health_55_64,C16_P_Health_65_74,C16_P_Health_75_84,C16_P_Health_85over,C16_P_Health_Tot,C16_P_Educ_15_19,C16_P_Educ_20_24,C16_P_Educ_25_34,C16_P_Educ_35_44,C16_P_Educ_45_54,C16_P_Educ_55_64,C16_P_Educ_65_74,C16_P_Educ_75_84,C16_P_Educ_85over,C16_P_Educ_Tot,C16_P_MngtCom_15_19,C16_P_MngtCom_20_24,C16_P_MngtCom_25_34,C16_P_MngtCom_35_44,C16_P_MngtCom_45_54,C16_P_MngtCom_55_64,C16_P_MngtCom_65_74,C16_P_MngtCom_75_84,C16_P_MngtCom_85over,C16_P_MngtCom_Tot,C16_P_Soc_cult_15_19,C16_P_Soc_cult_20_24,C16_P_Soc_cult_25_34,C16_P_Soc_cult_35_44,C16_P_Soc_cult_45_54,C16_P_Soc_cult_55_64,C16_P_Soc_cult_65_74,C16_P_Soc_cult_75_84,C16_P_Soc_cult_85over,C16_P_Soc_cult_Tot,C16_P_Creative_art_15_19,C16_P_Creative_art_20_24,C16_P_Creative_art_25_34,C16_P_Creative_art_35_44,C16_P_Creative_art_45_54,C16_P_Creative_art_55_64,C16_P_Creative_art_65_74,C16_P_Creative_art_75_84,C16_P_Creative_art_85over,C16_P_Creative_art_Tot,C16_P_FoodHos_PS_15_19,C16_P_FoodHos_PS_20_24,C16_P_FoodHos_PS_25_34,C16_P_FoodHos_PS_35_44,C16_P_FoodHos_PS_45_54,C16_P_FoodHos_PS_55_64,C16_P_FoodHos_PS_65_74,C16_P_FoodHos_PS_75_84,C16_P_FoodHos_PS_85over,C16_P_FoodHos_PS_Tot,C16_P_MixFld_pr_15_19,C16_P_MixFld_pr_20_24,C16_P_MixFld_pr_25_34,C16_P_MixFld_pr_35_44,C16_P_MixFld_pr_45_54,C16_P_MixFld_pr_55_64,C16_P_MixFld_pr_65_74,C16_P_MixFld_pr_75_84,C16_P_MixFld_pr_85over,C16_P_MixFld_pr_Tot,C16_P_FldStu_ID_15_19,C16_P_FldStu_ID_20_24,C16_P_FldStu_ID_25_34,C16_P_FldStu_ID_35_44,C16_P_FldStu_ID_45_54,C16_P_FldStu_ID_55_64,C16_P_FldStu_ID_65_74,C16_P_FldStu_ID_75_84,C16_P_FldStu_ID_85over,C16_P_FldStu_ID_Tot,C16_P_FldStu_NS_15_19,C16_P_FldStu_NS_20_24,C16_P_FldStu_NS_25_34,C16_P_FldStu_NS_35_44,C16_P_FldStu_NS_45_54,C16_P_FldStu_NS_55_64,C16_P_FldStu_NS_65_74,C16_P_FldStu_NS_75_84,C16_P_FldStu_NS_85over,C16_P_FldStu_NS_Tot,C16_P_Tot_15_19,C16_P_Tot_20_24,C16_P_Tot_25_34,C16_P_Tot_35_44,C16_P_Tot_45_54,C16_P_Tot_55_64,C16_P_Tot_65_74,C16_P_Tot_75_84,C16_P_Tot_85over,C16_P_Tot_Tot
801011001,0,3,8,3,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,7,4,0,0,28,14,12,15,18,23,23,28,44,41,220,25,92,211,274,321,250,207,122,58,1557,0,7,4,20,45,28,38,20,3,161,0,6,15,21,17,23,0,0,0,91,0,5,12,13,18,15,19,15,3,99,0,0,5,6,5,6,5,3,0,38,0,0,3,13,11,6,0,0,0,39,0,0,12,13,25,24,13,7,5,101,0,0,13,23,20,28,33,15,4,134,0,13,37,54,45,25,16,7,4,212,0,12,42,72,70,71,66,23,4,364,0,0,17,26,25,14,4,3,0,85,0,0,4,7,3,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7,3,0,0,0,21,9,0,7,18,23,10,15,14,0,92,9,58,184,285,315,245,217,104,32,1459
801011002,0,30,41,10,7,5,0,0,0,95,0,0,0,0,0,0,0,0,0,3,0,9,10,5,8,4,0,0,0,43,49,121,190,63,50,33,25,46,46,617,68,468,1221,419,261,183,127,120,69,2939,0,64,139,42,12,14,12,4,0,299,6,49,178,93,41,15,4,0,0,386,0,37,117,63,24,16,19,22,10,306,0,13,47,15,3,6,3,0,0,99,0,4,20,14,7,3,0,0,0,45,0,39,179,37,26,21,7,5,10,332,0,19,64,21,16,21,21,17,4,193,9,208,411,153,69,44,38,20,9,958,4,118,378,169,70,43,21,14,14,830,5,29,76,41,14,13,9,4,0,192,0,24,52,26,8,11,0,0,0,125,0,4,0,0,0,0,0,0,0,10,0,11,29,8,10,4,7,0,3,69,11,97,199,92,60,40,30,19,30,572,37,724,1897,772,359,252,174,116,89,4419
801011003,9,22,28,12,9,3,5,5,0,93,0,9,0,0,0,0,0,0,0,7,3,14,12,8,11,4,0,0,0,50,173,385,162,44,31,34,13,44,64,948,224,914,1293,495,403,340,155,117,93,4036,6,55,100,46,32,39,13,5,3,298,0,45,136,92,35,35,4,0,0,357,3,44,121,55,27,36,28,14,5,325,0,18,31,18,3,9,0,3,0,90,6,10,21,8,0,4,5,0,0,55,4,48,186,63,40,24,13,15,3,401,0,24,66,34,20,30,34,8,4,229,10,172,370,157,76,71,39,22,11,933,8,119,307,131,77,87,67,24,9,831,3,45,66,24,12,5,0,4,0,177,3,22,40,26,4,7,5,0,0,113,0,0,0,0,0,0,0,0,0,3,0,4,25,7,7,7,5,0,0,54,64,148,105,41,35,26,30,34,69,550,111,767,1569,702,378,390,256,132,108,4420
801011004,0,5,30,14,3,15,8,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,0,0,0,20,27,24,44,37,34,23,10,8,5,217,44,89,354,312,199,190,88,26,15,1318,0,4,11,11,8,7,0,0,0,37,0,0,30,13,13,7,6,0,0,73,0,11,33,35,19,17,21,10,8,146,0,10,30,18,12,13,7,3,0,85,0,0,3,3,5,6,0,0,0,24,0,8,22,24,15,8,3,0,0,80,0,0,28,32,13,20,8,6,0,100,4,15,60,74,31,30,34,6,4,254,0,18,54,57,39,35,14,3,4,234,0,3,18,19,4,0,0,6,0,56,3,6,24,24,9,12,3,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,4,0,0,0,23,17,16,43,31,20,27,17,16,3,190,24,90,362,341,198,179,129,53,18,1395
801011005,0,0,15,9,8,0,5,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,4,4,0,0,31,7,6,19,16,14,10,16,17,14,111,17,81,361,426,299,273,202,86,25,1774,0,0,28,53,42,39,29,17,0,211,3,5,9,34,19,14,9,0,0,94,0,7,17,27,28,10,8,15,0,117,0,0,12,19,14,0,13,6,4,62,0,5,3,16,12,3,0,0,0,43,0,3,20,31,22,24,11,9,9,121,0,3,19,25,26,26,23,16,6,143,0,12,38,63,41,29,39,17,0,243,0,8,67,96,87,63,64,25,3,419,0,5,30,26,27,6,14,0,0,115,0,5,4,5,11,3,3,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,8,0,5,5,30,4,3,15,20,14,19,13,10,0,104,12,56,272,418,342,262,212,127,25,1735
801011006,6,19,56,43,20,8,4,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,15,17,8,12,0,0,0,53,45,29,42,58,26,29,18,11,0,257,66,194,938,914,496,303,116,40,10,3076,0,3,35,45,40,14,8,0,0,151,0,12,42,77,44,17,3,0,0,194,0,9,64,89,66,47,23,9,3,317,0,14,32,39,31,13,7,4,0,144,0,3,15,10,11,9,3,0,0,53,0,10,48,67,49,42,18,4,4,245,0,7,57,90,31,41,19,3,0,254,10,40,171,235,152,78,37,8,3,724,5,29,125,142,98,53,25,9,3,494,3,9,41,38,16,12,7,7,0,130,4,17,44,51,30,12,6,4,0,167,0,0,0,0,0,0,0,0,0,4,0,0,8,10,11,7,0,0,0,50,24,22,40,66,41,27,21,9,0,249,45,177,717,966,626,373,191,69,18,3175
801011007,0,11,27,28,13,4,9,4,0,92,0,0,0,0,0,0,0,0,0,0,0,0,8,15,5,9,0,0,0,39,14,9,30,30,28,38,17,14,8,182,35,161,588,681,493,450,157,48,14,2630,0,0,16,33,39,21,16,4,0,131,0,12,28,49,24,21,8,0,0,143,0,7,46,58,57,57,41,10,0,283,0,4,39,33,29,15,15,0,0,139,0,0,13,20,9,9,0,0,0,62,0,8,44,40,37,28,13,3,0,180,0,7,41,58,45,27,31,8,0,207,7,26,110,137,93,91,55,7,0,525,8,21,88,121,100,71,51,10,3,470,0,9,33,40,13,8,6,0,0,117,3,9,29,32,8,11,3,5,0,100,0,0,0,0,0,0,0,0,0,9,0,0,9,13,9,8,0,0,0,42,29,33,42,64,57,61,39,16,7,345,48,151,534,694,526,438,291,60,17,2754
801011008,7,21,22,16,23,12,0,5,0,95,0,3,0,0,0,0,0,0,0,6,0,0,8,9,5,5,7,3,0,38,29,17,56,33,34,33,23,20,5,242,54,188,573,485,515,341,147,74,15,2390,0,9,32,33,35,36,10,0,3,156,6,21,46,40,41,19,7,0,0,185,0,4,25,46,54,52,29,20,3,237,0,10,22,16,18,14,13,7,3,94,0,4,14,9,4,0,6,0,0,40,0,6,46,37,36,33,17,6,0,181,0,3,29,29,28,31,19,9,3,155,3,39,105,119,90,87,33,7,0,475,8,24,78,103,77,88,39,5,3,422,0,7,33,16,12,15,0,0,0,83,0,4,17,21,15,8,6,3,0,74,0,0,4,0,0,0,4,0,0,4,0,0,3,9,8,4,5,4,0,33,13,25,41,32,37,39,23,12,4,219,24,158,499,504,441,432,216,78,19,2365
801011009,9,8,14,22,13,10,3,0,0,76,0,0,0,0,0,0,0,0,0,0,0,4,0,6,8,6,0,0,0,24,24,17,34,51,55,37,40,13,4,282,40,101,310,395,366,353,187,34,14,1794,0,3,16,18,20,22,26,4,0,114,5,0,20,30,28,10,11,0,0,102,0,7,33,24,33,36,31,13,3,189,4,7,24,30,17,9,15,5,0,111,0,3,4,4,4,0,0,0,0,26,0,10,16,25,15,25,15,7,0,118,0,4,21,24,31,33,22,4,0,136,0,9,63,87,59,53,43,7,0,331,0,7,41,76,46,47,48,6,0,276,0,10,17,19,20,0,8,3,0,75,4,4,16,23,13,6,5,0,0,72,0,3,0,0,0,0,0,0,0,3,0,0,6,5,0,5,10,0,0,36,9,6,20,19,22,21,19,10,3,134,18,72,308,395,313,281,255,66,13,1717
801011010,4,3,8,14,8,3,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,15,7,5,9,8,12,10,4,0,0,50,17,51,168,211,203,246,85,22,3,1007,0,5,11,9,9,20,12,4,0,61,0,0,3,13,15,13,4,0,0,51,0,4,16,13,30,30,25,6,0,120,6,6,12,13,16,3,5,4,0,68,0,0,3,3,11,0,6,0,0,27,0,7,10,13,23,28,8,3,0,96,0,5,14,22,22,20,25,7,0,107,0,8,20,51,34,30,34,3,0,187,3,4,22,51,31,29,30,8,0,192,0,0,8,13,9,3,4,0,0,43,0,0,0,5,4,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,15,8,6,11,20,18,16,16,7,0,97,18,42,136,230,221,208,176,43,4,1071
