SA2_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
801011001,0,8,16,30,41,42,29,23,9,194,0,7,14,33,18,18,5,0,0,102,0,4,25,14,21,13,15,16,7,113,0,10,10,10,4,10,0,5,0,46,0,4,3,0,12,15,3,4,3,44,0,4,23,21,22,25,23,7,3,132,0,0,9,25,20,27,24,14,4,133,0,12,44,59,57,44,20,13,0,262,0,10,53,72,84,78,60,47,8,412,0,7,10,19,19,16,5,0,0,84,0,0,5,4,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8,0,10,0,33,3,8,6,11,7,7,15,8,5,87,8,77,231,322,302,306,207,149,46,1652
801011002,0,64,135,57,20,12,12,17,9,320,4,130,392,103,47,35,9,3,0,715,0,24,216,80,36,13,20,20,22,443,0,23,69,27,9,12,8,4,0,154,0,5,26,6,8,6,8,3,4,60,0,96,277,86,35,31,14,19,4,568,0,24,107,61,25,26,40,32,10,325,9,155,708,259,92,60,37,31,16,1370,6,156,457,213,117,60,37,31,21,1097,5,27,128,47,19,8,8,5,3,257,5,28,93,34,16,8,5,0,0,185,0,0,0,0,0,0,0,0,0,3,0,13,39,11,9,3,0,0,5,76,12,77,184,80,48,33,15,15,16,480,29,825,2837,1066,479,308,214,179,112,6054
801011003,0,50,131,61,35,34,39,11,7,372,3,76,204,99,48,44,12,5,0,493,0,18,135,68,37,40,39,15,6,361,0,27,41,12,8,9,9,3,0,109,3,9,24,6,10,3,6,3,0,63,10,88,184,71,37,46,25,16,8,479,3,27,79,52,33,30,57,34,14,328,11,102,355,214,125,88,68,23,15,994,8,132,330,194,97,80,69,40,15,964,0,42,93,39,28,3,4,0,5,217,6,25,51,23,10,7,0,8,3,138,0,6,4,0,0,0,3,0,0,12,0,8,17,15,8,3,0,4,3,70,26,57,87,45,21,29,18,11,16,313,80,672,1739,896,495,401,349,186,95,4918
801011004,0,0,7,11,11,7,8,0,0,45,0,0,40,18,11,7,6,3,0,84,0,5,35,28,32,16,26,7,0,158,0,4,30,26,13,8,12,4,0,95,0,3,8,10,7,0,6,0,0,34,0,5,29,33,22,8,12,0,0,109,3,4,27,38,14,19,17,5,0,121,5,3,58,79,55,24,23,9,4,261,0,11,49,61,51,45,29,5,4,254,0,4,17,23,12,4,0,3,0,67,4,4,19,25,19,11,9,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,9,5,7,3,5,0,0,24,12,4,44,26,23,11,15,7,0,149,26,59,367,380,278,174,149,53,12,1506
801011005,0,7,41,40,55,37,34,20,8,234,0,3,13,33,19,13,11,4,0,97,0,0,22,21,30,19,5,22,3,129,0,0,9,18,15,9,8,5,0,53,0,0,10,10,24,13,5,8,0,64,0,6,24,29,26,22,22,6,4,137,0,0,33,30,27,27,28,26,0,172,0,8,38,56,61,44,33,20,3,270,3,11,80,120,103,64,70,27,9,482,0,4,23,28,32,14,12,7,0,112,3,0,10,6,0,7,0,5,0,44,0,0,0,4,0,0,0,0,0,4,0,0,0,4,5,11,5,0,0,22,0,9,20,17,13,14,13,8,7,109,8,53,332,417,403,282,243,155,41,1935
801011006,0,0,30,35,39,29,17,4,0,158,3,16,43,87,62,36,8,0,0,257,0,11,56,70,79,49,30,14,3,313,0,23,51,27,40,19,9,5,0,169,0,0,15,12,8,12,8,0,0,61,0,23,60,65,75,38,30,6,4,297,6,11,62,87,74,39,27,10,0,312,3,21,116,257,221,98,53,15,0,779,4,21,113,170,123,80,42,9,0,571,0,9,19,47,20,15,10,4,0,126,14,14,32,50,45,15,10,3,0,179,0,0,0,0,0,0,5,0,0,4,0,4,3,26,6,8,4,4,3,60,27,18,35,42,56,33,9,5,0,233,71,179,642,969,838,472,249,89,19,3528
801011007,0,5,26,32,37,26,25,4,0,152,0,9,40,60,37,26,13,0,0,189,0,13,64,62,64,46,53,18,0,319,0,9,50,44,31,22,6,0,4,164,0,6,14,20,28,7,8,0,0,77,3,8,57,46,41,34,25,3,3,230,0,8,42,49,54,32,28,5,3,224,8,15,103,133,128,89,69,20,0,569,0,30,122,104,117,90,58,30,4,551,4,7,37,46,24,7,4,6,0,139,7,9,29,33,19,15,5,3,0,117,0,0,0,0,0,0,0,0,0,3,3,3,4,14,18,6,8,0,3,52,17,17,29,22,23,25,15,8,0,161,47,144,610,662,612,435,317,101,14,2951
801011008,0,8,30,33,40,27,18,11,4,171,6,19,62,59,42,36,14,6,0,239,0,17,40,43,41,40,45,16,8,251,0,10,21,13,12,14,12,10,0,92,0,5,10,7,11,3,4,3,0,43,0,20,51,52,36,42,25,6,0,227,0,7,30,34,29,29,28,20,4,177,4,28,133,111,77,85,47,15,0,500,0,17,81,122,79,93,61,22,0,468,0,3,26,19,14,7,4,0,0,79,5,12,32,17,14,13,8,3,0,103,0,0,0,0,0,0,0,0,0,0,0,0,11,4,8,9,4,5,0,47,0,11,34,38,27,24,17,7,4,169,18,151,555,558,436,430,287,115,24,2574
801011009,0,7,17,15,21,18,25,10,0,115,0,13,44,27,28,14,9,9,0,144,0,4,38,30,19,42,30,14,4,184,3,8,36,24,35,13,4,3,0,135,0,0,0,10,11,3,0,4,0,31,4,9,28,33,24,20,27,7,0,156,0,5,40,37,34,40,26,10,0,197,5,9,43,89,87,51,40,13,0,335,0,23,60,93,62,54,49,17,0,360,0,13,17,24,16,13,6,5,0,83,9,4,25,10,16,14,9,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,6,12,7,6,5,5,0,39,11,3,21,25,21,11,20,4,3,117,26,98,380,427,384,302,254,108,14,1992
801011010,0,0,7,10,15,12,18,3,4,69,0,5,11,17,9,17,10,0,0,68,0,0,19,17,26,32,26,8,0,121,0,0,17,18,15,3,14,6,0,67,0,0,6,10,6,6,3,4,0,36,0,0,13,17,18,25,17,11,0,97,0,0,6,17,35,23,22,7,3,114,0,0,21,63,52,32,36,7,0,220,0,7,25,50,43,32,42,17,0,208,0,10,6,8,9,9,11,0,0,46,4,0,13,0,0,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,0,0,6,15,0,0,7,15,8,3,3,4,0,46,4,33,141,241,234,195,206,65,9,1136
