SA2_CODE_2021,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Not_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Not_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot,C11_M_25_29_Tot_LF,C11_M_25_29_Not_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Not_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Not_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Not_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Not_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Not_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Not_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Not_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Not_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Not_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75over_Em_FT,C11_M_75over_Em_PT,C11_M_75over_Em_AFW,C11_M_75over_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75over_Unem_Look_FT,C11_M_75over_Unem_Look_PT,C11_M_75over_Unem_Tot,C11_M_75over_Tot_LF,C11_M_75ove_Not_LF,C11_M_75over_LF_NS,C11_M_75over_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_Tot_Tot_labo_for,C11_M_Tot_Not_LF,C11_M_Tot_LF_NS,C11_M_Tot_Tot,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Not_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Not_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot
801011001,3,25,0,3,41,5,6,5,43,51,7,102,22,14,3,0,34,0,0,3,43,18,8,70,48,4,3,0,63,4,4,7,66,0,5,76,35,0,0,0,42,0,0,0,44,0,0,47,55,12,9,0,74,0,0,0,71,5,0,79,53,9,0,0,64,0,0,0,64,3,6,75,62,8,3,0,81,0,0,0,80,3,3,86,68,0,3,0,78,0,0,0,80,4,3,81,47,6,0,0,55,0,0,0,55,11,3,67,30,13,5,0,44,0,0,0,44,16,4,67,15,10,5,0,26,0,0,0,26,36,4,63,0,3,0,0,8,0,0,0,8,55,6,64,5,3,0,0,5,0,0,0,5,88,5,102,449,117,30,10,609,11,12,18,623,293,60,975,7,16,0,0,22,0,6,6,26,40,0,71,24,30,4,0,62,3,0,3,67,17,6,87,37,11,0,0,52,0,0,0
801011002,7,26,3,4,36,6,14,18,56,37,20,114,121,79,15,0,222,5,15,24,245,63,63,374,274,44,5,4,324,8,5,8,337,30,63,433,220,22,10,4,251,6,9,13,268,29,39,336,109,15,0,0,131,5,0,8,138,10,18,164,72,12,11,0,88,7,0,9,104,19,19,131,62,12,3,3,79,4,0,8,85,18,18,120,51,10,0,0,56,4,0,3,67,6,8,81,36,8,0,0,37,0,0,3,39,15,7,71,17,7,4,0,29,0,0,0,32,20,9,51,6,4,0,0,10,0,0,0,10,29,5,45,0,0,0,0,0,0,0,0,0,34,5,45,4,0,0,0,4,0,0,0,4,74,34,109,976,238,56,18,1281,52,46,104,1382,385,304,2071,3,24,0,4,42,0,15,15,51,56,0,116,156,126,9,12,304,18,33,49,347,209,38,595,324,81,10,5,425,20,10,27
801011003,20,69,3,0,98,6,18,25,117,113,85,313,203,183,20,10,409,8,44,51,466,169,181,810,289,67,6,3,376,5,12,18,386,59,47,499,186,21,5,4,223,7,0,9,227,28,21,282,131,7,0,0,147,3,0,0,147,8,12,169,94,14,6,0,109,0,0,0,109,8,10,121,81,7,3,3,92,0,0,0,95,7,9,110,90,7,6,5,105,3,0,4,109,4,3,110,84,11,0,0,94,3,0,3,100,14,9,125,43,16,3,0,59,0,0,0,59,26,7,94,9,7,0,3,18,0,0,0,20,43,0,62,4,4,0,0,9,0,0,0,9,35,4,44,0,6,0,0,6,0,0,0,6,72,31,99,1225,414,58,29,1737,27,79,111,1840,580,422,2841,9,52,4,6,78,4,19,28,100,124,19,248,148,207,13,27,400,6,35,49,440,286,72,795,292,100,17,9,410,8,14,21
801011004,19,32,5,0,51,3,9,8,59,39,13,116,55,22,0,3,87,3,0,4,87,6,10,108,89,12,0,0,104,4,0,4,113,8,11,132,93,13,6,5,117,4,0,7,115,13,8,137,89,16,3,5,110,5,0,5,114,7,6,124,76,11,5,0,87,0,0,0,92,17,6,119,45,12,3,0,51,0,0,0,55,5,0,69,53,5,4,0,55,0,0,0,59,9,3,69,45,12,5,0,59,0,0,0,59,15,7,83,29,12,4,0,44,0,0,0,45,21,4,70,12,5,0,0,20,0,0,0,20,34,3,53,0,0,0,0,0,0,0,0,4,29,3,35,0,0,0,0,0,0,0,0,0,37,0,35,603,148,27,21,792,22,9,34,830,247,77,1154,18,19,3,0,42,5,7,11,51,30,0,86,48,31,3,0,82,6,0,8,92,15,8,107,80,11,3,9,102,11,6,12
801011005,5,14,0,0,22,3,0,6,27,38,0,68,42,32,0,0,70,3,3,7,79,15,4,97,61,17,3,0,80,3,0,3,80,8,0,93,64,20,3,0,95,0,0,0,91,0,8,102,85,15,0,0,103,0,0,6,106,3,3,118,87,12,9,0,101,3,0,3,107,11,0,120,59,3,0,0,66,7,3,9,75,0,0,81,67,10,9,0,84,0,0,0,84,11,3,100,44,13,0,0,56,0,0,5,59,14,0,70,27,13,3,0,46,0,0,0,46,23,6,73,7,9,0,0,15,0,0,0,20,46,3,66,6,6,0,0,7,0,0,0,7,59,3,70,0,3,0,0,3,0,0,0,3,78,8,85,545,162,28,12,752,24,12,37,787,313,45,1148,0,18,0,0,21,0,7,6,28,39,3,72,16,35,0,0,55,0,0,3,59,16,0,74,31,15,7,0,56,0,0,0
801011006,36,61,3,5,106,4,13,19,127,117,10,254,103,40,3,0,154,9,5,14,168,15,13,193,229,22,9,4,264,8,0,8,270,12,9,291,282,24,5,0,316,6,0,6,315,3,7,329,278,35,6,3,319,3,0,3,329,11,11,346,234,21,15,4,278,5,0,5,285,13,8,303,175,18,3,7,208,8,3,7,215,8,3,229,133,10,8,0,156,3,0,3,158,10,6,182,91,14,0,0,112,0,0,5,112,22,0,130,48,12,5,0,66,0,0,0,66,46,9,118,7,12,0,0,12,0,0,0,12,34,0,54,0,0,0,0,0,0,0,0,0,43,8,51,0,0,0,0,0,0,0,0,0,43,3,46,1625,273,69,27,1997,43,22,67,2063,383,78,2522,33,69,11,0,113,8,16,24,139,105,11,260,105,60,3,4,173,8,0,11,181,23,6,205,147,22,6,10,172,8,0,7
801011007,23,45,3,0,73,4,7,13,90,96,7,187,79,41,9,3,131,3,0,7,145,18,0,164,138,30,4,0,174,11,5,11,188,3,4,197,154,18,12,4,194,0,0,0,195,10,0,201,181,18,6,0,202,4,0,4,210,13,0,221,173,20,5,8,201,7,0,7,210,8,6,217,155,12,4,0,172,4,0,4,171,5,6,183,125,14,13,0,152,8,0,8,156,9,0,165,102,16,9,0,132,0,0,4,129,33,4,168,80,14,10,0,99,5,0,5,106,89,3,200,13,15,0,0,33,0,0,0,33,55,0,91,7,3,0,0,6,0,0,0,6,37,5,49,0,0,0,0,0,0,0,0,0,42,4,48,1225,244,68,30,1568,43,17,61,1632,427,41,2099,14,52,0,4,66,11,12,21,91,72,6,169,73,45,0,0,125,5,5,15,134,23,10,173,99,22,4,0,127,9,3,10
801011008,22,73,4,3,107,4,12,17,121,101,0,231,101,63,4,8,179,10,3,10,185,28,8,225,114,28,3,4,142,7,0,10,150,19,13,177,120,23,0,0,149,0,4,5,158,12,12,176,115,24,3,0,143,4,0,8,147,14,7,169,103,10,5,3,128,0,0,0,132,16,0,141,117,16,0,4,141,3,0,3,144,21,12,174,140,22,7,0,174,0,0,0,178,16,5,202,105,14,0,0,118,0,0,9,124,32,8,161,55,18,8,0,79,0,0,0,77,41,5,125,8,9,4,0,21,0,0,0,19,64,0,89,8,3,0,0,11,0,0,0,11,37,0,44,0,3,0,0,4,0,0,0,4,75,5,84,1016,298,48,29,1388,38,30,68,1457,466,73,2000,19,45,0,3,64,3,11,17,81,67,3,154,87,59,3,5,149,12,8,16,166,42,11,221,99,24,0,0,124,8,0,15
801011009,22,33,4,0,63,3,11,13,76,51,7,134,48,38,6,3,93,5,0,3,94,7,13,116,61,12,0,0,75,4,0,4,73,8,10,91,81,16,0,0,101,0,0,0,100,8,12,111,102,11,4,6,118,0,0,5,122,8,8,140,98,9,0,0,107,0,0,0,110,9,15,129,79,8,6,0,92,0,0,0,92,10,14,120,83,11,6,0,106,0,0,0,106,5,3,119,64,8,5,4,80,0,0,3,79,16,9,108,61,16,8,0,81,3,0,3,89,43,7,135,13,8,6,0,26,0,0,0,32,68,11,111,3,8,0,0,6,0,0,0,6,36,0,46,0,0,0,0,0,0,0,0,0,45,4,50,732,180,36,13,953,19,16,28,980,322,116,1414,11,28,0,0,41,0,6,8,51,57,3,109,42,26,0,0,72,4,0,3,78,8,3,95,67,6,0,0,72,4,4,6
801011010,13,27,3,0,42,0,0,0,40,23,7,74,41,26,0,0,70,0,0,0,68,17,0,92,37,3,0,0,46,4,0,3,48,5,0,55,52,6,7,0,65,4,0,4,65,6,3,71,53,7,5,0,63,0,0,0,67,5,6,68,54,6,0,0,68,0,0,0,68,7,0,80,46,3,6,3,58,0,0,4,63,3,0,65,40,5,5,0,56,0,3,3,54,7,4,68,46,18,5,0,67,0,0,0,68,15,0,83,35,22,4,0,62,0,0,0,62,35,0,97,9,9,0,0,18,0,0,0,18,35,0,57,0,0,0,0,6,0,0,0,6,19,0,23,0,0,0,0,0,0,0,0,0,27,0,27,441,126,34,7,607,11,9,18,627,207,14,849,3,13,3,0,25,0,6,6,25,34,0,65,18,8,4,0,29,0,0,3,36,3,0,37,32,3,4,0,39,3,4,3
