SA2_CODE_2021,C16_M_25_29_Tot_LF,C16_M_25_29_Not_LF,C16_M_25_29_LF_NS,C16_M_25_29_Tot,C16_M_30_34_Em_FT,C16_M_30_34_Em_PT,C16_M_30_34_Em_AFW,C16_M_30_34_Em_Hrs_NS,C16_M_30_34_Em_Tot,C16_M_30_34_Unem_Look_FT,C16_M_30_34_Unem_Look_PT,C16_M_30_34_Unem_Tot,C16_M_30_34_Tot_LF,C16_M_30_34_Not_LF,C16_M_30_34_LF_NS,C16_M_30_34_Tot,C16_M_35_39_Em_FT,C16_M_35_39_Em_PT,C16_M_35_39_Em_AFW,C16_M_35_39_Em_Hrs_NS,C16_M_35_39_Em_Tot,C16_M_35_39_Unem_Look_FT,C16_M_35_39_Unem_Look_PT,C16_M_35_39_Unem_Tot,C16_M_35_39_Tot_LF,C16_M_35_39_Not_LF,C16_M_35_39_LF_NS,C16_M_35_39_Tot,C16_M_40_44_Em_FT,C16_M_40_44_Em_PT,C16_M_40_44_Em_AFW,C16_M_40_44_Em_Hrs_NS,C16_M_40_44_Em_Tot,C16_M_40_44_Unem_Look_FT,C16_M_40_44_Unem_Look_PT,C16_M_40_44_Unem_Tot,C16_M_40_44_Tot_LF,C16_M_40_44_Not_LF,C16_M_40_44_LF_NS,C16_M_40_44_Tot,C16_M_45_49_Em_FT,C16_M_45_49_Em_PT,C16_M_45_49_Em_AFW,C16_M_45_49_Em_Hrs_NS,C16_M_45_49_Em_Tot,C16_M_45_49_Unem_Look_FT,C16_M_45_49_Unem_Look_PT,C16_M_45_49_Unem_Tot,C16_M_45_49_Tot_LF,C16_M_45_49_Not_LF,C16_M_45_49_LF_NS,C16_M_45_49_Tot,C16_M_50_54_Em_FT,C16_M_50_54_Em_PT,C16_M_50_54_Em_AFW,C16_M_50_54_Em_Hrs_NS,C16_M_50_54_Em_Tot,C16_M_50_54_Unem_Look_FT,C16_M_50_54_Unem_Look_PT,C16_M_50_54_Unem_Tot,C16_M_50_54_Tot_LF,C16_M_50_54_Not_LF,C16_M_50_54_LF_NS,C16_M_50_54_Tot,C16_M_55_59_Em_FT,C16_M_55_59_Em_PT,C16_M_55_59_Em_AFW,C16_M_55_59_Em_Hrs_NS,C16_M_55_59_Em_Tot,C16_M_55_59_Unem_Look_FT,C16_M_55_59_Unem_Look_PT,C16_M_55_59_Unem_Tot,C16_M_55_59_Tot_LF,C16_M_55_59_Not_LF,C16_M_55_59_LF_NS,C16_M_55_59_Tot,C16_M_60_64_Em_FT,C16_M_60_64_Em_PT,C16_M_60_64_Em_AFW,C16_M_60_64_Em_Hrs_NS,C16_M_60_64_Em_Tot,C16_M_60_64_Unem_Look_FT,C16_M_60_64_Unem_Look_PT,C16_M_60_64_Unem_Tot,C16_M_60_64_Tot_LF,C16_M_60_64_Not_LF,C16_M_60_64_LF_NS,C16_M_60_64_Tot,C16_M_65_69_Em_FT,C16_M_65_69_Em_PT,C16_M_65_69_Em_AFW,C16_M_65_69_Em_Hrs_NS,C16_M_65_69_Em_Tot,C16_M_65_69_Unem_Look_FT,C16_M_65_69_Unem_Look_PT,C16_M_65_69_Unem_Tot,C16_M_65_69_Tot_LF,C16_M_65_69_Not_LF,C16_M_65_69_LF_NS,C16_M_65_69_Tot,C16_M_70_74_Em_FT,C16_M_70_74_Em_PT,C16_M_70_74_Em_AFW,C16_M_70_74_Em_Hrs_NS,C16_M_70_74_Em_Tot,C16_M_70_74_Unem_Look_FT,C16_M_70_74_Unem_Look_PT,C16_M_70_74_Unem_Tot,C16_M_70_74_Tot_LF,C16_M_70_74_Not_LF,C16_M_70_74_LF_NS,C16_M_70_74_Tot,C16_M_75over_Em_FT,C16_M_75over_Em_PT,C16_M_75over_Em_AFW,C16_M_75over_Em_Hrs_NS,C16_M_75over_Em_Tot,C16_M_75over_Unem_Lo_ft_wor,C16_M_75over_Unem_Lo_pt_wor,C16_M_75over_Unempl_Tot,C16_M_75over_Tot_LF,C16_M_75over_Not_LF,C16_M_75over_LF_NS,C16_M_75over_Tot,C16_M_Tot_Em_FT,C16_M_Tot_Em_PT,C16_M_Tot_Em_AFW,C16_M_Tot_Em_Hrs_NS,C16_M_Tot_Em_Tot,C16_M_Tot_Unem_Look_FT,C16_M_Tot_Unem_Look_PT,C16_M_Tot_Unem_Tot,C16_M_Tot_Tot_labo_for,C16_M_Tot_Not_LF,C16_M_Tot_LF_NS,C16_M_Tot_Tot,C21_M_15_19_Em_FT,C21_M_15_19_Em_PT,C21_M_15_19_Em_AFW,C21_M_15_19_Em_Hrs_NS,C21_M_15_19_Em_Tot,C21_M_15_19_Unem_Look_FT,C21_M_15_19_Unem_Look_PT,C21_M_15_19_Unem_Tot,C21_M_15_19_Tot_LF,C21_M_15_19_Not_LF,C21_M_15_19_LF_NS,C21_M_15_19_Tot,C21_M_20_24_Em_FT,C21_M_20_24_Em_PT,C21_M_20_24_Em_AFW,C21_M_20_24_Em_Hrs_NS,C21_M_20_24_Em_Tot,C21_M_20_24_Unem_Look_FT,C21_M_20_24_Unem_Look_PT,C21_M_20_24_Unem_Tot,C21_M_20_24_Tot_LF,C21_M_20_24_Not_LF,C21_M_20_24_LF_NS,C21_M_20_24_Tot,C21_M_25_29_Em_FT,C21_M_25_29_Em_PT,C21_M_25_29_Em_AFW,C21_M_25_29_Em_Hrs_NS,C21_M_25_29_Em_Tot,C21_M_25_29_Unem_Look_FT,C21_M_25_29_Unem_Look_PT,C21_M_25_29_Unem_Tot,C21_M_25_29_Tot_LF,C21_M_25_29_Not_LF,C21_M_25_29_LF_NS,C21_M_25_29_Tot,C21_M_30_34_Em_FT,C21_M_30_34_Em_PT,C21_M_30_34_Em_AFW,C21_M_30_34_Em_Hrs_NS,C21_M_30_34_Em_Tot,C21_M_30_34_Unem_Look_FT,C21_M_30_34_Unem_Look_PT,C21_M_30_34_Unem_Tot,C21_M_30_34_Tot_LF,C21_M_30_34_Not_LF,C21_M_30_34_LF_NS,C21_M_30_34_Tot,C21_M_35_39_Em_FT,C21_M_35_39_Em_PT,C21_M_35_39_Em_AFW,C21_M_35_39_Em_Hrs_NS,C21_M_35_39_Em_Tot,C21_M_35_39_Unem_Look_FT,C21_M_35_39_Unem_Look_PT,C21_M_35_39_Unem_Tot,C21_M_35_39_Tot_LF,C21_M_35_39_Not_LF,C21_M_35_39_LF_NS,C21_M_35_39_Tot,C21_M_40_44_Em_FT,C21_M_40_44_Em_PT,C21_M_40_44_Em_AFW,C21_M_40_44_Em_Hrs_NS
801011001,52,10,0,57,35,6,0,0,45,0,0,5,45,3,0,51,50,7,4,0,59,0,0,0,59,0,4,67,62,4,3,0,66,0,0,0,69,8,4,79,64,11,0,0,75,0,0,0,75,6,4,85,61,10,3,0,76,6,0,3,80,4,7,86,52,6,0,0,61,0,0,0,57,15,6,78,20,10,0,0,30,0,0,0,34,20,3,54,9,11,3,0,21,0,0,0,21,39,0,64,6,4,0,0,11,0,0,0,11,50,0,61,0,5,0,0,5,0,0,0,5,81,5,94,420,136,20,5,584,9,11,19,604,288,34,927,7,22,3,0,25,0,6,6,36,34,0,63,32,29,4,0,66,0,9,9,71,19,4,93,47,26,3,4,75,0,0,0,76,8,4,87,37,9,0,0,50,0,0,0,50,4,3,59,56,7,0,0,66,0,0,0,63,4,3,68,76,11,0,0
801011002,452,99,46,600,350,50,6,3,410,14,6,19,429,37,54,518,209,43,8,4,269,8,6,14,282,22,40,344,103,22,8,4,134,6,0,5,141,12,17,169,79,17,0,0,97,0,3,10,107,11,18,138,64,14,0,0,87,3,0,4,92,19,11,128,55,8,3,0,61,5,0,3,70,16,12,92,20,3,0,0,27,5,4,5,36,31,8,73,8,9,0,0,20,0,0,0,19,36,11,62,3,7,0,0,11,0,0,0,11,35,10,55,0,0,0,0,0,0,0,0,0,98,29,127,1392,411,53,37,1887,75,72,149,2043,689,290,3021,11,39,0,0,51,0,14,12,70,39,7,114,229,174,13,8,420,9,17,34,456,121,37,612,516,191,18,13,739,30,19,50,792,97,48,936,436,132,11,4,583,16,3,21,603,42,29,679,278,64,10,8,353,9,0,9,369,34,24,427,142,37,12,3
801011003,437,94,38,569,256,55,11,0,320,0,6,11,328,27,18,373,184,17,6,0,212,8,3,8,221,23,13,256,124,23,0,0,149,5,3,8,158,16,9,180,96,6,0,0,105,0,0,0,102,3,4,114,75,10,5,0,86,0,0,0,88,8,5,106,78,15,4,7,96,3,0,5,103,21,7,131,44,17,6,0,70,0,4,4,71,42,5,121,16,9,0,0,29,0,0,0,29,52,8,84,3,8,0,0,9,0,0,3,9,49,5,62,0,0,0,0,6,0,0,0,6,95,34,130,1322,515,60,59,1962,47,83,127,2088,843,234,3166,19,84,11,4,113,5,19,23,134,99,7,243,151,230,18,11,408,10,34,47,459,99,12,571,342,141,9,9,500,15,7,23,522,64,19,609,249,78,11,13,344,16,7,24,368,28,12,412,223,33,13,3,269,5,0,5,277,6,9,294,147,21,5,5
801011004,109,9,13,130,89,15,4,0,107,0,0,0,108,11,9,126,97,14,3,0,112,0,0,3,118,14,4,131,68,14,0,0,81,6,0,5,83,11,8,94,67,10,0,0,77,4,0,4,80,10,3,91,41,6,7,0,49,4,0,4,51,10,0,67,31,5,0,0,35,5,0,7,37,14,5,58,23,16,0,0,37,0,0,4,36,29,8,69,10,6,0,0,16,0,0,0,16,38,6,58,4,3,0,0,9,0,0,0,7,37,0,46,0,0,0,0,0,0,0,0,0,46,10,55,561,143,22,15,745,35,14,54,797,267,67,1130,13,18,5,0,34,4,7,14,45,44,6,92,38,18,0,0,58,5,0,5,65,10,0,79,68,20,0,3,96,3,3,3,98,7,11,115,98,21,9,0,122,0,0,3,122,3,9,137,95,12,0,0,110,0,0,0,116,18,6,135,66,17,0,0
801011005,57,5,3,65,43,10,3,0,62,0,0,0,57,7,0,67,74,17,0,4,92,0,0,0,98,6,7,105,92,8,0,0,106,0,0,5,110,0,5,117,80,8,5,0,91,5,0,10,100,11,0,111,55,6,3,0,66,0,0,5,73,7,6,86,42,15,3,0,63,0,0,0,65,20,3,90,15,6,0,0,25,0,5,3,25,28,0,58,9,8,0,0,22,0,0,0,22,45,4,77,0,3,0,0,3,0,0,0,3,45,5,52,0,5,0,0,4,0,0,0,4,102,4,120,470,162,22,13,666,14,21,35,698,343,44,1084,9,21,5,0,32,0,7,13,41,20,0,61,16,29,4,0,52,0,3,8,63,4,3,69,52,12,0,0,64,5,0,7,74,10,0,84,57,8,0,0,62,4,0,4,69,5,6,78,69,18,3,0,87,3,0,3,96,5,3,105,73,13,7,5
801011006,182,12,8,202,198,25,9,0,229,10,0,9,241,13,5,259,245,29,10,5,286,5,0,8,287,12,3,311,238,29,5,3,280,3,0,4,283,9,19,308,219,17,0,0,245,4,3,7,252,20,4,277,160,16,10,3,185,0,3,5,187,13,5,209,104,12,7,0,122,0,0,7,127,29,14,165,57,16,3,0,77,0,0,0,77,38,6,116,15,11,4,0,29,0,0,0,29,62,4,104,0,0,0,0,4,0,0,0,4,50,5,60,0,0,0,0,0,0,0,0,0,78,0,80,1531,295,56,30,1912,42,30,81,1992,477,93,2559,42,86,0,0,130,6,22,28,160,134,13,302,108,57,10,4,182,9,5,14,189,20,5,215,126,24,3,0,155,13,4,11,165,12,6,181,157,33,10,5,202,8,4,9,212,16,6,231,233,33,8,3,274,0,0,0,271,14,4,296,235,31,9,0
801011007,135,4,13,157,134,21,6,0,157,3,0,3,162,12,12,184,148,24,9,3,185,0,0,0,190,7,12,205,148,24,3,9,182,3,0,3,189,6,9,207,129,19,0,0,160,3,0,3,156,15,18,191,120,13,6,0,137,0,0,0,146,14,7,164,92,14,3,0,113,3,0,5,120,26,15,162,57,20,0,0,81,4,0,9,84,64,7,159,20,16,0,0,38,0,0,0,39,118,11,168,3,0,0,0,9,0,0,0,9,69,6,81,0,0,0,0,0,0,0,0,0,59,6,71,1049,277,34,22,1380,42,29,71,1448,495,136,2084,18,61,4,0,81,6,9,19,95,68,9,174,82,49,4,0,136,7,10,17,150,20,5,180,135,38,6,5,185,3,0,8,191,16,7,210,139,27,5,0,172,3,0,4,179,15,7,197,151,26,10,4,195,9,0,3,196,11,4,216,151,18,0,0
801011008,136,17,9,166,97,26,0,3,133,3,3,6,138,13,8,161,113,22,0,5,138,4,0,4,144,11,9,166,92,14,5,0,114,0,3,4,118,15,4,138,102,18,4,5,122,0,0,0,129,22,7,148,103,13,7,0,117,9,0,8,123,13,5,146,100,22,8,0,125,3,0,0,132,40,0,178,54,11,3,3,75,3,4,6,75,69,7,150,20,10,0,0,30,0,0,0,33,78,4,112,3,4,0,0,7,0,0,0,7,65,0,77,0,0,0,0,0,0,0,3,7,89,4,98,884,265,30,20,1200,45,36,82,1285,541,82,1904,7,32,0,0,42,5,7,7,51,59,0,110,68,59,4,0,129,7,0,6,136,19,8,162,109,35,0,10,153,11,0,11,169,11,10,190,119,22,3,3,146,3,0,5,149,13,8,170,116,21,3,0,141,6,0,3,149,16,8,173,105,16,9,3
801011009,82,9,5,93,90,12,0,0,94,0,0,0,94,8,5,108,112,9,0,0,120,6,0,6,126,7,0,136,89,12,3,0,112,7,0,3,115,7,4,129,85,7,0,0,92,0,0,0,94,5,8,109,69,8,3,0,77,6,0,6,84,13,0,103,57,13,3,0,71,0,0,0,75,20,0,99,29,10,0,0,42,0,0,0,43,28,4,82,22,13,0,0,37,0,0,0,37,63,5,107,3,7,0,0,16,0,0,0,14,58,5,77,3,0,0,0,4,0,0,0,4,61,5,73,677,154,19,9,859,22,17,44,903,366,45,1308,13,30,6,0,54,0,8,13,64,47,0,115,41,23,7,0,71,7,4,8,83,19,0,101,79,38,3,0,118,3,4,4,125,8,6,140,102,12,0,4,117,3,3,3,121,4,5,131,102,12,0,0,117,0,3,4,120,8,0,129,102,11,6,0
801011010,46,8,6,54,34,0,0,0,36,0,0,0,35,9,0,43,62,3,4,0,74,0,0,0,68,5,4,80,48,3,0,0,55,4,0,4,61,5,3,70,51,9,0,0,68,0,0,0,68,3,3,75,42,11,0,0,54,0,0,0,59,6,0,67,32,11,0,0,40,0,0,0,39,14,3,64,28,10,3,0,31,0,0,4,39,35,0,70,8,18,0,0,30,0,3,3,30,57,3,94,0,4,0,0,3,0,0,0,3,35,0,42,0,0,0,0,0,0,0,0,0,32,7,40,367,95,24,6,496,7,11,25,515,235,34,789,11,28,0,0,42,0,5,5,50,28,0,74,34,21,0,0,50,0,8,5,54,8,0,63,32,4,0,3,41,0,0,3,40,4,0,49,40,6,0,0,40,0,0,0,46,8,3,55,41,9,0,0,52,3,0,3,52,0,3,61,70,9,5,3
