SA2_CODE_2021,C11_F_55_59_Em_FT,C11_F_55_59_Em_PT,C11_F_55_59_Em_AFW,C11_F_55_59_Em_Hrs_NS,C11_F_55_59_Em_Tot,C11_F_55_59_Unem_Look_FT,C11_F_55_59_Unem_Look_PT,C11_F_55_59_Unem_Tot,C11_F_55_59_Tot_LF,C11_F_55_59_Not_LF,C11_F_55_59_LF_NS,C11_F_55_59_Tot,C11_F_60_64_Em_FT,C11_F_60_64_Em_PT,C11_F_60_64_Em_AFW,C11_F_60_64_Em_Hrs_NS,C11_F_60_64_Em_Tot,C11_F_60_64_Unem_Look_FT,C11_F_60_64_Unem_Look_PT,C11_F_60_64_Unem_Tot,C11_F_60_64_Tot_LF,C11_F_60_64_Not_LF,C11_F_60_64_LF_NS,C11_F_60_64_Tot,C11_F_65_69_Em_FT,C11_F_65_69_Em_PT,C11_F_65_69_Em_AFW,C11_F_65_69_Em_Hrs_NS,C11_F_65_69_Em_Tot,C11_F_65_69_Unem_Look_FT,C11_F_65_69_Unem_Look_PT,C11_F_65_69_Unem_Tot,C11_F_65_69_Tot_LF,C11_F_65_69_Not_LF,C11_F_65_69_LF_NS,C11_F_65_69_Tot,C11_F_70_74_Em_FT,C11_F_70_74_Em_PT,C11_F_70_74_Em_AFW,C11_F_70_74_Em_Hrs_NS,C11_F_70_74_Em_Tot,C11_F_70_74_Unem_Look_FT,C11_F_70_74_Unem_Look_PT,C11_F_70_74_Unem_Tot,C11_F_70_74_Tot_LF,C11_F_70_74_Not_LF,C11_F_70_74_LF_NS,C11_F_70_74_Tot,C11_F_75over_Em_FT,C11_F_75over_Em_PT,C11_F_75over_Em_AFW,C11_F_75over_Em_Hrs_NS,C11_F_75over_Em_Tot,C11_F_75over_Unem_Lo_ft_wo,C11_F_75over_Unem_Lo_pt_wor,C11_F_75over_Unemp_Tot,C11_F_75over_Tot_lab_for,C11_F_75over_N_lab_forc,C11_F_75over_LF_NS,C11_F_75over_Tot,C11_F_Tot_Em_FT,C11_F_Tot_Em_PT,C11_F_Tot_Em_AFW,C11_F_Tot_Em_Hrs_NS,C11_F_Tot_Em_Tot,C11_F_Tot_Unem_Look_FT,C11_F_Tot_Unem_Look_PT,C11_F_Tot_Unem_Tot,C11_F_Tot_Tot_labo_for,C11_F_Tot_Not_LF,C11_F_Tot_LF_NS,C11_F_Tot_Tot,C16_F_15_19_Em_FT,C16_F_15_19_Em_PT,C16_F_15_19_Em_AFW,C16_F_15_19_Em_Hrs_NS,C16_F_15_19_Em_Tot,C16_F_15_19_Unem_Look_FT,C16_F_15_19_Unem_Look_PT,C16_F_15_19_Unem_Tot,C16_F_15_19_Tot_LF,C16_F_15_19_Not_LF,C16_F_15_19_LF_NS,C16_F_15_19_Tot,C16_F_20_24_Em_FT,C16_F_20_24_Em_PT,C16_F_20_24_Em_AFW,C16_F_20_24_Em_Hrs_NS,C16_F_20_24_Em_Tot,C16_F_20_24_Unem_Look_FT,C16_F_20_24_Unem_Look_PT,C16_F_20_24_Unem_Tot,C16_F_20_24_Tot_LF,C16_F_20_24_Not_LF,C16_F_20_24_LF_NS,C16_F_20_24_Tot,C16_F_25_29_Em_FT,C16_F_25_29_Em_PT,C16_F_25_29_Em_AFW,C16_F_25_29_Em_Hrs_NS,C16_F_25_29_Em_Tot,C16_F_25_29_Unem_Look_FT,C16_F_25_29_Unem_Look_PT,C16_F_25_29_Unem_Tot,C16_F_25_29_Tot_LF,C16_F_25_29_Not_LF,C16_F_25_29_LF_NS,C16_F_25_29_Tot,C16_F_30_34_Em_FT,C16_F_30_34_Em_PT,C16_F_30_34_Em_AFW,C16_F_30_34_Em_Hrs_NS,C16_F_30_34_Em_Tot,C16_F_30_34_Unem_Look_FT,C16_F_30_34_Unem_Look_PT,C16_F_30_34_Unem_Tot,C16_F_30_34_Tot_LF,C16_F_30_34_Not_LF,C16_F_30_34_LF_NS,C16_F_30_34_Tot,C16_F_35_39_Em_FT,C16_F_35_39_Em_PT,C16_F_35_39_Em_AFW,C16_F_35_39_Em_Hrs_NS,C16_F_35_39_Em_Tot,C16_F_35_39_Unem_Look_FT,C16_F_35_39_Unem_Look_PT,C16_F_35_39_Unem_Tot,C16_F_35_39_Tot_LF,C16_F_35_39_Not_LF,C16_F_35_39_LF_NS,C16_F_35_39_Tot,C16_F_40_44_Em_FT,C16_F_40_44_Em_PT,C16_F_40_44_Em_AFW,C16_F_40_44_Em_Hrs_NS,C16_F_40_44_Em_Tot,C16_F_40_44_Unem_Look_FT,C16_F_40_44_Unem_Look_PT,C16_F_40_44_Unem_Tot,C16_F_40_44_Tot_LF,C16_F_40_44_Not_LF,C16_F_40_44_LF_NS,C16_F_40_44_Tot,C16_F_45_49_Em_FT,C16_F_45_49_Em_PT,C16_F_45_49_Em_AFW,C16_F_45_49_Em_Hrs_NS,C16_F_45_49_Em_Tot,C16_F_45_49_Unem_Look_FT,C16_F_45_49_Unem_Look_PT,C16_F_45_49_Unem_Tot,C16_F_45_49_Tot_LF,C16_F_45_49_Not_LF,C16_F_45_49_LF_NS,C16_F_45_49_Tot,C16_F_50_54_Em_FT,C16_F_50_54_Em_PT,C16_F_50_54_Em_AFW,C16_F_50_54_Em_Hrs_NS,C16_F_50_54_Em_Tot,C16_F_50_54_Unem_Look_FT,C16_F_50_54_Unem_Look_PT,C16_F_50_54_Unem_Tot,C16_F_50_54_Tot_LF,C16_F_50_54_Not_LF,C16_F_50_54_LF_NS,C16_F_50_54_Tot,C16_F_55_59_Em_FT,C16_F_55_59_Em_PT,C16_F_55_59_Em_AFW,C16_F_55_59_Em_Hrs_NS,C16_F_55_59_Em_Tot,C16_F_55_59_Unem_Look_FT,C16_F_55_59_Unem_Look_PT,C16_F_55_59_Unem_Tot,C16_F_55_59_Tot_LF,C16_F_55_59_Not_LF,C16_F_55_59_LF_NS,C16_F_55_59_Tot,C16_F_60_64_Em_FT,C16_F_60_64_Em_PT,C16_F_60_64_Em_AFW,C16_F_60_64_Em_Hrs_NS,C16_F_60_64_Em_Tot,C16_F_60_64_Unem_Look_FT,C16_F_60_64_Unem_Look_PT,C16_F_60_64_Unem_Tot,C16_F_60_64_Tot_LF,C16_F_60_64_Not_LF,C16_F_60_64_LF_NS,C16_F_60_64_Tot,C16_F_65_69_Em_FT,C16_F_65_69_Em_PT,C16_F_65_69_Em_AFW,C16_F_65_69_Em_Hrs_NS,C16_F_65_69_Em_Tot,C16_F_65_69_Unem_Look_FT,C16_F_65_69_Unem_Look_PT,C16_F_65_69_Unem_Tot
801011001,24,23,0,0,50,0,0,0,50,13,4,70,24,12,3,0,35,0,0,0,35,40,3,80,5,12,0,0,18,0,0,0,18,60,6,88,0,4,0,0,9,0,0,0,9,35,6,52,0,4,0,0,4,0,0,0,4,113,6,119,306,250,52,10,618,5,13,18,631,364,57,1057,3,19,0,0,25,0,3,3,29,39,0,69,15,24,0,0,41,4,0,5,46,20,0,59,33,9,0,0,47,0,0,0,44,3,0,50,30,7,10,0,41,0,0,0,41,5,3,55,27,33,4,0,62,0,0,0,63,17,0,86,43,32,0,0,73,4,0,0,76,16,0,92,53,23,6,0,76,0,0,0,80,8,3,88,52,21,3,0,72,4,0,4,72,13,6,94,48,16,4,0,69,0,3,3,70,20,0,89,14,17,0,0,30,0,0,0,34,27,0,62,4,10,4,0,15,0,0,0
801011002,21,19,0,0,39,0,0,3,39,22,7,63,13,6,6,0,29,0,0,3,31,38,0,71,3,7,0,0,7,0,0,0,7,44,10,57,0,0,0,0,0,0,0,0,0,43,3,48,0,0,0,0,0,0,0,0,0,122,50,170,721,340,63,9,1135,36,32,63,1201,561,236,2005,13,39,3,5,58,0,16,15,76,53,4,139,144,154,13,5,317,18,34,54,369,258,55,679,305,139,15,5,465,13,16,23,487,103,44,642,222,99,17,5,338,14,6,23,361,70,39,466,105,53,8,4,175,9,8,9,186,40,19,249,64,27,10,0,98,5,5,4,104,31,9,145,58,22,0,0,84,4,0,4,91,15,17,120,44,16,0,6,58,5,3,4,64,15,10,92,24,10,0,0,36,3,5,3,43,32,14,87,28,11,4,0,44,0,0,0,39,42,8,87,9,5,0,0,18,0,0,0
801011003,51,23,3,0,76,0,0,0,77,30,8,113,26,20,6,0,51,0,0,0,53,39,9,94,3,5,0,0,11,0,0,0,11,51,4,62,0,0,0,0,0,0,0,0,0,43,3,52,0,0,0,0,0,0,0,0,0,104,68,163,951,585,132,16,1681,20,58,85,1765,724,462,2953,11,95,11,3,119,0,20,20,139,100,31,269,151,238,24,33,447,17,31,48,495,260,74,832,295,96,5,5,405,12,14,23,429,91,22,539,177,74,21,3,278,4,5,9,288,47,23,354,103,56,9,0,170,6,0,11,173,36,8,214,75,29,3,5,119,0,0,0,117,25,7,154,64,18,0,0,89,4,4,5,93,10,5,105,79,24,0,0,99,0,3,5,103,13,3,123,69,15,4,0,91,0,0,3,87,42,9,138,17,21,0,0,44,0,0,0,44,59,3,105,6,11,3,0,22,0,0,0
801011004,30,19,9,0,58,0,0,0,58,28,5,93,24,14,7,0,41,0,0,0,41,33,4,77,4,8,0,0,12,0,0,0,12,39,0,52,0,0,0,0,5,0,0,0,5,35,0,35,0,0,0,0,0,0,0,0,0,46,0,48,413,249,58,15,737,10,19,27,762,389,76,1225,9,25,0,0,38,0,0,3,43,39,5,85,33,26,4,0,62,3,5,3,65,21,8,89,53,15,0,0,71,0,0,0,72,28,5,109,62,34,12,0,111,0,3,6,111,24,8,142,43,37,9,0,90,0,0,4,99,29,7,133,45,29,5,0,79,0,0,0,86,22,6,111,36,22,0,0,61,0,0,7,64,12,4,83,43,14,4,0,54,0,0,3,61,20,4,84,42,24,0,0,63,0,5,5,66,31,7,101,13,19,0,0,30,0,3,4,29,39,4,78,3,0,0,0,10,0,0,0
801011005,46,18,0,0,72,0,0,0,72,27,4,101,23,20,0,0,47,0,4,4,48,32,0,85,5,15,0,0,24,0,0,0,24,61,4,83,0,5,0,0,0,0,0,0,0,61,0,65,0,0,0,0,4,0,0,0,4,91,9,110,447,297,40,3,792,7,17,28,820,391,36,1252,3,20,0,0,30,0,7,7,30,21,0,55,17,21,0,0,38,3,0,9,44,19,0,63,43,20,0,0,63,0,0,0,67,8,0,83,41,26,11,0,77,0,4,4,84,18,8,102,50,39,9,3,102,0,0,0,102,9,4,113,53,39,0,4,99,0,7,7,101,12,6,116,64,32,4,0,104,0,0,0,106,6,0,109,58,26,3,0,85,0,0,0,89,14,0,98,32,26,0,0,61,0,0,0,59,22,7,86,27,13,4,0,42,0,0,0,43,38,5,93,3,7,0,0,10,0,0,0
801011006,70,19,10,0,94,0,4,4,99,45,4,150,32,18,6,0,54,0,0,0,56,71,0,130,12,7,0,0,17,0,0,0,17,46,3,61,0,4,0,0,6,0,0,0,6,45,4,52,0,0,0,0,0,0,0,0,0,56,3,60,1173,591,129,24,1911,21,38,59,1973,680,55,2711,15,93,5,0,116,0,12,19,126,89,7,224,76,74,3,4,155,3,6,9,165,28,8,206,114,43,24,0,186,0,0,4,186,31,9,221,141,75,39,0,254,7,7,10,270,45,7,320,158,107,12,0,283,3,3,10,294,37,18,347,181,90,6,0,279,5,3,7,284,43,13,348,157,63,10,3,245,0,0,0,247,34,8,290,130,45,7,4,183,0,3,6,190,29,6,226,85,35,11,4,125,3,4,3,132,44,3,180,46,21,3,0,71,0,0,0,70,73,4,147,9,13,0,0,22,0,0,0
801011007,75,44,11,0,133,0,0,0,136,53,3,184,47,36,5,3,88,0,0,0,91,103,3,200,12,17,0,0,23,0,0,0,23,56,4,84,0,4,0,0,9,0,0,0,9,42,0,52,0,0,0,0,0,0,0,0,0,78,11,91,843,535,107,20,1508,22,21,41,1549,591,47,2186,17,68,0,0,82,0,8,8,94,59,12,165,68,53,3,0,127,4,3,7,136,25,11,178,75,33,12,3,117,4,0,10,126,18,7,151,77,60,15,3,155,0,0,4,161,31,8,199,80,70,13,0,159,0,3,5,160,29,11,198,114,52,4,7,178,3,3,5,185,29,22,236,99,35,5,0,138,3,0,3,141,21,12,173,69,43,9,0,118,0,4,3,121,28,10,158,62,37,7,0,110,4,0,9,117,51,19,189,44,31,6,0,77,0,0,0,84,76,5,163,18,21,0,0,43,0,0,0
801011008,65,37,8,0,113,0,0,4,115,59,10,183,32,26,0,0,64,0,0,3,62,80,4,144,4,9,0,0,13,0,0,0,13,69,4,84,0,0,0,0,0,0,0,0,0,59,6,60,0,0,0,0,0,0,0,0,0,105,8,112,710,510,82,12,1315,32,31,62,1376,666,69,2110,6,59,0,0,67,0,4,7,73,63,3,143,35,62,4,3,101,0,4,11,109,36,8,152,73,39,9,0,122,0,6,4,124,26,8,162,84,37,13,0,131,5,4,12,140,21,7,169,67,49,9,4,130,3,0,6,131,36,9,172,64,54,0,0,121,4,0,3,129,31,4,169,72,39,0,3,119,0,3,5,126,25,7,156,91,45,6,0,142,0,0,3,147,26,5,181,76,45,7,0,125,3,3,7,126,62,9,205,21,40,6,0,67,0,0,0,66,95,9,169,12,15,0,0,26,0,0,0
801011009,60,37,7,0,96,0,0,0,98,30,8,139,30,26,6,0,61,0,0,0,65,65,8,136,8,5,0,0,14,0,0,0,15,62,8,84,0,0,0,0,0,0,0,0,0,37,4,40,0,0,0,0,4,0,0,0,4,41,9,46,512,348,58,12,926,8,14,25,947,385,105,1441,8,48,0,4,57,0,3,3,61,37,8,100,39,29,0,0,67,0,0,4,76,5,0,83,53,14,5,0,71,3,0,4,76,15,4,92,49,37,3,0,94,3,4,0,95,13,3,115,52,45,8,0,101,3,0,3,105,15,6,128,59,41,5,0,105,0,5,9,110,17,0,128,64,25,3,0,91,4,0,4,96,20,9,121,52,24,11,0,83,0,0,5,87,18,0,103,41,29,0,5,74,0,0,0,71,25,3,107,20,23,0,0,43,0,0,0,43,53,3,105,12,13,0,0,24,0,0,0
801011010,35,30,3,0,69,0,0,0,69,35,0,108,19,17,3,0,41,0,0,0,41,53,0,97,3,10,0,0,13,0,0,0,13,30,0,36,0,4,0,0,4,0,0,0,4,17,0,23,0,0,0,0,0,0,0,0,0,24,0,23,265,240,43,11,554,6,8,15,571,256,10,834,3,32,0,0,33,0,6,5,40,22,3,62,20,26,0,0,47,0,0,3,51,3,5,57,28,3,5,5,39,0,0,0,44,6,0,46,23,16,6,0,46,0,0,0,46,6,0,56,19,26,4,0,52,0,0,0,52,14,3,70,36,21,6,0,63,0,6,3,70,8,0,77,39,21,0,0,63,0,0,0,63,3,0,73,31,21,0,0,55,0,0,0,59,5,6,63,21,12,6,0,38,0,0,0,41,19,3,63,22,20,0,0,39,0,0,0,39,54,4,96,9,4,0,0,9,0,0,0
801011011,61,38,7,5,103,0,0,0,106,44,3,150,33,29,3,0,66,0,0,0,66,55,3,126,0,0,0,0,7,0,0,0,10,45,3,58,0,0,0,0,0,0,0,0,0,30,0,29,3,0,0,0,3,0,0,0,3,55,3,58,532,313,54,12,911,12,15,30,942,393,25,1364,0,19,0,0,24,0,8,3,31,35,0,65,38,41,6,0,82,0,3,6,91,12,3,104,68,14,12,0,96,0,0,5,101,21,5,130,41,41,8,0,96,3,0,4,99,13,4,120,47,65,8,0,120,0,0,0,124,16,7,142,53,39,0,0,98,0,3,5,96,16,6,119,53,15,0,0,76,0,0,3,79,16,3,96,54,25,3,0,88,5,0,5,89,13,5,107,51,16,4,0,72,0,0,0,70,25,0,101,24,26,5,0,59,0,0,0,58,77,6,140,11,13,0,0,29,0,0,0
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,37,8,9,0,57,0,0,0,57,21,0,79,31,23,4,0,53,0,0,0,56,75,0,134,10,13,0,0,22,0,0,0,22,72,5,99,0,7,0,0,4,0,0,0,4,55,0,66,0,0,0,0,0,0,0,0,0,84,3,89,394,252,47,12,706,8,12,20,723,431,33,1189,4,33,8,0,43,0,0,5,49,36,0,84,18,28,3,0,47,0,0,0,43,17,5,73,35,17,3,0,51,3,5,8,52,14,4,79,36,23,11,0,75,0,5,4,76,23,4,105,32,21,8,0,52,0,0,0,60,17,4,74,59,30,0,0,92,0,3,3,94,8,0,107,55,35,0,0,89,0,0,0,93,7,3,107,42,26,4,0,69,3,0,4,73,9,0,85,41,15,4,0,65,0,0,0,68,27,4,101,19,8,0,0,31,0,0,0,31,38,0,67,12,8,0,0,25,0,0,0
801011014,22,15,6,3,51,0,0,0,51,29,0,79,16,22,0,0,33,0,0,0,37,62,0,96,4,6,0,0,15,0,0,0,15,76,8,98,0,4,0,0,4,0,0,0,4,49,0,50,0,0,0,0,0,0,0,0,0,63,6,68,398,269,60,13,739,11,22,38,770,435,32,1237,3,32,0,0,40,0,8,12,48,37,4,93,42,32,0,0,75,0,5,5,79,18,0,100,57,20,3,0,78,0,0,0,78,16,5,103,54,37,7,0,96,0,0,0,97,17,5,125,41,27,14,0,79,0,0,0,79,22,4,103,53,43,0,5,103,0,0,0,106,13,3,129,40,21,7,0,65,0,0,3,68,10,6,87,50,15,3,0,76,0,0,0,78,10,6,91,29,19,4,0,52,0,0,0,58,17,3,80,10,16,0,0,30,0,0,0,30,36,7,69,6,5,0,0,12,0,0,0
801011015,44,30,3,3,81,0,0,0,80,36,7,122,36,38,11,0,88,0,4,4,94,91,3,192,9,15,0,0,21,0,0,0,21,105,10,141,0,0,0,0,0,0,0,0,0,63,6,71,0,0,0,0,0,0,0,0,0,159,52,215,692,407,91,12,1200,23,21,44,1242,711,127,2083,8,37,0,0,45,0,9,12,63,59,8,125,40,46,6,0,92,4,4,8,105,17,13,130,80,33,16,0,127,0,0,0,129,33,4,174,93,41,16,0,150,0,3,3,151,39,17,199,77,46,11,0,137,5,3,9,141,25,7,178,97,49,9,7,156,3,0,0,160,18,9,187,71,34,3,0,112,4,3,6,118,25,8,149,63,25,4,0,99,0,0,0,101,24,3,127,43,23,3,0,69,0,4,3,74,35,7,110,20,24,0,0,44,0,0,3,45,71,10,129,8,9,0,0,21,0,0,0
801011016,134,77,7,8,225,0,0,0,224,97,8,327,44,50,5,0,104,0,0,0,99,148,5,250,13,17,0,0,30,0,0,0,30,99,0,128,0,3,0,0,3,0,0,0,3,80,0,95,0,0,0,0,3,0,0,0,3,144,4,153,1007,803,119,40,1965,21,34,52,2017,925,64,3010,15,82,0,0,97,0,13,12,114,82,5,204,54,88,7,5,154,0,9,17,174,68,18,254,115,48,7,0,170,4,7,9,180,37,6,221,90,64,21,3,184,8,5,15,201,36,6,243,106,102,11,6,220,9,7,15,232,27,11,271,88,82,12,0,180,3,6,8,187,29,9,220,122,69,3,0,198,3,3,3,200,32,6,232,109,67,8,0,183,0,0,0,184,31,8,229,100,50,13,0,161,0,0,6,166,76,16,249,57,54,9,0,116,3,0,4,120,166,16,309,11,19,0,0,39,0,0,0
801011017,55,21,7,0,86,0,0,0,88,38,0,120,28,31,0,0,57,0,0,0,59,78,0,141,0,10,0,0,17,0,0,0,17,65,7,88,0,0,0,0,0,0,0,0,0,50,10,58,0,0,0,0,0,0,0,0,0,64,5,72,508,351,58,10,928,14,19,34,965,472,42,1475,10,37,0,0,49,0,9,6,54,38,7,96,25,28,0,0,61,5,5,8,71,13,0,90,71,28,7,0,108,0,0,3,111,20,16,139,68,41,8,0,119,0,0,0,124,23,7,152,51,42,13,0,104,0,4,5,111,21,10,136,78,44,4,0,127,7,0,7,133,23,9,161,49,29,3,0,84,0,0,0,89,11,4,99,55,38,0,4,90,3,0,5,96,20,4,115,44,32,4,0,77,0,0,0,77,33,9,121,16,19,5,0,45,0,0,0,45,48,0,98,7,22,0,0,25,5,0,5
801011018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,6,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,6,0,0,0,0,3,0,6,0,0,0,0,3,0,0,0,9,0,0,4,5,0,0,0,8,0,0,0,8,0,0,11,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
