SA2_CODE_2021,C16_P_25_29_Em_FT,C16_P_25_29_Em_PT,C16_P_25_29_Em_AFW,C16_P_25_29_Em_Hrs_NS,C16_P_25_29_Em_Tot,C16_P_25_29_Unem_Look_FT,C16_P_25_29_Unem_Look_PT,C16_P_25_29_Unem_Tot,C16_P_25_29_Tot_LF,C16_P_25_29_Not_LF,C16_P_25_29_LF_NS,C16_P_25_29_Tot,C16_P_30_34_Em_FT,C16_P_30_34_Em_PT,C16_P_30_34_Em_AFW,C16_P_30_34_Em_Hrs_NS,C16_P_30_34_Em_Tot,C16_P_30_34_Unem_Look_FT,C16_P_30_34_Unem_Look_PT,C16_P_30_34_Unem_Tot,C16_P_30_34_Tot_LF,C16_P_30_34_Not_LF,C16_P_30_34_LF_NS,C16_P_30_34_Tot,C16_P_35_39_Em_FT,C16_P_35_39_Em_PT,C16_P_35_39_Em_AFW,C16_P_35_39_Em_Hrs_NS,C16_P_35_39_Em_Tot,C16_P_35_39_Unem_Look_FT,C16_P_35_39_Unem_Look_PT,C16_P_35_39_Unem_Tot,C16_P_35_39_Tot_LF,C16_P_35_39_Not_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Not_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Not_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Not_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Not_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Not_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Not_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Not_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Em_FT,C16_P_75over_Em_PT,C16_P_75over_Emp_Aw_fr_w,C16_P_75over_Emp_Hou_w_ns,C16_P_75over_Em_Tot,C16_P_75over_Unem_Lo_ft_wor,C16_P_75over_Unem_Lo_pt_wor,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_Tot_Tot_labo_for,C16_P_Tot_Not_LF,C16_P_Tot_LF_NS,C16_P_Tot_Tot,C21_P_15_19_Em_FT,C21_P_15_19_Em_PT,C21_P_15_19_Em_AFW,C21_P_15_19_Em_Hrs_NS,C21_P_15_19_Em_Tot,C21_P_15_19_Unem_Look_FT,C21_P_15_19_Unem_Look_PT,C21_P_15_19_Unem_Tot,C21_P_15_19_Tot_LF,C21_P_15_19_Not_LF,C21_P_15_19_LF_NS,C21_P_15_19_Tot,C21_P_20_24_Em_FT,C21_P_20_24_Em_PT,C21_P_20_24_Em_AFW,C21_P_20_24_Em_Hrs_NS,C21_P_20_24_Em_Tot,C21_P_20_24_Unem_Look_FT,C21_P_20_24_Unem_Look_PT,C21_P_20_24_Unem_Tot,C21_P_20_24_Tot_LF,C21_P_20_24_Not_LF,C21_P_20_24_LF_NS,C21_P_20_24_Tot,C21_P_25_29_Em_FT,C21_P_25_29_Em_PT,C21_P_25_29_Em_AFW,C21_P_25_29_Em_Hrs_NS,C21_P_25_29_Em_Tot,C21_P_25_29_Unem_Look_FT,C21_P_25_29_Unem_Look_PT,C21_P_25_29_Unem_Tot,C21_P_25_29_Tot_LF,C21_P_25_29_Not_LF,C21_P_25_29_LF_NS,C21_P_25_29_Tot,C21_P_30_34_Em_FT,C21_P_30_34_Em_PT,C21_P_30_34_Em_AFW,C21_P_30_34_Em_Hrs_NS,C21_P_30_34_Em_Tot,C21_P_30_34_Unem_Look_FT,C21_P_30_34_Unem_Look_PT,C21_P_30_34_Unem_Tot,C21_P_30_34_Tot_LF,C21_P_30_34_Not_LF,C21_P_30_34_LF_NS,C21_P_30_34_Tot,C21_P_35_39_Em_FT,C21_P_35_39_Em_PT,C21_P_35_39_Em_AFW,C21_P_35_39_Em_Hrs_NS,C21_P_35_39_Em_Tot,C21_P_35_39_Unem_Look_FT,C21_P_35_39_Unem_Look_PT,C21_P_35_39_Unem_Tot
801011001,77,15,6,0,94,0,0,4,98,10,0,109,59,13,6,0,84,0,0,5,84,14,3,100,78,36,5,3,125,0,0,0,126,23,5,153,100,39,3,0,138,3,0,5,141,18,0,168,114,35,0,0,154,0,0,0,149,14,11,175,112,34,5,0,146,4,0,5,149,18,10,182,100,21,9,0,128,0,0,0,132,30,6,172,30,33,0,0,59,0,0,4,66,51,3,114,10,20,4,0,39,0,0,0,39,98,7,139,8,11,0,0,19,0,0,0,19,109,3,132,0,7,0,0,8,0,0,0,8,163,6,178,740,351,50,8,1147,18,23,38,1187,657,62,1905,6,57,5,0,71,0,10,10,79,63,0,142,48,58,4,0,114,0,8,8,123,28,12,164,73,40,0,4,119,0,4,9,131,16,4,150,62,33,6,0,106,3,0,3,105,6,3,115,95,34,8,0,142,0,5,0
801011002,629,221,30,11,894,33,21,50,940,203,87,1238,568,150,25,10,748,27,12,40,787,105,93,987,319,98,20,7,442,13,10,26,467,62,62,592,169,46,11,4,233,14,5,17,249,45,22,313,141,37,6,0,187,6,3,10,192,29,29,254,112,30,0,6,146,7,6,15,156,37,23,217,80,20,3,0,105,3,3,11,109,47,25,187,46,18,4,0,73,7,5,4,76,72,12,161,19,14,0,0,36,0,0,0,36,86,10,134,3,7,0,0,18,0,0,0,18,94,20,131,0,0,0,0,0,0,0,0,0,254,95,351,2410,986,125,58,3579,145,163,304,3886,1621,584,6091,19,93,7,0,123,5,15,18,147,77,14,229,446,433,33,16,922,27,46,69,993,264,67,1325,1006,425,45,25,1506,67,38,102,1604,209,88,1902,732,292,34,16,1072,39,7,45,1116,134,66,1311,456,138,20,4,622,17,11,24
801011003,583,194,23,13,813,24,26,46,863,183,64,1108,429,121,33,7,600,10,7,14,611,76,33,726,284,70,14,5,375,17,0,21,397,61,17,473,201,52,4,6,261,4,3,8,270,40,19,329,160,22,0,0,189,3,4,4,196,15,9,219,148,33,5,0,186,5,3,5,190,22,17,228,144,30,10,8,181,5,3,12,190,61,13,267,60,42,5,0,113,0,4,4,113,104,12,227,26,21,6,0,55,0,0,0,49,115,14,182,0,7,0,0,15,0,0,0,15,107,10,135,0,0,0,0,6,0,0,0,6,207,98,312,2369,1199,155,116,3841,92,157,247,4082,1757,504,6349,40,250,23,7,315,5,50,53,366,182,21,565,321,612,49,26,1006,26,71,95,1103,196,40,1339,637,281,15,21,949,22,17,43,992,119,34,1148,458,178,34,16,686,16,15,33,721,74,28,826,384,101,13,3,503,10,6,17
801011004,129,31,7,3,169,14,6,10,183,39,16,242,149,43,14,0,217,0,5,7,226,33,16,271,137,54,6,3,202,6,3,10,209,44,9,265,112,41,5,0,160,5,5,9,168,30,8,210,101,28,3,0,137,3,0,7,141,26,7,180,83,14,5,0,109,3,0,4,109,32,4,148,66,26,0,4,96,5,3,8,106,45,12,163,37,30,0,0,66,5,3,7,71,73,8,151,14,8,0,0,23,0,0,0,28,93,7,127,3,4,0,0,8,0,0,0,14,70,9,92,0,0,0,0,3,0,0,0,3,110,15,124,942,390,53,25,1412,49,40,90,1500,697,146,2340,19,39,5,0,60,14,15,24,84,80,6,170,73,49,3,0,120,4,4,7,134,21,6,158,114,44,3,9,179,3,3,5,181,23,21,225,148,59,16,7,220,0,6,4,229,34,10,274,161,53,15,0,229,4,0,4
801011005,79,35,3,3,119,0,0,4,122,20,6,147,90,31,13,0,136,0,4,4,141,27,6,168,126,60,8,7,198,0,0,4,195,17,13,218,146,54,4,4,206,0,4,11,212,9,11,232,148,44,3,3,193,7,0,11,201,20,0,222,115,32,4,0,158,0,4,6,158,17,10,184,78,40,5,0,122,0,4,4,122,43,12,178,42,19,4,0,66,0,5,4,70,66,3,142,10,18,0,0,28,0,0,0,31,123,9,157,5,11,0,0,17,0,0,0,18,114,5,132,5,6,0,0,6,0,0,0,6,222,6,242,865,445,56,19,1385,28,43,63,1451,761,88,2297,8,51,5,3,66,0,15,17,84,47,0,135,40,61,11,0,104,0,9,10,112,9,7,128,106,34,8,0,143,10,4,9,153,21,3,177,109,40,12,0,163,4,0,8,166,15,15,194,115,67,10,0,196,3,0,3
801011006,262,63,25,6,359,10,0,9,363,46,8,425,343,100,42,3,491,13,8,14,508,53,19,578,401,139,28,5,570,8,8,17,586,51,20,656,422,120,9,5,558,9,9,15,573,55,33,658,377,82,9,8,483,9,3,12,492,55,19,563,292,61,17,4,369,3,5,13,379,46,11,437,187,44,14,4,246,3,0,12,255,82,17,348,103,34,0,6,147,0,0,0,147,112,8,262,25,20,4,3,51,0,0,0,51,161,7,221,0,5,0,0,7,0,0,0,7,112,13,127,0,0,0,0,0,0,0,0,0,176,6,182,2651,958,177,51,3831,72,76,152,3982,1182,186,5357,57,182,11,0,251,11,38,51,307,215,22,540,179,128,11,6,320,6,14,15,338,49,13,402,211,70,11,4,296,15,7,22,318,34,15,372,270,101,40,5,414,8,3,10,430,44,10,486,389,125,23,7,546,6,3,9
801011007,172,53,15,3,244,11,5,13,259,24,16,301,210,84,20,4,314,4,0,7,320,39,22,384,226,94,17,3,342,0,5,8,349,36,19,409,261,76,9,7,360,7,5,8,372,36,31,439,225,54,4,3,294,3,0,8,299,34,31,361,190,58,7,4,261,3,4,6,265,39,15,324,157,53,10,3,222,8,8,12,234,83,32,347,96,56,5,0,163,4,0,5,165,138,12,319,39,40,3,0,84,0,0,0,83,246,25,356,10,6,0,0,16,0,0,0,16,129,10,157,0,0,0,0,3,0,0,0,3,148,11,166,1762,800,105,43,2707,69,51,117,2828,1144,272,4243,31,149,7,0,184,6,19,26,210,117,16,336,135,117,3,0,253,7,11,18,275,34,9,315,232,83,13,7,336,7,8,13,346,35,10,394,215,86,22,6,329,3,3,11,337,37,8,378,228,99,40,4,368,8,3,12
801011008,172,60,6,0,242,9,7,15,261,46,20,331,184,64,12,3,257,6,9,12,276,44,18,335,176,72,8,4,264,3,3,8,271,45,15,341,156,72,9,3,234,5,4,9,244,47,7,303,176,62,8,3,238,5,8,9,250,39,12,304,196,56,6,0,263,9,3,8,272,38,13,321,178,57,13,0,255,5,8,12,265,111,9,385,69,51,4,3,136,3,3,5,142,161,13,320,29,21,0,0,55,0,0,0,54,182,7,252,4,5,3,0,11,0,0,0,11,134,8,150,0,0,0,0,0,0,0,3,7,201,7,213,1486,743,84,38,2349,66,76,138,2491,1256,175,3921,14,93,4,0,112,5,7,14,122,110,0,233,127,124,5,0,258,8,4,13,271,31,9,309,197,71,5,11,278,19,3,30,305,33,17,355,186,81,13,0,280,9,4,8,288,42,13,339,184,82,16,3,289,3,0,8
801011009,121,22,8,0,148,12,3,14,160,17,6,186,129,48,3,0,190,3,4,0,192,18,9,219,163,51,8,0,221,5,0,12,233,26,7,257,155,52,11,0,218,5,8,12,223,22,7,253,151,37,9,3,193,0,0,0,191,27,12,232,116,33,16,0,161,9,0,4,174,29,3,203,99,40,6,5,149,0,0,4,147,52,3,204,51,31,0,0,84,0,0,0,91,88,11,186,29,29,0,0,61,0,0,0,61,155,9,224,4,13,0,0,17,0,0,0,21,127,11,159,3,0,0,0,9,0,0,0,9,120,12,139,1120,481,65,13,1678,41,38,79,1753,798,101,2656,23,86,5,0,119,5,27,31,147,82,7,230,87,66,11,0,163,5,5,14,171,32,8,208,130,50,11,3,186,0,5,8,198,18,13,227,161,43,16,7,226,3,3,10,231,14,5,250,160,61,12,0,230,0,5,8
801011010,60,15,5,5,86,0,4,6,91,9,5,103,54,15,6,0,82,0,0,0,82,13,3,102,77,31,4,0,123,0,0,0,124,15,9,147,88,29,11,0,124,6,7,6,124,13,10,150,94,34,3,0,133,0,0,0,133,8,3,144,79,30,4,0,115,3,0,3,117,8,10,133,53,25,10,0,81,3,0,0,86,34,3,124,42,30,3,0,75,0,0,4,78,83,6,168,16,20,0,0,41,0,4,4,46,111,9,164,0,4,0,0,8,0,0,0,8,64,3,79,0,0,0,0,0,0,0,0,0,74,8,79,627,307,52,7,990,18,23,40,1037,502,74,1611,11,57,4,0,75,0,13,13,89,47,0,133,49,30,6,0,87,4,8,8,98,12,0,116,58,9,0,3,72,0,3,5,74,15,5,95,60,15,9,0,83,0,4,4,85,11,3,100,74,26,5,0,107,3,0,3
