SA2_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
801011001,144,7,9,160,125,46,3,0,171,0,0,0,171,9,8,189,113,36,3,0,149,0,0,0,149,16,4,168,119,32,3,0,154,0,0,3,157,11,3,171,100,25,3,0,132,0,0,3,131,34,0,167,59,20,6,0,86,0,0,4,84,84,5,174,12,12,3,0,31,0,0,0,31,78,11,114,4,10,0,0,17,0,0,0,17,102,5,127,3,13,0,0,15,0,0,0,15,235,7,260,824,421,57,4,1307,10,32,41,1345,682,66,2095
801011002,643,85,39,767,253,87,19,6,361,13,0,16,377,42,19,441,180,52,16,5,246,9,6,20,259,50,21,331,135,42,10,0,187,12,4,11,193,50,12,260,108,40,3,0,152,4,3,8,164,55,13,223,58,28,7,0,92,7,3,7,104,77,10,184,34,21,4,0,57,0,0,0,54,110,8,166,3,9,0,0,18,0,0,0,18,136,5,162,4,4,0,0,7,0,0,0,7,428,16,453,3431,1665,188,69,5364,187,131,324,5683,1703,377,7764
801011003,520,37,15,572,253,73,14,3,344,6,4,7,349,32,15,405,233,53,10,0,292,4,0,9,302,27,10,338,164,33,5,0,204,4,0,5,206,26,0,236,132,24,6,3,171,6,0,6,174,51,14,236,75,37,10,0,122,4,0,4,124,106,9,243,34,32,4,0,66,0,0,4,67,152,3,218,16,15,0,0,34,0,0,0,34,175,10,221,4,11,0,0,16,0,0,3,17,373,18,405,2740,1682,186,85,4694,104,171,278,4966,1550,218,6732
801011004,231,38,7,284,125,53,3,0,185,8,4,5,193,31,4,223,125,39,11,0,173,6,3,10,188,24,13,225,82,34,11,5,131,5,0,4,132,30,3,170,67,12,0,0,89,0,0,0,88,44,6,139,41,24,5,0,71,0,6,3,73,84,0,158,14,15,6,0,34,0,0,0,35,89,6,132,3,3,3,0,14,0,0,0,14,92,3,107,0,4,0,0,6,0,0,0,6,136,5,141,981,425,82,28,1514,40,34,75,1588,714,99,2407
801011005,199,18,6,223,133,53,8,5,195,5,6,9,199,11,11,223,149,57,4,0,212,0,0,5,215,13,4,235,136,38,13,0,185,0,0,0,190,19,5,213,71,39,8,0,118,4,3,6,123,51,5,175,37,34,5,0,81,0,0,0,79,71,5,156,19,10,0,0,37,5,0,5,37,98,6,142,0,6,0,0,15,0,0,0,15,139,8,153,4,19,0,0,18,0,0,0,18,261,12,294,932,503,81,9,1530,29,35,70,1599,771,82,2450
801011006,554,56,6,619,392,131,16,4,541,0,3,5,547,41,13,606,407,95,13,3,530,4,3,9,537,46,22,603,344,97,20,0,455,8,0,8,465,40,10,524,222,62,25,4,313,8,0,8,324,85,8,418,120,55,14,0,193,3,6,3,192,130,11,339,43,27,0,0,74,0,5,5,77,155,3,235,7,11,0,0,22,0,0,0,20,174,7,203,0,0,0,0,3,0,0,0,3,204,11,214,2630,1090,191,43,3958,76,82,155,4118,1276,166,5560
801011007,378,30,8,418,248,82,12,0,336,4,4,9,346,27,8,386,277,75,12,0,369,7,3,4,375,33,6,416,206,65,13,5,293,0,0,4,299,39,3,343,147,56,10,4,209,9,0,10,214,80,7,307,86,53,7,0,149,3,6,6,155,131,8,291,39,47,9,0,92,0,0,0,97,187,3,285,11,23,0,0,38,0,0,0,38,253,0,290,6,7,0,0,8,0,0,0,5,228,6,241,1860,940,141,25,2960,49,57,108,3071,1224,102,4394
801011008,295,46,12,348,191,65,13,5,270,0,0,0,274,51,12,331,157,72,4,0,233,0,0,4,244,39,11,290,156,46,6,0,204,4,4,5,211,53,10,266,165,55,8,0,233,9,0,12,239,63,5,309,108,50,10,0,177,4,0,10,179,170,7,358,27,26,3,0,56,0,0,0,58,226,3,293,10,14,0,0,22,0,0,0,22,195,3,217,0,4,3,0,9,0,0,0,11,280,8,303,1515,780,84,27,2407,59,40,104,2509,1329,116,3960
801011009,236,23,3,269,164,53,11,3,228,0,3,8,234,17,6,260,164,54,4,3,229,3,0,3,230,26,12,262,151,32,3,6,184,0,0,0,187,25,9,220,99,35,10,0,143,4,0,6,149,43,5,193,65,36,13,0,114,0,0,4,124,89,8,214,26,18,0,0,39,0,4,4,39,118,7,163,7,12,4,0,23,0,0,0,23,170,4,196,3,5,0,0,6,0,0,0,6,188,6,198,1236,531,99,21,1888,35,54,86,1970,846,82,2900
801011010,116,12,7,130,97,36,8,3,147,0,0,0,146,23,9,177,99,31,9,0,138,5,0,5,144,14,0,160,85,33,4,0,121,0,0,0,121,7,6,127,69,18,10,4,93,0,0,0,95,32,0,132,30,18,3,0,56,3,0,3,63,49,0,115,24,20,0,0,40,0,0,0,42,113,0,153,9,7,0,0,19,0,0,0,19,128,4,148,0,8,0,0,8,0,0,0,8,113,3,122,662,324,48,16,1047,15,26,42,1094,579,37,1707
