SA2_CODE_2021,Ag_forest_fish_C11_M,Ag_forest_fish_C11_F,Ag_forest_fish_C11_P,Ag_forest_fish_C16_M,Ag_forest_fish_C16_F,Ag_forest_fish_C16_P,Ag_forest_fish_C21_M,Ag_forest_fish_C21_F,Ag_forest_fish_C21_P,Mining_C11_M,Mining_C11_F,Mining_C11_P,Mining_C16_M,Mining_C16_F,Mining_C16_P,Mining_C21_M,Mining_C21_F,Mining_C21_P,Manuf_C11_M,Manuf_C11_F,Manuf_C11_P,Manuf_C16_M,Manuf_C16_F,Manuf_C16_P,Manuf_C21_M,Manuf_C21_F,Manuf_C21_P,Ele_gas_wat_was_ser_C11_Cen_M,Ele_gas_wat_was_ser_C11_Cen_F,Ele_gas_wat_was_ser_C11_Cen_P,Ele_gas_wat_was_ser_C16_Cen_M,Ele_gas_wat_was_ser_C16_Cen_F,Ele_gas_wat_was_ser_C16_Cen_P,Ele_gas_wat_was_ser_C21_Cen_M,Ele_gas_wat_was_ser_C21_Cen_F,Ele_gas_wat_was_ser_C21_Cen_P,Constr_C11_M,Constr_C11_F,Constr_C11_P,Constr_C16_M,Constr_C16_F,Constr_C16_P,Constr_C21_M,Constr_C21_F,Constr_C21_P,Whlesale_tde_C11_M,Whlesale_tde_C11_F,Whlesale_tde_C11_P,Whlesale_tde_C16_M,Whlesale_tde_C16_F,Whlesale_tde_C16_P,Whlesale_tde_C21_M,Whlesale_tde_C21_F,Whlesale_tde_C21_P,Retail_tde_C11_M,Retail_tde_C11_F,Retail_tde_C11_P,Retail_tde_C16_M,Retail_tde_C16_F,Retail_tde_C16_P,Retail_tde_C21_M,Retail_tde_C21_F,Retail_tde_C21_P,Accom_food_S_C11_M,Accom_food_S_C11_F,Accom_food_S_C11_P,Accom_food_S_C16_M,Accom_food_S_C16_F,Accom_food_S_C16_P,Accom_food_S_C21_M,Accom_food_S_C21_F,Accom_food_S_C21_P,Tpt_post_ware_C11_M,Tpt_post_ware_C11_F,Tpt_post_ware_C11_P,Tpt_post_ware_C16_M,Tpt_post_ware_C16_F,Tpt_post_ware_C16_P,Tpt_post_ware_C21_M,Tpt_post_ware_C21_F,Tpt_post_ware_C21_P,Inf_Medi_Tele_C11_M,Inf_Medi_Tele_C11_F,Inf_Medi_Tele_C11_P,Inf_Medi_Tele_C16_M,Inf_Medi_Tele_C16_F,Inf_Medi_Tele_C16_P,Inf_Medi_Tele_C21_M,Inf_Medi_Tele_C21_F,Inf_Medi_Tele_C21_P,Finan_Insu_S_C11_M,Finan_Insu_S_C11_F,Finan_Insu_S_C11_P,Finan_Insu_S_C16_M,Finan_Insu_S_C16_F,Finan_Insu_S_C16_P,Finan_Insu_S_C21_M,Finan_Insu_S_C21_F,Finan_Insu_S_C21_P,Rent_hir_re_est_S_C11_Cen_M,Rent_hir_re_est_S_C11_Cen_F,Rent_hir_re_est_S_C11_Cen_P,Rent_hir_re_est_S_C16_Cen_M,Rent_hir_re_est_S_C16_Cen_F,Rent_hir_re_est_S_C16_Cen_P,Rent_hir_re_est_S_C21_Cen_M,Rent_hir_re_est_S_C21_Cen_F,Rent_hir_re_est_S_C21_Cen_P,Prof_scie_tech_S_C11_Cens_M,Prof_scie_tech_S_C11_Cens_F,Prof_scie_tech_S_C11_Cens_P,Prof_scie_tech_S_C16_Cens_M,Prof_scie_tech_S_C16_Cens_F,Prof_scie_tech_S_C16_Cens_P,Prof_scie_tech_S_C21_Cens_M,Prof_scie_tech_S_C21_Cens_F,Prof_scie_tech_S_C21_Cens_P,Admin_supp_S_C11_M,Admin_supp_S_C11_F,Admin_supp_S_C11_P,Admin_supp_S_C16_M,Admin_supp_S_C16_F,Admin_supp_S_C16_P,Admin_supp_S_C21_M,Admin_supp_S_C21_F,Admin_supp_S_C21_P,Pub_admin_safet_C11_M,Pub_admin_safet_C11_F,Pub_admin_safet_C11_P,Pub_admin_safet_C16_M,Pub_admin_safet_C16_F,Pub_admin_safet_C16_P,Pub_admin_safet_C21_M,Pub_admin_safet_C21_F,Pub_admin_safet_C21_P,Educ_trn_C11_M,Educ_trn_C11_F,Educ_trn_C11_P,Educ_trn_C16_M,Educ_trn_C16_F,Educ_trn_C16_P,Educ_trn_C21_M,Educ_trn_C21_F,Educ_trn_C21_P,Hea_car_soc_assist_C11_Cens_M,Hea_car_soc_assist_C11_Cens_F,Hea_car_soc_assist_C11_Cens_P,Hea_car_soc_assist_C16_Cens_M,Hea_car_soc_assist_C16_Cens_F,Hea_car_soc_assist_C16_Cens_P,Hea_car_soc_assist_C21_Cens_M,Hea_car_soc_assist_C21_Cens_F,Hea_car_soc_assist_C21_Cens_P,Arts_rec_S_C11_M,Arts_rec_S_C11_F,Arts_rec_S_C11_P,Arts_rec_S_C16_M,Arts_rec_S_C16_F,Arts_rec_S_C16_P,Arts_rec_S_C21_M,Arts_rec_S_C21_F,Arts_rec_S_C21_P,Oth_services_C11_M,Oth_services_C11_F,Oth_services_C11_P,Oth_services_C16_M,Oth_services_C16_F,Oth_services_C16_P,Oth_services_C21_M,Oth_services_C21_F,Oth_services_C21_P,Inad_descr_Ns_C11_M,Inad_descr_Ns_C11_F,Inad_descr_Ns_C11_P,Inad_descr_Ns_C16_M,Inad_descr_Ns_C16_F,Inad_descr_Ns_C16_P,Inad_descr_Ns_C21_M,Inad_descr_Ns_C21_F,Inad_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
801011001,5,0,6,10,3,16,0,0,5,0,0,0,0,0,0,3,4,4,7,8,16,7,3,11,8,4,15,5,0,8,3,6,7,9,6,6,37,4,48,32,3,34,58,14,66,4,0,11,4,0,7,6,3,3,29,23,50,17,31,48,29,36,62,33,20,53,24,34,59,34,36,67,4,3,14,11,4,17,14,3,13,14,15,31,16,13,26,14,8,20,0,5,8,6,4,13,13,4,15,11,10,17,8,6,15,9,12,22,104,55,161,93,60,155,114,71,179,3,9,15,15,10,21,12,15,28,212,191,407,191,169,360,193,199,385,82,129,214,71,107,175,75,115,189,23,84,107,19,67,91,31,87,120,13,13,27,25,15,40,14,24,38,12,10,21,10,17,25,15,8,27,6,6,18,12,7,26,12,3,17,609,618,1221,584,565,1147,649,655,1307
801011002,0,0,0,7,4,12,3,7,13,0,3,4,0,0,0,0,0,3,17,9,30,23,10,38,45,22,61,13,3,18,12,9,14,27,10,37,65,11,74,90,15,102,199,34,233,13,3,15,17,5,29,24,3,30,109,133,246,161,171,334,264,290,556,111,100,215,210,176,387,328,308,641,28,7,35,49,21,65,106,12,116,36,18,60,39,24,63,49,28,71,29,24,58,48,38,82,36,36,69,14,21,38,31,15,43,30,25,57,201,120,322,284,179,463,393,272,663,25,25,53,60,49,114,88,78,164,410,345,753,477,413,897,635,531,1159,86,106,194,150,184,331,174,273,446,63,129,186,109,252,363,208,493,701,26,24,45,40,30,71,47,48,89,22,41,58,38,45,74,57,67,125,13,10,25,51,35,83,65,53,122,1281,1135,2420,1887,1689,3579,2775,2589,5364
801011003,4,6,12,4,0,8,3,3,8,0,0,0,0,0,0,0,0,5,18,12,29,28,17,39,37,20,53,9,13,23,8,6,9,23,7,24,91,15,116,98,14,112,148,19,171,26,12,37,18,4,26,16,8,25,150,200,347,184,194,388,178,272,451,155,176,335,219,192,415,253,227,477,30,3,42,48,16,61,59,19,75,37,29,72,47,31,79,37,31,67,51,49,99,29,30,58,28,30,57,20,17,38,22,27,49,23,31,54,250,174,417,252,186,442,330,221,552,23,32,54,41,31,69,66,77,139,531,459,990,537,452,991,551,547,1102,143,181,328,169,240,410,207,343,551,63,213,278,102,302,402,144,411,558,54,29,80,50,45,93,49,72,118,39,49,90,36,53,89,50,63,111,27,16,42,51,44,93,65,35,99,1737,1681,3414,1962,1880,3841,2261,2434,4694
801011004,6,0,6,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,21,8,33,7,3,14,18,8,22,10,3,19,12,5,16,14,6,18,153,10,166,121,5,128,167,12,174,14,5,18,15,5,15,16,3,16,78,80,154,68,72,143,53,57,109,59,62,116,53,49,99,51,37,93,46,8,52,32,4,41,56,9,63,10,9,22,8,12,21,3,7,18,12,24,35,8,26,38,3,6,16,5,10,14,10,6,14,7,9,13,73,45,115,69,41,106,55,61,109,36,29,68,29,20,50,20,24,47,154,180,339,142,157,297,152,187,334,42,90,130,32,87,124,29,112,140,25,119,145,30,119,146,38,136,176,14,7,23,16,16,35,20,21,39,35,23,60,41,27,68,39,31,66,11,8,16,41,18,61,34,15,51,792,737,1532,745,666,1412,773,741,1514
801011005,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,3,13,9,24,13,8,19,13,5,15,0,5,8,6,0,8,14,3,15,53,4,56,47,6,50,66,8,73,12,3,13,5,5,6,6,0,11,40,56,99,46,40,92,33,34,69,29,17,50,28,37,62,31,34,65,9,9,17,14,7,23,16,8,22,27,16,37,10,15,23,12,13,29,10,19,31,8,3,15,7,7,14,11,19,22,5,8,14,8,4,13,109,77,190,92,68,161,114,86,199,28,19,44,29,7,39,13,21,33,239,271,515,194,229,428,223,249,471,106,136,240,90,139,226,81,142,225,34,96,132,27,84,114,40,123,160,10,14,26,14,15,30,16,18,37,17,19,38,12,27,39,11,32,41,7,13,19,15,15,31,15,12,23,752,792,1546,666,721,1385,715,809,1530
801011006,0,3,0,4,3,9,0,5,9,0,0,0,0,0,0,0,0,3,51,15,66,47,19,66,54,16,71,29,10,41,28,7,33,28,6,37,274,33,300,257,25,283,319,36,349,36,16,47,33,8,44,28,8,39,150,161,310,144,158,303,126,129,254,91,110,194,122,121,237,105,97,204,84,15,98,94,24,113,74,14,90,33,27,64,41,23,60,33,11,47,50,62,108,31,52,86,21,41,60,25,27,49,24,23,43,21,26,47,177,117,304,135,131,266,189,139,335,45,38,84,55,40,97,37,59,94,636,650,1288,553,591,1137,572,579,1150,95,217,311,109,285,393,110,294,405,57,289,347,91,303,393,117,351,469,47,30,76,26,22,54,40,32,63,85,74,163,65,61,124,91,78,173,25,30,53,52,26,80,39,31,69,1997,1911,3906,1912,1917,3831,2003,1960,3958
801011007,3,3,12,3,6,7,6,0,11,3,0,3,0,0,0,0,0,0,60,14,75,36,9,49,45,8,46,20,8,27,20,8,33,26,6,28,221,21,243,205,19,222,287,19,309,25,13,35,17,9,30,23,6,29,89,120,208,95,95,199,71,117,193,83,98,176,91,86,182,97,69,169,60,21,81,45,20,63,39,13,53,42,27,66,25,23,52,29,10,38,32,34,64,22,22,46,22,20,39,19,17,34,20,13,39,9,15,29,161,111,274,141,93,233,184,143,323,55,40,97,27,40,71,42,45,91,444,476,917,361,384,746,366,406,771,107,199,308,89,209,299,99,231,330,43,217,257,52,177,229,76,218,296,22,22,46,23,25,47,29,31,63,48,44,96,49,50,99,37,55,90,28,21,49,41,25,74,47,18,67,1568,1508,3074,1380,1326,2707,1530,1431,2960
801011008,0,0,0,7,0,4,0,0,3,0,0,0,4,0,4,0,0,0,44,12,59,26,12,36,29,14,43,13,5,13,10,0,14,16,7,24,138,18,156,134,13,146,155,20,176,20,6,30,14,3,19,4,8,16,116,133,246,100,99,192,101,78,176,96,94,193,100,78,177,83,81,160,73,24,95,56,18,74,55,15,72,24,23,48,22,25,48,25,16,42,33,25,57,29,18,46,24,19,44,9,11,24,11,16,26,7,14,27,156,111,266,107,105,212,129,96,230,39,32,73,35,27,61,36,32,64,366,374,742,298,308,605,300,317,623,93,138,235,90,142,234,74,159,231,51,204,256,69,213,278,79,230,311,26,22,46,24,15,36,22,25,47,49,48,105,29,33,63,39,39,78,36,18,52,37,28,58,35,20,55,1388,1315,2705,1200,1147,2349,1206,1208,2407
801011009,7,0,6,4,3,4,5,0,5,0,0,4,6,0,6,0,0,0,36,7,44,17,7,30,28,3,34,16,7,20,14,0,21,11,3,13,138,20,153,149,5,154,178,12,194,12,6,23,14,6,21,12,3,16,83,83,161,50,75,129,64,68,130,44,53,103,46,54,97,46,54,101,43,5,43,18,7,22,35,7,44,18,19,34,19,15,34,18,11,33,11,29,43,13,19,24,5,10,17,6,9,20,12,15,21,11,5,23,100,78,180,88,60,148,97,59,159,23,16,40,24,17,41,33,27,57,268,279,548,235,226,460,253,277,526,56,123,180,57,123,180,68,157,221,29,125,150,28,116,149,37,135,173,19,24,44,15,16,34,18,19,39,27,32,59,27,28,58,41,28,71,11,12,17,21,17,44,18,12,29,953,926,1877,859,824,1678,986,900,1888
801011010,0,0,0,8,5,7,6,0,8,0,0,0,0,0,0,0,0,0,12,6,21,8,9,19,10,5,10,6,0,6,8,0,10,11,5,18,84,8,95,67,15,81,94,15,110,11,0,19,12,0,14,8,0,8,33,47,83,26,33,66,30,34,59,35,24,59,19,23,38,27,21,50,31,7,37,22,8,32,20,5,22,12,9,19,20,11,27,10,6,19,11,14,25,12,13,29,7,8,18,3,6,18,3,6,13,0,8,12,79,47,131,54,39,94,72,43,117,19,17,35,14,12,26,20,15,29,158,145,308,120,137,253,130,146,275,42,84,133,38,83,123,38,81,114,20,90,109,24,88,110,32,77,105,8,11,14,12,12,22,11,18,25,17,19,34,18,9,31,19,9,31,10,6,19,9,7,22,14,5,17,607,554,1167,496,498,990,559,495,1047
