SA2_CODE_2021,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Managers_C21_M,Managers_C21_F,Managers_C21_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Professionals_C21_M,Professionals_C21_F,Professionals_C21_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Tech_trad_wkrs_C21_M,Tech_trad_wkrs_C21_F,Tech_trad_wkrs_C21_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Com_pers_S_work_C21_Cens_M,Com_pers_S_work_C21_Cens_F,Com_pers_S_work_C21_Cens_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Cler_admin_work_C21_M,Cler_admin_work_C21_F,Cler_admin_work_C21_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Sales_workers_C21_M,Sales_workers_C21_F,Sales_workers_C21_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Mach_oper_driv_C21_M,Mach_oper_driv_C21_F,Mach_oper_driv_C21_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Labourers_C21_M,Labourers_C21_F,Labourers_C21_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Inadeq_descr_Ns_C21_M,Inadeq_descr_Ns_C21_F,Inadeq_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
801011001,117,116,234,121,111,234,154,139,294,253,259,511,235,220,456,253,274,526,56,9,68,54,20,76,63,17,82,44,61,98,51,57,106,42,59,103,58,126,183,60,96,155,44,82,124,23,26,54,12,39,54,28,45,68,9,0,10,4,0,4,6,0,6,27,6,34,32,14,48,49,20,69,14,9,26,12,11,24,16,9,27,609,618,1221,584,565,1147,649,655,1307
801011002,144,116,264,247,165,412,345,283,629,505,376,880,681,559,1238,893,822,1719,161,38,197,201,62,265,378,109,488,105,150,252,183,283,465,286,495,788,161,270,435,220,332,551,273,414,688,78,124,207,111,188,299,220,278,498,34,4,37,55,9,63,130,11,141,77,40,116,140,73,213,188,120,309,24,11,37,52,30,84,53,54,106,1281,1135,2420,1887,1689,3579,2775,2589,5364
801011003,297,197,495,301,223,520,353,286,637,593,589,1178,648,643,1296,752,792,1548,201,35,235,187,66,248,243,99,342,188,244,434,246,334,577,242,466,701,171,336,510,208,326,537,210,377,593,121,212,339,155,204,359,174,269,445,26,5,31,45,9,53,58,13,73,98,36,134,127,51,179,170,80,251,37,26,60,36,28,68,54,48,103,1737,1681,3414,1962,1880,3841,2261,2434,4694
801011004,74,79,147,68,58,122,85,96,181,133,157,287,126,137,263,134,163,293,198,38,241,194,30,216,209,40,254,64,124,191,67,124,190,73,144,218,99,205,307,72,195,270,70,178,255,52,72,119,41,71,118,39,53,97,66,9,76,47,0,50,67,5,76,99,33,137,103,37,144,76,39,114,11,14,25,28,14,46,19,17,34,792,737,1532,745,666,1412,773,741,1514
801011005,124,131,253,113,112,223,150,174,322,326,324,653,273,315,589,273,331,604,91,18,113,74,25,96,82,25,108,36,54,92,44,66,113,58,78,136,79,180,257,45,123,174,52,124,176,38,72,109,37,53,89,32,39,73,18,0,18,15,4,17,19,4,15,21,14,38,40,11,51,42,22,67,4,11,16,25,13,42,13,12,26,752,792,1546,666,721,1385,715,809,1530
801011006,312,231,544,295,218,506,327,277,607,449,465,911,406,486,889,415,499,916,398,86,486,384,76,462,446,84,533,152,229,375,138,260,402,184,318,497,280,637,916,238,567,810,217,505,720,117,160,276,124,174,289,116,142,256,101,8,107,119,11,129,100,13,120,147,59,210,166,70,233,161,79,242,41,42,82,49,54,107,36,34,71,1997,1911,3906,1912,1917,3831,2003,1960,3958
801011007,254,203,454,246,174,411,254,243,497,389,380,771,321,374,694,396,455,849,319,49,365,276,48,325,322,51,375,102,194,294,106,178,286,111,181,292,160,462,627,137,355,492,132,315,443,86,130,219,84,105,192,64,110,175,92,14,107,77,6,88,83,6,86,136,46,181,97,53,141,134,59,191,30,29,56,43,36,75,29,29,59,1568,1508,3074,1380,1326,2707,1530,1431,2960
801011008,180,147,321,184,127,306,187,162,348,373,324,699,300,312,615,324,355,677,235,50,283,226,38,266,210,45,257,90,164,261,106,193,300,100,182,279,182,388,569,115,295,417,106,289,392,103,149,251,75,118,196,61,89,152,82,4,88,80,4,80,78,11,89,126,69,191,90,44,136,105,55,164,22,17,41,22,15,39,33,22,58,1388,1315,2705,1200,1147,2349,1206,1208,2407
801011009,163,133,296,141,99,240,151,153,297,206,252,451,190,223,410,239,287,519,189,41,226,197,32,230,229,38,268,62,111,174,70,107,176,82,119,203,135,276,406,105,241,345,78,203,285,71,67,137,42,80,125,67,70,132,51,8,56,34,3,38,47,3,50,65,30,96,53,23,78,80,21,104,16,12,27,25,17,43,13,10,27,953,926,1877,859,824,1678,986,900,1888
801011010,103,72,171,80,75,155,87,93,178,138,148,285,128,129,255,142,144,281,112,30,141,88,23,119,116,28,143,45,74,121,34,65,104,40,69,111,87,153,244,47,146,188,42,113,162,28,55,76,23,38,62,24,27,55,35,4,37,39,4,45,34,5,32,50,7,63,33,9,48,57,6,62,11,17,24,9,4,20,12,11,26,607,554,1167,496,498,990,559,495,1047
801011011,147,116,262,142,122,266,163,140,302,247,258,508,196,262,455,214,266,481,217,35,256,197,34,231,200,35,232,66,112,180,62,117,182,68,114,186,105,274,382,89,201,288,58,189,250,58,78,133,48,62,114,37,45,85,46,3,51,31,6,37,29,0,39,72,23,96,61,19,79,62,15,80,27,9,36,16,13,30,19,18,40,985,911,1898,833,836,1673,848,829,1678
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
801011013,150,102,251,144,109,258,148,146,292,257,278,530,235,242,472,217,244,458,91,11,105,90,14,108,111,33,144,45,62,108,56,88,142,63,116,178,84,154,242,83,107,191,65,121,190,40,57,96,43,53,96,56,40,102,22,0,26,24,0,24,31,0,27,37,18,57,52,29,71,55,18,77,23,15,32,20,17,33,15,10,24,748,706,1452,739,660,1401,757,734,1493
801011014,104,79,185,110,99,209,118,127,247,198,212,417,171,200,367,213,225,444,186,27,212,163,30,195,191,32,224,53,113,167,69,114,183,63,119,180,105,190,296,76,165,234,67,185,250,37,58,98,34,54,87,47,65,112,59,0,62,56,4,59,50,0,53,90,37,128,73,29,97,93,43,127,18,16,33,18,19,39,14,11,28,855,739,1591,768,716,1476,855,817,1668
801011015,165,133,296,136,113,250,192,205,393,285,309,598,230,291,518,336,424,756,300,51,355,248,52,309,307,61,369,93,161,258,73,167,238,139,231,371,155,381,534,111,297,418,136,337,477,65,99,166,69,70,139,78,104,186,90,8,96,88,7,93,92,8,99,109,30,134,76,40,120,123,39,166,13,18,33,22,24,42,37,24,62,1273,1200,2475,1057,1062,2121,1439,1440,2879
801011016,324,234,559,290,214,504,355,284,638,574,537,1108,487,512,995,507,569,1076,424,78,497,350,60,410,373,75,448,135,243,372,166,251,420,144,256,406,235,585,821,210,414,621,179,373,552,113,170,280,130,153,285,121,109,231,107,8,117,68,4,72,86,6,94,168,84,250,147,73,216,182,77,261,60,37,93,41,41,91,48,32,79,2141,1965,4106,1889,1724,3613,2003,1786,3782
801011017,133,86,219,133,116,242,152,155,302,233,248,481,185,251,435,202,295,493,256,41,302,217,33,249,215,39,256,79,119,198,68,142,210,69,145,208,115,283,401,94,223,313,84,199,293,51,98,151,37,71,110,46,71,118,59,7,65,57,4,59,64,4,67,81,32,104,90,42,125,86,41,122,20,22,40,27,24,54,21,18,43,1024,928,1956,904,899,1805,939,960,1900
801011018,0,0,0,6,3,5,125,116,244,0,0,0,12,13,30,326,335,658,0,0,0,11,0,10,135,30,166,0,0,0,0,3,8,100,136,233,0,0,0,0,5,5,84,154,238,0,0,0,3,0,5,57,61,124,0,0,0,0,0,0,53,3,55,0,0,0,0,0,0,71,32,109,0,0,0,0,0,0,27,23,47,0,0,0,33,27,60,979,899,1877
801011019,189,190,389,217,203,423,263,286,549,421,416,838,455,530,977,462,501,963,383,62,447,385,62,451,390,79,476,139,192,334,171,240,407,180,315,496,199,479,679,217,497,718,161,442,601,71,117,192,109,156,266,102,144,241,88,9,93,114,4,116,127,6,134,130,41,171,179,64,247,164,68,233,38,35,72,56,44,94,50,37,88,1661,1546,3209,1897,1796,3699,1896,1876,3776
801011020,105,86,196,97,94,199,136,134,265,221,232,456,242,219,460,242,287,526,104,18,124,100,21,126,121,25,151,46,87,136,55,88,147,84,107,188,74,131,202,62,120,182,52,126,180,47,48,95,33,50,88,45,52,94,26,3,30,16,7,23,30,0,32,50,17,65,41,25,58,52,32,87,11,10,26,23,17,38,15,14,32,687,641,1330,677,643,1322,784,776,1555
801011021,135,99,238,133,94,231,147,114,265,200,207,411,172,198,376,187,201,383,124,22,142,126,28,153,147,31,180,55,104,154,41,85,122,33,82,118,89,208,300,65,171,230,56,157,214,50,62,110,40,66,105,28,47,74,51,9,54,37,4,35,38,4,41,51,25,82,62,31,91,41,18,57,18,8,27,18,11,27,18,4,20,772,744,1512,700,682,1375,701,662,1362
801011022,137,103,234,125,93,216,160,141,300,227,225,459,187,229,415,242,256,506,146,25,172,137,26,157,175,30,202,60,124,185,62,80,141,53,109,162,112,223,329,63,188,250,52,174,228,41,63,105,50,58,108,43,61,102,48,4,50,38,3,40,27,7,37,62,24,81,62,24,88,65,25,85,24,11,31,23,21,42,13,16,36,854,803,1660,755,719,1470,835,814,1649
801011023,84,85,168,77,70,149,90,107,200,176,206,383,177,226,400,197,235,425,122,28,155,114,23,139,120,29,152,46,86,135,59,106,164,62,98,154,65,177,236,63,111,171,58,120,175,39,57,97,33,55,84,40,47,86,38,0,36,37,0,40,39,0,42,64,18,91,58,31,88,76,38,115,11,4,19,17,13,38,22,16,33,655,666,1324,633,635,1272,700,693,1392
801011024,98,76,180,95,82,181,110,119,233,198,210,408,179,180,356,211,240,456,146,28,175,134,30,162,156,28,183,52,82,135,71,102,176,61,121,179,100,173,271,85,161,246,67,141,210,47,71,116,39,57,102,37,56,95,43,8,48,32,0,38,41,8,46,67,26,93,65,19,86,75,33,112,12,7,18,17,16,36,13,14,24,771,685,1453,728,644,1373,781,755,1533
801011025,118,84,200,95,78,170,106,99,206,157,182,341,118,168,288,146,198,338,154,20,170,152,15,170,149,28,182,43,89,135,42,111,158,45,104,150,75,217,291,57,171,232,63,154,220,28,54,80,35,52,84,40,49,87,41,0,46,39,0,41,22,0,24,60,17,78,46,18,67,59,23,76,16,12,28,24,8,33,14,10,24,692,680,1376,613,632,1248,647,658,1304
801011026,151,90,243,164,86,244,159,144,309,244,240,483,215,220,434,238,257,495,79,29,103,63,16,77,76,20,103,38,60,96,43,59,103,76,86,161,79,150,227,51,131,184,53,126,174,24,48,70,36,37,75,40,49,89,20,0,19,21,6,21,26,0,26,26,6,37,38,13,53,44,6,53,8,6,20,19,23,40,12,11,26,676,628,1300,650,581,1232,730,698,1427
801011111,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,9,4,5,13
801011142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011143,0,0,0,0,0,4,29,19,51,0,0,0,0,0,0,55,60,119,0,0,0,0,0,0,38,8,51,0,0,0,0,0,0,13,42,59,0,0,0,0,0,0,16,58,79,0,0,0,0,0,0,18,15,31,0,0,0,0,0,0,15,3,15,0,0,7,0,0,0,17,9,26,0,0,0,0,0,0,8,4,11,4,9,9,8,4,5,216,221,437
801011144,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,12
801031031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,10
801031032,4,0,6,0,0,0,0,0,0,0,3,5,0,0,0,6,0,6,9,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,8,25,11,5,15,7,7,15
801031113,33,18,60,16,23,39,27,18,48,35,23,62,24,21,44,28,26,52,67,7,70,49,8,57,53,9,60,21,22,42,23,23,40,26,22,48,15,43,58,8,28,39,20,31,45,10,19,31,9,15,15,10,21,26,33,3,40,36,4,36,32,0,30,37,29,60,31,22,51,33,21,51,3,0,3,9,4,11,5,0,9,256,166,420,205,132,334,236,145,381
801031114,3,3,6,0,3,8,4,3,7,7,6,9,10,5,13,9,16,19,3,0,5,8,0,5,5,3,5,6,0,9,7,3,11,10,3,13,0,4,4,3,5,14,3,3,11,9,4,11,0,9,6,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,31,21,48,35,26,63,35,32,63
801031115,12,6,19,19,11,30,65,17,81,6,8,15,8,7,19,7,6,18,18,8,23,10,0,12,16,8,23,3,3,4,0,0,6,13,12,21,0,14,10,3,13,11,4,12,14,6,9,6,0,3,3,0,0,4,5,0,5,4,0,4,10,0,10,6,0,6,6,0,11,3,0,3,0,0,0,0,0,0,4,0,3,52,42,94,50,37,92,122,62,180
801041034,335,220,554,315,196,511,352,273,626,380,418,800,374,400,773,444,477,913,251,48,300,245,44,285,306,69,377,112,167,279,130,214,348,132,231,368,188,479,664,163,411,576,158,404,563,93,116,208,97,136,234,95,143,237,57,4,60,69,6,76,89,13,100,83,39,118,106,42,147,104,55,161,40,24,59,41,38,79,37,25,61,1527,1514,3043,1543,1476,3024,1719,1682,3401
801041035,65,52,123,299,155,457,332,217,551,141,124,269,552,493,1044,558,558,1119,90,21,109,318,57,374,326,90,417,35,51,85,114,290,404,172,321,492,64,134,198,194,398,593,190,405,592,25,26,53,110,156,263,116,167,282,17,0,17,66,0,68,119,7,122,14,13,29,116,52,172,161,82,247,11,11,15,50,40,94,67,46,114,460,436,898,1822,1647,3462,2028,1900,3923
801041036,69,51,123,267,213,481,351,314,661,117,117,240,455,476,933,493,536,1032,118,21,136,325,66,391,327,84,409,42,54,100,172,220,394,157,253,410,52,156,207,168,462,632,195,459,650,26,42,64,95,136,237,107,132,240,22,4,25,61,0,64,106,3,113,22,15,38,100,55,157,116,53,166,3,6,16,55,35,89,47,43,90,482,462,947,1701,1680,3380,1900,1872,3772
801041037,32,19,54,240,180,423,302,265,561,71,72,139,475,446,920,455,423,876,26,5,38,189,24,217,182,55,239,30,20,48,115,144,261,120,186,301,20,53,75,132,294,422,142,279,415,14,9,18,59,83,145,55,80,134,9,0,9,29,4,32,39,5,41,8,0,4,54,31,86,59,27,85,0,5,5,39,31,73,29,23,52,202,187,392,1330,1245,2573,1381,1325,2707
