service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20240102,20240401
8,1,1,1,1,1,0,0,20240102,20240401
10,0,0,0,0,1,0,0,20240102,20240401
13,1,1,1,1,1,0,0,20240102,20240401
14,0,0,0,0,0,1,0,20240102,20240401
15,1,1,1,1,1,0,0,20240102,20240401
19,0,0,1,0,0,0,0,20240102,20240401
21,0,0,0,0,0,0,1,20240102,20240401
23,1,0,0,0,0,0,0,20240102,20240401
25,0,0,0,1,0,0,0,20240102,20240401
28,1,1,1,1,1,0,0,20240102,20240401
29,1,1,1,1,1,0,0,20240102,20240401
32,1,1,1,1,1,0,0,20240102,20240401
34,0,1,0,0,0,0,0,20240102,20240401
35,0,0,0,1,0,0,0,20240102,20240401
36,0,0,0,0,1,0,0,20240102,20240401
38,1,1,1,1,0,0,0,20240102,20240401
39,0,1,1,1,1,0,0,20240102,20240401
40,1,1,1,0,1,0,0,20240102,20240401
41,1,0,1,1,1,0,0,20240102,20240401
42,1,1,0,1,1,0,0,20240102,20240401
53,1,1,1,0,0,0,0,20240102,20240401
56,0,0,0,0,0,1,0,20240102,20240401
57,0,0,0,0,0,0,1,20240102,20240401
61,1,0,1,0,1,0,0,20240102,20240401
62,0,1,0,1,0,0,0,20240102,20240401
65,0,1,0,0,0,0,0,20240102,20240401
71,1,0,0,0,0,0,0,20240102,20240401
72,0,1,0,0,0,0,0,20240102,20240401
73,0,0,1,0,0,0,0,20240102,20240401
80,1,0,0,0,1,0,0,20240102,20240401
134,1,0,0,0,0,0,0,20240102,20240401
143,1,1,1,1,0,0,0,20240102,20240401
164,0,0,0,0,0,1,0,20240102,20240401
165,0,0,0,0,0,0,1,20240102,20240401
178,0,0,0,1,0,0,0,20240102,20240401
182,0,0,0,1,0,0,0,20240102,20240401
183,0,0,0,0,0,1,1,20240102,20240401
184,0,0,0,0,0,0,1,20240102,20240401
185,0,0,0,0,0,0,1,20240102,20240401
197,0,0,0,0,1,0,0,20240102,20240401
202,0,0,0,1,0,0,0,20240102,20240401
203,0,1,0,0,1,0,0,20240102,20240401
204,0,1,0,0,0,0,0,20240102,20240401
205,0,0,0,0,0,0,1,20240102,20240401
206,1,0,0,1,0,0,0,20240102,20240401
207,1,1,1,1,1,0,1,20240102,20240401
208,0,0,0,0,0,1,0,20240102,20240401
209,0,0,0,0,1,0,0,20240102,20240401
210,1,1,1,1,1,0,0,20240102,20240401
211,0,0,0,0,0,0,1,20240102,20240401
212,0,0,0,1,0,0,0,20240102,20240401
213,0,1,0,0,0,0,0,20240102,20240401
215,0,0,0,0,0,0,1,20240102,20240401
216,0,0,0,0,0,1,0,20240102,20240401
217,0,0,1,0,1,0,0,20240102,20240401
218,1,0,0,1,0,0,0,20240102,20240401
219,1,1,0,1,0,1,1,20240102,20240401
220,0,1,1,0,1,1,1,20240102,20240401
221,0,0,0,0,0,1,0,20240102,20240401
223,0,0,0,0,0,0,0,20240102,20240401
224,1,0,0,0,1,0,0,20240102,20240401
225,0,0,1,0,0,0,0,20240102,20240401
226,0,0,0,0,1,0,0,20240102,20240401
227,0,0,0,0,0,0,1,20240102,20240401
228,0,0,0,0,0,0,1,20240102,20240401
229,0,1,0,0,0,0,0,20240102,20240401
230,0,0,0,0,0,1,0,20240102,20240401
231,0,0,1,0,0,0,0,20240102,20240401
232,0,0,0,1,0,0,0,20240102,20240401
233,0,0,1,0,0,0,0,20240102,20240401
234,0,0,0,1,0,0,0,20240102,20240401
237,0,0,0,0,1,0,0,20240102,20240401
238,1,0,1,0,0,0,0,20240102,20240401
239,0,0,1,0,1,0,0,20240102,20240401
240,1,0,0,0,0,0,0,20240102,20240401
241,0,1,0,0,1,0,0,20240102,20240401
242,1,0,0,1,0,0,0,20240102,20240401
243,0,1,0,1,0,1,0,20240102,20240401
244,0,1,0,1,0,1,0,20240102,20240401
245,1,0,1,0,1,0,0,20240102,20240401
246,0,0,0,0,0,0,1,20240102,20240401
247,0,0,0,0,0,0,1,20240102,20240401
248,1,0,0,1,0,0,0,20240102,20240401
249,0,1,0,0,1,0,0,20240102,20240401
250,1,1,1,1,1,0,0,20240102,20240401
252,1,1,1,1,1,1,0,20240102,20240401
254,0,0,0,0,0,0,1,20240102,20240401
