service_id,date,exception_type
1,20240126,1
1,20240304,1
1,20240329,1
1,20240401,1
8,20240126,2
8,20240304,2
8,20240329,2
8,20240401,2
10,20240126,2
10,20240329,2
13,20240126,2
13,20240131,2
13,20240201,2
13,20240202,2
13,20240205,2
13,20240206,2
13,20240207,2
13,20240208,2
13,20240209,2
13,20240212,2
13,20240213,2
13,20240214,2
13,20240215,2
13,20240216,2
13,20240219,2
13,20240220,2
13,20240221,2
13,20240222,2
13,20240223,2
13,20240226,2
13,20240227,2
13,20240228,2
13,20240229,2
13,20240301,2
13,20240304,2
13,20240305,2
13,20240306,2
13,20240307,2
13,20240308,2
13,20240311,2
13,20240312,2
13,20240313,2
13,20240314,2
13,20240315,2
13,20240318,2
13,20240319,2
13,20240320,2
13,20240321,2
13,20240322,2
13,20240325,2
13,20240326,2
13,20240327,2
13,20240328,2
13,20240329,2
13,20240401,2
15,20240102,2
15,20240103,2
15,20240104,2
15,20240105,2
15,20240108,2
15,20240109,2
15,20240110,2
15,20240111,2
15,20240112,2
15,20240115,2
15,20240116,2
15,20240117,2
15,20240118,2
15,20240119,2
15,20240122,2
15,20240123,2
15,20240124,2
15,20240125,2
15,20240126,2
15,20240129,2
15,20240130,2
15,20240304,2
15,20240329,2
15,20240401,2
19,20240103,2
19,20240110,2
19,20240117,2
19,20240124,2
21,20240126,1
21,20240304,1
21,20240329,1
21,20240401,1
23,20240108,2
23,20240115,2
23,20240122,2
23,20240129,2
23,20240205,2
23,20240212,2
23,20240219,2
23,20240226,2
23,20240311,2
23,20240318,2
23,20240325,2
23,20240401,2
28,20240102,2
28,20240103,2
28,20240104,2
28,20240105,2
28,20240108,2
28,20240109,2
28,20240110,2
28,20240111,2
28,20240112,2
28,20240115,2
28,20240116,2
28,20240117,2
28,20240118,2
28,20240119,2
28,20240122,2
28,20240123,2
28,20240124,2
28,20240125,2
28,20240126,2
28,20240129,2
28,20240130,2
28,20240131,2
28,20240201,2
28,20240202,2
28,20240205,2
28,20240206,2
28,20240207,2
28,20240208,2
28,20240209,2
28,20240212,2
28,20240213,2
28,20240214,2
28,20240215,2
28,20240216,2
28,20240304,2
28,20240329,2
28,20240401,2
29,20240102,2
29,20240103,2
29,20240104,2
29,20240105,2
29,20240108,2
29,20240109,2
29,20240110,2
29,20240111,2
29,20240112,2
29,20240115,2
29,20240116,2
29,20240117,2
29,20240118,2
29,20240119,2
29,20240122,2
29,20240123,2
29,20240124,2
29,20240125,2
29,20240126,2
29,20240129,2
29,20240130,2
29,20240131,2
29,20240201,2
29,20240202,2
29,20240205,2
29,20240206,2
29,20240207,2
29,20240208,2
29,20240209,2
29,20240212,2
29,20240213,2
29,20240214,2
29,20240215,2
29,20240216,2
29,20240304,2
29,20240329,2
29,20240401,2
32,20240126,2
32,20240304,2
32,20240329,2
32,20240401,2
34,20240102,2
34,20240109,2
34,20240116,2
34,20240123,2
34,20240130,2
35,20240104,2
35,20240111,2
35,20240118,2
35,20240125,2
36,20240105,2
36,20240112,2
36,20240119,2
36,20240126,2
36,20240329,2
38,20240102,2
38,20240103,2
38,20240104,2
38,20240108,2
38,20240109,2
38,20240110,2
38,20240111,2
38,20240115,2
38,20240116,2
38,20240117,2
38,20240118,2
38,20240122,2
38,20240123,2
38,20240124,2
38,20240125,2
38,20240129,2
38,20240130,2
38,20240304,2
38,20240401,2
