sal_code,sal_name,state,latitude,longitude,area_km2,sa2_mappings,police_district,police_mapping_confidence,classification_type,economic_base,last_updated,data_source
50001,Abba River,WA,-33.683448278479176,115.48842519480854,2.772574721114511e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50002,Abbey,WA,-33.66362798330794,115.25636538338055,2.5695229132985315e-10,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50003,Acton Park (WA),WA,-33.762843495190786,115.37499403401536,2.4187717043026623e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50004,Adamsvale,WA,-32.217327060288746,117.71783534142986,2.3582353500758224e-08,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50005,Ajana,WA,-27.8772217136368,114.69078805265445,6.669628844721061e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50006,Albany,WA,-35.026094091007145,117.883824200915,1.9369700657889525e-10,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50007,Aldersyde,WA,-32.31509896274854,117.26898132038222,3.7331846441122864e-08,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50008,Alexander Heights,WA,-31.827566355340434,115.86501927781944,3.031038435804515e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50009,Alexandra Bridge,WA,-34.16497457045566,115.20039547653636,6.453943736868383e-10,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50010,Alfred Cove,WA,-32.032744391041575,115.81704899560107,1.0343152536448587e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50011,Alkimos,WA,-31.614356244546407,115.68633308327823,1.639915203961194e-09,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50012,Allanooka,WA,-29.05796950454418,115.09958298777583,2.997895753555515e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50013,Allanson,WA,-33.326155553193495,116.08807909123615,2.401195685837207e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50014,Alma (WA),WA,-28.25242699281998,114.62239022370711,3.144789788687556e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50015,Ambania,WA,-28.686479536227914,115.14290358236185,3.026829847648791e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50016,Ambergate,WA,-33.711960744476826,115.31798397753835,3.734366173037908e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50017,Amelup,WA,-34.25720494412597,118.2728515345206,3.938941064618372e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50018,Angelo River,WA,-23.839347568207078,118.40817766035062,1.2382432596811991e-06,[],,0.0,Regional Town,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50019,Anketell,WA,-32.21868811039064,115.86539542246555,6.526107349203441e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50020,Anniebrook,WA,-33.66917956441835,115.16909849010618,1.2893313931202606e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50021,Antonymyre,WA,-20.648419870898184,117.07990443861839,2.2338859789654666e-09,[],,0.0,Regional Town,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50022,Applecross,WA,-32.01360566413833,115.83660375116008,3.050859280072973e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50023,Ardath,WA,-32.03818521493776,118.11331739649926,3.4210389290381696e-08,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50024,Ardross,WA,-32.02695101689832,115.83549236932136,2.156408433355728e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50025,Argyle (WA),WA,-33.545776994589374,115.7706857906657,1.3389547650757142e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50026,Armadale (WA),WA,-32.15110022901305,116.00685131725088,7.916829813291493e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
