SA2_CODE_2021,C11_Budh_0_14,C11_Budh_15_24,C11_Budh_25_34,C11_Budh_35_44,C11_Budh_45_54,C11_Budh_55_64,C11_Budh_65_74,C11_Budh_75_84,C11_Budh_85ov,C11_Budh_Tot,C11_C_Ang_0_14,C11_C_Ang_15_24,C11_C_Ang_25_34,C11_C_Ang_35_44,C11_C_Ang_45_54,C11_C_Ang_55_64,C11_C_Ang_65_74,C11_C_Ang_75_84,C11_C_Ang_85ov,C11_C_Ang_Tot,C11_C_As_Apo_0_14,C11_C_As_Apo_15_24,C11_C_As_Apo_25_34,C11_C_As_Apo_35_44,C11_C_As_Apo_45_54,C11_C_As_Apo_55_64,C11_C_As_Apo_65_74,C11_C_As_Apo_75_84,C11_C_As_Apo_85ov,C11_C_As_Apo_Tot,C11_C_Bap_0_14,C11_C_Bap_15_24,C11_C_Bap_25_34,C11_C_Bap_35_44,C11_C_Bap_45_54,C11_C_Bap_55_64,C11_C_Bap_65_74,C11_C_Bap_75_84,C11_C_Bap_85ov,C11_C_Bap_Tot,C11_C_Breth_0_14,C11_C_Breth_15_24,C11_C_Breth_25_34,C11_C_Breth_35_44,C11_C_Breth_45_54,C11_C_Breth_55_64,C11_C_Breth_65_74,C11_C_Breth_75_84,C11_C_Breth_85ov,C11_C_Breth_Tot,C11_C_Cath_0_14,C11_C_Cath_15_24,C11_C_Cath_25_34,C11_C_Cath_35_44,C11_C_Cath_45_54,C11_C_Cath_55_64,C11_C_Cath_65_74,C11_C_Cath_75_84,C11_C_Cath_85ov,C11_C_Cath_Tot,C11_C_Ch_Chr_0_14,C11_C_Ch_Chr_15_24,C11_C_Ch_Chr_25_34,C11_C_Ch_Chr_35_44,C11_C_Ch_Chr_45_54,C11_C_Ch_Chr_55_64,C11_C_Ch_Chr_65_74,C11_C_Ch_Chr_75_84,C11_C_Ch_Chr_85ov,C11_C_Ch_Chr_Tot,C11_C_E_Orth_0_14,C11_C_E_Orth_15_24,C11_C_E_Orth_25_34,C11_C_E_Orth_35_44,C11_C_E_Orth_45_54,C11_C_E_Orth_55_64,C11_C_E_Orth_65_74,C11_C_E_Orth_75_84,C11_C_E_Orth_85ov,C11_C_E_Orth_Tot,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot,C11_C_La_Da_Sai_0_14,C11_C_La_Da_Sai_15_24,C11_C_La_Da_Sai_25_34,C11_C_La_Da_Sai_35_44,C11_C_La_Da_Sai_45_54,C11_C_La_Da_Sai_55_64,C11_C_La_Da_Sai_65_74,C11_C_La_Da_Sai_75_84,C11_C_La_Da_Sai_85ov,C11_C_La_Da_Sai_Tot,C11_C_Luth_0_14,C11_C_Luth_15_24,C11_C_Luth_25_34,C11_C_Luth_35_44,C11_C_Luth_45_54,C11_C_Luth_55_64,C11_C_Luth_65_74,C11_C_Luth_75_84,C11_C_Luth_85ov,C11_C_Luth_Tot,C11_C_Ori_Orth_0_14,C11_C_Ori_Orth_15_24,C11_C_Ori_Orth_25_34,C11_C_Ori_Orth_35_44,C11_C_Ori_Orth_45_54,C11_C_Ori_Orth_55_64,C11_C_Ori_Orth_65_74,C11_C_Ori_Orth_75_84,C11_C_Ori_Orth_85ov,C11_C_Ori_Orth_Tot,C11_C_Oth_Prot_0_14,C11_C_Oth_Prot_15_24,C11_C_Oth_Prot_25_34,C11_C_Oth_Prot_35_44,C11_C_Oth_Prot_45_54,C11_C_Oth_Prot_55_64,C11_C_Oth_Prot_65_74,C11_C_Oth_Prot_75_84,C11_C_Oth_Prot_85ov,C11_C_Oth_Prot_Tot,C11_C_Pentec_0_14,C11_C_Pentec_15_24,C11_C_Pentec_25_34,C11_C_Pentec_35_44,C11_C_Pentec_45_54,C11_C_Pentec_55_64,C11_C_Pentec_65_74,C11_C_Pentec_75_84,C11_C_Pentec_85ov,C11_C_Pentec_Tot,C11_C_Pres_Ref_0_14,C11_C_Pres_Ref_15_24,C11_C_Pres_Ref_25_34,C11_C_Pres_Ref_35_44,C11_C_Pres_Ref_45_54,C11_C_Pres_Ref_55_64,C11_C_Pres_Ref_65_74,C11_C_Pres_Ref_75_84,C11_C_Pres_Ref_85ov,C11_C_Pres_Ref_Tot,C11_C_Sal_Army_0_14,C11_C_Sal_Army_15_24,C11_C_Sal_Army_25_34,C11_C_Sal_Army_35_44,C11_C_Sal_Army_45_54,C11_C_Sal_Army_55_64,C11_C_Sal_Army_65_74,C11_C_Sal_Army_75_84,C11_C_Sal_Army_85ov,C11_C_Sal_Army_Tot,C11_C_Se_da_Adv_0_14,C11_C_Se_da_Adv_15_24,C11_C_Se_da_Adv_25_34,C11_C_Se_da_Adv_35_44,C11_C_Se_da_Adv_45_54,C11_C_Se_da_Adv_55_64,C11_C_Se_da_Adv_65_74,C11_C_Se_da_Adv_75_84,C11_C_Se_da_Adv_85ov,C11_C_Se_da_Adv_Tot,C11_C_Uni_Ch_0_14,C11_C_Uni_Ch_15_24,C11_C_Uni_Ch_25_34,C11_C_Uni_Ch_35_44,C11_C_Uni_Ch_45_54,C11_C_Uni_Ch_55_64,C11_C_Uni_Ch_65_74,C11_C_Uni_Ch_75_84,C11_C_Uni_Ch_85ov,C11_C_Uni_Ch_Tot,C11_Chr_Ch_nfd_0_14,C11_Chr_Ch_nfd_15_24,C11_Chr_Ch_nfd_25_34,C11_Chr_Ch_nfd_35_44,C11_Chr_Ch_nfd_45_54,C11_Chr_Ch_nfd_55_64,C11_Chr_Ch_nfd_65_74,C11_Chr_Ch_nfd_75_84,C11_Chr_Ch_nfd_85ov,C11_Chr_Ch_nfd_Tot,C11_Chr_Oth_Ch_0_14,C11_Chr_Oth_Ch_15_24,C11_Chr_Oth_Ch_25_34,C11_Chr_Oth_Ch_35_44,C11_Chr_Oth_Ch_45_54,C11_Chr_Oth_Ch_55_64,C11_Chr_Oth_Ch_65_74,C11_Chr_Oth_Ch_75_84,C11_Chr_Oth_Ch_85ov,C11_Chr_Oth_Ch_Tot
801011001,3,6,3,5,7,4,4,0,0,38,43,26,24,29,49,56,57,32,11,332,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,3,3,0,16,0,0,0,0,0,0,0,0,0,0,93,45,37,50,57,48,49,34,16,439,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,8,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,4,0,0,0,0,12,5,9,0,5,11,16,9,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,4,6,18,0,10,7,3,73,9,4,8,4,12,6,8,0,0,44,0,6,0,0,0,0,0,0,0,4
801011002,22,30,57,32,24,17,9,5,0,178,15,69,91,35,25,43,35,47,21,385,0,0,0,0,0,0,0,0,0,0,0,15,25,10,7,8,0,3,0,69,0,0,0,0,0,0,0,0,0,0,66,194,200,100,72,66,50,31,9,795,0,0,0,0,0,0,3,0,0,4,0,8,16,7,6,8,5,0,0,49,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,11,7,8,9,0,0,0,4,4,4,32,0,3,4,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,9,0,10,7,9,3,0,0,0,0,31,4,9,19,17,7,5,17,9,0,80,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,3,25,28,9,11,3,13,14,8,109,4,21,37,8,6,5,5,9,3,93,0,0,0,0,0,0,0,0,0,4
801011003,23,72,71,35,27,18,7,8,3,259,67,187,109,61,61,66,43,16,10,634,0,0,0,0,0,0,0,0,0,0,3,25,5,0,7,7,0,4,4,59,0,0,0,0,0,0,0,0,0,0,126,424,259,122,103,95,71,48,22,1269,0,0,0,0,0,0,0,0,0,3,12,14,14,8,11,10,3,0,0,77,0,6,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,5,10,4,6,10,4,3,0,0,45,0,0,0,0,0,0,0,0,0,0,3,9,11,4,3,0,0,0,0,24,10,19,17,4,0,0,0,0,0,52,5,31,21,10,8,12,7,0,0,102,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,10,12,40,39,18,18,22,12,9,11,177,10,32,32,9,17,13,4,0,0,123,0,0,0,0,0,0,0,0,0,5
801011004,9,7,10,11,11,14,0,0,0,65,77,46,88,80,46,77,39,17,4,471,0,0,0,0,0,0,0,0,0,0,4,7,3,3,3,6,3,0,3,38,0,0,0,0,0,0,0,0,0,0,175,96,144,116,100,74,58,8,6,792,0,0,0,0,0,0,0,0,0,3,0,6,4,0,3,0,0,4,0,28,0,0,0,0,0,3,0,0,0,11,4,0,5,0,0,0,0,0,0,8,7,6,9,3,9,3,6,10,0,42,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,15,3,10,9,3,0,0,6,4,54,7,0,3,12,8,14,10,4,0,58,0,0,0,0,4,0,0,0,0,7,0,5,0,3,0,0,0,0,0,11,19,7,13,14,14,17,3,8,0,87,18,8,11,20,9,8,3,3,0,79,0,0,0,0,0,0,0,0,0,0
801011005,3,4,8,17,9,9,7,0,0,56,39,31,23,53,53,56,51,45,12,375,0,0,0,0,0,0,0,0,0,4,3,0,0,4,4,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,87,52,66,84,59,63,73,38,13,537,0,0,0,0,0,0,0,0,0,0,6,3,7,10,5,5,9,4,0,55,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,7,5,0,0,12,10,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,6,4,5,0,0,0,22,0,5,10,7,7,12,7,8,0,57,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,13,6,6,17,4,20,22,8,0,90,5,9,7,7,16,4,4,5,4,60,3,0,0,0,8,4,5,0,0,16
801011006,39,21,26,30,28,13,0,5,0,170,273,120,195,230,180,116,42,24,7,1191,0,0,0,0,0,0,0,0,0,0,8,5,9,10,8,10,10,0,0,55,0,0,0,0,0,0,0,0,0,0,566,252,367,367,210,136,77,30,0,2007,0,0,0,0,4,0,0,0,0,12,17,11,28,20,19,10,7,0,0,110,0,0,0,0,0,4,0,0,0,17,7,4,5,7,3,0,5,0,0,23,9,4,16,13,12,6,4,3,0,58,4,0,0,3,0,0,0,0,0,10,0,3,6,3,4,0,0,0,0,9,55,24,28,39,18,12,3,0,0,187,28,13,14,33,33,26,8,0,0,165,0,3,0,0,0,0,0,0,0,11,8,7,6,0,0,0,0,0,0,22,64,17,34,52,35,36,14,4,0,252,62,24,29,41,28,13,0,0,0,199,0,0,0,0,0,0,0,0,0,0
801011007,11,8,15,29,13,13,4,0,0,93,130,83,101,155,105,157,46,25,7,807,0,0,0,0,0,0,0,0,0,0,21,8,7,11,22,17,8,0,0,94,0,0,0,0,0,3,0,0,0,3,349,230,194,241,222,249,88,32,10,1611,0,0,0,0,0,0,0,3,0,6,21,14,9,19,15,21,14,15,0,117,5,0,0,3,0,6,0,0,0,15,3,0,5,4,0,4,0,0,0,14,4,0,4,5,11,9,0,7,0,44,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,18,11,5,10,6,7,0,0,0,56,34,8,19,19,29,37,13,7,0,165,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,3,0,0,14,23,31,22,28,40,36,10,0,0,200,20,16,29,17,23,24,3,0,0,130,4,0,0,4,0,0,0,4,0,8
801011008,63,44,42,59,51,31,13,4,5,309,94,80,66,83,125,118,50,41,13,669,0,0,0,0,0,0,0,0,0,0,17,11,18,14,8,14,4,0,0,90,0,0,0,0,0,0,0,0,0,0,251,233,137,183,266,187,101,57,11,1432,0,0,0,0,0,5,0,0,0,4,4,14,9,4,16,17,8,4,0,78,0,0,0,0,0,5,0,0,0,9,3,4,0,4,8,0,0,0,0,18,10,6,4,0,4,11,4,0,5,38,0,0,0,0,0,0,0,0,0,6,0,0,7,0,6,0,0,0,0,8,27,9,7,12,9,10,3,0,0,73,9,14,11,5,26,22,13,4,3,100,3,0,0,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,20,20,22,22,33,28,10,5,4,160,20,31,22,15,12,21,4,0,0,123,0,0,0,0,0,0,0,0,0,4
801011009,6,7,7,3,3,8,5,0,0,33,81,48,46,94,78,107,61,31,4,546,0,0,0,0,0,0,0,0,0,0,5,9,6,3,8,7,6,0,0,44,0,0,0,0,0,0,0,0,0,0,211,147,115,143,131,124,77,22,6,973,0,0,0,0,0,4,5,0,0,3,6,4,13,5,9,11,11,5,0,62,0,0,0,0,0,0,0,0,0,0,7,3,4,0,9,0,0,0,0,21,0,5,5,0,4,13,5,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,4,10,7,5,4,0,0,0,49,3,4,8,12,17,15,12,6,0,87,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,13,12,14,14,16,24,11,5,7,117,4,17,11,6,16,12,3,0,0,73,0,0,0,0,0,0,0,0,0,0
801011010,0,6,3,0,0,7,0,0,0,21,81,34,40,56,47,81,42,9,0,386,0,0,0,0,0,0,0,0,0,0,11,8,5,4,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,112,72,52,74,58,98,28,8,4,507,0,0,0,0,0,3,0,0,0,6,0,4,0,0,5,0,0,0,0,16,3,0,0,0,0,0,0,3,0,4,4,5,0,0,7,4,0,0,0,17,3,3,0,3,3,12,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,3,3,7,3,8,0,0,35,9,0,9,6,4,19,4,0,0,50,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,5,10,12,20,29,8,10,3,109,17,3,7,5,7,8,4,0,0,55,0,0,0,0,0,0,0,0,0,3
